ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
79241,ACT-LT000011,The Lemon Co,Payment,Advances to/from AGC H.O,PRJV-02-95,GL0013086,2019-02-15,,,,75000.00,0
79239,ACT-LT000011,The Lemon Co,Payment,Advances to/from AGC H.O,PRJV-02-95,GL0013085,2019-02-15,,,,26750.00,0
79240,ACT-LT000011,The Lemon Co,Payment,Unearned Rent Income,PRJV-02-95,GL0013085,2019-02-15,,,,0,-26750.00
79242,ACT-LT000011,The Lemon Co,Payment,Security Deposit Payable,PRJV-02-95,GL0013086,2019-02-15,,,,0,-75000.00
79255,ACT-LT000005,Davids Salon,Payment,Advances to/from AGC H.O,PRJV-02-110,GL0013090,2019-02-26,,,,302400.00,0
79251,ACT-LT000005,Davids Salon,Payment,Advances to/from AGC H.O,PRJV-02-110,GL0013088,2019-02-26,,,,53928.00,0
79253,ACT-LT000005,Davids Salon,Payment,Advances to/from AGC H.O,PRJV-02-110,GL0013089,2019-02-26,,,,50400.00,0
79254,ACT-LT000005,Davids Salon,Payment,Construction Bond,PRJV-02-110,GL0013089,2019-02-26,,,,0,-50400.00
79252,ACT-LT000005,Davids Salon,Payment,Unearned Rent Income,PRJV-02-110,GL0013088,2019-02-26,,,,0,-53928.00
79256,ACT-LT000005,Davids Salon,Payment,Security Deposit Payable,PRJV-02-110,GL0013090,2019-02-26,,,,0,-302400.00
79229,ACT-LT000007,The Shawarma Shack,Payment,Advances to/from AGC H.O,PRJV-03-108,GL0013084,2019-03-11,,,,90000.00,0
79227,ACT-LT000007,The Shawarma Shack,Payment,Advances to/from AGC H.O,PRJV-03-108,GL0013083,2019-03-11,,,,32100.00,0
79228,ACT-LT000007,The Shawarma Shack,Payment,Unearned Rent Income,PRJV-03-108,GL0013083,2019-03-11,,,,0,-32100.00
79230,ACT-LT000007,The Shawarma Shack,Payment,Security Deposit Payable,PRJV-03-108,GL0013084,2019-03-11,,,,0,-90000.00
78650,ACT-LT000010,Nails Dot Glow,Payment,Advances to/from AGC H.O,PRJV-131,GL0013000,2019-03-27,,,,150000.00,0
78646,ACT-LT000010,Nails Dot Glow,Payment,Advances to/from AGC H.O,PRJV-131,GL0012998,2019-03-27,,,,26750.00,0
78648,ACT-LT000010,Nails Dot Glow,Payment,Advances to/from AGC H.O,PRJV-131,GL0012999,2019-03-27,,,,25000.00,0
78649,ACT-LT000010,Nails Dot Glow,Payment,Construction Bond,PRJV-131,GL0012999,2019-03-27,,,,0,-25000.00
78647,ACT-LT000010,Nails Dot Glow,Payment,Unearned Rent Income,PRJV-131,GL0012998,2019-03-27,,,,0,-26750.00
78651,ACT-LT000010,Nails Dot Glow,Payment,Security Deposit Payable,PRJV-131,GL0013000,2019-03-27,,,,0,-150000.00
110430,ACT-LT000008,Estrella Bakery,Payment,Advances to/from AGC H.O,PRJV-115,GL0018034,2019-04-15,,,,128896.00,0
110426,ACT-LT000008,Estrella Bakery,Payment,Advances to/from AGC H.O,PRJV-115,GL0018032,2019-04-15,,,,34479.68,0
110428,ACT-LT000008,Estrella Bakery,Payment,Advances to/from AGC H.O,PRJV-115,GL0018033,2019-04-15,,,,32224.00,0
110429,ACT-LT000008,Estrella Bakery,Payment,Construction Bond,PRJV-115,GL0018033,2019-04-15,,,,0,-32224.00
110427,ACT-LT000008,Estrella Bakery,Payment,Unearned Rent Income,PRJV-115,GL0018032,2019-04-15,,,,0,-34479.68
110431,ACT-LT000008,Estrella Bakery,Payment,Security Deposit Payable,PRJV-115,GL0018034,2019-04-15,,,,0,-128896.00
110444,ACT-LT000062,Angels Wings Tours and Travel,Payment,Advances to/from AGC H.O,PRJV-122,GL0018040,2019-06-03,,,,75000.00,0
110442,ACT-LT000062,Angels Wings Tours and Travel,Payment,Advances to/from AGC H.O,PRJV-122,GL0018039,2019-06-03,,,,26750.00,0
110446,ACT-LT000062,Angels Wings Tours and Travel,Payment,Advances to/from AGC H.O,PRJV-122,GL0018041,2019-06-03,,,,25000.00,0
110447,ACT-LT000062,Angels Wings Tours and Travel,Payment,Construction Bond,PRJV-122,GL0018041,2019-06-03,,,,0,-25000.00
110443,ACT-LT000062,Angels Wings Tours and Travel,Payment,Unearned Rent Income,PRJV-122,GL0018039,2019-06-03,,,,0,-26750.00
110445,ACT-LT000062,Angels Wings Tours and Travel,Payment,Security Deposit Payable,PRJV-122,GL0018040,2019-06-03,,,,0,-75000.00
79277,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Advances to/from AGC H.O,PRJV-06-149,GL0013095,2019-06-24,,,,36000.00,0
79275,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Advances to/from AGC H.O,PRJV-06-149,GL0013094,2019-06-24,,,,12840.00,0
79276,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Unearned Rent Income,PRJV-06-149,GL0013094,2019-06-24,,,,0,-12840.00
79278,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Security Deposit Payable,PRJV-06-149,GL0013095,2019-06-24,,,,0,-36000.00
78618,ACT-LT000003,Thirsty,Payment,Advances to/from AGC H.O,PRJV-153,GL0012990,2019-06-27,,,,75000.00,0
78616,ACT-LT000003,Thirsty,Payment,Advances to/from AGC H.O,PRJV-153,GL0012989,2019-06-27,,,,26750.00,0
78617,ACT-LT000003,Thirsty,Payment,Unearned Rent Income,PRJV-153,GL0012989,2019-06-27,,,,0,-26750.00
78619,ACT-LT000003,Thirsty,Payment,Security Deposit Payable,PRJV-153,GL0012990,2019-06-27,,,,0,-75000.00
78629,ACT-LT000004,Turks Shawarma,Payment,Advances to/from AGC H.O,PRJV-156,GL0012993,2019-06-28,,,,75000.00,0
78627,ACT-LT000004,Turks Shawarma,Payment,Advances to/from AGC H.O,PRJV-156,GL0012992,2019-06-28,,,,26750.00,0
78628,ACT-LT000004,Turks Shawarma,Payment,Unearned Rent Income,PRJV-156,GL0012992,2019-06-28,,,,0,-26750.00
78630,ACT-LT000004,Turks Shawarma,Payment,Security Deposit Payable,PRJV-156,GL0012993,2019-06-28,,,,0,-75000.00
75334,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Payment,Advances to/from AGC H.O,PRJV-07000016,GL0012302,2019-07-04,,,,1954489.50,0
75335,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Payment,Construction Bond,PRJV-07000016,GL0012302,2019-07-04,,,,0,-1954489.50
74599,ACT-ST000001,Sabroso Tsokolate,Payment,Cash in Bank (Peso),PR0000001,GL0012276,2019-07-12,,B-001,PNB,1000.00,0
74600,ACT-ST000001,Sabroso Tsokolate,Payment,Rent Receivables,PR0000001,GL0012276,2019-07-12,,B-001,PNB,0,-1000.00
74587,ACT-ST000001,Sabroso Tsokolate,Invoice,Rent Receivables,IC0009100,GL0012276,2019-07-14,2019-07-22,,,1000.00,0
74590,ACT-ST000001,Sabroso Tsokolate,Invoice,Rent Income,IC0009100,GL0012276,2019-07-14,2019-07-22,,,0,-1000.00
78568,ACT-LT000012,EO Executive Optical,Payment,Advances to/from AGC H.O,PRJV-07000588-A,GL0012979,2019-07-18,,,,331800.00,0
78572,ACT-LT000002,Antepara Sunglasses,Payment,Advances to/from AGC H.O,PRJV-07000588-B,GL0012981,2019-07-18,,,,90000.00,0
78576,ACT-LT000018,Merry Mango,Payment,Advances to/from AGC H.O,PRJV-07000588-C,GL0012983,2019-07-18,,,,75000.00,0
78564,ACT-LT000012,EO Executive Optical,Payment,Advances to/from AGC H.O,PRJV-07000588-A,GL0012977,2019-07-18,,,,59171.00,0
78566,ACT-LT000012,EO Executive Optical,Payment,Advances to/from AGC H.O,PRJV-07000588-A,GL0012978,2019-07-18,,,,55300.00,0
78570,ACT-LT000002,Antepara Sunglasses,Payment,Advances to/from AGC H.O,PRJV-07000588-B,GL0012980,2019-07-18,,,,32100.00,0
78574,ACT-LT000018,Merry Mango,Payment,Advances to/from AGC H.O,PRJV-07000588-C,GL0012982,2019-07-18,,,,26750.00,0
78575,ACT-LT000018,Merry Mango,Payment,Rent Receivables,PRJV-07000588-C,GL0012982,2019-07-18,,,,0,-26750.00
78571,ACT-LT000002,Antepara Sunglasses,Payment,Unearned Rent Income,PRJV-07000588-B,GL0012980,2019-07-18,,,,0,-32100.00
78567,ACT-LT000012,EO Executive Optical,Payment,Construction Bond,PRJV-07000588-A,GL0012978,2019-07-18,,,,0,-55300.00
78565,ACT-LT000012,EO Executive Optical,Payment,Unearned Rent Income,PRJV-07000588-A,GL0012977,2019-07-18,,,,0,-59171.00
78577,ACT-LT000018,Merry Mango,Payment,Unearned Rent Income,PRJV-07000588-C,GL0012983,2019-07-18,,,,0,-75000.00
78573,ACT-LT000002,Antepara Sunglasses,Payment,Security Deposit Payable,PRJV-07000588-B,GL0012981,2019-07-18,,,,0,-90000.00
78569,ACT-LT000012,EO Executive Optical,Payment,Security Deposit Payable,PRJV-07000588-A,GL0012979,2019-07-18,,,,0,-331800.00
76668,ACT-LT000017,Goldilocks,Payment,Cash in Bank (Peso),PR0000002,GL0012524,2019-07-25,,B-001,PNB,66000.00,0
76670,ACT-LT000017,Goldilocks,Payment,Cash in Bank (Peso),PR0000003,GL0012525,2019-07-25,,B-001,PNB,23540.00,0
76672,ACT-LT000017,Goldilocks,Payment,Cash in Bank (Peso),PR0000003,GL0012526,2019-07-25,,B-001,PNB,2500.00,0
76673,ACT-LT000017,Goldilocks,Payment,Unearned Rent Income,PR0000003,GL0012526,2019-07-25,,B-001,PNB,0,-2500.00
76671,ACT-LT000017,Goldilocks,Payment,Unearned Rent Income,PR0000003,GL0012525,2019-07-25,,B-001,PNB,0,-23540.00
76669,ACT-LT000017,Goldilocks,Payment,Security Deposit Payable,PR0000002,GL0012524,2019-07-25,,B-001,PNB,0,-66000.00
77284,ACT-ST000003,"Ayacca Realty &amp;amp; Development, Inc.",Payment,Cash in Bank (Peso),PR0000004,GL0012295,2019-07-26,,B-001,PNB,3210.00,0
77285,ACT-ST000003,"Ayacca Realty &amp;amp; Development, Inc.",Payment,Rent Receivables,PR0000004,GL0012295,2019-07-26,,B-001,PNB,0,-3210.00
75277,ACT-ST000003,"Ayacca Realty &amp;amp; Development, Inc.",Invoice,Rent Receivables,IC0009115,GL0012295,2019-07-28,2019-08-05,,,3210.00,0
75279,ACT-ST000003,"Ayacca Realty &amp;amp; Development, Inc.",Invoice,Creditable WHT Receivable,IC0009115,GL0012295,2019-07-28,2019-08-05,,,150.00,0
75278,ACT-ST000003,"Ayacca Realty &amp;amp; Development, Inc.",Invoice,VAT Output,IC0009115,GL0012295,2019-07-28,2019-08-05,,,0,-360.00
75280,ACT-ST000003,"Ayacca Realty &amp;amp; Development, Inc.",Invoice,Rent Income,IC0009115,GL0012295,2019-07-28,2019-08-05,,,0,-3000.00
78140,ACT-LT000028,Dimsum Break,Payment,Cash in Bank (Peso),PR0000005,GL0012870,2019-07-29,,B-001,PNB,269100.00,0
78138,ACT-LT000028,Dimsum Break,Payment,Cash in Bank (Peso),PR0000005,GL0012869,2019-07-29,,B-001,PNB,95979.00,0
78142,ACT-LT000028,Dimsum Break,Payment,Cash in Bank (Peso),PR0000005,GL0012871,2019-07-29,,B-001,PNB,89700.00,0
78143,ACT-LT000028,Dimsum Break,Payment,Construction Bond,PR0000005,GL0012871,2019-07-29,,B-001,PNB,0,-89700.00
78139,ACT-LT000028,Dimsum Break,Payment,Unearned Rent Income,PR0000005,GL0012869,2019-07-29,,B-001,PNB,0,-95979.00
78141,ACT-LT000028,Dimsum Break,Payment,Security Deposit Payable,PR0000005,GL0012870,2019-07-29,,B-001,PNB,0,-269100.00
78392,ACT-LT000029,Mister Donut,Payment,Cash in Bank (Peso),PR0000006,GL0012945,2019-07-30,,B-001,PNB,90000.00,0
78390,ACT-LT000029,Mister Donut,Payment,Cash in Bank (Peso),PR0000006,GL0012944,2019-07-30,,B-001,PNB,32100.00,0
78391,ACT-LT000029,Mister Donut,Payment,Unearned Rent Income,PR0000006,GL0012944,2019-07-30,,B-001,PNB,0,-32100.00
78393,ACT-LT000029,Mister Donut,Payment,Security Deposit Payable,PR0000006,GL0012945,2019-07-30,,B-001,PNB,0,-90000.00
78689,ACT-LT000009,Sunburst Fried Chicken,Payment,Cash in Bank (Peso),PR0000007,GL0013005,2019-07-31,,B-001,PNB,578280.06,0
78687,ACT-LT000009,Sunburst Fried Chicken,Payment,Advances to/from AGC H.O,PRJV-04-14,GL0013004,2019-07-31,,,,281615.94,0
80780,ACT-LT000014,Jollibee,Invoice,A/R Non Trade Internal,IC0009821,GL0013238,2019-07-31,2019-08-15,,,269256.95,0
78683,ACT-LT000009,Sunburst Fried Chicken,Payment,Advances to/from AGC H.O,PRJV-04-14,GL0013002,2019-07-31,,,,153348.12,0
78685,ACT-LT000009,Sunburst Fried Chicken,Payment,Advances to/from AGC H.O,PRJV-04-14,GL0013003,2019-07-31,,,,143316.00,0
79342,ACT-LT000013,The Prawn Farm,Invoice,A/R Non Trade Internal,IC0009725,GL0013101,2019-07-31,2019-08-15,,,94902.50,0
79326,ACT-LT000009,Sunburst Fried Chicken,Payment,Unearned Rent Income,B0005369,GL0013002,2019-07-31,,,,33142.99,0
79317,ACT-LT000009,Sunburst Fried Chicken,Invoice,A/R  Non Trade External,IC0009724,GL0013100,2019-07-31,2019-08-15,,,33142.99,0
78667,ACT-LT000012,EO Executive Optical,Payment,Unearned Rent Income,B0005314,GL0012977,2019-07-31,,,,19952.23,0
78662,ACT-LT000012,EO Executive Optical,Invoice,A/R  Non Trade External,IC0009660,GL0013001,2019-07-31,2019-08-08,,,19952.23,0
79273,ACT-LT000005,Davids Salon,Payment,Unearned Rent Income,B0005365,GL0013088,2019-07-31,,,,17575.56,0
79267,ACT-LT000005,Davids Salon,Invoice,A/R  Non Trade External,IC0009719,GL0013093,2019-07-31,2019-08-08,,,17575.56,0
81581,ACT-LT000010,Nails Dot Glow,Payment,Unearned Rent Income,B0005460,GL0012998,2019-07-31,,,,7223.75,0
79299,ACT-LT000010,Nails Dot Glow,Invoice,A/R  Non Trade External,IC0009721,GL0013097,2019-07-31,2019-08-08,,,7223.75,0
80093,ACT-LT000021,Alvas Chicharon,Invoice,A/R  Non Trade External,IC0009799,GL0013195,2019-07-31,2019-08-15,,,6776.75,0
79186,ACT-LT000017,Goldilocks,Payment,Unearned Rent Income,B0005356,GL0012525,2019-07-31,,,,6212.75,0
79181,ACT-LT000017,Goldilocks,Invoice,A/R  Non Trade External,IC0009710,GL0013074,2019-07-31,2019-08-08,,,6212.75,0
81440,ACT-LT000004,Turks Shawarma,Payment,Unearned Rent Income,B0005455,GL0012992,2019-07-31,,,,5492.75,0
79188,ACT-LT000004,Turks Shawarma,Invoice,A/R  Non Trade External,IC0009711,GL0013075,2019-07-31,2019-08-08,,,5492.75,0
79179,ACT-LT000018,Merry Mango,Payment,Unearned Rent Income,B0005355,GL0012982,2019-07-31,,,,5264.75,0
79174,ACT-LT000018,Merry Mango,Invoice,A/R  Non Trade External,IC0009709,GL0013073,2019-07-31,2019-08-08,,,5264.75,0
79169,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,A/R  Non Trade External,IC0009708,GL0013072,2019-07-31,2019-08-15,,,5060.75,0
79222,ACT-LT000007,The Shawarma Shack,Invoice,A/R  Non Trade External,IC0009715,GL0013082,2019-07-31,2019-08-08,,,4808.75,0
79237,ACT-LT000007,The Shawarma Shack,Payment,Unearned Rent Income,B0005361,GL0013083,2019-07-31,,,,4808.75,0
79308,ACT-LT000006,Zamin Foreign Exchange,Invoice,A/R  Non Trade External,IC0009723,GL0013099,2019-07-31,2019-08-15,,,4632.96,0
80087,ACT-LT000015,Potato Corner,Payment,Unearned Rent Income,B0005410,GL0013047,2019-07-31,,,,4232.75,0
80082,ACT-LT000015,Potato Corner,Invoice,A/R  Non Trade External,IC0009798,GL0013194,2019-07-31,2019-08-15,,,4232.75,0
79160,ACT-LT000003,Thirsty,Payment,Unearned Rent Income,B0005352,GL0012989,2019-07-31,,,,3752.75,0
79155,ACT-LT000003,Thirsty,Invoice,A/R  Non Trade External,IC0009706,GL0013070,2019-07-31,2019-08-08,,,3752.75,0
79167,ACT-LT000002,Antepara Sunglasses,Payment,Unearned Rent Income,B0005353,GL0012980,2019-07-31,,,,3152.75,0
79162,ACT-LT000002,Antepara Sunglasses,Invoice,A/R  Non Trade External,IC0009707,GL0013071,2019-07-31,2019-08-08,,,3152.75,0
79249,ACT-LT000011,The Lemon Co,Payment,Unearned Rent Income,B0005363,GL0013085,2019-07-31,,,,2792.75,0
79243,ACT-LT000011,The Lemon Co,Invoice,A/R  Non Trade External,IC0009716,GL0013087,2019-07-31,2019-08-08,,,2792.75,0
79293,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Unearned Rent Income,B0005366,GL0013094,2019-07-31,,,,2096.75,0
79289,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,A/R  Non Trade External,IC0009720,GL0013096,2019-07-31,2019-08-08,,,2096.75,0
78663,ACT-LT000012,EO Executive Optical,Invoice,MI-Water,IC0009660,GL0013001,2019-07-31,2019-08-08,,,0,-83.20
79300,ACT-LT000010,Nails Dot Glow,Invoice,MI-Water,IC0009721,GL0013097,2019-07-31,2019-08-08,,,0,-130.00
79318,ACT-LT000009,Sunburst Fried Chicken,Invoice,MI-Water,IC0009724,GL0013100,2019-07-31,2019-08-15,,,0,-166.40
79312,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Charges,IC0009723,GL0013099,2019-07-31,2019-08-15,,,0,-182.90
79305,ACT-LT000010,Nails Dot Glow,Invoice,MI-Charges,IC0009722,GL0013098,2019-07-31,2019-08-08,,,0,-300.00
79246,ACT-LT000011,The Lemon Co,Invoice,MI-Light and Power,IC0009716,GL0013087,2019-07-31,2019-08-08,,,0,-396.00
79173,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,MI-Charges,IC0009708,GL0013072,2019-07-31,2019-08-15,,,0,-419.35
80097,ACT-LT000021,Alvas Chicharon,Invoice,MI-Charges,IC0009799,GL0013195,2019-07-31,2019-08-15,,,0,-419.35
79166,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Charges,IC0009707,GL0013071,2019-07-31,2019-08-08,,,0,-419.35
79292,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,MI-Charges,IC0009720,GL0013096,2019-07-31,2019-08-08,,,0,-419.35
79185,ACT-LT000017,Goldilocks,Invoice,MI-Charges,IC0009710,GL0013074,2019-07-31,2019-08-08,,,0,-419.35
79178,ACT-LT000018,Merry Mango,Invoice,MI-Charges,IC0009709,GL0013073,2019-07-31,2019-08-08,,,0,-419.35
80086,ACT-LT000015,Potato Corner,Invoice,MI-Charges,IC0009798,GL0013194,2019-07-31,2019-08-15,,,0,-419.35
79226,ACT-LT000007,The Shawarma Shack,Invoice,MI-Charges,IC0009715,GL0013082,2019-07-31,2019-08-08,,,0,-419.35
79159,ACT-LT000003,Thirsty,Invoice,MI-Charges,IC0009706,GL0013070,2019-07-31,2019-08-08,,,0,-419.35
79303,ACT-LT000010,Nails Dot Glow,Invoice,MI-Charges,IC0009721,GL0013097,2019-07-31,2019-08-08,,,0,-627.43
78666,ACT-LT000012,EO Executive Optical,Invoice,MI-Charges,IC0009660,GL0013001,2019-07-31,2019-08-08,,,0,-662.58
79247,ACT-LT000011,The Lemon Co,Invoice,MI-Charges,IC0009716,GL0013087,2019-07-31,2019-08-08,,,0,-719.35
79192,ACT-LT000004,Turks Shawarma,Invoice,MI-Charges,IC0009711,GL0013075,2019-07-31,2019-08-08,,,0,-719.35
79311,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Light and Power,IC0009723,GL0013099,2019-07-31,2019-08-15,,,0,-792.00
79171,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,MI-Common Utilities,IC0009708,GL0013072,2019-07-31,2019-08-15,,,0,-838.70
79170,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,MI-Aircon Charges,IC0009708,GL0013072,2019-07-31,2019-08-15,,,0,-838.70
80095,ACT-LT000021,Alvas Chicharon,Invoice,MI-Common Utilities,IC0009799,GL0013195,2019-07-31,2019-08-15,,,0,-838.70
80094,ACT-LT000021,Alvas Chicharon,Invoice,MI-Aircon Charges,IC0009799,GL0013195,2019-07-31,2019-08-15,,,0,-838.70
79164,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Common Utilities,IC0009707,GL0013071,2019-07-31,2019-08-08,,,0,-838.70
79163,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Aircon Charges,IC0009707,GL0013071,2019-07-31,2019-08-08,,,0,-838.70
79290,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,MI-Aircon Charges,IC0009720,GL0013096,2019-07-31,2019-08-08,,,0,-838.70
79291,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,MI-Common Utilities,IC0009720,GL0013096,2019-07-31,2019-08-08,,,0,-838.70
79182,ACT-LT000017,Goldilocks,Invoice,MI-Aircon Charges,IC0009710,GL0013074,2019-07-31,2019-08-08,,,0,-838.70
79183,ACT-LT000017,Goldilocks,Invoice,MI-Common Utilities,IC0009710,GL0013074,2019-07-31,2019-08-08,,,0,-838.70
79176,ACT-LT000018,Merry Mango,Invoice,MI-Common Utilities,IC0009709,GL0013073,2019-07-31,2019-08-08,,,0,-838.70
79175,ACT-LT000018,Merry Mango,Invoice,MI-Aircon Charges,IC0009709,GL0013073,2019-07-31,2019-08-08,,,0,-838.70
80084,ACT-LT000015,Potato Corner,Invoice,MI-Common Utilities,IC0009798,GL0013194,2019-07-31,2019-08-15,,,0,-838.70
80083,ACT-LT000015,Potato Corner,Invoice,MI-Aircon Charges,IC0009798,GL0013194,2019-07-31,2019-08-15,,,0,-838.70
79245,ACT-LT000011,The Lemon Co,Invoice,MI-Common Utilities,IC0009716,GL0013087,2019-07-31,2019-08-08,,,0,-838.70
79244,ACT-LT000011,The Lemon Co,Invoice,MI-Aircon Charges,IC0009716,GL0013087,2019-07-31,2019-08-08,,,0,-838.70
