ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
79317,ACT-LT000009,Sunburst Fried Chicken,Invoice,A/R  Non Trade External,IC0009724,GL0013100,2019-07-31,2019-08-15,,,33142.99,0
78662,ACT-LT000012,EO Executive Optical,Invoice,A/R  Non Trade External,IC0009660,GL0013001,2019-07-31,2019-08-08,,,19952.23,0
79267,ACT-LT000005,Davids Salon,Invoice,A/R  Non Trade External,IC0009719,GL0013093,2019-07-31,2019-08-08,,,17575.56,0
79299,ACT-LT000010,Nails Dot Glow,Invoice,A/R  Non Trade External,IC0009721,GL0013097,2019-07-31,2019-08-08,,,7223.75,0
80093,ACT-LT000021,Alvas Chicharon,Invoice,A/R  Non Trade External,IC0009799,GL0013195,2019-07-31,2019-08-15,,,6776.75,0
79181,ACT-LT000017,Goldilocks,Invoice,A/R  Non Trade External,IC0009710,GL0013074,2019-07-31,2019-08-08,,,6212.75,0
79188,ACT-LT000004,Turks Shawarma,Invoice,A/R  Non Trade External,IC0009711,GL0013075,2019-07-31,2019-08-08,,,5492.75,0
79174,ACT-LT000018,Merry Mango,Invoice,A/R  Non Trade External,IC0009709,GL0013073,2019-07-31,2019-08-08,,,5264.75,0
79169,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,A/R  Non Trade External,IC0009708,GL0013072,2019-07-31,2019-08-15,,,5060.75,0
79222,ACT-LT000007,The Shawarma Shack,Invoice,A/R  Non Trade External,IC0009715,GL0013082,2019-07-31,2019-08-08,,,4808.75,0
79308,ACT-LT000006,Zamin Foreign Exchange,Invoice,A/R  Non Trade External,IC0009723,GL0013099,2019-07-31,2019-08-15,,,4632.96,0
80082,ACT-LT000015,Potato Corner,Invoice,A/R  Non Trade External,IC0009798,GL0013194,2019-07-31,2019-08-15,,,4232.75,0
79155,ACT-LT000003,Thirsty,Invoice,A/R  Non Trade External,IC0009706,GL0013070,2019-07-31,2019-08-08,,,3752.75,0
79162,ACT-LT000002,Antepara Sunglasses,Invoice,A/R  Non Trade External,IC0009707,GL0013071,2019-07-31,2019-08-08,,,3152.75,0
79243,ACT-LT000011,The Lemon Co,Invoice,A/R  Non Trade External,IC0009716,GL0013087,2019-07-31,2019-08-08,,,2792.75,0
79289,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,A/R  Non Trade External,IC0009720,GL0013096,2019-07-31,2019-08-08,,,2096.75,0
79294,ACT-LT000016,Golden Locket Jewelry Shop,Payment,A/R  Non Trade External,B0005366,GL0013096,2019-07-31,,,,0,-2096.75
79250,ACT-LT000011,The Lemon Co,Payment,A/R  Non Trade External,B0005363,GL0013087,2019-07-31,,,,0,-2792.75
79168,ACT-LT000002,Antepara Sunglasses,Payment,A/R  Non Trade External,B0005353,GL0013071,2019-07-31,,,,0,-3152.75
79161,ACT-LT000003,Thirsty,Payment,A/R  Non Trade External,B0005352,GL0013070,2019-07-31,,,,0,-3752.75
80088,ACT-LT000015,Potato Corner,Payment,A/R  Non Trade External,B0005410,GL0013194,2019-07-31,,,,0,-4232.75
79238,ACT-LT000007,The Shawarma Shack,Payment,A/R  Non Trade External,B0005361,GL0013082,2019-07-31,,,,0,-4808.75
79180,ACT-LT000018,Merry Mango,Payment,A/R  Non Trade External,B0005355,GL0013073,2019-07-31,,,,0,-5264.75
81441,ACT-LT000004,Turks Shawarma,Payment,A/R  Non Trade External,B0005455,GL0013075,2019-07-31,,,,0,-5492.75
79187,ACT-LT000017,Goldilocks,Payment,A/R  Non Trade External,B0005356,GL0013074,2019-07-31,,,,0,-6212.75
81582,ACT-LT000010,Nails Dot Glow,Payment,A/R  Non Trade External,B0005460,GL0013097,2019-07-31,,,,0,-7223.75
79274,ACT-LT000005,Davids Salon,Payment,A/R  Non Trade External,B0005365,GL0013093,2019-07-31,,,,0,-17575.56
78668,ACT-LT000012,EO Executive Optical,Payment,A/R  Non Trade External,B0005314,GL0013001,2019-07-31,,,,0,-19952.23
79327,ACT-LT000009,Sunburst Fried Chicken,Payment,A/R  Non Trade External,B0005369,GL0013100,2019-07-31,,,,0,-33142.99
80779,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Payment,A/R  Non Trade External,PR23555,GL0013072,2019-08-15,,B-001,PNB,0,-5060.75
80792,ACT-LT000021,Alvas Chicharon,Payment,A/R  Non Trade External,PR23557,GL0013195,2019-08-16,,B-001,PNB,0,-6776.75
85496,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Invoice,A/R  Non Trade External,IC0010438,GL0014062,2019-08-31,2019-09-15,,,838793.47,0
87234,ACT-LT000009,Sunburst Fried Chicken,Invoice,A/R  Non Trade External,IC0010543,GL0014190,2019-08-31,2019-09-15,,,219185.57,0
81808,ACT-LT000012,EO Executive Optical,Invoice,A/R  Non Trade External,IC0009931,GL0013376,2019-08-31,2019-09-08,,,23778.40,0
81558,ACT-LT000010,Nails Dot Glow,Invoice,A/R  Non Trade External,IC0009880,GL0013324,2019-08-31,2019-09-08,,,23317.12,0
81796,ACT-LT000005,Davids Salon,Invoice,A/R  Non Trade External,IC0009929,GL0013374,2019-08-31,2019-09-08,,,22766.10,0
81356,ACT-LT000021,Alvas Chicharon,Invoice,A/R  Non Trade External,IC0009843,GL0013287,2019-08-31,2019-09-08,,,14160.00,0
81431,ACT-LT000004,Turks Shawarma,Invoice,A/R  Non Trade External,IC0009855,GL0013299,2019-08-31,2019-09-08,,,8142.40,0
83989,ACT-LT000006,Zamin Foreign Exchange,Invoice,A/R  Non Trade External,IC0010305,GL0013849,2019-08-31,2019-09-08,,,8070.00,0
81394,ACT-LT000018,Merry Mango,Invoice,A/R  Non Trade External,IC0009849,GL0013293,2019-08-31,2019-09-08,,,7672.00,0
81653,ACT-LT000017,Goldilocks,Invoice,A/R  Non Trade External,IC0009902,GL0013346,2019-08-31,2019-09-08,,,7456.00,0
81448,ACT-LT000007,The Shawarma Shack,Invoice,A/R  Non Trade External,IC0009857,GL0013301,2019-08-31,2019-09-08,,,7096.00,0
81541,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,A/R  Non Trade External,IC0009877,GL0013321,2019-08-31,2019-09-08,,,6640.00,0
81370,ACT-LT000015,Potato Corner,Invoice,A/R  Non Trade External,IC0009845,GL0013289,2019-08-31,2019-09-08,,,5701.60,0
81405,ACT-LT000003,Thirsty,Invoice,A/R  Non Trade External,IC0009851,GL0013295,2019-08-31,2019-09-08,,,5440.00,0
81381,ACT-LT000002,Antepara Sunglasses,Invoice,A/R  Non Trade External,IC0009847,GL0013291,2019-08-31,2019-09-08,,,4252.00,0
81418,ACT-LT000011,The Lemon Co,Invoice,A/R  Non Trade External,IC0009853,GL0013297,2019-08-31,2019-09-08,,,3377.20,0
81531,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,A/R  Non Trade External,IC0009875,GL0013319,2019-08-31,2019-09-08,,,2500.00,0
83994,ACT-LT000006,Zamin Foreign Exchange,Invoice,A/R  Non Trade External,B0005692,GL0013850,2019-08-31,2019-08-15,,,92.66,0
81456,ACT-LT000007,The Shawarma Shack,Payment,A/R  Non Trade External,B0005457,GL0013301,2019-08-31,,,,0,-368.67
81413,ACT-LT000003,Thirsty,Payment,A/R  Non Trade External,B0005453,GL0013295,2019-08-31,,,,0,-561.77
