ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
80780,ACT-LT000014,Jollibee,Invoice,A/R Non Trade Internal,IC0009821,GL0013238,2019-07-31,2019-08-15,,,269256.95,0
79342,ACT-LT000013,The Prawn Farm,Invoice,A/R Non Trade Internal,IC0009725,GL0013101,2019-07-31,2019-08-15,,,94902.50,0
91530,ACT-LT000014,Jollibee,Invoice,A/R Non Trade Internal,IC0011138,GL0015078,2019-08-31,2019-09-15,,,848394.49,0
86463,ACT-LT000013,The Prawn Farm,Invoice,A/R Non Trade Internal,IC0010499,GL0014134,2019-08-31,2019-09-15,,,156235.00,0
86505,ACT-LT000013,The Prawn Farm,Invoice,A/R Non Trade Internal,IC0010505,GL0014141,2019-08-31,2019-09-15,,,138786.18,0
85465,ACT-LT000037,Chowking,Invoice,A/R Non Trade Internal,IC0010437,GL0014061,2019-08-31,2019-09-15,,,84263.47,0
99518,ACT-LT000014,Jollibee,Payment,A/R Non Trade Internal,PRJV#09-665,GL0013238,2019-09-06,,,,0,-269256.95
94053,ACT-LT000014,Jollibee,Invoice,A/R Non Trade Internal,IC0011288,GL0015265,2019-09-30,2019-10-22,,,796703.01,0
92714,ACT-LT000037,Chowking,Invoice,A/R Non Trade Internal,IC0011241,GL0015199,2019-09-30,2019-10-15,,,325659.68,0
93512,ACT-LT000013,The Prawn Farm,Invoice,A/R Non Trade Internal,IC0011275,GL0015247,2019-09-30,2019-10-20,,,261491.99,0
92725,ACT-LT000037,Chowking,Invoice,A/R Non Trade Internal,IC0011242,GL0015200,2019-09-30,2019-10-15,,,1120.00,0
93524,ACT-LT000013,The Prawn Farm,Payment,A/R Non Trade Internal,B0006248,GL0015247,2019-09-30,,,,0,-261491.99
93493,ACT-LT000013,The Prawn Farm,Payment,A/R Non Trade Internal,PRJV#10-119,GL0013101,2019-10-05,,,,0,-94902.50
93505,ACT-LT000013,The Prawn Farm,Payment,A/R Non Trade Internal,PRJV#10-118,GL0014141,2019-10-05,,,,0,-138786.18
93503,ACT-LT000013,The Prawn Farm,Payment,A/R Non Trade Internal,PRJV#10-118,GL0014134,2019-10-05,,,,0,-156235.00
99593,ACT-LT000014,Jollibee,Invoice,A/R Non Trade Internal,IC0012052,GL0016261,2019-10-31,2019-11-22,,,717158.93,0
99497,ACT-LT000037,Chowking,Invoice,A/R Non Trade Internal,IC0012050,GL0016253,2019-10-31,2019-11-22,,,463911.44,0
99280,ACT-LT000013,The Prawn Farm,Invoice,A/R Non Trade Internal,IC0012027,GL0016222,2019-10-31,2019-11-22,,,188384.35,0
99291,ACT-LT000013,The Prawn Farm,Payment,A/R Non Trade Internal,B0006694,GL0016222,2019-10-31,,,,0,-188384.35
138130,ACT-LT000037,Chowking,Payment,A/R Non Trade Internal,PRJV-11000467,GL0015200,2019-11-07,,,,0,-1120.00
138128,ACT-LT000037,Chowking,Payment,A/R Non Trade Internal,PRJV-11000467,GL0015199,2019-11-07,,,,0,-325659.68
112494,ACT-LT000037,Chowking,Payment,A/R Non Trade Internal,PRJV# 11-1650,GL0014061,2019-11-28,,,,0,-84263.47
112498,ACT-LT000037,Chowking,Payment,A/R Non Trade Internal,PRJV#11-1657,GL0016253,2019-11-28,,,,0,-463905.80
105626,ACT-LT000014,Jollibee,Invoice,A/R Non Trade Internal,IC0012787,GL0017229,2019-11-30,2019-12-15,,,810341.59,0
105995,ACT-LT000037,Chowking,Invoice,A/R Non Trade Internal,IC0012814,GL0017261,2019-11-30,2019-12-15,,,436986.07,0
112474,ACT-LT000013,The Prawn Farm,Payment,A/R Non Trade Internal,PRJV# 12-644,GL0017224,2019-12-21,,,,0,-186545.34
111956,ACT-LT000014,Jollibee,Invoice,A/R Non Trade Internal,IC0013525,GL0018197,2019-12-31,2020-01-15,,,753530.96,0
112070,ACT-LT000037,Chowking,Invoice,A/R Non Trade Internal,IC0013529,GL0018201,2019-12-31,2020-01-15,,,397054.35,0
105573,ACT-LT000013,The Prawn Farm,Invoice,A/R Non Trade Internal,IC0012782,GL0017224,2019-12-31,2020-01-08,,,191229.00,0
112120,ACT-LT000013,The Prawn Farm,Invoice,A/R Non Trade Internal,IC0013532,GL0018205,2019-12-31,2020-01-15,,,181797.65,0
105584,ACT-LT000013,The Prawn Farm,Payment,A/R Non Trade Internal,B0007144,GL0017224,2019-12-31,,,,0,-4683.66
