ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
86239,ACT-LT000021,Alvas Chicharon,Payment,Check Receivable - PDC,PR0000017,GL0013287,2019-09-07,,B-001,PNB,10708.38,0
123236,ACT-LT000021,Alvas Chicharon,Payment,Check Receivable - PDC,PDC0000094,GL0013287,2019-09-10,,B-001,PNB,0,-10708.38
99608,ACT-LT000003,Thirsty,Payment,Check Receivable - PDC,PR0000046,GL0015324,2019-11-15,,B-001,PNB,26750.00,0
99610,ACT-LT000003,Thirsty,Payment,Check Receivable - PDC,PR0000046,GL0015325,2019-11-15,,B-001,PNB,4744.00,0
123240,ACT-LT000003,Thirsty,Payment,Check Receivable - PDC,PDC0000095,GL0015325,2019-11-20,,B-001,PNB,0,-4744.00
123238,ACT-LT000003,Thirsty,Payment,Check Receivable - PDC,PDC0000095,GL0015324,2019-11-20,,B-001,PNB,0,-26750.00
104928,ACT-LT000046,Sticker Race Prints and Design,Payment,Check Receivable - PDC,PR0000050,GL0016395,2019-12-06,,B-001,PNB,19277.32,0
104930,ACT-LT000046,Sticker Race Prints and Design,Payment,Check Receivable - PDC,PR0000050,GL0016400,2019-12-06,,B-001,PNB,3895.60,0
123244,ACT-LT000046,Sticker Race Prints and Design,Payment,Check Receivable - PDC,PDC0000096,GL0016400,2019-12-09,,B-001,PNB,0,-3895.60
123242,ACT-LT000046,Sticker Race Prints and Design,Payment,Check Receivable - PDC,PDC0000096,GL0016395,2019-12-09,,B-001,PNB,0,-19277.32
111388,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002016,GL0016489,2020-01-04,,B-003,PNB,1225.53,0
111386,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002016,GL0016488,2020-01-04,,B-003,PNB,939.71,0
111380,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002016,GL0015374,2020-01-04,,B-003,PNB,912.34,0
111382,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002016,GL0015375,2020-01-04,,B-003,PNB,801.00,0
111376,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002016,GL0014711,2020-01-04,,B-003,PNB,596.30,0
111384,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002016,GL0016487,2020-01-04,,B-003,PNB,150.40,0
111378,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002016,GL0015373,2020-01-04,,B-003,PNB,146.02,0
111374,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002016,GL0014710,2020-01-04,,B-003,PNB,141.77,0
111372,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002016,GL0013850,2020-01-04,,B-003,PNB,92.66,0
118239,ACT-LT000008,Estrella Bakery,Payment,Check Receivable - PDC,PR0002034,GL0018365,2020-02-05,,B-003,PNB,34479.68,0
118241,ACT-LT000008,Estrella Bakery,Payment,Check Receivable - PDC,PR0002034,GL0018366,2020-02-05,,B-003,PNB,31825.20,0
131002,ACT-LT000008,Estrella Bakery,Payment,Check Receivable - PDC,PDC0000101,GL0018366,2020-02-14,,B-003,PNB,0,-31825.20
131000,ACT-LT000008,Estrella Bakery,Payment,Check Receivable - PDC,PDC0000101,GL0018365,2020-02-14,,B-003,PNB,0,-34479.68
151851,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002200,GL0020034,2020-10-02,,B-003,PNB,32100.00,0
151865,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002201,GL0021048,2020-10-02,,B-003,PNB,16050.00,0
152103,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002202,GL0021554,2020-10-02,,B-003,PNB,16050.00,0
151894,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002203,GL0022175,2020-10-02,,B-003,PNB,16050.00,0
151898,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002204,GL0022849,2020-10-02,,B-003,PNB,16050.00,0
151902,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002205,GL0023450,2020-10-02,,B-003,PNB,16050.00,0
151853,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002200,GL0020036,2020-10-02,,B-003,PNB,7890.00,0
152105,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002202,GL0024427,2020-10-02,,B-003,PNB,6480.00,0
151904,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002205,GL0023532,2020-10-02,,B-003,PNB,6348.00,0
151900,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002204,GL0022850,2020-10-02,,B-003,PNB,6276.00,0
151896,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002203,GL0022176,2020-10-02,,B-003,PNB,6132.00,0
151867,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002201,GL0021049,2020-10-02,,B-003,PNB,4229.09,0
151859,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002201,GL0021045,2020-10-02,,B-003,PNB,414.49,0
151861,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002201,GL0021046,2020-10-02,,B-003,PNB,387.04,0
151863,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PR0002201,GL0021047,2020-10-02,,B-003,PNB,3.38,0
181543,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000123,GL0021047,2020-10-07,,B-003,PNB,0,-3.38
181541,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000123,GL0021046,2020-10-07,,B-003,PNB,0,-387.04
181539,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000123,GL0021045,2020-10-07,,B-003,PNB,0,-414.49
181547,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000123,GL0021049,2020-10-07,,B-003,PNB,0,-4229.09
181537,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000122,GL0022176,2020-10-07,,B-003,PNB,0,-6132.00
181533,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000121,GL0022850,2020-10-07,,B-003,PNB,0,-6276.00
181529,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000120,GL0023532,2020-10-07,,B-003,PNB,0,-6348.00
181551,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000124,GL0024427,2020-10-07,,B-003,PNB,0,-6480.00
181525,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000119,GL0020036,2020-10-07,,B-003,PNB,0,-7890.00
181545,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000123,GL0021048,2020-10-07,,B-003,PNB,0,-16050.00
181549,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000124,GL0021554,2020-10-07,,B-003,PNB,0,-16050.00
181535,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000122,GL0022175,2020-10-07,,B-003,PNB,0,-16050.00
181531,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000121,GL0022849,2020-10-07,,B-003,PNB,0,-16050.00
181527,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000120,GL0023450,2020-10-07,,B-003,PNB,0,-16050.00
181523,ACT-LT000006,Zamin Foreign Exchange,Payment,Check Receivable - PDC,PDC0000119,GL0020034,2020-10-07,,B-003,PNB,0,-32100.00
152750,ACT-LT000028,Dimsum Break,Payment,Check Receivable - PDC,PR0002208,GL0020361,2020-10-09,,B-003,PNB,78910.05,0
