ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
74590,ACT-ST000001,Sabroso Tsokolate,Invoice,Rent Income,IC0009100,GL0012276,2019-07-14,2019-07-22,,,0,-1000.00
75280,ACT-ST000003,"Ayacca Realty &amp;amp; Development, Inc.",Invoice,Rent Income,IC0009115,GL0012295,2019-07-28,2019-08-05,,,0,-3000.00
81530,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,Rent Income,IC0009874,GL0013318,2019-08-31,2019-09-08,,,0,-10064.51
81417,ACT-LT000011,The Lemon Co,Invoice,Rent Income,IC0009852,GL0013296,2019-08-31,2019-09-08,,,0,-12580.64
81652,ACT-LT000017,Goldilocks,Invoice,Rent Income,IC0009901,GL0013345,2019-08-31,2019-09-08,,,0,-15096.77
81540,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,Rent Income,IC0009876,GL0013320,2019-08-31,2019-09-08,,,0,-16774.19
81335,ACT-LT000021,Alvas Chicharon,Invoice,Rent Income,IC0009838,GL0013282,2019-08-31,2019-09-08,,,0,-16774.19
83988,ACT-LT000006,Zamin Foreign Exchange,Invoice,Rent Income,IC0010304,GL0013848,2019-08-31,2019-09-08,,,0,-20322.58
81393,ACT-LT000018,Merry Mango,Invoice,Rent Income,IC0009848,GL0013292,2019-08-31,2019-09-08,,,0,-20967.74
81553,ACT-LT000010,Nails Dot Glow,Invoice,Rent Income,IC0009878,GL0013322,2019-08-31,2019-09-08,,,0,-20967.74
81369,ACT-LT000015,Potato Corner,Invoice,Rent Income,IC0009844,GL0013288,2019-08-31,2019-09-08,,,0,-20967.74
81404,ACT-LT000003,Thirsty,Invoice,Rent Income,IC0009850,GL0013294,2019-08-31,2019-09-08,,,0,-20967.74
81430,ACT-LT000004,Turks Shawarma,Invoice,Rent Income,IC0009854,GL0013298,2019-08-31,2019-09-08,,,0,-20967.74
81380,ACT-LT000002,Antepara Sunglasses,Invoice,Rent Income,IC0009846,GL0013290,2019-08-31,2019-09-08,,,0,-25161.29
81447,ACT-LT000007,The Shawarma Shack,Invoice,Rent Income,IC0009856,GL0013300,2019-08-31,2019-09-08,,,0,-25161.29
81795,ACT-LT000005,Davids Salon,Invoice,Rent Income,IC0009928,GL0013373,2019-08-31,2019-09-08,,,0,-40985.22
81807,ACT-LT000012,EO Executive Optical,Invoice,Rent Income,IC0009930,GL0013375,2019-08-31,2019-09-08,,,0,-46380.64
86516,ACT-LT000009,Sunburst Fried Chicken,Invoice,Rent Income,IC0010506,GL0014143,2019-08-31,2019-09-15,,,0,-60100.26
85464,ACT-LT000037,Chowking,Invoice,Rent Income,IC0010436,GL0014060,2019-08-31,2019-09-15,,,0,-101164.78
85935,ACT-LT000013,The Prawn Farm,Invoice,Rent Income,IC0010461,GL0014088,2019-08-31,2019-09-15,,,0,-122750.00
86661,ACT-LT000014,Jollibee,Invoice,Rent Income,IC0010517,GL0014158,2019-08-31,2019-09-15,,,0,-378884.30
94613,ACT-LT000029,Mister Donut,Invoice,Rent Income,IC0011366,GL0015361,2019-09-30,2019-10-10,,,0,-10000.00
89712,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,Rent Income,IC0010906,GL0014686,2019-09-30,2019-10-08,,,0,-12000.00
89686,ACT-LT000011,The Lemon Co,Invoice,Rent Income,IC0010902,GL0014682,2019-09-30,2019-10-08,,,0,-15000.00
89722,ACT-LT000017,Goldilocks,Invoice,Rent Income,IC0010909,GL0014689,2019-09-30,2019-10-08,,,0,-18000.00
89767,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,Rent Income,IC0010918,GL0014700,2019-09-30,2019-10-08,,,0,-20000.00
90592,ACT-LT000021,Alvas Chicharon,Invoice,Rent Income,IC0011005,GL0014874,2019-09-30,2019-10-08,,,0,-20000.00
89647,ACT-LT000007,The Shawarma Shack,Invoice,Rent Income,IC0010894,GL0014672,2019-09-30,2019-10-08,,,0,-22000.00
89666,ACT-LT000018,Merry Mango,Invoice,Rent Income,IC0010898,GL0014677,2019-09-30,2019-10-08,,,0,-25000.00
89784,ACT-LT000010,Nails Dot Glow,Invoice,Rent Income,IC0010922,GL0014704,2019-09-30,2019-10-08,,,0,-25000.00
89624,ACT-LT000015,Potato Corner,Invoice,Rent Income,IC0010889,GL0014666,2019-09-30,2019-10-08,,,0,-25000.00
89551,ACT-LT000003,Thirsty,Invoice,Rent Income,IC0010875,GL0014649,2019-09-30,2019-10-08,,,0,-25000.00
89752,ACT-LT000004,Turks Shawarma,Invoice,Rent Income,IC0010915,GL0014696,2019-09-30,2019-10-08,,,0,-25000.00
89604,ACT-LT000002,Antepara Sunglasses,Invoice,Rent Income,IC0010885,GL0014662,2019-09-30,2019-10-08,,,0,-30000.00
89796,ACT-LT000006,Zamin Foreign Exchange,Invoice,Rent Income,IC0010925,GL0014707,2019-09-30,2019-10-08,,,0,-30000.00
89788,ACT-LT000005,Davids Salon,Invoice,Rent Income,IC0010923,GL0014705,2019-09-30,2019-10-08,,,0,-48867.00
89637,ACT-LT000012,EO Executive Optical,Invoice,Rent Income,IC0010892,GL0014670,2019-09-30,2019-10-08,,,0,-55300.00
93511,ACT-LT000013,The Prawn Farm,Invoice,Rent Income,IC0011274,GL0015246,2019-09-30,2019-10-20,,,0,-122750.00
93215,ACT-LT000009,Sunburst Fried Chicken,Invoice,Rent Income,IC0011258,GL0015220,2019-09-30,2019-10-18,,,0,-143316.00
92713,ACT-LT000037,Chowking,Invoice,Rent Income,IC0011240,GL0015198,2019-09-30,2019-10-15,,,0,-152289.84
94052,ACT-LT000014,Jollibee,Invoice,Rent Income,IC0011287,GL0015264,2019-09-30,2019-10-22,,,0,-352572.86
94306,ACT-ST000004,Globe Telecom,Invoice,Rent Income,IC0011302,GL0015284,2019-10-27,2019-11-04,,,0,-3000.00
94432,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,Rent Income,IC0011331,GL0015314,2019-10-31,2019-11-08,,,0,-12000.00
95148,ACT-LT000017,Goldilocks,Invoice,Rent Income,IC0011466,GL0015484,2019-10-31,2019-11-10,,,0,-15000.00
103041,ACT-LT000018,Merry Mango,Invoice,Rent Income,IC0012519,GL0016837,2019-10-31,2019-11-08,,,0,-15000.00
94428,ACT-LT000011,The Lemon Co,Invoice,Rent Income,IC0011330,GL0015313,2019-10-31,2019-11-08,,,0,-15000.00
97509,ACT-LT000046,Sticker Race Prints and Design,Invoice,Rent Income,IC0011891,GL0016027,2019-10-31,2019-11-11,,,0,-15483.87
