ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
113467,ACT-LT000018,Merry Mango,Payment,Cash in Bank (Peso),UFT0001843,GL0016838,2020-01-02,,B-003,PNB,13837.19,0
113469,ACT-LT000018,Merry Mango,Payment,Cash in Bank (Peso),UFT0001843,GL0017364,2020-01-02,,B-003,PNB,9092.81,0
111402,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002018,GL0014707,2020-01-04,,B-003,PNB,32100.00,0
111408,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002019,GL0015316,2020-01-04,,B-003,PNB,32100.00,0
111416,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR00002020,GL0016482,2020-01-04,,B-003,PNB,31612.52,0
111366,ACT-LT000007,The Shawarma Shack,Payment,Cash in Bank (Peso),PR0002015,GL0017349,2020-01-04,,B-003,PNB,23540.00,0
111396,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002017,GL0013848,2020-01-04,,B-003,PNB,21745.16,0
111418,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR00002020,GL0016485,2020-01-04,,B-003,PNB,7986.00,0
111410,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002019,GL0015371,2020-01-04,,B-003,PNB,7782.00,0
111404,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002018,GL0014708,2020-01-04,,B-003,PNB,7633.84,0
111368,ACT-LT000007,The Shawarma Shack,Payment,Cash in Bank (Peso),PR0002015,GL0017350,2020-01-04,,B-003,PNB,6208.00,0
111398,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002017,GL0013849,2020-01-04,,B-003,PNB,5727.31,0
111394,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002017,GL0013099,2020-01-04,,B-003,PNB,4632.96,0
111400,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002018,GL0013849,2020-01-04,,B-003,PNB,2342.69,0
111390,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002016,GL0016490,2020-01-04,,B-003,PNB,645.56,0
111414,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002019,GL0016482,2020-01-04,,B-003,PNB,487.48,0
111420,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR00002020,GL0018165,2020-01-04,,B-003,PNB,487.48,0
111406,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002019,GL0014708,2020-01-04,,B-003,PNB,316.16,0
111412,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002019,GL0015372,2020-01-04,,B-003,PNB,300.00,0
111392,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0002017,GL0016490,2020-01-04,,B-003,PNB,158.08,0
113520,ACT-LT000012,EO Executive Optical,Payment,Cash in Bank (Peso),UFT0001847,GL0017454,2020-01-08,,B-003,PNB,59171.00,0
113522,ACT-LT000012,EO Executive Optical,Payment,Cash in Bank (Peso),UFT0001847,GL0017463,2020-01-08,,B-003,PNB,55055.08,0
112082,ACT-LT000005,Davids Salon,Payment,Cash in Bank (Peso),PR0002021,GL0017362,2020-01-08,,B-003,PNB,52287.69,0
112084,ACT-LT000005,Davids Salon,Payment,Cash in Bank (Peso),PR0002021,GL0017484,2020-01-08,,B-003,PNB,23613.70,0
112292,ACT-LT000046,Sticker Race Prints and Design,Payment,Cash in Bank (Peso),PR0002022,GL0017325,2020-01-08,,B-003,PNB,21400.00,0
112294,ACT-LT000046,Sticker Race Prints and Design,Payment,Cash in Bank (Peso),PR0002022,GL0017326,2020-01-08,,B-003,PNB,3632.80,0
117973,ACT-LT000010,Nails Dot Glow,Payment,Cash in Bank (Peso),UFT0001909,GL0017450,2020-01-09,,B-003,PNB,26750.00,0
