ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
79170,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,MI-Aircon Charges,IC0009708,GL0013072,2019-07-31,2019-08-15,,,0,-838.70
80094,ACT-LT000021,Alvas Chicharon,Invoice,MI-Aircon Charges,IC0009799,GL0013195,2019-07-31,2019-08-15,,,0,-838.70
79163,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Aircon Charges,IC0009707,GL0013071,2019-07-31,2019-08-08,,,0,-838.70
79290,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,MI-Aircon Charges,IC0009720,GL0013096,2019-07-31,2019-08-08,,,0,-838.70
79182,ACT-LT000017,Goldilocks,Invoice,MI-Aircon Charges,IC0009710,GL0013074,2019-07-31,2019-08-08,,,0,-838.70
79175,ACT-LT000018,Merry Mango,Invoice,MI-Aircon Charges,IC0009709,GL0013073,2019-07-31,2019-08-08,,,0,-838.70
80083,ACT-LT000015,Potato Corner,Invoice,MI-Aircon Charges,IC0009798,GL0013194,2019-07-31,2019-08-15,,,0,-838.70
79244,ACT-LT000011,The Lemon Co,Invoice,MI-Aircon Charges,IC0009716,GL0013087,2019-07-31,2019-08-08,,,0,-838.70
79223,ACT-LT000007,The Shawarma Shack,Invoice,MI-Aircon Charges,IC0009715,GL0013082,2019-07-31,2019-08-08,,,0,-838.70
79156,ACT-LT000003,Thirsty,Invoice,MI-Aircon Charges,IC0009706,GL0013070,2019-07-31,2019-08-08,,,0,-838.70
79189,ACT-LT000004,Turks Shawarma,Invoice,MI-Aircon Charges,IC0009711,GL0013075,2019-07-31,2019-08-08,,,0,-838.70
79309,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Aircon Charges,IC0009723,GL0013099,2019-07-31,2019-08-15,,,0,-1829.03
79268,ACT-LT000005,Davids Salon,Invoice,MI-Aircon Charges,IC0009719,GL0013093,2019-07-31,2019-08-08,,,0,-5855.03
81542,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,MI-Aircon Charges,IC0009877,GL0013321,2019-08-31,2019-09-08,,,0,-1000.00
81357,ACT-LT000021,Alvas Chicharon,Invoice,MI-Aircon Charges,IC0009843,GL0013287,2019-08-31,2019-09-08,,,0,-1000.00
81382,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Aircon Charges,IC0009847,GL0013291,2019-08-31,2019-09-08,,,0,-1000.00
81532,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,MI-Aircon Charges,IC0009875,GL0013319,2019-08-31,2019-09-08,,,0,-1000.00
81654,ACT-LT000017,Goldilocks,Invoice,MI-Aircon Charges,IC0009902,GL0013346,2019-08-31,2019-09-08,,,0,-1000.00
81395,ACT-LT000018,Merry Mango,Invoice,MI-Aircon Charges,IC0009849,GL0013293,2019-08-31,2019-09-08,,,0,-1000.00
81371,ACT-LT000015,Potato Corner,Invoice,MI-Aircon Charges,IC0009845,GL0013289,2019-08-31,2019-09-08,,,0,-1000.00
81419,ACT-LT000011,The Lemon Co,Invoice,MI-Aircon Charges,IC0009853,GL0013297,2019-08-31,2019-09-08,,,0,-1000.00
81449,ACT-LT000007,The Shawarma Shack,Invoice,MI-Aircon Charges,IC0009857,GL0013301,2019-08-31,2019-09-08,,,0,-1000.00
81406,ACT-LT000003,Thirsty,Invoice,MI-Aircon Charges,IC0009851,GL0013295,2019-08-31,2019-09-08,,,0,-1000.00
81432,ACT-LT000004,Turks Shawarma,Invoice,MI-Aircon Charges,IC0009855,GL0013299,2019-08-31,2019-09-08,,,0,-1000.00
83990,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Aircon Charges,IC0010305,GL0013849,2019-08-31,2019-09-08,,,0,-2700.00
81797,ACT-LT000005,Davids Salon,Invoice,MI-Aircon Charges,IC0009929,GL0013374,2019-08-31,2019-09-08,,,0,-6981.00
85466,ACT-LT000037,Chowking,Invoice,MI-Aircon Charges,IC0010437,GL0014061,2019-08-31,2019-09-15,,,0,-14564.28
94615,ACT-LT000029,Mister Donut,Invoice,MI-Aircon Charges,IC0011367,GL0015362,2019-09-30,2019-10-10,,,0,-333.33
89773,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,MI-Aircon Charges,IC0010920,GL0014702,2019-09-30,2019-10-08,,,0,-1000.00
90594,ACT-LT000021,Alvas Chicharon,Invoice,MI-Aircon Charges,IC0011006,GL0014875,2019-09-30,2019-10-08,,,0,-1000.00
89610,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Aircon Charges,IC0010887,GL0014664,2019-09-30,2019-10-08,,,0,-1000.00
89761,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,MI-Aircon Charges,IC0010917,GL0014699,2019-09-30,2019-10-08,,,0,-1000.00
89728,ACT-LT000017,Goldilocks,Invoice,MI-Aircon Charges,IC0010911,GL0014691,2019-09-30,2019-10-08,,,0,-1000.00
89668,ACT-LT000018,Merry Mango,Invoice,MI-Aircon Charges,IC0010899,GL0014678,2019-09-30,2019-10-08,,,0,-1000.00
89626,ACT-LT000015,Potato Corner,Invoice,MI-Aircon Charges,IC0010890,GL0014667,2019-09-30,2019-10-08,,,0,-1000.00
89688,ACT-LT000011,The Lemon Co,Invoice,MI-Aircon Charges,IC0010903,GL0014683,2019-09-30,2019-10-08,,,0,-1000.00
89649,ACT-LT000007,The Shawarma Shack,Invoice,MI-Aircon Charges,IC0010895,GL0014673,2019-09-30,2019-10-08,,,0,-1000.00
89557,ACT-LT000003,Thirsty,Invoice,MI-Aircon Charges,IC0010877,GL0014651,2019-09-30,2019-10-08,,,0,-1000.00
89754,ACT-LT000004,Turks Shawarma,Invoice,MI-Aircon Charges,IC0010916,GL0014697,2019-09-30,2019-10-08,,,0,-1000.00
89798,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Aircon Charges,IC0010926,GL0014708,2019-09-30,2019-10-08,,,0,-2700.00
89879,ACT-LT000005,Davids Salon,Invoice,MI-Aircon Charges,IC0010939,GL0014724,2019-09-30,2019-10-08,,,0,-6981.00
92715,ACT-LT000037,Chowking,Invoice,MI-Aircon Charges,IC0011241,GL0015199,2019-09-30,2019-10-15,,,0,-26558.40
97511,ACT-LT000046,Sticker Race Prints and Design,Invoice,MI-Aircon Charges,IC0011892,GL0016028,2019-10-31,2019-11-11,,,0,-774.19
94489,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,MI-Aircon Charges,IC0011341,GL0015328,2019-10-31,2019-11-08,,,0,-1000.00
94567,ACT-LT000021,Alvas Chicharon,Invoice,MI-Aircon Charges,IC0011355,GL0015350,2019-10-31,2019-11-08,,,0,-1000.00
94458,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Aircon Charges,IC0011336,GL0015319,2019-10-31,2019-11-08,,,0,-1000.00
94514,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,MI-Aircon Charges,IC0011345,GL0015338,2019-10-31,2019-11-08,,,0,-1000.00
95151,ACT-LT000017,Goldilocks,Invoice,MI-Aircon Charges,IC0011467,GL0015485,2019-10-31,2019-11-10,,,0,-1000.00
94705,ACT-LT000018,Merry Mango,Invoice,MI-Aircon Charges,IC0011379,GL0015377,2019-10-31,2019-11-08,,,0,-1000.00
94649,ACT-LT000029,Mister Donut,Invoice,MI-Aircon Charges,IC0011369,GL0015364,2019-10-31,2019-11-08,,,0,-1000.00
94467,ACT-LT000015,Potato Corner,Invoice,MI-Aircon Charges,IC0011338,GL0015321,2019-10-31,2019-11-08,,,0,-1000.00
94789,ACT-LT000011,The Lemon Co,Invoice,MI-Aircon Charges,IC0011395,GL0015395,2019-10-31,2019-11-08,,,0,-1000.00
94773,ACT-LT000007,The Shawarma Shack,Invoice,MI-Aircon Charges,IC0011392,GL0015392,2019-10-31,2019-11-08,,,0,-1000.00
94480,ACT-LT000003,Thirsty,Invoice,MI-Aircon Charges,IC0011340,GL0015325,2019-10-31,2019-11-08,,,0,-1000.00
94520,ACT-LT000004,Turks Shawarma,Invoice,MI-Aircon Charges,IC0011347,GL0015340,2019-10-31,2019-11-08,,,0,-1000.00
94678,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Aircon Charges,IC0011376,GL0015371,2019-10-31,2019-11-08,,,0,-2700.00
95096,ACT-LT000005,Davids Salon,Invoice,MI-Aircon Charges,IC0011455,GL0015470,2019-10-31,2019-11-10,,,0,-6981.00
