ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
75278,ACT-ST000003,"Ayacca Realty &amp;amp; Development, Inc.",Invoice,VAT Output,IC0009115,GL0012295,2019-07-28,2019-08-05,,,0,-360.00
81528,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,VAT Output,IC0009874,GL0013318,2019-08-31,2019-09-08,,,0,-1207.74
81415,ACT-LT000011,The Lemon Co,Invoice,VAT Output,IC0009852,GL0013296,2019-08-31,2019-09-08,,,0,-1509.68
81650,ACT-LT000017,Goldilocks,Invoice,VAT Output,IC0009901,GL0013345,2019-08-31,2019-09-08,,,0,-1811.61
81538,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,VAT Output,IC0009876,GL0013320,2019-08-31,2019-09-08,,,0,-2012.90
81333,ACT-LT000021,Alvas Chicharon,Invoice,VAT Output,IC0009838,GL0013282,2019-08-31,2019-09-08,,,0,-2012.90
83986,ACT-LT000006,Zamin Foreign Exchange,Invoice,VAT Output,IC0010304,GL0013848,2019-08-31,2019-09-08,,,0,-2438.71
81391,ACT-LT000018,Merry Mango,Invoice,VAT Output,IC0009848,GL0013292,2019-08-31,2019-09-08,,,0,-2516.13
81551,ACT-LT000010,Nails Dot Glow,Invoice,VAT Output,IC0009878,GL0013322,2019-08-31,2019-09-08,,,0,-2516.13
81367,ACT-LT000015,Potato Corner,Invoice,VAT Output,IC0009844,GL0013288,2019-08-31,2019-09-08,,,0,-2516.13
81402,ACT-LT000003,Thirsty,Invoice,VAT Output,IC0009850,GL0013294,2019-08-31,2019-09-08,,,0,-2516.13
81428,ACT-LT000004,Turks Shawarma,Invoice,VAT Output,IC0009854,GL0013298,2019-08-31,2019-09-08,,,0,-2516.13
81378,ACT-LT000002,Antepara Sunglasses,Invoice,VAT Output,IC0009846,GL0013290,2019-08-31,2019-09-08,,,0,-3019.35
81445,ACT-LT000007,The Shawarma Shack,Invoice,VAT Output,IC0009856,GL0013300,2019-08-31,2019-09-08,,,0,-3019.35
81793,ACT-LT000005,Davids Salon,Invoice,VAT Output,IC0009928,GL0013373,2019-08-31,2019-09-08,,,0,-4918.23
81805,ACT-LT000012,EO Executive Optical,Invoice,VAT Output,IC0009930,GL0013375,2019-08-31,2019-09-08,,,0,-5565.68
86514,ACT-LT000009,Sunburst Fried Chicken,Invoice,VAT Output,IC0010506,GL0014143,2019-08-31,2019-09-15,,,0,-7212.03
85462,ACT-LT000037,Chowking,Invoice,VAT Output,IC0010436,GL0014060,2019-08-31,2019-09-15,,,0,-12139.77
85933,ACT-LT000013,The Prawn Farm,Invoice,VAT Output,IC0010461,GL0014088,2019-08-31,2019-09-15,,,0,-14730.00
86659,ACT-LT000014,Jollibee,Invoice,VAT Output,IC0010517,GL0014158,2019-08-31,2019-09-15,,,0,-45466.12
94611,ACT-LT000029,Mister Donut,Invoice,VAT Output,IC0011366,GL0015361,2019-09-30,2019-10-10,,,0,-1200.00
89710,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,VAT Output,IC0010906,GL0014686,2019-09-30,2019-10-08,,,0,-1440.00
89684,ACT-LT000011,The Lemon Co,Invoice,VAT Output,IC0010902,GL0014682,2019-09-30,2019-10-08,,,0,-1800.00
89720,ACT-LT000017,Goldilocks,Invoice,VAT Output,IC0010909,GL0014689,2019-09-30,2019-10-08,,,0,-2160.00
89765,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,VAT Output,IC0010918,GL0014700,2019-09-30,2019-10-08,,,0,-2400.00
90590,ACT-LT000021,Alvas Chicharon,Invoice,VAT Output,IC0011005,GL0014874,2019-09-30,2019-10-08,,,0,-2400.00
89645,ACT-LT000007,The Shawarma Shack,Invoice,VAT Output,IC0010894,GL0014672,2019-09-30,2019-10-08,,,0,-2640.00
89664,ACT-LT000018,Merry Mango,Invoice,VAT Output,IC0010898,GL0014677,2019-09-30,2019-10-08,,,0,-3000.00
89782,ACT-LT000010,Nails Dot Glow,Invoice,VAT Output,IC0010922,GL0014704,2019-09-30,2019-10-08,,,0,-3000.00
89622,ACT-LT000015,Potato Corner,Invoice,VAT Output,IC0010889,GL0014666,2019-09-30,2019-10-08,,,0,-3000.00
89549,ACT-LT000003,Thirsty,Invoice,VAT Output,IC0010875,GL0014649,2019-09-30,2019-10-08,,,0,-3000.00
89750,ACT-LT000004,Turks Shawarma,Invoice,VAT Output,IC0010915,GL0014696,2019-09-30,2019-10-08,,,0,-3000.00
89602,ACT-LT000002,Antepara Sunglasses,Invoice,VAT Output,IC0010885,GL0014662,2019-09-30,2019-10-08,,,0,-3600.00
