ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
94527,ACT-LT000004,Turks Shawarma,Payment,Rent Receivables-RR Clearing,UFT0001565,GL0014696,2019-10-04,,B-003,PNB,0,-26750.00
93501,ACT-LT000013,The Prawn Farm,Payment,Rent Receivables,PRJV#10-118,GL0014088,2019-10-05,,,,0,-131342.50
92784,ACT-LT000007,The Shawarma Shack,Payment,Rent Receivables,PR0000024,GL0014672,2019-10-07,,B-001,PNB,0,-23402.12
92513,ACT-LT000005,Davids Salon,Payment,Rent Receivables,PR0000023,GL0014705,2019-10-07,,B-001,PNB,0,-52287.69
94115,ACT-LT000012,EO Executive Optical,Payment,Rent Receivables-RR Clearing,UFT0001554,GL0014670,2019-10-07,,B-003,PNB,0,-59171.00
92820,ACT-LT000011,The Lemon Co,Payment,Rent Receivables,PR0000025,GL0014682,2019-10-08,,B-001,PNB,0,-8931.24
93014,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Rent Receivables,PR0000028,GL0014686,2019-10-08,,B-001,PNB,0,-12840.00
92983,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Payment,Rent Receivables,PR0000027,GL0014700,2019-10-08,,B-001,PNB,0,-21400.00
94107,ACT-LT000018,Merry Mango,Payment,Rent Receivables-RR Clearing,UFT0001553,GL0014677,2019-10-08,,B-003,PNB,0,-26750.00
92932,ACT-LT000003,Thirsty,Payment,Rent Receivables,PR0000026,GL0014649,2019-10-08,,B-001,PNB,0,-26750.00
93042,ACT-LT000002,Antepara Sunglasses,Payment,Rent Receivables,PR0000029,GL0014662,2019-10-08,,B-001,PNB,0,-32100.00
93928,ACT-LT000009,Sunburst Fried Chicken,Payment,Rent Receivables,PR0000030,GL0015220,2019-10-14,,B-001,PNB,0,-153348.12
93960,ACT-LT000017,Goldilocks,Payment,Rent Receivables,PR0000031,GL0014689,2019-10-15,,B-001,PNB,0,-19260.00
94207,ACT-LT000021,Alvas Chicharon,Payment,Rent Receivables,PR0000032,GL0014874,2019-10-16,,B-001,PNB,0,-21400.00
94697,ACT-LT000007,The Shawarma Shack,Payment,Rent Receivables,PR0000034,GL0014672,2019-10-22,,B-001,PNB,0,-137.88
94633,ACT-ST000004,Globe Telecom,Payment,Rent Receivables,PR0000033,GL0015284,2019-10-22,,B-001,PNB,0,-3210.00
94303,ACT-ST000004,Globe Telecom,Invoice,Rent Receivables,IC0011302,GL0015284,2019-10-27,2019-11-04,,,3210.00,0
95129,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Invoice,Rent Receivables,IC0011462,GL0015479,2019-10-31,2019-11-15,,,2091303.76,0
99589,ACT-LT000014,Jollibee,Invoice,Rent Receivables,IC0012051,GL0016260,2019-10-31,2019-11-22,,,455442.41,0
99338,ACT-LT000037,Chowking,Invoice,Rent Receivables,IC0012033,GL0016232,2019-10-31,2019-11-22,,,188165.32,0
98935,ACT-LT000009,Sunburst Fried Chicken,Invoice,Rent Receivables,IC0012008,GL0016202,2019-10-31,2019-11-20,,,153348.12,0
94746,ACT-LT000027,BPI-Branch,Invoice,Rent Receivables,IC0011387,GL0015387,2019-10-31,2019-11-18,,,146091.24,0
99276,ACT-LT000013,The Prawn Farm,Invoice,Rent Receivables,IC0012026,GL0016221,2019-10-31,2019-11-22,,,131342.50,0
94415,ACT-LT000012,EO Executive Optical,Invoice,Rent Receivables,IC0011327,GL0015310,2019-10-31,2019-11-10,,,59171.00,0
94441,ACT-LT000005,Davids Salon,Invoice,Rent Receivables,IC0011334,GL0015317,2019-10-31,2019-11-10,,,52287.69,0
99482,ACT-LT000028,Dimsum Break,Invoice,Rent Receivables,IC0012048,GL0016251,2019-10-31,2019-11-22,,,41679.68,0
94644,ACT-LT000029,Mister Donut,Invoice,Rent Receivables,IC0011368,GL0015363,2019-10-31,2019-11-08,,,32100.00,0
94437,ACT-LT000006,Zamin Foreign Exchange,Invoice,Rent Receivables,IC0011333,GL0015316,2019-10-31,2019-11-08,,,32100.00,0
94421,ACT-LT000010,Nails Dot Glow,Invoice,Rent Receivables,IC0011329,GL0015312,2019-10-31,2019-11-08,,,26750.00,0
