ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
193358,ACT-LT000124,Smart Antenna-Rent,Payment,Rent Receivables-ARNTI,IP0000126,GL0025452,2021-05-03,,,,0,-8025.00
186405,ACT-LT000011,The Lemon Co,Payment,Rent Receivables,PR0002660,GL0028632,2021-05-03,,B-003,PNB,0,-10700.00
193356,ACT-LT000124,Smart Antenna-Rent,Payment,Rent Receivables-ARNTI,IP0000126,GL0022491,2021-05-03,,,,0,-26750.00
193354,ACT-LT000124,Smart Antenna-Rent,Payment,Rent Receivables-ARNTI,IP0000126,GL0022489,2021-05-03,,,,0,-49487.50
186503,ACT-LT000021,Alvas Chicharon,Payment,Rent Receivables,PR0002661,GL0027898,2021-05-04,,B-003,PNB,0,-8025.00
186523,ACT-LT000005,Davids Salon,Payment,Rent Receivables,PR0002663,GL0029510,2021-05-05,,B-003,PNB,0,-26143.85
186529,ACT-LT000009,Sunburst Fried Chicken,Payment,Rent Receivables,PR0002664,GL0029297,2021-05-05,,B-003,PNB,0,-76674.06
188084,ACT-LT000065,Rulls Cellphone Accessories,Payment,Rent Receivables-RR Clearing,UFT0003422,GL0029444,2021-05-06,,B-005,Banks of the Philippine Islands,0,-16050.00
187192,ACT-LT000006,Zamin Foreign Exchange,Payment,Rent Receivables,PR0002665,GL0029452,2021-05-06,,B-003,PNB,0,-19260.00
187206,ACT-LT000021,Alvas Chicharon,Payment,Rent Receivables,PR0002667,GL0028688,2021-05-07,,B-003,PNB,0,-8025.00
188515,ACT-LT000002,Antepara Sunglasses,Payment,Rent Receivables-RR Clearing,UFT0003439,GL0029484,2021-05-07,,B-003,PNB,0,-13482.00
187202,ACT-LT000176,M and M Cell Depot,Payment,Rent Receivables,PR0002666,GL0029500,2021-05-07,,B-003,PNB,0,-16050.00
186774,ACT-ST000022,PXI Cebu,Invoice,Rent Receivables,IC0031153,GL0029964,2021-05-09,2021-05-17,,,4815.00,0
187296,ACT-LT000122,Our Delibread,Payment,Rent Receivables,PR0002669,GL0029448,2021-05-10,,B-003,PNB,0,-8560.00
187300,ACT-LT000048,Hukad,Payment,Rent Receivables,PR0002670,GL0029299,2021-05-10,,B-003,PNB,0,-44570.32
187596,ACT-LT000028,Dimsum Break,Payment,Rent Receivables,PR0002673,GL0023717,2021-05-11,,B-003,PNB,0,-13304.27
187640,ACT-LT000047,Miguelitos Avocado Locco,Payment,Rent Receivables,PR0002674,GL0028333,2021-05-11,,B-003,PNB,0,-14980.00
188076,ACT-LT000004,Turks Shawarma,Payment,Rent Receivables-RR Clearing,UFT0003421,GL0029407,2021-05-11,,B-003,PNB,0,-18725.00
188068,ACT-LT000012,EO Executive Optical,Payment,Rent Receivables-RR Clearing,UFT0003420,GL0029492,2021-05-11,,B-005,Banks of the Philippine Islands,0,-41419.70
187806,ACT-LT000167,PNB ATM 01,Payment,Rent Receivables,PR0002675,GL0029457,2021-05-12,,B-003,PNB,0,-6420.00
187810,ACT-LT000168,PNB ATM 02,Payment,Rent Receivables,PR0002676,GL0029456,2021-05-12,,B-003,PNB,0,-6420.00
187842,ACT-LT000008,Estrella Bakery,Payment,Rent Receivables,PR0002677,GL0029460,2021-05-12,,B-003,PNB,0,-25859.76
187856,ACT-LT000034,DUNKIN DONUTS,Payment,Rent Receivables,PR0002678,GL0029469,2021-05-12,,B-003,PNB,0,-26516.10
187965,ACT-LT000164,MI Cellphone and Accessories Shop,Payment,Rent Receivables,PR0002680,GL0029475,2021-05-16,,B-003,PNB,0,-16050.00
188012,ACT-LT000007,The Shawarma Shack,Payment,Rent Receivables,PR0002681,GL0029487,2021-05-17,,B-003,PNB,0,-10700.00
198492,ACT-ST000013,Alta Citta Bazaar,Invoice,Rent Receivables,IC0032551,GL0031808,2021-05-18,2021-05-26,,,78000.00,0
188142,ACT-LT000049,Golden Locket Jewelry Shop New,Payment,Rent Receivables,PR0002683,GL0024818,2021-05-18,,B-003,PNB,0,-848.46
188146,ACT-LT000049,Golden Locket Jewelry Shop New,Payment,Rent Receivables,PR0002683,GL0025465,2021-05-18,,B-003,PNB,0,-10700.00
198505,ACT-ST000013,Alta Citta Bazaar,Payment,Rent Receivables,B0014081,GL0030792,2021-05-18,,,,0,-15000.00
198509,ACT-ST000013,Alta Citta Bazaar,Payment,Rent Receivables,B0014081,GL0031778,2021-05-18,,,,0,-44507.08
189216,ACT-ST000014,Ibex Temporary Area,Invoice,Rent Receivables,IC0031365,GL0030284,2021-05-19,2021-05-27,,,158227.32,0
181500,ACT-ST000016,Kuchenomics,Invoice,Rent Receivables,IC0030512,GL0029177,2021-05-19,2021-05-27,,,26750.00,0
181504,ACT-ST000017,Charms and Accessories,Invoice,Rent Receivables,IC0030513,GL0029178,2021-05-19,2021-05-27,,,16050.00,0
200067,ACT-ST000013,Alta Citta Bazaar,Payment,Rent Receivables,PR2685,GL0031778,2021-05-20,,B-003,PNB,0,-3493.00
188364,ACT-LT000046,Sticker Race Prints and Design,Payment,Rent Receivables,PR0002684,GL0029464,2021-05-20,,B-003,PNB,0,-10700.00
183873,ACT-ST000021,Globe at Home Digital Ad,Invoice,Rent Receivables,IC0030659,GL0029408,2021-05-21,2021-05-29,,,16050.00,0
188621,ACT-LT000163,Musashi Takoyaki,Payment,Rent Receivables,PR0002686,GL0028638,2021-05-22,,B-003,PNB,0,-0.20
188617,ACT-LT000163,Musashi Takoyaki,Payment,Rent Receivables,PR0002686,GL0027885,2021-05-22,,B-003,PNB,0,-10678.40
190830,ACT-LT000028,Dimsum Break,Payment,Rent Receivables,PR0002688,GL0024588,2021-05-26,,B-003,PNB,0,-13414.17
200095,ACT-ST000013,Alta Citta Bazaar,Payment,Rent Receivables,PR0002693,GL0031778,2021-05-28,,B-003,PNB,0,-5000.00
200112,ACT-ST000013,Alta Citta Bazaar,Payment,Rent Receivables,PR0002694,GL0031808,2021-05-28,,B-003,PNB,0,-15000.00
192608,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Payment,Rent Receivables-RR Clearing,UFT0003521,GL0029467,2021-05-28,,B-003,PNB,0,-2091303.76
