ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
79240,ACT-LT000011,The Lemon Co,Payment,Unearned Rent Income,PRJV-02-95,GL0013085,2019-02-15,,,,0,-26750.00
79252,ACT-LT000005,Davids Salon,Payment,Unearned Rent Income,PRJV-02-110,GL0013088,2019-02-26,,,,0,-53928.00
79228,ACT-LT000007,The Shawarma Shack,Payment,Unearned Rent Income,PRJV-03-108,GL0013083,2019-03-11,,,,0,-32100.00
78647,ACT-LT000010,Nails Dot Glow,Payment,Unearned Rent Income,PRJV-131,GL0012998,2019-03-27,,,,0,-26750.00
110427,ACT-LT000008,Estrella Bakery,Payment,Unearned Rent Income,PRJV-115,GL0018032,2019-04-15,,,,0,-34479.68
110443,ACT-LT000062,Angels Wings Tours and Travel,Payment,Unearned Rent Income,PRJV-122,GL0018039,2019-06-03,,,,0,-26750.00
79276,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Unearned Rent Income,PRJV-06-149,GL0013094,2019-06-24,,,,0,-12840.00
78617,ACT-LT000003,Thirsty,Payment,Unearned Rent Income,PRJV-153,GL0012989,2019-06-27,,,,0,-26750.00
78628,ACT-LT000004,Turks Shawarma,Payment,Unearned Rent Income,PRJV-156,GL0012992,2019-06-28,,,,0,-26750.00
78571,ACT-LT000002,Antepara Sunglasses,Payment,Unearned Rent Income,PRJV-07000588-B,GL0012980,2019-07-18,,,,0,-32100.00
78565,ACT-LT000012,EO Executive Optical,Payment,Unearned Rent Income,PRJV-07000588-A,GL0012977,2019-07-18,,,,0,-59171.00
78577,ACT-LT000018,Merry Mango,Payment,Unearned Rent Income,PRJV-07000588-C,GL0012983,2019-07-18,,,,0,-75000.00
76673,ACT-LT000017,Goldilocks,Payment,Unearned Rent Income,PR0000003,GL0012526,2019-07-25,,B-001,PNB,0,-2500.00
76671,ACT-LT000017,Goldilocks,Payment,Unearned Rent Income,PR0000003,GL0012525,2019-07-25,,B-001,PNB,0,-23540.00
78139,ACT-LT000028,Dimsum Break,Payment,Unearned Rent Income,PR0000005,GL0012869,2019-07-29,,B-001,PNB,0,-95979.00
78391,ACT-LT000029,Mister Donut,Payment,Unearned Rent Income,PR0000006,GL0012944,2019-07-30,,B-001,PNB,0,-32100.00
79326,ACT-LT000009,Sunburst Fried Chicken,Payment,Unearned Rent Income,B0005369,GL0013002,2019-07-31,,,,33142.99,0
78667,ACT-LT000012,EO Executive Optical,Payment,Unearned Rent Income,B0005314,GL0012977,2019-07-31,,,,19952.23,0
79273,ACT-LT000005,Davids Salon,Payment,Unearned Rent Income,B0005365,GL0013088,2019-07-31,,,,17575.56,0
81581,ACT-LT000010,Nails Dot Glow,Payment,Unearned Rent Income,B0005460,GL0012998,2019-07-31,,,,7223.75,0
79186,ACT-LT000017,Goldilocks,Payment,Unearned Rent Income,B0005356,GL0012525,2019-07-31,,,,6212.75,0
81440,ACT-LT000004,Turks Shawarma,Payment,Unearned Rent Income,B0005455,GL0012992,2019-07-31,,,,5492.75,0
79179,ACT-LT000018,Merry Mango,Payment,Unearned Rent Income,B0005355,GL0012982,2019-07-31,,,,5264.75,0
79237,ACT-LT000007,The Shawarma Shack,Payment,Unearned Rent Income,B0005361,GL0013083,2019-07-31,,,,4808.75,0
80087,ACT-LT000015,Potato Corner,Payment,Unearned Rent Income,B0005410,GL0013047,2019-07-31,,,,4232.75,0
79160,ACT-LT000003,Thirsty,Payment,Unearned Rent Income,B0005352,GL0012989,2019-07-31,,,,3752.75,0
79167,ACT-LT000002,Antepara Sunglasses,Payment,Unearned Rent Income,B0005353,GL0012980,2019-07-31,,,,3152.75,0
79249,ACT-LT000011,The Lemon Co,Payment,Unearned Rent Income,B0005363,GL0013085,2019-07-31,,,,2792.75,0
79293,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Unearned Rent Income,B0005366,GL0013094,2019-07-31,,,,2096.75,0
78684,ACT-LT000009,Sunburst Fried Chicken,Payment,Unearned Rent Income,PRJV-04-14,GL0013002,2019-07-31,,,,0,-153348.12
