ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
75279,ACT-ST000003,"Ayacca Realty &amp;amp; Development, Inc.",Invoice,Creditable WHT Receivable,IC0009115,GL0012295,2019-07-28,2019-08-05,,,150.00,0
86660,ACT-LT000014,Jollibee,Invoice,Creditable WHT Receivable,IC0010517,GL0014158,2019-08-31,2019-09-15,,,18944.22,0
90818,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Invoice,Creditable WHT Receivable-Expanded,IC0010438,GL0014062,2019-08-31,2019-09-15,,,17118.23,0
85934,ACT-LT000013,The Prawn Farm,Invoice,Creditable WHT Receivable,IC0010461,GL0014088,2019-08-31,2019-09-15,,,6137.50,0
85463,ACT-LT000037,Chowking,Invoice,Creditable WHT Receivable,IC0010436,GL0014060,2019-08-31,2019-09-15,,,5058.24,0
86515,ACT-LT000009,Sunburst Fried Chicken,Invoice,Creditable WHT Receivable,IC0010506,GL0014143,2019-08-31,2019-09-15,,,3005.01,0
81806,ACT-LT000012,EO Executive Optical,Invoice,Creditable WHT Receivable,IC0009930,GL0013375,2019-08-31,2019-09-08,,,2319.03,0
81794,ACT-LT000005,Davids Salon,Invoice,Creditable WHT Receivable,IC0009928,GL0013373,2019-08-31,2019-09-08,,,2049.26,0
81379,ACT-LT000002,Antepara Sunglasses,Invoice,Creditable WHT Receivable,IC0009846,GL0013290,2019-08-31,2019-09-08,,,1258.06,0
81446,ACT-LT000007,The Shawarma Shack,Invoice,Creditable WHT Receivable,IC0009856,GL0013300,2019-08-31,2019-09-08,,,1258.06,0
81392,ACT-LT000018,Merry Mango,Invoice,Creditable WHT Receivable,IC0009848,GL0013292,2019-08-31,2019-09-08,,,1048.39,0
81552,ACT-LT000010,Nails Dot Glow,Invoice,Creditable WHT Receivable,IC0009878,GL0013322,2019-08-31,2019-09-08,,,1048.39,0
81368,ACT-LT000015,Potato Corner,Invoice,Creditable WHT Receivable,IC0009844,GL0013288,2019-08-31,2019-09-08,,,1048.39,0
81403,ACT-LT000003,Thirsty,Invoice,Creditable WHT Receivable,IC0009850,GL0013294,2019-08-31,2019-09-08,,,1048.39,0
81429,ACT-LT000004,Turks Shawarma,Invoice,Creditable WHT Receivable,IC0009854,GL0013298,2019-08-31,2019-09-08,,,1048.39,0
83987,ACT-LT000006,Zamin Foreign Exchange,Invoice,Creditable WHT Receivable,IC0010304,GL0013848,2019-08-31,2019-09-08,,,1016.13,0
81539,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,Creditable WHT Receivable,IC0009876,GL0013320,2019-08-31,2019-09-08,,,838.71,0
81334,ACT-LT000021,Alvas Chicharon,Invoice,Creditable WHT Receivable,IC0009838,GL0013282,2019-08-31,2019-09-08,,,838.71,0
81651,ACT-LT000017,Goldilocks,Invoice,Creditable WHT Receivable,IC0009901,GL0013345,2019-08-31,2019-09-08,,,754.84,0
81416,ACT-LT000011,The Lemon Co,Invoice,Creditable WHT Receivable,IC0009852,GL0013296,2019-08-31,2019-09-08,,,629.03,0
81529,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,Creditable WHT Receivable,IC0009874,GL0013318,2019-08-31,2019-09-08,,,503.23,0
97909,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Invoice,Creditable WHT Receivable-Expanded,IC0011923,GL0016094,2019-09-30,2019-10-15,,,20385.83,0
94051,ACT-LT000014,Jollibee,Invoice,Creditable WHT Receivable,IC0011287,GL0015264,2019-09-30,2019-10-22,,,17628.64,0
92712,ACT-LT000037,Chowking,Invoice,Creditable WHT Receivable,IC0011240,GL0015198,2019-09-30,2019-10-15,,,7614.49,0
93214,ACT-LT000009,Sunburst Fried Chicken,Invoice,Creditable WHT Receivable,IC0011258,GL0015220,2019-09-30,2019-10-18,,,7165.80,0
93510,ACT-LT000013,The Prawn Farm,Invoice,Creditable WHT Receivable,IC0011274,GL0015246,2019-09-30,2019-10-20,,,6137.50,0
89636,ACT-LT000012,EO Executive Optical,Invoice,Creditable WHT Receivable,IC0010892,GL0014670,2019-09-30,2019-10-08,,,2765.00,0
89787,ACT-LT000005,Davids Salon,Invoice,Creditable WHT Receivable,IC0010923,GL0014705,2019-09-30,2019-10-08,,,2443.35,0
89603,ACT-LT000002,Antepara Sunglasses,Invoice,Creditable WHT Receivable,IC0010885,GL0014662,2019-09-30,2019-10-08,,,1500.00,0
89795,ACT-LT000006,Zamin Foreign Exchange,Invoice,Creditable WHT Receivable,IC0010925,GL0014707,2019-09-30,2019-10-08,,,1500.00,0
89665,ACT-LT000018,Merry Mango,Invoice,Creditable WHT Receivable,IC0010898,GL0014677,2019-09-30,2019-10-08,,,1250.00,0
89783,ACT-LT000010,Nails Dot Glow,Invoice,Creditable WHT Receivable,IC0010922,GL0014704,2019-09-30,2019-10-08,,,1250.00,0
89623,ACT-LT000015,Potato Corner,Invoice,Creditable WHT Receivable,IC0010889,GL0014666,2019-09-30,2019-10-08,,,1250.00,0
89550,ACT-LT000003,Thirsty,Invoice,Creditable WHT Receivable,IC0010875,GL0014649,2019-09-30,2019-10-08,,,1250.00,0
89751,ACT-LT000004,Turks Shawarma,Invoice,Creditable WHT Receivable,IC0010915,GL0014696,2019-09-30,2019-10-08,,,1250.00,0
89646,ACT-LT000007,The Shawarma Shack,Invoice,Creditable WHT Receivable,IC0010894,GL0014672,2019-09-30,2019-10-08,,,1100.00,0
89766,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,Creditable WHT Receivable,IC0010918,GL0014700,2019-09-30,2019-10-08,,,1000.00,0
90591,ACT-LT000021,Alvas Chicharon,Invoice,Creditable WHT Receivable,IC0011005,GL0014874,2019-09-30,2019-10-08,,,1000.00,0
89721,ACT-LT000017,Goldilocks,Invoice,Creditable WHT Receivable,IC0010909,GL0014689,2019-09-30,2019-10-08,,,900.00,0
89685,ACT-LT000011,The Lemon Co,Invoice,Creditable WHT Receivable,IC0010902,GL0014682,2019-09-30,2019-10-08,,,750.00,0
89711,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,Creditable WHT Receivable,IC0010906,GL0014686,2019-09-30,2019-10-08,,,600.00,0
94612,ACT-LT000029,Mister Donut,Invoice,Creditable WHT Receivable,IC0011366,GL0015361,2019-09-30,2019-10-10,,,500.00,0
