ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
79319,ACT-LT000009,Sunburst Fried Chicken,Invoice,MI-Chilled Waters,IC0009724,GL0013100,2019-07-31,2019-08-15,,,0,-3564.51
79344,ACT-LT000013,The Prawn Farm,Invoice,MI-Chilled Waters,IC0009725,GL0013101,2019-07-31,2019-08-15,,,0,-8668.06
78664,ACT-LT000012,EO Executive Optical,Invoice,MI-Chilled Waters,IC0009660,GL0013001,2019-07-31,2019-08-08,,,0,-12580.64
80786,ACT-LT000014,Jollibee,Invoice,MI-Chilled Waters,IC0009821,GL0013238,2019-07-31,2019-08-15,,,0,-74516.13
87236,ACT-LT000009,Sunburst Fried Chicken,Invoice,MI-Chilled Waters,IC0010543,GL0014190,2019-08-31,2019-09-15,,,0,-8500.00
86465,ACT-LT000013,The Prawn Farm,Invoice,MI-Chilled Waters,IC0010499,GL0014134,2019-08-31,2019-09-15,,,0,-10335.00
81560,ACT-LT000010,Nails Dot Glow,Invoice,MI-Chilled Waters,IC0009880,GL0013324,2019-08-31,2019-09-08,,,0,-13790.32
81810,ACT-LT000012,EO Executive Optical,Invoice,MI-Chilled Waters,IC0009931,GL0013376,2019-08-31,2019-09-08,,,0,-15000.00
91536,ACT-LT000014,Jollibee,Invoice,MI-Chilled Waters,IC0011138,GL0015078,2019-08-31,2019-09-15,,,0,-82500.00
85497,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Invoice,MI-Chilled Waters,IC0010438,GL0014062,2019-08-31,2019-09-15,,,0,-375000.00
89897,ACT-LT000010,Nails Dot Glow,Invoice,MI-Chilled Waters,IC0010942,GL0014728,2019-09-30,2019-10-08,,,0,-7500.00
93222,ACT-LT000009,Sunburst Fried Chicken,Invoice,MI-Chilled Waters,IC0011259,GL0015221,2019-09-30,2019-10-18,,,0,-8500.00
93514,ACT-LT000013,The Prawn Farm,Invoice,MI-Chilled Waters,IC0011275,GL0015247,2019-09-30,2019-10-20,,,0,-10335.00
