ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
83995,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0005692,GL0013850,2019-08-31,2019-08-15,,,0,-92.66
89733,ACT-LT000017,Goldilocks,Invoice,MI-Penalties,B0006011,GL0014692,2019-09-30,2019-09-08,,,0,-1.51
89718,ACT-LT000017,Goldilocks,Invoice,MI-Penalties,IC0010908,GL0014688,2019-09-30,2019-10-08,,,0,-24.71
89570,ACT-LT000003,Thirsty,Invoice,MI-Penalties,B0006000,GL0014653,2019-09-30,2019-09-08,,,0,-97.56
89654,ACT-LT000007,The Shawarma Shack,Invoice,MI-Penalties,B0006006,GL0014674,2019-09-30,2019-09-08,,,0,-134.55
89633,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0006004,GL0014669,2019-09-30,2019-09-08,,,0,-136.28
89811,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0006018,GL0014710,2019-09-30,2019-08-15,,,0,-141.77
89677,ACT-LT000018,Merry Mango,Invoice,MI-Penalties,B0006008,GL0014680,2019-09-30,2019-09-08,,,0,-172.44
89813,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0006018,GL0014711,2019-09-30,2019-09-08,,,0,-596.30
94531,ACT-LT000004,Turks Shawarma,Invoice,MI-Penalties,B0006282,GL0015341,2019-10-31,2019-10-08,,,0,-1.12
94420,ACT-LT000010,Nails Dot Glow,Invoice,MI-Penalties,IC0011328,GL0015311,2019-10-31,2019-11-08,,,0,-17.48
94762,ACT-LT000007,The Shawarma Shack,Invoice,MI-Penalties,IC0011389,GL0015389,2019-10-31,2019-11-08,,,0,-48.70
94410,ACT-LT000004,Turks Shawarma,Invoice,MI-Penalties,IC0011325,GL0015308,2019-10-31,2019-11-08,,,0,-55.92
95144,ACT-LT000017,Goldilocks,Invoice,MI-Penalties,IC0011465,GL0015483,2019-10-31,2019-11-10,,,0,-87.85
94691,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0006289,GL0015373,2019-10-31,2019-08-15,,,0,-146.02
94485,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0006278,GL0015326,2019-10-31,2019-09-08,,,0,-208.51
94487,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0006278,GL0015327,2019-10-31,2019-10-08,,,0,-654.43
94695,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0006289,GL0015375,2019-10-31,2019-10-08,,,0,-801.00
94745,ACT-LT000010,Nails Dot Glow,Invoice,MI-Penalties,B0006291,GL0015386,2019-10-31,2019-10-08,,,0,-867.00
94693,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0006289,GL0015374,2019-10-31,2019-09-08,,,0,-912.34
103047,ACT-LT000018,Merry Mango,Invoice,MI-Penalties,B0006974,GL0016839,2019-11-30,2019-09-08,,,0,-5.17
100781,ACT-LT000004,Turks Shawarma,Invoice,MI-Penalties,IC0012109,GL0016344,2019-11-30,2019-12-08,,,0,-23.20
100762,ACT-LT000003,Thirsty,Invoice,MI-Penalties,IC0012104,GL0016339,2019-11-30,2019-12-08,,,0,-104.98
101458,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0006827,GL0016487,2019-11-30,2019-08-15,,,0,-150.40
100805,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0006764,GL0016349,2019-11-30,2019-09-08,,,0,-214.76
103049,ACT-LT000018,Merry Mango,Invoice,MI-Penalties,B0006974,GL0016840,2019-11-30,2019-11-08,,,0,-451.88
101738,ACT-LT000017,Goldilocks,Invoice,MI-Penalties,B0006854,GL0016550,2019-11-30,2019-11-10,,,0,-481.13
100809,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0006764,GL0016351,2019-11-30,2019-11-08,,,0,-647.30
101464,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0006827,GL0016490,2019-11-30,2019-11-08,,,0,-803.64
101460,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0006827,GL0016488,2019-11-30,2019-09-08,,,0,-939.71
100807,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0006764,GL0016350,2019-11-30,2019-10-08,,,0,-1001.28
101462,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0006827,GL0016489,2019-11-30,2019-10-08,,,0,-1225.53
107091,ACT-LT000018,Merry Mango,Invoice,MI-Penalties,B0007193,GL0017367,2019-12-31,2019-09-08,,,0,-5.33
107316,ACT-LT000017,Goldilocks,Invoice,MI-Penalties,B0007213,GL0017417,2019-12-31,2019-11-10,,,0,-14.43
111462,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0007525,GL0018173,2019-12-31,2019-11-08,,,0,-24.11
107044,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0007190,GL0017354,2019-12-31,2019-09-08,,,0,-221.21
111445,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,IC0013500,GL0018167,2019-12-31,2020-01-10,,,0,-457.93
107095,ACT-LT000018,Merry Mango,Invoice,MI-Penalties,B0007193,GL0017369,2019-12-31,2019-12-08,,,0,-458.60
107318,ACT-LT000017,Goldilocks,Invoice,MI-Penalties,B0007213,GL0017418,2019-12-31,2019-12-08,,,0,-518.60
111451,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,IC0013503,GL0018170,2019-12-31,2020-01-10,,,0,-568.96
111449,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,IC0013502,GL0018169,2019-12-31,2020-01-10,,,0,-581.73
111447,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,IC0013501,GL0018168,2019-12-31,2020-01-10,,,0,-597.22
107050,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0007190,GL0017357,2019-12-31,2019-12-08,,,0,-658.61
107093,ACT-LT000018,Merry Mango,Invoice,MI-Penalties,B0007193,GL0017368,2019-12-31,2019-11-08,,,0,-691.38
107048,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0007190,GL0017356,2019-12-31,2019-11-08,,,0,-990.38
107046,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0007190,GL0017355,2019-12-31,2019-10-08,,,0,-1031.32
115367,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0007710,GL0018622,2020-01-31,2019-11-08,,,0,-10.21
114068,ACT-LT000003,Thirsty,Invoice,MI-Penalties,IC0013638,GL0018345,2020-01-31,2020-02-08,,,0,-13.65
120296,ACT-LT000017,Goldilocks,Invoice,MI-Penalties,B0008064,GL0019389,2020-01-31,2019-11-10,,,0,-14.87
114310,ACT-LT000021,Alvas Chicharon,Invoice,MI-Penalties,IC0013684,GL0018405,2020-01-31,2020-02-08,,,0,-24.41
114220,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0007622,GL0018380,2020-01-31,2019-09-08,,,0,-227.84
120300,ACT-LT000017,Goldilocks,Invoice,MI-Penalties,B0008064,GL0019391,2020-01-31,2020-01-08,,,0,-492.07
114228,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0007622,GL0018384,2020-01-31,2020-01-08,,,0,-659.11
120298,ACT-LT000017,Goldilocks,Invoice,MI-Penalties,B0008064,GL0019390,2020-01-31,2019-12-08,,,0,-787.53
115369,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Penalties,B0007710,GL0018623,2020-01-31,2020-01-10,,,0,-841.76
114226,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0007622,GL0018383,2020-01-31,2019-12-08,,,0,-1007.67
114224,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0007622,GL0018382,2020-01-31,2019-11-08,,,0,-1020.09
114222,ACT-LT000015,Potato Corner,Invoice,MI-Penalties,B0007622,GL0018381,2020-01-31,2019-10-08,,,0,-1062.26
