ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
78663,ACT-LT000012,EO Executive Optical,Invoice,MI-Water,IC0009660,GL0013001,2019-07-31,2019-08-08,,,0,-83.20
79300,ACT-LT000010,Nails Dot Glow,Invoice,MI-Water,IC0009721,GL0013097,2019-07-31,2019-08-08,,,0,-130.00
79318,ACT-LT000009,Sunburst Fried Chicken,Invoice,MI-Water,IC0009724,GL0013100,2019-07-31,2019-08-15,,,0,-166.40
79343,ACT-LT000013,The Prawn Farm,Invoice,MI-Water,IC0009725,GL0013101,2019-07-31,2019-08-15,,,0,-972.40
80781,ACT-LT000014,Jollibee,Invoice,MI-Water,IC0009821,GL0013238,2019-07-31,2019-08-15,,,0,-1809.60
81559,ACT-LT000010,Nails Dot Glow,Invoice,MI-Water,IC0009880,GL0013324,2019-08-31,2019-09-08,,,0,-36.40
81809,ACT-LT000012,EO Executive Optical,Invoice,MI-Water,IC0009931,GL0013376,2019-08-31,2019-09-08,,,0,-88.40
81798,ACT-LT000005,Davids Salon,Invoice,MI-Water,IC0009929,GL0013374,2019-08-31,2019-09-08,,,0,-234.00
85467,ACT-LT000037,Chowking,Invoice,MI-Water,IC0010437,GL0014061,2019-08-31,2019-09-15,,,0,-722.80
87235,ACT-LT000009,Sunburst Fried Chicken,Invoice,MI-Water,IC0010543,GL0014190,2019-08-31,2019-09-15,,,0,-1133.60
86464,ACT-LT000013,The Prawn Farm,Invoice,MI-Water,IC0010499,GL0014134,2019-08-31,2019-09-15,,,0,-1170.00
91531,ACT-LT000014,Jollibee,Invoice,MI-Water,IC0011138,GL0015078,2019-08-31,2019-09-15,,,0,-2714.40
89896,ACT-LT000010,Nails Dot Glow,Invoice,MI-Water,IC0010942,GL0014728,2019-09-30,2019-10-08,,,0,-41.60
89880,ACT-LT000005,Davids Salon,Invoice,MI-Water,IC0010939,GL0014724,2019-09-30,2019-10-08,,,0,-109.20
90458,ACT-LT000012,EO Executive Optical,Invoice,MI-Water,IC0010992,GL0014831,2019-09-30,2019-10-08,,,0,-171.60
93221,ACT-LT000009,Sunburst Fried Chicken,Invoice,MI-Water,IC0011259,GL0015221,2019-09-30,2019-10-18,,,0,-972.40
98217,ACT-LT000027,BPI-Branch,Invoice,MI-Water,IC0011944,GL0016125,2019-09-30,2019-10-10,,,0,-1045.20
93513,ACT-LT000013,The Prawn Farm,Invoice,MI-Water,IC0011275,GL0015247,2019-09-30,2019-10-20,,,0,-1066.00
