ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
79241,ACT-LT000011,The Lemon Co,Payment,Advances to/from AGC H.O,PRJV-02-95,GL0013086,2019-02-15,,,,75000.00,0
79239,ACT-LT000011,The Lemon Co,Payment,Advances to/from AGC H.O,PRJV-02-95,GL0013085,2019-02-15,,,,26750.00,0
79255,ACT-LT000005,Davids Salon,Payment,Advances to/from AGC H.O,PRJV-02-110,GL0013090,2019-02-26,,,,302400.00,0
79251,ACT-LT000005,Davids Salon,Payment,Advances to/from AGC H.O,PRJV-02-110,GL0013088,2019-02-26,,,,53928.00,0
79253,ACT-LT000005,Davids Salon,Payment,Advances to/from AGC H.O,PRJV-02-110,GL0013089,2019-02-26,,,,50400.00,0
79229,ACT-LT000007,The Shawarma Shack,Payment,Advances to/from AGC H.O,PRJV-03-108,GL0013084,2019-03-11,,,,90000.00,0
79227,ACT-LT000007,The Shawarma Shack,Payment,Advances to/from AGC H.O,PRJV-03-108,GL0013083,2019-03-11,,,,32100.00,0
78650,ACT-LT000010,Nails Dot Glow,Payment,Advances to/from AGC H.O,PRJV-131,GL0013000,2019-03-27,,,,150000.00,0
78646,ACT-LT000010,Nails Dot Glow,Payment,Advances to/from AGC H.O,PRJV-131,GL0012998,2019-03-27,,,,26750.00,0
78648,ACT-LT000010,Nails Dot Glow,Payment,Advances to/from AGC H.O,PRJV-131,GL0012999,2019-03-27,,,,25000.00,0
110430,ACT-LT000008,Estrella Bakery,Payment,Advances to/from AGC H.O,PRJV-115,GL0018034,2019-04-15,,,,128896.00,0
110426,ACT-LT000008,Estrella Bakery,Payment,Advances to/from AGC H.O,PRJV-115,GL0018032,2019-04-15,,,,34479.68,0
110428,ACT-LT000008,Estrella Bakery,Payment,Advances to/from AGC H.O,PRJV-115,GL0018033,2019-04-15,,,,32224.00,0
110444,ACT-LT000062,Angels Wings Tours and Travel,Payment,Advances to/from AGC H.O,PRJV-122,GL0018040,2019-06-03,,,,75000.00,0
110442,ACT-LT000062,Angels Wings Tours and Travel,Payment,Advances to/from AGC H.O,PRJV-122,GL0018039,2019-06-03,,,,26750.00,0
110446,ACT-LT000062,Angels Wings Tours and Travel,Payment,Advances to/from AGC H.O,PRJV-122,GL0018041,2019-06-03,,,,25000.00,0
79277,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Advances to/from AGC H.O,PRJV-06-149,GL0013095,2019-06-24,,,,36000.00,0
79275,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Advances to/from AGC H.O,PRJV-06-149,GL0013094,2019-06-24,,,,12840.00,0
78618,ACT-LT000003,Thirsty,Payment,Advances to/from AGC H.O,PRJV-153,GL0012990,2019-06-27,,,,75000.00,0
78616,ACT-LT000003,Thirsty,Payment,Advances to/from AGC H.O,PRJV-153,GL0012989,2019-06-27,,,,26750.00,0
78629,ACT-LT000004,Turks Shawarma,Payment,Advances to/from AGC H.O,PRJV-156,GL0012993,2019-06-28,,,,75000.00,0
78627,ACT-LT000004,Turks Shawarma,Payment,Advances to/from AGC H.O,PRJV-156,GL0012992,2019-06-28,,,,26750.00,0
75334,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Payment,Advances to/from AGC H.O,PRJV-07000016,GL0012302,2019-07-04,,,,1954489.50,0
78568,ACT-LT000012,EO Executive Optical,Payment,Advances to/from AGC H.O,PRJV-07000588-A,GL0012979,2019-07-18,,,,331800.00,0
78572,ACT-LT000002,Antepara Sunglasses,Payment,Advances to/from AGC H.O,PRJV-07000588-B,GL0012981,2019-07-18,,,,90000.00,0
78576,ACT-LT000018,Merry Mango,Payment,Advances to/from AGC H.O,PRJV-07000588-C,GL0012983,2019-07-18,,,,75000.00,0
78564,ACT-LT000012,EO Executive Optical,Payment,Advances to/from AGC H.O,PRJV-07000588-A,GL0012977,2019-07-18,,,,59171.00,0
78566,ACT-LT000012,EO Executive Optical,Payment,Advances to/from AGC H.O,PRJV-07000588-A,GL0012978,2019-07-18,,,,55300.00,0
78570,ACT-LT000002,Antepara Sunglasses,Payment,Advances to/from AGC H.O,PRJV-07000588-B,GL0012980,2019-07-18,,,,32100.00,0
78574,ACT-LT000018,Merry Mango,Payment,Advances to/from AGC H.O,PRJV-07000588-C,GL0012982,2019-07-18,,,,26750.00,0
78687,ACT-LT000009,Sunburst Fried Chicken,Payment,Advances to/from AGC H.O,PRJV-04-14,GL0013004,2019-07-31,,,,281615.94,0
78683,ACT-LT000009,Sunburst Fried Chicken,Payment,Advances to/from AGC H.O,PRJV-04-14,GL0013002,2019-07-31,,,,153348.12,0
78685,ACT-LT000009,Sunburst Fried Chicken,Payment,Advances to/from AGC H.O,PRJV-04-14,GL0013003,2019-07-31,,,,143316.00,0
159064,ACT-LT000124,Smart Antenna-Rent,Payment,Advances to/from AGC H.O,PRDS 120-B,GL0022489,2019-08-02,,,,80250.00,0
159062,ACT-LT000124,Smart Antenna-Rent,Payment,Advances to/from AGC H.O,PRDS 120 -A,GL0025449,2019-08-02,,,,75000.00,0
99523,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV#09-665,GL0016258,2019-09-06,,,,595845.00,0
99517,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV#09-665,GL0013238,2019-09-06,,,,269256.95,0
99519,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV#09-665,GL0016256,2019-09-06,,,,212518.05,0
99521,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV#09-665,GL0016257,2019-09-06,,,,198615.00,0
93506,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV#10-118,GL0015245,2019-10-05,,,,717245.00,0
93498,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV#10-119,GL0015244,2019-10-05,,,,368250.00,0
93502,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV#10-118,GL0014134,2019-10-05,,,,156235.00,0
93504,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV#10-118,GL0014141,2019-10-05,,,,138786.18,0
93500,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV#10-118,GL0014088,2019-10-05,,,,131342.50,0
93494,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV#10-119,GL0015242,2019-10-05,,,,131342.50,0
93496,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV#10-119,GL0015243,2019-10-05,,,,122750.00,0
93492,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV#10-119,GL0013101,2019-10-05,,,,94902.50,0
138127,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-11000467,GL0015199,2019-11-07,,,,325659.68,0
138125,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-11000467,GL0015198,2019-11-07,,,,162950.13,0
138129,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-11000467,GL0015200,2019-11-07,,,,1120.00,0
112497,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV#11-1657,GL0016253,2019-11-28,,,,463905.80,0
112495,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV#11-1657,GL0016232,2019-11-28,,,,188165.32,0
112491,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV# 11-1650,GL0014060,2019-11-28,,,,108246.31,0
112493,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV# 11-1650,GL0014061,2019-11-28,,,,84263.47,0
112473,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV# 12-644,GL0017224,2019-12-21,,,,186545.34,0
118523,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-01000589,GL0018205,2020-01-17,,,,181797.65,0
118521,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-01000589,GL0018204,2020-01-17,,,,131342.50,0
120712,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV01002755,GL0018201,2020-01-22,,,,397054.35,0
120710,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV01002755,GL0018200,2020-01-22,,,,224913.72,0
138133,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-02001631,GL0017261,2020-02-08,,,,436986.07,0
138131,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-02001631,GL0017260,2020-02-08,,,,194887.63,0
125322,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-02000402,GL0019257,2020-02-18,,,,203678.75,0
125320,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-02000402,GL0019256,2020-02-18,,,,131342.50,0
131853,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000700,GL0015078,2020-03-10,,,,848394.49,0
131833,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000715,GL0019277,2020-03-10,,,,827448.31,0
131841,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000704,GL0017229,2020-03-10,,,,810341.59,0
131849,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000702,GL0015265,2020-03-10,,,,796703.01,0
131837,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000707,GL0018197,2020-03-10,,,,753530.96,0
131845,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000703,GL0016261,2020-03-10,,,,717158.93,0
131835,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000707,GL0018196,2020-03-10,,,,566675.75,0
131839,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000704,GL0017227,2020-03-10,,,,472304.06,0
131843,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000703,GL0016260,2020-03-10,,,,455442.41,0
131831,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000715,GL0019275,2020-03-10,,,,415144.83,0
131847,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000702,GL0015264,2020-03-10,,,,377252.96,0
131855,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000700,GL0021129,2020-03-10,,,,212608.05,0
131851,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000700,GL0014158,2020-03-10,,,,192798.15,0
131829,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03001693,GL0020348,2020-03-27,,,,777751.08,0
138137,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-03001666,GL0019259,2020-03-27,,,,442961.78,0
138141,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-03001668,GL0020350,2020-03-27,,,,390846.85,0
131827,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03001693,GL0020347,2020-03-27,,,,354957.64,0
138135,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-03001666,GL0019258,2020-03-27,,,,151570.86,0
138139,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-03001668,GL0020349,2020-03-27,,,,142514.37,0
138112,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-05000386,GL0021131,2020-05-27,,,,643304.71,0
138145,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-05000376,GL0021133,2020-05-27,,,,384602.96,0
138116,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-05000373,GL0021333,2020-05-27,,,,335282.96,0
138149,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-05000377,GL0021328,2020-05-27,,,,212881.80,0
138143,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-05000376,GL0021132,2020-05-27,,,,101654.28,0
138114,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-05000373,GL0021331,2020-05-27,,,,85007.22,0
138147,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-05000377,GL0021326,2020-05-27,,,,57005.75,0
138110,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-05000386,GL0021130,2020-05-27,,,,55399.04,0
153323,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-08001189,GL0021779,2020-08-11,,,,384596.85,0
166905,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-08001157,GL0022422,2020-08-11,,,,253235.86,0
166901,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-08001210,GL0021774,2020-08-11,,,,231508.44,0
153321,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-08001189,GL0021776,2020-08-11,,,,214533.18,0
166899,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-08001210,GL0021768,2020-08-11,,,,69106.63,0
166903,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-08001157,GL0022421,2020-08-11,,,,56843.85,0
153775,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-09000321,GL0022418,2020-09-10,,,,151050.00,0
153771,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-09000322,GL0023078,2020-09-10,,,,148927.73,0
153769,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-09000323,GL0023079,2020-09-10,,,,123081.85,0
153773,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-09000321,GL0022417,2020-09-10,,,,29388.77,0
154279,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-10000086,GL0023765,2020-10-16,,,,93389.67,0
154283,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-10000085,GL0024593,2020-10-16,,,,91291.70,0
154281,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-10000085,GL0024592,2020-10-16,,,,14913.37,0
154277,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-10000086,GL0023764,2020-10-16,,,,9810.22,0
157112,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-10001244,GL0023727,2020-10-23,,,,430920.36,0
156408,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-10000478,GL0022424,2020-10-23,,,,405102.37,0
156412,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-10000460,GL0023081,2020-10-23,,,,398877.61,0
193564,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-10001241,GL0023723,2020-10-23,,,,246630.37,0
166909,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-10000472,GL0023077,2020-10-23,,,,243590.67,0
156410,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-10000460,GL0023080,2020-10-23,,,,175644.63,0
156406,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-10000478,GL0022423,2020-10-23,,,,173628.96,0
157110,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-10001244,GL0023726,2020-10-23,,,,167887.61,0
166907,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-10000472,GL0023076,2020-10-23,,,,55286.73,0
193562,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-10001241,GL0023722,2020-10-23,,,,55286.73,0
158790,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-10001666,GL0024608,2020-10-30,,,,478028.34,0
166913,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-10001629,GL0024610,2020-10-30,,,,245522.56,0
158788,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-10001666,GL0024607,2020-10-30,,,,183287.62,0
166911,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-10001629,GL0024609,2020-10-30,,,,61179.93,0
166083,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-11000675,GL0025373,2020-11-24,,,,228954.92,0
166081,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-11000675,GL0025372,2020-11-24,,,,83772.11,0
166252,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-12001187,GL0026079,2020-12-29,,,,1009311.38,0
166250,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-12001187,GL0026076,2020-12-29,,,,237642.79,0
181602,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-01001473,GL0026085,2021-01-29,,,,721876.65,0
174043,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-01002302,GL0026875,2021-01-29,,,,113568.16,0
174054,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-01002303,GL0025375,2021-01-29,,,,101173.43,0
181600,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-01001473,GL0026084,2021-01-29,,,,91830.30,0
174041,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-01002302,GL0026874,2021-01-29,,,,53087.94,0
174052,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-01002303,GL0025374,2021-01-29,,,,25029.83,0
182344,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000343,GL0026961,2021-03-16,,,,533972.55,0
182342,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03000343,GL0026960,2021-03-16,,,,292057.75,0
183324,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-03000562,GL0029322,2021-03-17,,,,157905.26,0
183322,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-03000562,GL0027684,2021-03-17,,,,44188.02,0
183326,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-03000562,GL0029327,2021-03-17,,,,1515.00,0
182758,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-03000699,GL0026955,2021-03-19,,,,316275.39,0
182756,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-03000699,GL0026954,2021-03-19,,,,127679.83,0
182348,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03001864,GL0027712,2021-03-26,,,,621070.42,0
182762,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-03001792,GL0027717,2021-03-26,,,,316288.66,0
182346,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03001864,GL0027711,2021-03-26,,,,246010.59,0
182760,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-03001792,GL0027716,2021-03-26,,,,106209.83,0
193311,ACT-LT000021,Alvas Chicharon,Payment,Advances to/from AGC H.O,PRJV-03002219,GL0018406,2021-03-30,,,,21400.00,0
193313,ACT-LT000021,Alvas Chicharon,Payment,Advances to/from AGC H.O,PRJV-03002219,GL0018407,2021-03-30,,,,15737.60,0
193309,ACT-LT000021,Alvas Chicharon,Payment,Advances to/from AGC H.O,PRJV-03002219,GL0018405,2021-03-30,,,,24.41,0
182352,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03002653,GL0028506,2021-03-31,,,,592975.79,0
182340,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03002652,GL0025337,2021-03-31,,,,487022.51,0
182766,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-03002592,GL0028509,2021-03-31,,,,305398.14,0
182350,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03002653,GL0028501,2021-03-31,,,,238887.69,0
182338,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-03002652,GL0025336,2021-03-31,,,,210020.57,0
185978,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-03003386,GL0029324,2021-03-31,,,,152308.81,0
182764,ACT-LT000037,Chowking,Payment,Advances to/from AGC H.O,PRJV-03002592,GL0028508,2021-03-31,,,,88306.37,0
185976,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-03003386,GL0028505,2021-03-31,,,,43061.31,0
193315,ACT-LT000125,Smart Antenna-Electricity,Payment,Advances to/from AGC H.O,PRJV-03003378,GL0022499,2021-03-31,,,,19080.00,0
193317,ACT-LT000125,Smart Antenna-Electricity,Payment,Advances to/from AGC H.O,PRJV-03003378,GL0022502,2021-03-31,,,,7560.00,0
193319,ACT-LT000125,Smart Antenna-Electricity,Payment,Advances to/from AGC H.O,PRJV-03003378,GL0022527,2021-03-31,,,,7560.00,0
193321,ACT-LT000125,Smart Antenna-Electricity,Payment,Advances to/from AGC H.O,PRJV-03003378,GL0022531,2021-03-31,,,,7560.00,0
193323,ACT-LT000125,Smart Antenna-Electricity,Payment,Advances to/from AGC H.O,PRJV-03003378,GL0022536,2021-03-31,,,,7560.00,0
193325,ACT-LT000125,Smart Antenna-Electricity,Payment,Advances to/from AGC H.O,PRJV-03003378,GL0022542,2021-03-31,,,,7560.00,0
187389,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-04001843,GL0029326,2021-04-30,,,,143655.13,0
187387,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PRJV-04001843,GL0029325,2021-04-30,,,,40890.30,0
193572,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-05001965,GL0030086,2021-05-31,,,,609928.13,0
193568,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-05001966,GL0029303,2021-05-31,,,,572506.39,0
193566,ACT-LT000014,Jollibee,Payment,Advances to/from AGC H.O,PRJV-05001966,GL0029301,2021-05-31,,,,265886.61,0
