ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
74599,ACT-ST000001,Sabroso Tsokolate,Payment,Cash in Bank (Peso),PR0000001,GL0012276,2019-07-12,,B-001,PNB,1000.00,0
76668,ACT-LT000017,Goldilocks,Payment,Cash in Bank (Peso),PR0000002,GL0012524,2019-07-25,,B-001,PNB,66000.00,0
76670,ACT-LT000017,Goldilocks,Payment,Cash in Bank (Peso),PR0000003,GL0012525,2019-07-25,,B-001,PNB,23540.00,0
76672,ACT-LT000017,Goldilocks,Payment,Cash in Bank (Peso),PR0000003,GL0012526,2019-07-25,,B-001,PNB,2500.00,0
77284,ACT-ST000003,"Ayacca Realty &amp;amp; Development, Inc.",Payment,Cash in Bank (Peso),PR0000004,GL0012295,2019-07-26,,B-001,PNB,3210.00,0
78140,ACT-LT000028,Dimsum Break,Payment,Cash in Bank (Peso),PR0000005,GL0012870,2019-07-29,,B-001,PNB,269100.00,0
78138,ACT-LT000028,Dimsum Break,Payment,Cash in Bank (Peso),PR0000005,GL0012869,2019-07-29,,B-001,PNB,95979.00,0
78142,ACT-LT000028,Dimsum Break,Payment,Cash in Bank (Peso),PR0000005,GL0012871,2019-07-29,,B-001,PNB,89700.00,0
78392,ACT-LT000029,Mister Donut,Payment,Cash in Bank (Peso),PR0000006,GL0012945,2019-07-30,,B-001,PNB,90000.00,0
78390,ACT-LT000029,Mister Donut,Payment,Cash in Bank (Peso),PR0000006,GL0012944,2019-07-30,,B-001,PNB,32100.00,0
78689,ACT-LT000009,Sunburst Fried Chicken,Payment,Cash in Bank (Peso),PR0000007,GL0013005,2019-07-31,,B-001,PNB,578280.06,0
78897,ACT-LT000034,DUNKIN DONUTS,Payment,Cash in Bank (Peso),PR23552,GL0013048,2019-08-02,,B-001,PNB,232584.00,0
78887,ACT-LT000015,Potato Corner,Payment,Cash in Bank (Peso),PR23551,GL0013046,2019-08-02,,B-001,PNB,75000.00,0
78901,ACT-LT000034,DUNKIN DONUTS,Payment,Cash in Bank (Peso),PR0000010,GL0013050,2019-08-02,,B-001,PNB,41477.48,0
78899,ACT-LT000034,DUNKIN DONUTS,Payment,Cash in Bank (Peso),PR23553,GL0013049,2019-08-02,,B-001,PNB,38764.00,0
78889,ACT-LT000015,Potato Corner,Payment,Cash in Bank (Peso),PR0000008,GL0013047,2019-08-02,,B-001,PNB,25555.80,0
80768,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Payment,Cash in Bank (Peso),PR23554,GL0013237,2019-08-15,,B-001,PNB,60000.00,0
80766,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Payment,Cash in Bank (Peso),PR0000011,GL0013236,2019-08-15,,B-001,PNB,21400.00,0
80778,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Payment,Cash in Bank (Peso),PR23555,GL0013072,2019-08-15,,B-001,PNB,5060.75,0
80789,ACT-LT000021,Alvas Chicharon,Payment,Cash in Bank (Peso),PR23556,GL0013240,2019-08-16,,B-001,PNB,40000.00,0
80787,ACT-LT000021,Alvas Chicharon,Payment,Cash in Bank (Peso),PR0000012,GL0013239,2019-08-16,,B-001,PNB,21400.00,0
80791,ACT-LT000021,Alvas Chicharon,Payment,Cash in Bank (Peso),PR23557,GL0013195,2019-08-16,,B-001,PNB,6776.75,0
85501,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Payment,Cash in Bank (Peso),UFT0001393,GL0014063,2019-08-23,,B-001,PNB,6787681.44,0
91648,ACT-LT000012,EO Executive Optical,Payment,Cash in Bank (Peso),UFT0001492,GL0013376,2019-09-02,,B-003,PNB,23778.40,0
84972,ACT-LT000005,Davids Salon,Payment,Cash in Bank (Peso),PR0000014,GL0013374,2019-09-02,,B-001,PNB,22766.10,0
91646,ACT-LT000012,EO Executive Optical,Payment,Cash in Bank (Peso),UFT0001492,GL0013375,2019-09-02,,B-003,PNB,10408.52,0
84970,ACT-LT000005,Davids Salon,Payment,Cash in Bank (Peso),PR0000013,GL0013373,2019-09-02,,B-001,PNB,7501.75,0
94098,ACT-LT000018,Merry Mango,Payment,Cash in Bank (Peso),UFT0001552,GL0013293,2019-09-04,,B-003,PNB,7499.56,0
94096,ACT-LT000018,Merry Mango,Payment,Cash in Bank (Peso),UFT0001552,GL0013292,2019-09-04,,B-003,PNB,950.23,0
94094,ACT-LT000018,Merry Mango,Payment,Cash in Bank (Peso),UFT0001552,GL0014680,2019-09-04,,B-003,PNB,172.44,0
86145,ACT-LT000002,Antepara Sunglasses,Payment,Cash in Bank (Peso),PR0000015,GL0013291,2019-09-06,,B-001,PNB,2227.33,0
86185,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Cash in Bank (Peso),PR0000016,GL0013319,2019-09-07,,B-001,PNB,2500.00,0
86183,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Cash in Bank (Peso),PR0000016,GL0013318,2019-09-07,,B-001,PNB,25.77,0
86457,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Payment,Cash in Bank (Peso),PR0000018,GL0013321,2019-09-09,,B-001,PNB,3188.38,0
123235,ACT-LT000021,Alvas Chicharon,Payment,Cash in Bank (Peso),PDC0000094,GL0013287,2019-09-10,,B-001,PNB,10708.38,0
91498,ACT-LT000010,Nails Dot Glow,Payment,Cash in Bank (Peso),UFT0001488,GL0013324,2019-09-11,,B-003,PNB,23317.12,0
91496,ACT-LT000010,Nails Dot Glow,Payment,Cash in Bank (Peso),UFT0001488,GL0013322,2019-09-11,,B-003,PNB,2909.23,0
87446,ACT-LT000048,Hukad,Payment,Cash in Bank (Peso),PR23558,GL0014207,2019-09-18,,B-001,PNB,83309.00,0
87576,ACT-LT000009,Sunburst Fried Chicken,Payment,Cash in Bank (Peso),PR0000020,GL0014190,2019-09-19,,B-001,PNB,163287.72,0
87536,ACT-LT000046,Sticker Race Prints and Design,Payment,Cash in Bank (Peso),PR23559,GL0014213,2019-09-19,,B-001,PNB,60000.00,0
194556,ACT-LT000049,Golden Locket Jewelry Shop New,Payment,Cash in Bank (Peso),PR23560,GL0031154,2019-09-19,,B-003,PNB,39000.00,0
87560,ACT-LT000049,Golden Locket Jewelry Shop New,Payment,Cash in Bank (Peso),PR23561,GL0014215,2019-09-19,,B-001,PNB,25000.00,0
87534,ACT-LT000046,Sticker Race Prints and Design,Payment,Cash in Bank (Peso),PR0000019,GL0014212,2019-09-19,,B-001,PNB,21400.00,0
87694,ACT-LT000047,Miguelitos Avocado Locco,Payment,Cash in Bank (Peso),PR23562,GL0014225,2019-09-20,,B-001,PNB,38600.00,0
87692,ACT-LT000047,Miguelitos Avocado Locco,Payment,Cash in Bank (Peso),PR23562,GL0014224,2019-09-20,,B-001,PNB,21400.00,0
87696,ACT-LT000047,Miguelitos Avocado Locco,Payment,Cash in Bank (Peso),PR0000021,GL0014226,2019-09-20,,B-001,PNB,21400.00,0
91758,ACT-LT000004,Turks Shawarma,Payment,Cash in Bank (Peso),UFT0001493,GL0013299,2019-09-20,,B-003,PNB,8142.40,0
91756,ACT-LT000004,Turks Shawarma,Payment,Cash in Bank (Peso),UFT0001493,GL0013298,2019-09-20,,B-003,PNB,1178.23,0
87754,ACT-LT000017,Goldilocks,Payment,Cash in Bank (Peso),PR0000022,GL0013346,2019-09-21,,B-001,PNB,3706.64,0
90031,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Payment,Cash in Bank (Peso),UFT0001458,GL0014062,2019-09-23,,B-003,PNB,838793.47,0
94526,ACT-LT000004,Turks Shawarma,Payment,Cash in Bank (Peso),UFT0001565,GL0014696,2019-10-04,,B-003,PNB,26750.00,0
94528,ACT-LT000004,Turks Shawarma,Payment,Cash in Bank (Peso),UFT0001565,GL0014697,2019-10-04,,B-003,PNB,8367.28,0
94524,ACT-LT000004,Turks Shawarma,Payment,Cash in Bank (Peso),UFT0001565,GL0015308,2019-10-04,,B-003,PNB,55.92,0
94114,ACT-LT000012,EO Executive Optical,Payment,Cash in Bank (Peso),UFT0001554,GL0014670,2019-10-07,,B-003,PNB,59171.00,0
92512,ACT-LT000005,Davids Salon,Payment,Cash in Bank (Peso),PR0000023,GL0014705,2019-10-07,,B-001,PNB,52287.69,0
94116,ACT-LT000012,EO Executive Optical,Payment,Cash in Bank (Peso),UFT0001554,GL0014831,2019-10-07,,B-003,PNB,23861.60,0
92783,ACT-LT000007,The Shawarma Shack,Payment,Cash in Bank (Peso),PR0000024,GL0014672,2019-10-07,,B-001,PNB,23402.12,0
92514,ACT-LT000005,Davids Salon,Payment,Cash in Bank (Peso),PR0000023,GL0014724,2019-10-07,,B-001,PNB,23217.30,0
92781,ACT-LT000007,The Shawarma Shack,Payment,Cash in Bank (Peso),PR0000024,GL0013301,2019-10-07,,B-001,PNB,6727.33,0
92779,ACT-LT000007,The Shawarma Shack,Payment,Cash in Bank (Peso),PR0000024,GL0014674,2019-10-07,,B-001,PNB,134.55,0
