ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
163246,ACT-LT000124,Smart Antenna-Rent,Invoice,Rent Receivables,IC0024443,GL0026177,2021-01-01,2021-01-10,,,26750.00,0
165478,ACT-ST000013,Alta Citta Bazaar,Payment,Cash in Bank (Peso),PR0002412,GL0026592,2021-01-02,,B-003,PNB,5000.00,0
159413,ACT-ST000009,President Carlos P. Garcia Chess Club,Invoice,Rent Receivables,IC0023001,GL0025529,2021-01-02,2021-01-10,,,3000.00,0
165639,ACT-ST000013,Alta Citta Bazaar,Payment,Cash in Bank (Peso),PR0002413,GL0026617,2021-01-04,,B-003,PNB,5000.00,0
166065,ACT-LT000021,Alvas Chicharon,Payment,Cash in Bank (Peso),PR0002414,GL0025457,2021-01-06,,B-003,PNB,10390.40,0
166063,ACT-LT000021,Alvas Chicharon,Payment,Cash in Bank (Peso),PR0002414,GL0025456,2021-01-06,,B-003,PNB,8025.00,0
166064,ACT-LT000021,Alvas Chicharon,Payment,Rent Receivables,PR0002414,GL0025456,2021-01-06,,B-003,PNB,0,-8025.00
166066,ACT-LT000021,Alvas Chicharon,Payment,A/R  Non Trade External,PR0002414,GL0025457,2021-01-06,,B-003,PNB,0,-10390.40
166254,ACT-ST000013,Alta Citta Bazaar,Payment,Cash in Bank (Peso),PR0002415,GL0026691,2021-01-07,,B-003,PNB,5000.00,0
166256,ACT-ST000013,Alta Citta Bazaar,Payment,Cash in Bank (Peso),PR0002416,GL0026692,2021-01-07,,B-003,PNB,5000.00,0
168347,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Payment,Cash in Bank (Peso),UFT0002967,GL0025458,2021-01-08,,B-003,PNB,2091303.76,0
166620,ACT-LT000005,Davids Salon,Payment,Cash in Bank (Peso),PR0002417,GL0026175,2021-01-08,,B-003,PNB,26143.85,0
166622,ACT-LT000005,Davids Salon,Payment,Cash in Bank (Peso),PR0002417,GL0026176,2021-01-08,,B-003,PNB,19949.70,0
168378,ACT-ST000008,Ibex Global,Payment,Cash in Bank (Peso),UFT0002970,GL0025528,2021-01-08,,B-003,PNB,16406.66,0
169899,ACT-LT000002,Antepara Sunglasses,Payment,Cash in Bank (Peso),UFT0003016,GL0026196,2021-01-08,,B-003,PNB,9630.00,0
169901,ACT-LT000002,Antepara Sunglasses,Payment,Cash in Bank (Peso),UFT0003016,GL0026198,2021-01-08,,B-003,PNB,3712.00,0
169902,ACT-LT000002,Antepara Sunglasses,Payment,A/R  Non Trade External-AR Clearing,UFT0003016,GL0026198,2021-01-08,,B-003,PNB,0,-3712.00
169900,ACT-LT000002,Antepara Sunglasses,Payment,Rent Receivables-RR Clearing,UFT0003016,GL0026196,2021-01-08,,B-003,PNB,0,-9630.00
168379,ACT-ST000008,Ibex Global,Payment,Rent Receivables-RR Clearing,UFT0002970,GL0025528,2021-01-08,,B-003,PNB,0,-16406.66
166623,ACT-LT000005,Davids Salon,Payment,A/R  Non Trade External,PR0002417,GL0026176,2021-01-08,,B-003,PNB,0,-19949.70
166621,ACT-LT000005,Davids Salon,Payment,Rent Receivables,PR0002417,GL0026175,2021-01-08,,B-003,PNB,0,-26143.85
168348,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Payment,Rent Receivables-RR Clearing,UFT0002967,GL0025458,2021-01-08,,B-003,PNB,0,-2091303.76
166654,ACT-ST000013,Alta Citta Bazaar,Payment,Cash in Bank (Peso),PR0002418,GL0026752,2021-01-09,,B-003,PNB,5000.00,0
166656,ACT-ST000013,Alta Citta Bazaar,Payment,Cash in Bank (Peso),PR0002419,GL0026753,2021-01-09,,B-003,PNB,5000.00,0
188494,ACT-ST000013,Alta Citta Bazaar,Invoice,Rent Receivables,IC0031270,GL0030166,2021-01-10,2021-01-18,,,185500.00,0
188498,ACT-ST000013,Alta Citta Bazaar,Invoice,A/R  Non Trade External,IC0031271,GL0030167,2021-01-10,2021-01-18,,,608.40,0
188527,ACT-ST000013,Alta Citta Bazaar,Payment,Rent Receivables,B0013296,GL0030166,2021-01-10,,,,0,-111000.00
166795,ACT-LT000048,Hukad,Payment,Cash in Bank (Peso),PR0002422,GL0026091,2021-01-11,,B-003,PNB,177052.75,0
166793,ACT-LT000048,Hukad,Payment,Cash in Bank (Peso),PR0002422,GL0026090,2021-01-11,,B-003,PNB,40704.20,0
