ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
256659,ACT-LT000009,Sunburst Fried Chicken,Payment,Cash in Bank (Peso),PR0004787,GL0039067,2022-06-02,,B-003,PNB,138486.90,0
256657,ACT-LT000009,Sunburst Fried Chicken,Payment,Cash in Bank (Peso),PR0004787,GL0039068,2022-06-02,,B-003,PNB,33327.08,0
256658,ACT-LT000009,Sunburst Fried Chicken,Payment,Rent Receivables,PR0004787,GL0039068,2022-06-02,,B-003,PNB,0,-33327.08
256660,ACT-LT000009,Sunburst Fried Chicken,Payment,A/R  Non Trade External,PR0004787,GL0039067,2022-06-02,,B-003,PNB,0,-138486.90
264050,ACT-LT000004,Turks Shawarma,Payment,Rent Receivables-RR Clearing,PR0003454,GL0039193,2022-06-03,,B-003,PNB,21400.00,0
258747,ACT-LT000004,Turks Shawarma,Payment,Cash in Bank (Peso),UFT0005160,GL0039193,2022-06-03,,B-003,PNB,21400.00,0
264054,ACT-LT000002,Antepara Sunglasses,Payment,Rent Receivables-RR Clearing,PR0003455,GL0039197,2022-06-03,,B-003,PNB,16050.00,0
261198,ACT-LT000002,Antepara Sunglasses,Payment,Cash in Bank (Peso),UFT0005192,GL0039197,2022-06-03,,B-003,PNB,16050.00,0
264052,ACT-LT000004,Turks Shawarma,Payment,A/R  Non Trade External-AR Clearing,PR0003454,GL0039170,2022-06-03,,B-003,PNB,7663.60,0
258745,ACT-LT000004,Turks Shawarma,Payment,Cash in Bank (Peso),UFT0005160,GL0039170,2022-06-03,,B-003,PNB,7663.60,0
264056,ACT-LT000002,Antepara Sunglasses,Payment,A/R  Non Trade External-AR Clearing,PR0003455,GL0039163,2022-06-03,,B-003,PNB,4012.00,0
261196,ACT-LT000002,Antepara Sunglasses,Payment,Cash in Bank (Peso),UFT0005192,GL0039163,2022-06-03,,B-003,PNB,4012.00,0
264057,ACT-LT000002,Antepara Sunglasses,Payment,A/R  Non Trade External,PR0003455,GL0039163,2022-06-03,,B-003,PNB,0,-4012.00
261197,ACT-LT000002,Antepara Sunglasses,Payment,A/R  Non Trade External-AR Clearing,UFT0005192,GL0039163,2022-06-03,,B-003,PNB,0,-4012.00
264053,ACT-LT000004,Turks Shawarma,Payment,A/R  Non Trade External,PR0003454,GL0039170,2022-06-03,,B-003,PNB,0,-7663.60
258746,ACT-LT000004,Turks Shawarma,Payment,A/R  Non Trade External-AR Clearing,UFT0005160,GL0039170,2022-06-03,,B-003,PNB,0,-7663.60
264055,ACT-LT000002,Antepara Sunglasses,Payment,Rent Receivables,PR0003455,GL0039197,2022-06-03,,B-003,PNB,0,-16050.00
261199,ACT-LT000002,Antepara Sunglasses,Payment,Rent Receivables-RR Clearing,UFT0005192,GL0039197,2022-06-03,,B-003,PNB,0,-16050.00
264051,ACT-LT000004,Turks Shawarma,Payment,Rent Receivables,PR0003454,GL0039193,2022-06-03,,B-003,PNB,0,-21400.00
258748,ACT-LT000004,Turks Shawarma,Payment,Rent Receivables-RR Clearing,UFT0005160,GL0039193,2022-06-03,,B-003,PNB,0,-21400.00
250552,ACT-ST000035,Lucky Charms,Invoice,Rent Receivables,IC0039231,GL0039028,2022-06-06,2022-06-14,,,16050.00,0
257326,ACT-ST000035,Lucky Charms,Payment,Unearned Rent Income,B0018750,GL0039794,2022-06-06,,,,16050.00,0
256903,ACT-ST000035,Lucky Charms,Payment,Cash in Bank (Peso),PR0003193,GL0039794,2022-06-06,,B-003,PNB,16050.00,0
258695,ACT-LT000264,Like A Buko,Payment,Rent Receivables-RR Clearing,PR0003453,GL0039165,2022-06-06,,B-003,PNB,12840.00,0
258689,ACT-LT000264,Like A Buko,Payment,Cash in Bank (Peso),UFT0005157,GL0039165,2022-06-06,,B-003,PNB,12840.00,0
257322,ACT-ST000035,Lucky Charms,Payment,Unearned Rent Income,B0018750,GL0037471,2022-06-06,,,,9630.00,0
256997,ACT-ST000052,Do Si Rak,Payment,Cash in Bank (Peso),PR0003194,GL0039808,2022-06-06,,B-003,PNB,8560.00,0
256895,ACT-LT000049,Golden Locket Jewelry Shop New,Payment,Cash in Bank (Peso),PR0003192,GL0035253,2022-06-06,,B-003,PNB,6237.71,0
256897,ACT-LT000049,Golden Locket Jewelry Shop New,Payment,Cash in Bank (Peso),PR0003192,GL0036511,2022-06-06,,B-003,PNB,5762.29,0
257320,ACT-ST000035,Lucky Charms,Payment,Unearned Rent Income,B0018750,GL0037471,2022-06-06,,,,3210.00,0
257324,ACT-ST000035,Lucky Charms,Payment,Unearned Rent Income,B0018750,GL0038461,2022-06-06,,,,3210.00,0
258697,ACT-LT000264,Like A Buko,Payment,A/R  Non Trade External-AR Clearing,PR0003453,GL0038935,2022-06-06,,B-003,PNB,2854.00,0
258687,ACT-LT000264,Like A Buko,Payment,Cash in Bank (Peso),UFT0005157,GL0038935,2022-06-06,,B-003,PNB,2854.00,0
250555,ACT-ST000035,Lucky Charms,Invoice,Creditable WHT Receivable,IC0039231,GL0039028,2022-06-06,2022-06-14,,,750.00,0
258699,ACT-LT000264,Like A Buko,Payment,A/R  Non Trade External-AR Clearing,PR0003453,GL0039167,2022-06-06,,B-003,PNB,300.00,0
258691,ACT-LT000264,Like A Buko,Payment,Cash in Bank (Peso),UFT0005157,GL0039167,2022-06-06,,B-003,PNB,300.00,0
258701,ACT-LT000264,Like A Buko,Payment,A/R  Non Trade External-AR Clearing,PR0003453,GL0039166,2022-06-06,,B-003,PNB,36.00,0
258693,ACT-LT000264,Like A Buko,Payment,Cash in Bank (Peso),UFT0005157,GL0039166,2022-06-06,,B-003,PNB,36.00,0
258702,ACT-LT000264,Like A Buko,Payment,A/R  Non Trade External,PR0003453,GL0039166,2022-06-06,,B-003,PNB,0,-36.00
258694,ACT-LT000264,Like A Buko,Payment,A/R  Non Trade External-AR Clearing,UFT0005157,GL0039166,2022-06-06,,B-003,PNB,0,-36.00
258700,ACT-LT000264,Like A Buko,Payment,A/R  Non Trade External,PR0003453,GL0039167,2022-06-06,,B-003,PNB,0,-300.00
258692,ACT-LT000264,Like A Buko,Payment,A/R  Non Trade External-AR Clearing,UFT0005157,GL0039167,2022-06-06,,B-003,PNB,0,-300.00
250554,ACT-ST000035,Lucky Charms,Invoice,VAT Output,IC0039231,GL0039028,2022-06-06,2022-06-14,,,0,-1800.00
258698,ACT-LT000264,Like A Buko,Payment,A/R  Non Trade External,PR0003453,GL0038935,2022-06-06,,B-003,PNB,0,-2854.00
258688,ACT-LT000264,Like A Buko,Payment,A/R  Non Trade External-AR Clearing,UFT0005157,GL0038935,2022-06-06,,B-003,PNB,0,-2854.00
257321,ACT-ST000035,Lucky Charms,Payment,Rent Receivables,B0018750,GL0039851,2022-06-06,,,,0,-3210.00
257325,ACT-ST000035,Lucky Charms,Payment,Rent Receivables,B0018750,GL0039852,2022-06-06,,,,0,-3210.00
256898,ACT-LT000049,Golden Locket Jewelry Shop New,Payment,Rent Receivables,PR0003192,GL0036511,2022-06-06,,B-003,PNB,0,-5762.29
256896,ACT-LT000049,Golden Locket Jewelry Shop New,Payment,Rent Receivables,PR0003192,GL0035253,2022-06-06,,B-003,PNB,0,-6237.71
256998,ACT-ST000052,Do Si Rak,Payment,Unearned Rent Income,PR0003194,GL0039808,2022-06-06,,B-003,PNB,0,-8560.00
257323,ACT-ST000035,Lucky Charms,Payment,Rent Receivables,B0018750,GL0039852,2022-06-06,,,,0,-9630.00
258696,ACT-LT000264,Like A Buko,Payment,Rent Receivables,PR0003453,GL0039165,2022-06-06,,B-003,PNB,0,-12840.00
258690,ACT-LT000264,Like A Buko,Payment,Rent Receivables-RR Clearing,UFT0005157,GL0039165,2022-06-06,,B-003,PNB,0,-12840.00
250553,ACT-ST000035,Lucky Charms,Invoice,Rent Income,IC0039231,GL0039028,2022-06-06,2022-06-14,,,0,-15000.00
257327,ACT-ST000035,Lucky Charms,Payment,Rent Receivables,B0018750,GL0039028,2022-06-06,,,,0,-16050.00
256904,ACT-ST000035,Lucky Charms,Payment,Unearned Rent Income,PR0003193,GL0039794,2022-06-06,,B-003,PNB,0,-16050.00
257275,ACT-LT000028,Dimsum Break,Payment,Cash in Bank (Peso),PR0003197,GL0037526,2022-06-07,,B-003,PNB,92813.95,0
257256,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0003196,GL0039207,2022-06-07,,B-003,PNB,19260.00,0
257174,ACT-LT000049,Golden Locket Jewelry Shop New,Payment,Cash in Bank (Peso),PR0003195,GL0036511,2022-06-07,,B-003,PNB,15000.00,0
257258,ACT-LT000006,Zamin Foreign Exchange,Payment,Cash in Bank (Peso),PR0003196,GL0039157,2022-06-07,,B-003,PNB,7650.00,0
257277,ACT-LT000028,Dimsum Break,Payment,Cash in Bank (Peso),PR0003197,GL0038176,2022-06-07,,B-003,PNB,7186.05,0
257278,ACT-LT000028,Dimsum Break,Payment,Rent Receivables,PR0003197,GL0038176,2022-06-07,,B-003,PNB,0,-7186.05
257259,ACT-LT000006,Zamin Foreign Exchange,Payment,A/R  Non Trade External,PR0003196,GL0039157,2022-06-07,,B-003,PNB,0,-7650.00
257175,ACT-LT000049,Golden Locket Jewelry Shop New,Payment,Rent Receivables,PR0003195,GL0036511,2022-06-07,,B-003,PNB,0,-15000.00
257257,ACT-LT000006,Zamin Foreign Exchange,Payment,Rent Receivables,PR0003196,GL0039207,2022-06-07,,B-003,PNB,0,-19260.00
257276,ACT-LT000028,Dimsum Break,Payment,A/R  Non Trade External,PR0003197,GL0037526,2022-06-07,,B-003,PNB,0,-92813.95
257375,ACT-LT000005,Davids Salon,Payment,Cash in Bank (Peso),PR0003198,GL0039194,2022-06-08,,B-003,PNB,39215.77,0
257377,ACT-LT000005,Davids Salon,Payment,Cash in Bank (Peso),PR0003198,GL0039169,2022-06-08,,B-003,PNB,22381.70,0
257378,ACT-LT000005,Davids Salon,Payment,A/R  Non Trade External,PR0003198,GL0039169,2022-06-08,,B-003,PNB,0,-22381.70
257376,ACT-LT000005,Davids Salon,Payment,Rent Receivables,PR0003198,GL0039194,2022-06-08,,B-003,PNB,0,-39215.77
257497,ACT-LT000008,Estrella Bakery,Payment,Check Receivable - PDC,PR0003199,GL0039184,2022-06-09,2022-06-10,B-003,PNB,25859.76,0
257499,ACT-LT000008,Estrella Bakery,Payment,Check Receivable - PDC,PR0003199,GL0039177,2022-06-09,2022-06-10,B-003,PNB,25842.40,0
263996,ACT-LT000015,Potato Corner,Payment,Rent Receivables-RR Clearing,PR0003461,GL0037858,2022-06-09,,B-005,Banks of the Philippine Islands,16050.00,0
263990,ACT-LT000015,Potato Corner,Payment,Cash in Bank (Peso),UFT0005258,GL0037858,2022-06-09,,B-005,Banks of the Philippine Islands,16050.00,0
264002,ACT-LT000015,Potato Corner,Payment,Cash in Bank (Peso),UFT0005259,GL0038801,2022-06-09,,B-005,Banks of the Philippine Islands,16050.00,0
264004,ACT-LT000015,Potato Corner,Payment,Cash in Bank (Peso),UFT0005259,GL0038868,2022-06-09,,B-005,Banks of the Philippine Islands,8713.76,0
264000,ACT-LT000015,Potato Corner,Payment,A/R  Non Trade External-AR Clearing,PR0003461,GL0037891,2022-06-09,,B-005,Banks of the Philippine Islands,8109.35,0
263994,ACT-LT000015,Potato Corner,Payment,Cash in Bank (Peso),UFT0005258,GL0037891,2022-06-09,,B-005,Banks of the Philippine Islands,8109.35,0
263998,ACT-LT000015,Potato Corner,Payment,A/R  Non Trade External-AR Clearing,PR0003461,GL0037892,2022-06-09,,B-005,Banks of the Philippine Islands,300.00,0
263992,ACT-LT000015,Potato Corner,Payment,Cash in Bank (Peso),UFT0005258,GL0037892,2022-06-09,,B-005,Banks of the Philippine Islands,300.00,0
263999,ACT-LT000015,Potato Corner,Payment,A/R  Non Trade External,PR0003461,GL0037892,2022-06-09,,B-005,Banks of the Philippine Islands,0,-300.00
263993,ACT-LT000015,Potato Corner,Payment,A/R  Non Trade External-AR Clearing,UFT0005258,GL0037892,2022-06-09,,B-005,Banks of the Philippine Islands,0,-300.00
264001,ACT-LT000015,Potato Corner,Payment,A/R  Non Trade External,PR0003461,GL0037891,2022-06-09,,B-005,Banks of the Philippine Islands,0,-8109.35
263995,ACT-LT000015,Potato Corner,Payment,A/R  Non Trade External-AR Clearing,UFT0005258,GL0037891,2022-06-09,,B-005,Banks of the Philippine Islands,0,-8109.35
264005,ACT-LT000015,Potato Corner,Payment,A/R  Non Trade External-AR Clearing,UFT0005259,GL0038868,2022-06-09,,B-005,Banks of the Philippine Islands,0,-8713.76
263997,ACT-LT000015,Potato Corner,Payment,Rent Receivables,PR0003461,GL0037858,2022-06-09,,B-005,Banks of the Philippine Islands,0,-16050.00
263991,ACT-LT000015,Potato Corner,Payment,Rent Receivables-RR Clearing,UFT0005258,GL0037858,2022-06-09,,B-005,Banks of the Philippine Islands,0,-16050.00
264003,ACT-LT000015,Potato Corner,Payment,Rent Receivables-RR Clearing,UFT0005259,GL0038801,2022-06-09,,B-005,Banks of the Philippine Islands,0,-16050.00
257500,ACT-LT000008,Estrella Bakery,Payment,A/R  Non Trade External-PDC,PR0003199,GL0039177,2022-06-09,2022-06-10,B-003,PNB,0,-25842.40
257498,ACT-LT000008,Estrella Bakery,Payment,Rent Receivables-PDC,PR0003199,GL0039184,2022-06-09,2022-06-10,B-003,PNB,0,-25859.76
258713,ACT-LT000013,The Prawn Farm,Payment,Advances to/from AGC H.O,PR06000217,GL0039065,2022-06-10,,,,241582.65,0
257608,ACT-LT000028,Dimsum Break,Payment,Cash in Bank (Peso),PR0003203,GL0038151,2022-06-10,,B-003,PNB,71876.91,0
