ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
223481,ACT-LT000124,Smart Antenna-Rent,Invoice,Rent Receivables,IC0035809,GL0035264,2022-01-01,2022-01-10,,,26750.00,0
227193,ACT-LT000125,Smart Antenna-Electricity,Invoice,A/R  Non Trade External,IC0036371,GL0035893,2022-01-01,2022-01-10,,,11160.00,0
234978,ACT-ST000044,Ivy and Christines Fashion Shop,Payment,Unearned Rent Income,B0017081,GL0036790,2022-01-01,,,,5000.00,0
234976,ACT-ST000044,Ivy and Christines Fashion Shop,Invoice,Rent Receivables,IC0037171,GL0036792,2022-01-01,2022-01-09,,,5000.00,0
223484,ACT-LT000124,Smart Antenna-Rent,Invoice,Creditable WHT Receivable,IC0035809,GL0035264,2022-01-01,2022-01-10,,,1250.00,0
223483,ACT-LT000124,Smart Antenna-Rent,Invoice,VAT Output,IC0035809,GL0035264,2022-01-01,2022-01-10,,,0,-3000.00
234979,ACT-ST000044,Ivy and Christines Fashion Shop,Payment,Rent Receivables,B0017081,GL0036791,2022-01-01,,,,0,-5000.00
234977,ACT-ST000044,Ivy and Christines Fashion Shop,Invoice,Rent Income,IC0037171,GL0036792,2022-01-01,2022-01-09,,,0,-5000.00
227194,ACT-LT000125,Smart Antenna-Electricity,Invoice,MI-Light and Power,IC0036371,GL0035893,2022-01-01,2022-01-10,,,0,-11160.00
223482,ACT-LT000124,Smart Antenna-Rent,Invoice,Rent Income,IC0035809,GL0035264,2022-01-01,2022-01-10,,,0,-25000.00
234958,ACT-ST000030,Shop with Matilda,Payment,Unearned Rent Income,B0017077,GL0036786,2022-01-04,,,,5000.00,0
234956,ACT-ST000030,Shop with Matilda,Invoice,Rent Receivables,IC0037168,GL0036787,2022-01-04,2022-01-12,,,5000.00,0
234959,ACT-ST000030,Shop with Matilda,Payment,Rent Receivables,B0017077,GL0036787,2022-01-04,,,,0,-5000.00
234957,ACT-ST000030,Shop with Matilda,Invoice,Rent Income,IC0037168,GL0036787,2022-01-04,2022-01-12,,,0,-5000.00
227226,ACT-LT000182,Vitabella Bubble Drink and Coffee Shop,Payment,Cash in Bank (Peso),PR0003029,GL0033179,2022-01-07,,B-003,PNB,16050.00,0
227171,ACT-LT000011,The Lemon Co,Payment,Cash in Bank (Peso),PR0003028,GL0034569,2022-01-07,,B-003,PNB,8560.00,0
227232,ACT-LT000163,Musashi Takoyaki,Payment,Cash in Bank (Peso),PR0003030,GL0030198,2022-01-07,,B-003,PNB,7079.60,0
227228,ACT-LT000182,Vitabella Bubble Drink and Coffee Shop,Payment,Cash in Bank (Peso),PR0003029,GL0033266,2022-01-07,,B-003,PNB,3897.60,0
227173,ACT-LT000011,The Lemon Co,Payment,Cash in Bank (Peso),PR0003028,GL0034575,2022-01-07,,B-003,PNB,3284.80,0
227230,ACT-LT000163,Musashi Takoyaki,Payment,Cash in Bank (Peso),PR0003030,GL0030196,2022-01-07,,B-003,PNB,2439.00,0
227231,ACT-LT000163,Musashi Takoyaki,Payment,Rent Receivables,PR0003030,GL0030196,2022-01-07,,B-003,PNB,0,-2439.00
227174,ACT-LT000011,The Lemon Co,Payment,A/R  Non Trade External,PR0003028,GL0034575,2022-01-07,,B-003,PNB,0,-3284.80
227229,ACT-LT000182,Vitabella Bubble Drink and Coffee Shop,Payment,A/R  Non Trade External,PR0003029,GL0033266,2022-01-07,,B-003,PNB,0,-3897.60
227233,ACT-LT000163,Musashi Takoyaki,Payment,A/R  Non Trade External,PR0003030,GL0030198,2022-01-07,,B-003,PNB,0,-7079.60
227172,ACT-LT000011,The Lemon Co,Payment,Rent Receivables,PR0003028,GL0034569,2022-01-07,,B-003,PNB,0,-8560.00
227227,ACT-LT000182,Vitabella Bubble Drink and Coffee Shop,Payment,Rent Receivables,PR0003029,GL0033179,2022-01-07,,B-003,PNB,0,-16050.00
227882,ACT-LT000009,Sunburst Fried Chicken,Payment,Cash in Bank (Peso),PR0003031,GL0035174,2022-01-12,,B-003,PNB,96706.65,0
227880,ACT-LT000009,Sunburst Fried Chicken,Payment,Cash in Bank (Peso),PR0003031,GL0035194,2022-01-12,,B-003,PNB,26993.21,0
