ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
234977,ACT-ST000044,Ivy and Christines Fashion Shop,Invoice,Rent Income,IC0037171,GL0036792,2022-01-01,2022-01-09,,,0,-5000.00
227194,ACT-LT000125,Smart Antenna-Electricity,Invoice,MI-Light and Power,IC0036371,GL0035893,2022-01-01,2022-01-10,,,0,-11160.00
223482,ACT-LT000124,Smart Antenna-Rent,Invoice,Rent Income,IC0035809,GL0035264,2022-01-01,2022-01-10,,,0,-25000.00
234957,ACT-ST000030,Shop with Matilda,Invoice,Rent Income,IC0037168,GL0036787,2022-01-04,2022-01-12,,,0,-5000.00
283053,ACT-ST000013,Alta Citta Bazaar,Invoice,MI-Light and Power,IC0042990,GL0043196,2022-01-14,2022-01-22,,,0,-747.50
283051,ACT-ST000013,Alta Citta Bazaar,Invoice,Rent Income,IC0042989,GL0043195,2022-01-14,2022-01-22,,,0,-25000.00
232236,ACT-ST000014,Ibex Temporary Area,Invoice,MI-Common Utilities,IC0036982,GL0036557,2022-01-19,2022-01-29,,,0,-36969.00
232237,ACT-ST000014,Ibex Temporary Area,Invoice,MI-Light and Power,IC0036982,GL0036557,2022-01-19,2022-01-29,,,0,-44172.00
232065,ACT-ST000014,Ibex Temporary Area,Invoice,Rent Income,IC0036959,GL0036532,2022-01-19,2022-01-27,,,0,-147876.00
234669,ACT-ST000035,Lucky Charms,Invoice,Rent Income,IC0037151,GL0036756,2022-01-27,2022-02-07,,,0,-12000.00
234733,ACT-ST000025,Pursify Bags Trading,Invoice,Rent Income,IC0037153,GL0036759,2022-01-29,2022-02-06,,,0,-10000.00
240433,ACT-LT000014,Jollibee,Invoice Adjustment,Rent Income,IC0037143,GL0036742,2022-01-31,2022-02-25,,,433235.81,0
240438,ACT-LT000014,Jollibee,Invoice Adjustment,MI-Light and Power,IC0037142,GL0036741,2022-01-31,2022-02-25,,,423360.00,0
240439,ACT-LT000014,Jollibee,Invoice Adjustment,MI-Charges,IC0037142,GL0036741,2022-01-31,2022-02-25,,,290637.31,0
240414,ACT-LT000037,Chowking,Invoice Adjustment,MI-Light and Power,IC0037145,GL0036744,2022-01-31,2022-02-25,,,225360.00,0
240409,ACT-LT000037,Chowking,Invoice Adjustment,Rent Income,IC0037144,GL0036743,2022-01-31,2022-02-25,,,215073.00,0
240415,ACT-LT000037,Chowking,Invoice Adjustment,MI-Charges,IC0037145,GL0036744,2022-01-31,2022-02-25,,,185585.62,0
240436,ACT-LT000014,Jollibee,Invoice Adjustment,MI-Chilled Waters,IC0037142,GL0036741,2022-01-31,2022-02-25,,,54750.00,0
240412,ACT-LT000037,Chowking,Invoice Adjustment,MI-Chilled Waters,IC0037145,GL0036744,2022-01-31,2022-02-25,,,22500.00,0
240437,ACT-LT000014,Jollibee,Invoice Adjustment,MI-Common Utilities,IC0037142,GL0036741,2022-01-31,2022-02-25,,,20469.20,0
240413,ACT-LT000037,Chowking,Invoice Adjustment,MI-Common Utilities,IC0037145,GL0036744,2022-01-31,2022-02-25,,,13279.20,0
232216,ACT-LT000215,Standard Insurance,Invoice Adjustment,MI-Common Utilities,IC0036803,GL0036371,2022-01-31,2022-02-10,,,5252.50,0
240435,ACT-LT000014,Jollibee,Invoice Adjustment,MI-Water,IC0037142,GL0036741,2022-01-31,2022-02-25,,,3879.20,0
237359,ACT-LT000027,BPI-Branch,Invoice Adjustment,MI-Charges,IC0036925,GL0036494,2022-01-31,2022-02-10,,,2821.70,0
240411,ACT-LT000037,Chowking,Invoice Adjustment,MI-Water,IC0037145,GL0036744,2022-01-31,2022-02-25,,,2282.80,0
232215,ACT-LT000215,Standard Insurance,Invoice Adjustment,MI-Chilled Waters,IC0036803,GL0036371,2022-01-31,2022-02-10,,,1875.00,0
239467,ACT-LT000021,Alvas Chicharon,Invoice Adjustment,MI-Charges,IC0036949,GL0036520,2022-01-31,2022-02-10,,,1450.00,0
232212,ACT-LT000188,I Love Milktea,Invoice Adjustment,MI-Common Utilities,IC0036798,GL0036366,2022-01-31,2022-02-10,,,750.00,0
232219,ACT-LT000217,Nom Nom Corndog,Invoice Adjustment,MI-Common Utilities,IC0036801,GL0036369,2022-01-31,2022-02-10,,,500.00,0
232202,ACT-LT000046,Sticker Race Prints and Design,Invoice Adjustment,MI-Common Utilities,IC0036804,GL0036372,2022-01-31,2022-02-10,,,500.00,0
232213,ACT-LT000188,I Love Milktea,Invoice Adjustment,MI-Aircon Charges,IC0036798,GL0036366,2022-01-31,2022-02-10,,,250.00,0
232218,ACT-LT000217,Nom Nom Corndog,Invoice Adjustment,MI-Aircon Charges,IC0036801,GL0036369,2022-01-31,2022-02-10,,,250.00,0
232201,ACT-LT000046,Sticker Race Prints and Design,Invoice Adjustment,MI-Aircon Charges,IC0036804,GL0036372,2022-01-31,2022-02-10,,,250.00,0
231173,ACT-LT000010,Nails Dot Glow,Invoice,MI-Water,IC0036815,GL0036384,2022-01-31,2022-02-10,,,0,-15.60
231954,ACT-LT000021,Alvas Chicharon,Invoice,MI-Water,IC0036949,GL0036520,2022-01-31,2022-02-10,,,0,-31.20
231811,ACT-LT000027,BPI-Branch,Invoice,MI-Water,IC0036925,GL0036494,2022-01-31,2022-02-10,,,0,-46.80
231935,ACT-LT000034,DUNKIN DONUTS,Invoice,MI-Water,IC0036946,GL0036517,2022-01-31,2022-02-10,,,0,-46.80
231723,ACT-LT000012,EO Executive Optical,Invoice,MI-Water,IC0036910,GL0036479,2022-01-31,2022-02-10,,,0,-49.40
231769,ACT-LT000005,Davids Salon,Invoice,MI-Water,IC0036917,GL0036486,2022-01-31,2022-02-10,,,0,-114.40
231243,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,Invoice,MI-Light and Power,IC0036830,GL0036399,2022-01-31,2022-02-10,,,0,-162.00
231101,ACT-LT000215,Standard Insurance,Invoice,MI-Water,IC0036803,GL0036371,2022-01-31,2022-02-10,,,0,-230.36
233549,ACT-LT000028,Dimsum Break,Invoice,MI-Water,IC0037124,GL0036719,2022-01-31,2022-02-15,,,0,-254.80
231963,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Charges,IC0036950,GL0036521,2022-01-31,2022-02-10,,,0,-270.00
231214,ACT-LT000176,M and M Cell Depot,Invoice,MI-Light and Power,IC0036823,GL0036392,2022-01-31,2022-02-10,,,0,-491.40
231955,ACT-LT000021,Alvas Chicharon,Invoice,MI-Common Utilities,IC0036949,GL0036520,2022-01-31,2022-02-10,,,0,-500.00
231263,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Common Utilities,IC0036835,GL0036404,2022-01-31,2022-02-10,,,0,-500.00
231265,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Charges,IC0036835,GL0036404,2022-01-31,2022-02-10,,,0,-500.00
231780,ACT-LT000047,AVOMANGO FOOD CORNER,Invoice,MI-Common Utilities,IC0036919,GL0036488,2022-01-31,2022-02-10,,,0,-500.00
231782,ACT-LT000047,AVOMANGO FOOD CORNER,Invoice,MI-Charges,IC0036919,GL0036488,2022-01-31,2022-02-10,,,0,-500.00
231023,ACT-LT000188,I Love Milktea,Invoice,MI-Charges,IC0036798,GL0036366,2022-01-31,2022-02-10,,,0,-500.00
231242,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,Invoice,MI-Common Utilities,IC0036830,GL0036399,2022-01-31,2022-02-10,,,0,-500.00
231244,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,Invoice,MI-Charges,IC0036830,GL0036399,2022-01-31,2022-02-10,,,0,-500.00
231215,ACT-LT000176,M and M Cell Depot,Invoice,MI-Charges,IC0036823,GL0036392,2022-01-31,2022-02-10,,,0,-500.00
231113,ACT-LT000029,Mister Donut,Invoice,MI-Aircon Charges,IC0036805,GL0036373,2022-01-31,2022-02-10,,,0,-500.00
231114,ACT-LT000029,Mister Donut,Invoice,MI-Common Utilities,IC0036805,GL0036373,2022-01-31,2022-02-10,,,0,-500.00
231116,ACT-LT000029,Mister Donut,Invoice,MI-Charges,IC0036805,GL0036373,2022-01-31,2022-02-10,,,0,-500.00
231787,ACT-LT000163,Musashi Takoyaki,Invoice,MI-Charges,IC0036920,GL0036489,2022-01-31,2022-02-10,,,0,-500.00
231785,ACT-LT000163,Musashi Takoyaki,Invoice,MI-Common Utilities,IC0036920,GL0036489,2022-01-31,2022-02-10,,,0,-500.00
231700,ACT-LT000122,Our Delibread,Invoice,MI-Common Utilities,IC0036905,GL0036474,2022-01-31,2022-02-10,,,0,-500.00
231702,ACT-LT000122,Our Delibread,Invoice,MI-Charges,IC0036905,GL0036474,2022-01-31,2022-02-10,,,0,-500.00
232122,ACT-LT000015,Potato Corner,Invoice,MI-Common Utilities,IC0036963,GL0036536,2022-01-31,2022-02-10,,,0,-500.00
232124,ACT-LT000015,Potato Corner,Invoice,MI-Charges,IC0036963,GL0036536,2022-01-31,2022-02-10,,,0,-500.00
231740,ACT-LT000065,Rulls Cellphone Accessories,Invoice,MI-Common Utilities,IC0036912,GL0036481,2022-01-31,2022-02-10,,,0,-500.00
231742,ACT-LT000065,Rulls Cellphone Accessories,Invoice,MI-Charges,IC0036912,GL0036481,2022-01-31,2022-02-10,,,0,-500.00
231204,ACT-LT000011,The Lemon Co,Invoice,MI-Common Utilities,IC0036821,GL0036390,2022-01-31,2022-02-10,,,0,-500.00
231206,ACT-LT000011,The Lemon Co,Invoice,MI-Charges,IC0036821,GL0036390,2022-01-31,2022-02-10,,,0,-500.00
231752,ACT-LT000007,The Shawarma Shack,Invoice,MI-Common Utilities,IC0036914,GL0036483,2022-01-31,2022-02-10,,,0,-500.00
232328,ACT-LT000004,Turks Shawarma,Invoice,MI-Common Utilities,IC0036992,GL0036567,2022-01-31,2022-02-10,,,0,-500.00
232330,ACT-LT000004,Turks Shawarma,Invoice,MI-Charges,IC0036992,GL0036567,2022-01-31,2022-02-10,,,0,-500.00
