ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
295521,ACT-ST000035,Lucky Charms,Invoice,Rent Income,IC0044636,GL0044980,2023-01-06,2023-01-14,,,0,-15000.00
294928,ACT-ST000052,Do Si Rak,Invoice,MI-Light and Power,IC0044566,GL0044902,2023-01-11,2023-01-19,,,0,-7113.60
294428,ACT-ST000052,Do Si Rak,Invoice,Rent Income,IC0044550,GL0044867,2023-01-11,2023-01-19,,,0,-8000.00
273878,ACT-ST000051,Shop21 Fashion Boutique,Invoice Adjustment,Rent Income,IC0041471,GL0041527,2023-01-15,2023-01-23,,,50000.00,0
295509,ACT-ST000051,Shop21 Fashion Boutique,Invoice,Rent Income,IC0044634,GL0044978,2023-01-15,2023-01-23,,,0,-10000.00
270723,ACT-ST000051,Shop21 Fashion Boutique,Invoice,Rent Income,IC0041471,GL0041527,2023-01-15,2023-01-23,,,0,-50000.00
273882,ACT-ST000026,Magchos,Invoice Adjustment,Rent Income,IC0041472,GL0041529,2023-01-16,2023-01-24,,,50000.00,0
295515,ACT-ST000026,Magchos,Invoice,Rent Income,IC0044635,GL0044979,2023-01-16,2023-01-24,,,0,-10000.00
270757,ACT-ST000026,Magchos,Invoice,Rent Income,IC0041472,GL0041529,2023-01-16,2023-01-24,,,0,-50000.00
294426,ACT-ST000053,OTOP Hub-Crissander,Invoice,Rent Income,IC0044549,GL0044866,2023-01-18,2023-01-26,,,0,-5000.00
305661,ACT-LT000116,"Ibex Global Solutions (Philippines), Inc..",Invoice Adjustment,MI-Charges,IC0045803,GL0046210,2023-01-31,2023-02-10,,,12500.00,0
304733,ACT-LT000007,The Shawarma Shack,Invoice Adjustment,Rent Income,IC0045879,GL0046288,2023-01-31,2023-02-10,,,10000.00,0
305818,ACT-LT000057,Body and Sole,Invoice Adjustment,Rent Income,IC0046045,GL0046467,2023-01-31,2023-02-10,,,5408.00,0
303455,ACT-LT000004,Turks Shawarma,Invoice Adjustment,MI-Charges,IC0045657,GL0046059,2023-01-31,2023-02-10,,,2900.00,0
311481,ACT-LT000021,Alvas Chicharon,Invoice Adjustment,MI-Light and Power,IC0045594,GL0045995,2023-01-31,2023-02-10,,,1772.00,0
302943,ACT-LT000012,EO Executive Optical,Invoice,MI-Water,IC0045574,GL0045975,2023-01-31,2023-02-10,,,0,-35.36
303483,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,Invoice,MI-Light and Power,IC0045666,GL0046068,2023-01-31,2023-02-10,,,0,-94.80
303334,ACT-LT000405,DJs SCOOP AND LOADED ICE CREAM STATION,Invoice,MI-Charges,IC0045639,GL0046040,2023-01-31,2023-02-10,,,0,-200.00
303258,ACT-LT000049,Golden Locket Jewelry Shop New,Invoice,MI-Charges,IC0045623,GL0046024,2023-01-31,2023-02-10,,,0,-200.00
302975,ACT-LT000008,Estrella Bakery,Invoice,MI-Water,IC0045580,GL0045981,2023-01-31,2023-02-10,,,0,-208.00
303408,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Charges,IC0045652,GL0046054,2023-01-31,2023-02-10,,,0,-360.00
303058,ACT-LT000021,Alvas Chicharon,Invoice,MI-Water,IC0045594,GL0045995,2023-01-31,2023-02-10,,,0,-364.00
303165,ACT-LT000270,BOHOL GLUTA SHOP,Invoice,MI-Charges,IC0045612,GL0046013,2023-01-31,2023-02-10,,,0,-385.80
303217,ACT-LT000005,Davids Salon,Invoice,MI-Charges,IC0045618,GL0046019,2023-01-31,2023-02-10,,,0,-386.16
305904,ACT-LT000062,Angels Wings Tours and Travel,Invoice,MI-Charges,IC0046052,GL0046478,2023-01-31,2023-02-10,,,0,-387.80
303090,ACT-LT000010,Nails Dot Glow,Invoice,MI-Water,IC0045600,GL0046001,2023-01-31,2023-02-10,,,0,-416.00
303725,ACT-LT000027,BPI-Branch,Invoice,MI-Water,IC0045711,GL0046116,2023-01-31,2023-02-10,,,0,-468.00
303536,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Charges,IC0045674,GL0046076,2023-01-31,2023-02-10,,,0,-500.00
303126,ACT-LT000047,AVOMANGO FOOD CORNER,Invoice,MI-Charges,IC0045607,GL0046008,2023-01-31,2023-02-10,,,0,-500.00
303332,ACT-LT000405,DJs SCOOP AND LOADED ICE CREAM STATION,Invoice,MI-Charges,IC0045638,GL0046039,2023-01-31,2023-02-10,,,0,-500.00
303547,ACT-LT000176,M and M Cell Depot,Invoice,MI-Charges,IC0045676,GL0046078,2023-01-31,2023-02-10,,,0,-500.00
302994,ACT-LT000029,Mister Donut,Invoice,MI-Charges,IC0045582,GL0045983,2023-01-31,2023-02-10,,,0,-500.00
303302,ACT-LT000217,Nom Nom Corndog,Invoice,MI-Charges,IC0045632,GL0046033,2023-01-31,2023-02-10,,,0,-500.00
303316,ACT-LT000015,Potato Corner,Invoice,MI-Charges,IC0045635,GL0046036,2023-01-31,2023-02-10,,,0,-500.00
303283,ACT-LT000046,Sticker Race Prints and Design,Invoice,MI-Charges,IC0045627,GL0046028,2023-01-31,2023-02-10,,,0,-500.00
302913,ACT-LT000182,Vitabella Bubble Drink and Coffee Shop,Invoice,MI-Charges,IC0045568,GL0045969,2023-01-31,2023-02-10,,,0,-500.00
303484,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,Invoice,MI-Charges,IC0045666,GL0046068,2023-01-31,2023-02-10,,,0,-525.00
306193,ACT-LT000028,Dimsum Break,Invoice,MI-Water,IC0046078,GL0046508,2023-01-31,2023-02-15,,,0,-551.20
306187,ACT-LT000048,Hukad,Invoice,MI-Charges,IC0046076,GL0046506,2023-01-31,2023-02-15,,,0,-568.65
303076,ACT-LT000264,Like A Buko,Invoice,MI-Light and Power,IC0045597,GL0045998,2023-01-31,2023-02-10,,,0,-576.00
303359,ACT-LT000163,Musashi Takoyaki,Invoice,MI-Charges,IC0045644,GL0046045,2023-01-31,2023-02-10,,,0,-580.00
303077,ACT-LT000264,Like A Buko,Invoice,MI-Charges,IC0045597,GL0045998,2023-01-31,2023-02-10,,,0,-585.00
303568,ACT-LT000122,Our Delibread,Invoice,MI-Charges,IC0045678,GL0046082,2023-01-31,2023-02-10,,,0,-625.40
303513,ACT-LT000192,Bobolloon Balloon Art,Invoice,MI-Charges,IC0045672,GL0046074,2023-01-31,2023-02-10,,,0,-680.90
303211,ACT-LT000005,Davids Salon,Invoice,MI-Charges,IC0045617,GL0046018,2023-01-31,2023-02-10,,,0,-698.10
303465,ACT-LT000011,The Lemon Co,Invoice,MI-Charges,IC0045662,GL0046064,2023-01-31,2023-02-10,,,0,-700.00
303045,ACT-LT000034,DUNKIN DONUTS,Invoice,MI-Water,IC0045592,GL0045993,2023-01-31,2023-02-10,,,0,-780.00
302947,ACT-LT000012,EO Executive Optical,Invoice,MI-Charges,IC0045574,GL0045975,2023-01-31,2023-02-10,,,0,-790.00
303375,ACT-LT000065,Rulls Cellphone Accessories,Invoice,MI-Charges,IC0045647,GL0046048,2023-01-31,2023-02-10,,,0,-800.00
303762,ACT-LT000406,TEALOKA MILK TEA SHOP,Invoice,MI-Charges,IC0045715,GL0046120,2023-01-31,2023-02-10,,,0,-800.00
303164,ACT-LT000270,BOHOL GLUTA SHOP,Invoice,MI-Light and Power,IC0045612,GL0046013,2023-01-31,2023-02-10,,,0,-808.00
303208,ACT-LT000005,Davids Salon,Invoice,MI-Water,IC0045617,GL0046018,2023-01-31,2023-02-10,,,0,-889.20
303464,ACT-LT000011,The Lemon Co,Invoice,MI-Light and Power,IC0045662,GL0046064,2023-01-31,2023-02-10,,,0,-934.80
303179,ACT-LT000215,Standard Insurance,Invoice,MI-Water,IC0045614,GL0046015,2023-01-31,2023-02-10,,,0,-967.20
303257,ACT-LT000049,Golden Locket Jewelry Shop New,Invoice,MI-Light and Power,IC0045623,GL0046024,2023-01-31,2023-02-10,,,0,-978.00
303057,ACT-LT000021,Alvas Chicharon,Invoice,MI-Aircon Charges,IC0045594,GL0045995,2023-01-31,2023-02-10,,,0,-1000.00
303059,ACT-LT000021,Alvas Chicharon,Invoice,MI-Common Utilities,IC0045594,GL0045995,2023-01-31,2023-02-10,,,0,-1000.00
303533,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Aircon Charges,IC0045674,GL0046076,2023-01-31,2023-02-10,,,0,-1000.00
303534,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Common Utilities,IC0045674,GL0046076,2023-01-31,2023-02-10,,,0,-1000.00
303124,ACT-LT000047,AVOMANGO FOOD CORNER,Invoice,MI-Common Utilities,IC0045607,GL0046008,2023-01-31,2023-02-10,,,0,-1000.00
303123,ACT-LT000047,AVOMANGO FOOD CORNER,Invoice,MI-Aircon Charges,IC0045607,GL0046008,2023-01-31,2023-02-10,,,0,-1000.00
303330,ACT-LT000405,DJs SCOOP AND LOADED ICE CREAM STATION,Invoice,MI-Common Utilities,IC0045638,GL0046039,2023-01-31,2023-02-10,,,0,-1000.00
303329,ACT-LT000405,DJs SCOOP AND LOADED ICE CREAM STATION,Invoice,MI-Aircon Charges,IC0045638,GL0046039,2023-01-31,2023-02-10,,,0,-1000.00
303018,ACT-LT000188,I Love Milktea,Invoice,MI-Aircon Charges,IC0045588,GL0045989,2023-01-31,2023-02-10,,,0,-1000.00
303482,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,Invoice,MI-Common Utilities,IC0045666,GL0046068,2023-01-31,2023-02-10,,,0,-1000.00
303481,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,Invoice,MI-Aircon Charges,IC0045666,GL0046068,2023-01-31,2023-02-10,,,0,-1000.00
303075,ACT-LT000264,Like A Buko,Invoice,MI-Common Utilities,IC0045597,GL0045998,2023-01-31,2023-02-10,,,0,-1000.00
303074,ACT-LT000264,Like A Buko,Invoice,MI-Aircon Charges,IC0045597,GL0045998,2023-01-31,2023-02-10,,,0,-1000.00
303544,ACT-LT000176,M and M Cell Depot,Invoice,MI-Aircon Charges,IC0045676,GL0046078,2023-01-31,2023-02-10,,,0,-1000.00
303711,ACT-LT000401,MASTER SIOMAI,Invoice,MI-Aircon Charges,IC0045708,GL0046113,2023-01-31,2023-02-10,,,0,-1000.00
303712,ACT-LT000401,MASTER SIOMAI,Invoice,MI-Common Utilities,IC0045708,GL0046113,2023-01-31,2023-02-10,,,0,-1000.00
302992,ACT-LT000029,Mister Donut,Invoice,MI-Common Utilities,IC0045582,GL0045983,2023-01-31,2023-02-10,,,0,-1000.00
302991,ACT-LT000029,Mister Donut,Invoice,MI-Aircon Charges,IC0045582,GL0045983,2023-01-31,2023-02-10,,,0,-1000.00
303356,ACT-LT000163,Musashi Takoyaki,Invoice,MI-Aircon Charges,IC0045644,GL0046045,2023-01-31,2023-02-10,,,0,-1000.00
303299,ACT-LT000217,Nom Nom Corndog,Invoice,MI-Aircon Charges,IC0045632,GL0046033,2023-01-31,2023-02-10,,,0,-1000.00
303300,ACT-LT000217,Nom Nom Corndog,Invoice,MI-Common Utilities,IC0045632,GL0046033,2023-01-31,2023-02-10,,,0,-1000.00
303565,ACT-LT000122,Our Delibread,Invoice,MI-Aircon Charges,IC0045678,GL0046082,2023-01-31,2023-02-10,,,0,-1000.00
303566,ACT-LT000122,Our Delibread,Invoice,MI-Common Utilities,IC0045678,GL0046082,2023-01-31,2023-02-10,,,0,-1000.00
303313,ACT-LT000015,Potato Corner,Invoice,MI-Aircon Charges,IC0045635,GL0046036,2023-01-31,2023-02-10,,,0,-1000.00
303314,ACT-LT000015,Potato Corner,Invoice,MI-Common Utilities,IC0045635,GL0046036,2023-01-31,2023-02-10,,,0,-1000.00
303373,ACT-LT000065,Rulls Cellphone Accessories,Invoice,MI-Common Utilities,IC0045647,GL0046048,2023-01-31,2023-02-10,,,0,-1000.00
303372,ACT-LT000065,Rulls Cellphone Accessories,Invoice,MI-Aircon Charges,IC0045647,GL0046048,2023-01-31,2023-02-10,,,0,-1000.00
303281,ACT-LT000046,Sticker Race Prints and Design,Invoice,MI-Common Utilities,IC0045627,GL0046028,2023-01-31,2023-02-10,,,0,-1000.00
303280,ACT-LT000046,Sticker Race Prints and Design,Invoice,MI-Aircon Charges,IC0045627,GL0046028,2023-01-31,2023-02-10,,,0,-1000.00
303760,ACT-LT000406,TEALOKA MILK TEA SHOP,Invoice,MI-Common Utilities,IC0045715,GL0046120,2023-01-31,2023-02-10,,,0,-1000.00
303759,ACT-LT000406,TEALOKA MILK TEA SHOP,Invoice,MI-Aircon Charges,IC0045715,GL0046120,2023-01-31,2023-02-10,,,0,-1000.00
303463,ACT-LT000011,The Lemon Co,Invoice,MI-Common Utilities,IC0045662,GL0046064,2023-01-31,2023-02-10,,,0,-1000.00
303462,ACT-LT000011,The Lemon Co,Invoice,MI-Aircon Charges,IC0045662,GL0046064,2023-01-31,2023-02-10,,,0,-1000.00
303395,ACT-LT000007,The Shawarma Shack,Invoice,MI-Aircon Charges,IC0045650,GL0046052,2023-01-31,2023-02-10,,,0,-1000.00
303396,ACT-LT000007,The Shawarma Shack,Invoice,MI-Common Utilities,IC0045650,GL0046052,2023-01-31,2023-02-10,,,0,-1000.00
303436,ACT-LT000004,Turks Shawarma,Invoice,MI-Common Utilities,IC0045657,GL0046059,2023-01-31,2023-02-10,,,0,-1000.00
303435,ACT-LT000004,Turks Shawarma,Invoice,MI-Aircon Charges,IC0045657,GL0046059,2023-01-31,2023-02-10,,,0,-1000.00
302910,ACT-LT000182,Vitabella Bubble Drink and Coffee Shop,Invoice,MI-Aircon Charges,IC0045568,GL0045969,2023-01-31,2023-02-10,,,0,-1000.00
305809,ACT-LT000057,Body and Sole,Invoice,MI-Charges,IC0046044,GL0046466,2023-01-31,2023-02-10,,,0,-1029.60
303183,ACT-LT000215,Standard Insurance,Invoice,MI-Charges,IC0045614,GL0046015,2023-01-31,2023-02-10,,,0,-1050.50
303714,ACT-LT000401,MASTER SIOMAI,Invoice,MI-Charges,IC0045708,GL0046113,2023-01-31,2023-02-10,,,0,-1056.14
303331,ACT-LT000405,DJs SCOOP AND LOADED ICE CREAM STATION,Invoice,MI-Light and Power,IC0045638,GL0046039,2023-01-31,2023-02-10,,,0,-1120.00
303546,ACT-LT000176,M and M Cell Depot,Invoice,MI-Light and Power,IC0045676,GL0046078,2023-01-31,2023-02-10,,,0,-1263.40
