ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
234977,ACT-ST000044,Ivy and Christines Fashion Shop,Invoice,Rent Income,IC0037171,GL0036792,2022-01-01,2022-01-09,,,0,-5000.00
223482,ACT-LT000124,Smart Antenna-Rent,Invoice,Rent Income,IC0035809,GL0035264,2022-01-01,2022-01-10,,,0,-25000.00
234957,ACT-ST000030,Shop with Matilda,Invoice,Rent Income,IC0037168,GL0036787,2022-01-04,2022-01-12,,,0,-5000.00
283051,ACT-ST000013,Alta Citta Bazaar,Invoice,Rent Income,IC0042989,GL0043195,2022-01-14,2022-01-22,,,0,-25000.00
232065,ACT-ST000014,Ibex Temporary Area,Invoice,Rent Income,IC0036959,GL0036532,2022-01-19,2022-01-27,,,0,-147876.00
234669,ACT-ST000035,Lucky Charms,Invoice,Rent Income,IC0037151,GL0036756,2022-01-27,2022-02-07,,,0,-12000.00
234733,ACT-ST000025,Pursify Bags Trading,Invoice,Rent Income,IC0037153,GL0036759,2022-01-29,2022-02-06,,,0,-10000.00
240433,ACT-LT000014,Jollibee,Invoice Adjustment,Rent Income,IC0037143,GL0036742,2022-01-31,2022-02-25,,,433235.81,0
240409,ACT-LT000037,Chowking,Invoice Adjustment,Rent Income,IC0037144,GL0036743,2022-01-31,2022-02-25,,,215073.00,0
231949,ACT-ST000037,AMs Eatery,Invoice,Rent Income,IC0036948,GL0036519,2022-01-31,2022-02-10,,,0,-2000.00
231921,ACT-LT000021,Alvas Chicharon,Invoice,Rent Income,IC0036943,GL0036514,2022-01-31,2022-02-10,,,0,-5000.00
232157,ACT-LT000029,Mister Donut,Invoice,Rent Income,IC0036972,GL0036545,2022-01-31,2022-02-10,,,0,-5000.00
231704,ACT-LT000167,PNB ATM 01,Invoice,Rent Income,IC0036906,GL0036475,2022-01-31,2022-02-10,,,0,-6000.00
232127,ACT-LT000168,PNB ATM 02,Invoice,Rent Income,IC0036964,GL0036537,2022-01-31,2022-02-10,,,0,-6000.00
232161,ACT-LT000217,Nom Nom Corndog,Invoice,Rent Income,IC0036973,GL0036546,2022-01-31,2022-02-10,,,0,-8000.00
232137,ACT-LT000011,The Lemon Co,Invoice,Rent Income,IC0036967,GL0036540,2022-01-31,2022-02-10,,,0,-8000.00
232145,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,Invoice,Rent Income,IC0036969,GL0036542,2022-01-31,2022-02-10,,,0,-10000.00
231855,ACT-LT000163,Musashi Takoyaki,Invoice,Rent Income,IC0036929,GL0036500,2022-01-31,2022-02-10,,,0,-10000.00
231900,ACT-LT000122,Our Delibread,Invoice,Rent Income,IC0036939,GL0036510,2022-01-31,2022-02-10,,,0,-10000.00
232165,ACT-LT000046,Sticker Race Prints and Design,Invoice,Rent Income,IC0036974,GL0036547,2022-01-31,2022-02-10,,,0,-10000.00
231879,ACT-LT000007,The Shawarma Shack,Invoice,Rent Income,IC0036934,GL0036505,2022-01-31,2022-02-10,,,0,-10000.00
232133,ACT-LT000010,Nails Dot Glow,Invoice,Rent Income,IC0036966,GL0036539,2022-01-31,2022-02-10,,,0,-12500.00
232149,ACT-LT000002,Antepara Sunglasses,Invoice,Rent Income,IC0036970,GL0036543,2022-01-31,2022-02-10,,,0,-12600.00
232321,ACT-LT000004,Turks Shawarma,Invoice,Rent Income,IC0036991,GL0036566,2022-01-31,2022-02-10,,,0,-13548.48
231859,ACT-LT000047,AVOMANGO FOOD CORNER,Invoice,Rent Income,IC0036930,GL0036501,2022-01-31,2022-02-10,,,0,-15000.00
232169,ACT-LT000188,I Love Milktea,Invoice,Rent Income,IC0036975,GL0036548,2022-01-31,2022-02-10,,,0,-15000.00
232141,ACT-LT000176,M and M Cell Depot,Invoice,Rent Income,IC0036968,GL0036541,2022-01-31,2022-02-10,,,0,-15000.00
232153,ACT-LT000015,Potato Corner,Invoice,Rent Income,IC0036971,GL0036544,2022-01-31,2022-02-10,,,0,-15000.00
231887,ACT-LT000065,Rulls Cellphone Accessories,Invoice,Rent Income,IC0036936,GL0036507,2022-01-31,2022-02-10,,,0,-15000.00
231867,ACT-LT000182,Vitabella Bubble Drink and Coffee Shop,Invoice,Rent Income,IC0036932,GL0036503,2022-01-31,2022-02-10,,,0,-15000.00
231908,ACT-LT000006,Zamin Foreign Exchange,Invoice,Rent Income,IC0036941,GL0036512,2022-01-31,2022-02-10,,,0,-18000.00
231904,ACT-LT000049,Golden Locket Jewelry Shop New,Invoice,Rent Income,IC0036940,GL0036511,2022-01-31,2022-02-10,,,0,-20000.00
231883,ACT-LT000008,Estrella Bakery,Invoice,Rent Income,IC0036935,GL0036506,2022-01-31,2022-02-10,,,0,-24168.00
231863,ACT-LT000005,Davids Salon,Invoice,Rent Income,IC0036931,GL0036502,2022-01-31,2022-02-10,,,0,-24433.50
232045,ACT-LT000124,Smart Antenna-Rent,Invoice,Rent Income,IC0036958,GL0036531,2022-01-31,2022-02-10,,,0,-25000.00
231925,ACT-LT000034,DUNKIN DONUTS,Invoice,Rent Income,IC0036944,GL0036515,2022-01-31,2022-02-10,,,0,-26551.50
231896,ACT-LT000012,EO Executive Optical,Invoice,Rent Income,IC0036938,GL0036509,2022-01-31,2022-02-10,,,0,-38710.00
233059,ACT-LT000048,Hukad,Invoice,Rent Income,IC0037076,GL0036662,2022-01-31,2022-02-15,,,0,-41654.50
233545,ACT-LT000028,Dimsum Break,Invoice,Rent Income,IC0037123,GL0036718,2022-01-31,2022-02-15,,,0,-47018.05
233516,ACT-LT000009,Sunburst Fried Chicken,Invoice,Rent Income,IC0037119,GL0036714,2022-01-31,2022-02-15,,,0,-47034.41
232280,ACT-LT000215,Standard Insurance,Invoice,Rent Income,IC0036985,GL0036560,2022-01-31,2022-02-10,,,0,-52525.00
233528,ACT-LT000013,The Prawn Farm,Invoice,Rent Income,IC0037121,GL0036716,2022-01-31,2022-02-15,,,0,-70332.27
232177,ACT-LT000225,Miniso,Invoice,Rent Income,IC0036976,GL0036549,2022-01-31,2022-02-10,,,0,-72120.00
231803,ACT-LT000027,BPI-Branch,Invoice,Rent Income,IC0036923,GL0036492,2022-01-31,2022-02-10,,,0,-169302.00
234354,ACT-LT000037,Chowking,Invoice,Rent Income,IC0037144,GL0036743,2022-01-31,2022-02-25,,,0,-215073.00
240419,ACT-LT000037,Chowking,Invoice,Rent Income,IC0037830,GL0037519,2022-01-31,2022-02-15,,,0,-215073.00
234350,ACT-LT000014,Jollibee,Invoice,Rent Income,IC0037143,GL0036742,2022-01-31,2022-02-25,,,0,-433235.81
