ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
295521,ACT-ST000035,Lucky Charms,Invoice,Rent Income,IC0044636,GL0044980,2023-01-06,2023-01-14,,,0,-15000.00
294428,ACT-ST000052,Do Si Rak,Invoice,Rent Income,IC0044550,GL0044867,2023-01-11,2023-01-19,,,0,-8000.00
273878,ACT-ST000051,Shop21 Fashion Boutique,Invoice Adjustment,Rent Income,IC0041471,GL0041527,2023-01-15,2023-01-23,,,50000.00,0
295509,ACT-ST000051,Shop21 Fashion Boutique,Invoice,Rent Income,IC0044634,GL0044978,2023-01-15,2023-01-23,,,0,-10000.00
270723,ACT-ST000051,Shop21 Fashion Boutique,Invoice,Rent Income,IC0041471,GL0041527,2023-01-15,2023-01-23,,,0,-50000.00
273882,ACT-ST000026,Magchos,Invoice Adjustment,Rent Income,IC0041472,GL0041529,2023-01-16,2023-01-24,,,50000.00,0
295515,ACT-ST000026,Magchos,Invoice,Rent Income,IC0044635,GL0044979,2023-01-16,2023-01-24,,,0,-10000.00
270757,ACT-ST000026,Magchos,Invoice,Rent Income,IC0041472,GL0041529,2023-01-16,2023-01-24,,,0,-50000.00
294426,ACT-ST000053,OTOP Hub-Crissander,Invoice,Rent Income,IC0044549,GL0044866,2023-01-18,2023-01-26,,,0,-5000.00
304733,ACT-LT000007,The Shawarma Shack,Invoice Adjustment,Rent Income,IC0045879,GL0046288,2023-01-31,2023-02-10,,,10000.00,0
305818,ACT-LT000057,Body and Sole,Invoice Adjustment,Rent Income,IC0046045,GL0046467,2023-01-31,2023-02-10,,,5408.00,0
303411,ACT-ST000037,AMs Eatery,Invoice,Rent Income,IC0045653,GL0046055,2023-01-31,2023-02-10,,,0,-3000.00
305462,ACT-LT000176,M and M Cell Depot,Invoice Adjustment,Rent Income,IC0045675,GL0046077,2023-01-31,2023-02-10,,,0,-5000.00
303285,ACT-LT000167,PNB ATM 01,Invoice,Rent Income,IC0045628,GL0046029,2023-01-31,2023-02-10,,,0,-6000.00
303103,ACT-LT000168,PNB ATM 02,Invoice,Rent Income,IC0045602,GL0046003,2023-01-31,2023-02-10,,,0,-6000.00
305445,ACT-LT000021,Alvas Chicharon,Invoice,Rent Income,IC0045982,GL0046398,2023-01-31,2023-02-10,,,0,-7000.00
303700,ACT-LT000401,MASTER SIOMAI,Invoice,Rent Income,IC0045706,GL0046111,2023-01-31,2023-02-10,,,0,-7000.00
302983,ACT-LT000029,Mister Donut,Invoice,Rent Income,IC0045581,GL0045982,2023-01-31,2023-02-10,,,0,-8000.00
303291,ACT-LT000217,Nom Nom Corndog,Invoice,Rent Income,IC0045630,GL0046031,2023-01-31,2023-02-10,,,0,-8000.00
303447,ACT-LT000011,The Lemon Co,Invoice,Rent Income,IC0045659,GL0046061,2023-01-31,2023-02-10,,,0,-8000.00
303325,ACT-LT000405,DJs SCOOP AND LOADED ICE CREAM STATION,Invoice,Rent Income,IC0045637,GL0046038,2023-01-31,2023-02-10,,,0,-10000.00
303750,ACT-LT000406,TEALOKA MILK TEA SHOP,Invoice,Rent Income,IC0045713,GL0046118,2023-01-31,2023-02-10,,,0,-10000.00
303387,ACT-LT000007,The Shawarma Shack,Invoice,Rent Income,IC0045649,GL0046051,2023-01-31,2023-02-10,,,0,-10000.00
304722,ACT-LT000007,The Shawarma Shack,Invoice,Rent Income,IC0045879,GL0046288,2023-01-31,2023-02-10,,,0,-10000.00
303477,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,Invoice,Rent Income,IC0045665,GL0046067,2023-01-31,2023-02-10,,,0,-12000.00
303064,ACT-LT000264,Like A Buko,Invoice,Rent Income,IC0045595,GL0045996,2023-01-31,2023-02-10,,,0,-12000.00
303553,ACT-LT000122,Our Delibread,Invoice,Rent Income,IC0045677,GL0046079,2023-01-31,2023-02-10,,,0,-12000.00
305898,ACT-LT000062,Angels Wings Tours and Travel,Invoice,Rent Income,IC0046051,GL0046477,2023-01-31,2023-02-08,,,0,-12500.00
303529,ACT-LT000002,Antepara Sunglasses,Invoice,Rent Income,IC0045673,GL0046075,2023-01-31,2023-02-10,,,0,-15000.00
303009,ACT-LT000188,I Love Milktea,Invoice,Rent Income,IC0045586,GL0045987,2023-01-31,2023-02-10,,,0,-15000.00
303540,ACT-LT000176,M and M Cell Depot,Invoice,Rent Income,IC0045675,GL0046077,2023-01-31,2023-02-10,,,0,-15000.00
303336,ACT-LT000163,Musashi Takoyaki,Invoice,Rent Income,IC0045640,GL0046041,2023-01-31,2023-02-10,,,0,-15000.00
303368,ACT-LT000065,Rulls Cellphone Accessories,Invoice,Rent Income,IC0045646,GL0046047,2023-01-31,2023-02-10,,,0,-15000.00
303268,ACT-LT000046,Sticker Race Prints and Design,Invoice,Rent Income,IC0045625,GL0046026,2023-01-31,2023-02-10,,,0,-15000.00
305449,ACT-LT000182,Vitabella Bubble Drink and Coffee Shop,Invoice,Rent Income,IC0045983,GL0046399,2023-01-31,2023-02-10,,,0,-15000.00
303119,ACT-LT000047,AVOMANGO FOOD CORNER,Invoice,Rent Income,IC0045606,GL0046007,2023-01-31,2023-02-10,,,0,-20000.00
305812,ACT-LT000057,Body and Sole,Invoice,Rent Income,IC0046045,GL0046467,2023-01-31,2023-02-10,,,0,-20000.00
303252,ACT-LT000049,Golden Locket Jewelry Shop New,Invoice,Rent Income,IC0045622,GL0046023,2023-01-31,2023-02-10,,,0,-20000.00
303309,ACT-LT000015,Potato Corner,Invoice,Rent Income,IC0045634,GL0046035,2023-01-31,2023-02-10,,,0,-20000.00
303427,ACT-LT000004,Turks Shawarma,Invoice,Rent Income,IC0045655,GL0046057,2023-01-31,2023-02-10,,,0,-20000.00
303401,ACT-LT000006,Zamin Foreign Exchange,Invoice,Rent Income,IC0045651,GL0046053,2023-01-31,2023-02-10,,,0,-20000.00
305464,ACT-LT000034,DUNKIN DONUTS,Invoice,Rent Income,IC0045985,GL0046401,2023-01-31,2023-02-10,,,0,-24781.40
303491,ACT-LT000284,HAPPYVILLE KIDS PLAY CENTER,Invoice,Rent Income,IC0045668,GL0046070,2023-01-31,2023-02-10,,,0,-25000.00
303082,ACT-LT000010,Nails Dot Glow,Invoice,Rent Income,IC0045598,GL0045999,2023-01-31,2023-02-10,,,0,-25000.00
303244,ACT-LT000124,Smart Antenna-Rent,Invoice,Rent Income,IC0045621,GL0046022,2023-01-31,2023-02-10,,,0,-25000.00
302971,ACT-LT000008,Estrella Bakery,Invoice,Rent Income,IC0045579,GL0045980,2023-01-31,2023-02-10,,,0,-32224.00
303506,ACT-LT000192,Bobolloon Balloon Art,Invoice,Rent Income,IC0045671,GL0046073,2023-01-31,2023-02-10,,,0,-34045.00
303158,ACT-LT000270,BOHOL GLUTA SHOP,Invoice,Rent Income,IC0045611,GL0046012,2023-01-31,2023-02-10,,,0,-35000.00
303195,ACT-LT000005,Davids Salon,Invoice,Rent Income,IC0045616,GL0046017,2023-01-31,2023-02-10,,,0,-48867.00
306189,ACT-LT000028,Dimsum Break,Invoice,Rent Income,IC0046077,GL0046507,2023-01-31,2023-02-15,,,0,-49924.32
303167,ACT-LT000215,Standard Insurance,Invoice,Rent Income,IC0045613,GL0046014,2023-01-31,2023-02-10,,,0,-52525.00
302925,ACT-LT000012,EO Executive Optical,Invoice,Rent Income,IC0045571,GL0045972,2023-01-31,2023-02-10,,,0,-55300.00
305441,ACT-LT000048,Hukad,Invoice,Rent Income,IC0045981,GL0046397,2023-01-31,2023-02-10,,,0,-62481.75
