ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
74600,ACT-ST000001,Sabroso Tsokolate,Payment,Rent Receivables,PR0000001,GL0012276,2019-07-12,0000-00-00,B-001,PNB,0,-1000.00
74587,ACT-ST000001,Sabroso Tsokolate,Invoice,Rent Receivables,IC0009100,GL0012276,2019-07-14,2019-07-22,,,1000.00,0
78575,ACT-LT000018,Merry Mango,Payment,Rent Receivables,PRJV-07000588-C,GL0012982,2019-07-18,0000-00-00,,,0,-26750.00
77285,ACT-ST000003,"Ayacca Realty &amp;amp; Development, Inc.",Payment,Rent Receivables,PR0000004,GL0012295,2019-07-26,0000-00-00,B-001,PNB,0,-3210.00
75277,ACT-ST000003,"Ayacca Realty &amp;amp; Development, Inc.",Invoice,Rent Receivables,IC0009115,GL0012295,2019-07-28,2019-08-05,,,3210.00,0
159065,ACT-LT000124,Smart Antenna-Rent,Payment,Rent Receivables,PRDS 120-B,GL0022489,2019-08-02,0000-00-00,,,0,-80250.00
86658,ACT-LT000014,Jollibee,Invoice,Rent Receivables,IC0010517,GL0014158,2019-08-31,2019-09-15,,,405406.20,0
85932,ACT-LT000013,The Prawn Farm,Invoice,Rent Receivables,IC0010461,GL0014088,2019-08-31,2019-09-15,,,131342.50,0
85461,ACT-LT000037,Chowking,Invoice,Rent Receivables,IC0010436,GL0014060,2019-08-31,2019-09-15,,,108246.31,0
86513,ACT-LT000009,Sunburst Fried Chicken,Invoice,Rent Receivables,IC0010506,GL0014143,2019-08-31,2019-09-15,,,64307.28,0
81804,ACT-LT000012,EO Executive Optical,Invoice,Rent Receivables,IC0009930,GL0013375,2019-08-31,2019-09-08,,,49627.29,0
81792,ACT-LT000005,Davids Salon,Invoice,Rent Receivables,IC0009928,GL0013373,2019-08-31,2019-09-08,,,43854.19,0
81377,ACT-LT000002,Antepara Sunglasses,Invoice,Rent Receivables,IC0009846,GL0013290,2019-08-31,2019-09-08,,,26922.58,0
81444,ACT-LT000007,The Shawarma Shack,Invoice,Rent Receivables,IC0009856,GL0013300,2019-08-31,2019-09-08,,,26922.58,0
81390,ACT-LT000018,Merry Mango,Invoice,Rent Receivables,IC0009848,GL0013292,2019-08-31,2019-09-08,,,22435.48,0
81550,ACT-LT000010,Nails Dot Glow,Invoice,Rent Receivables,IC0009878,GL0013322,2019-08-31,2019-09-08,,,22435.48,0
81366,ACT-LT000015,Potato Corner,Invoice,Rent Receivables,IC0009844,GL0013288,2019-08-31,2019-09-08,,,22435.48,0
81401,ACT-LT000003,Thirsty,Invoice,Rent Receivables,IC0009850,GL0013294,2019-08-31,2019-09-08,,,22435.48,0
81427,ACT-LT000004,Turks Shawarma,Invoice,Rent Receivables,IC0009854,GL0013298,2019-08-31,2019-09-08,,,22435.48,0
83985,ACT-LT000006,Zamin Foreign Exchange,Invoice,Rent Receivables,IC0010304,GL0013848,2019-08-31,2019-09-08,,,21745.16,0
81537,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,Rent Receivables,IC0009876,GL0013320,2019-08-31,2019-09-08,,,17948.38,0
81332,ACT-LT000021,Alvas Chicharon,Invoice,Rent Receivables,IC0009838,GL0013282,2019-08-31,2019-09-08,,,17948.38,0
81649,ACT-LT000017,Goldilocks,Invoice,Rent Receivables,IC0009901,GL0013345,2019-08-31,2019-09-08,,,16153.54,0
81414,ACT-LT000011,The Lemon Co,Invoice,Rent Receivables,IC0009852,GL0013296,2019-08-31,2019-09-08,,,13461.29,0
81527,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,Rent Receivables,IC0009874,GL0013318,2019-08-31,2019-09-08,,,10769.02,0
81536,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Rent Receivables,B0005458,GL0013318,2019-08-31,0000-00-00,,,0,-10743.25
81424,ACT-LT000011,The Lemon Co,Payment,Rent Receivables,B0005454,GL0013296,2019-08-31,0000-00-00,,,0,-13461.29
81659,ACT-LT000017,Goldilocks,Payment,Rent Receivables,B0005463,GL0013345,2019-08-31,0000-00-00,,,0,-16153.54
81547,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Payment,Rent Receivables,B0005459,GL0013320,2019-08-31,0000-00-00,,,0,-17948.38
81363,ACT-LT000021,Alvas Chicharon,Payment,Rent Receivables,B0005449,GL0013282,2019-08-31,0000-00-00,,,0,-17948.38
81584,ACT-LT000010,Nails Dot Glow,Payment,Rent Receivables,B0005461,GL0013322,2019-08-31,0000-00-00,,,0,-19526.25
81443,ACT-LT000004,Turks Shawarma,Payment,Rent Receivables,B0005456,GL0013298,2019-08-31,0000-00-00,,,0,-21257.25
81376,ACT-LT000015,Potato Corner,Payment,Rent Receivables,B0005450,GL0013288,2019-08-31,0000-00-00,,,0,-21323.05
81400,ACT-LT000018,Merry Mango,Payment,Rent Receivables,B0005452,GL0013292,2019-08-31,0000-00-00,,,0,-21485.25
81411,ACT-LT000003,Thirsty,Payment,Rent Receivables,B0005453,GL0013294,2019-08-31,0000-00-00,,,0,-22435.48
81387,ACT-LT000002,Antepara Sunglasses,Payment,Rent Receivables,B0005451,GL0013290,2019-08-31,0000-00-00,,,0,-26922.58
81454,ACT-LT000007,The Shawarma Shack,Payment,Rent Receivables,B0005457,GL0013300,2019-08-31,0000-00-00,,,0,-26922.58
81803,ACT-LT000005,Davids Salon,Payment,Rent Receivables,B0005464,GL0013373,2019-08-31,0000-00-00,,,0,-36352.44
81814,ACT-LT000012,EO Executive Optical,Payment,Rent Receivables,B0005465,GL0013375,2019-08-31,0000-00-00,,,0,-39218.77
87243,ACT-LT000009,Sunburst Fried Chicken,Payment,Rent Receivables,B0005843,GL0014143,2019-08-31,0000-00-00,,,0,-64307.28
84971,ACT-LT000005,Davids Salon,Payment,Rent Receivables,PR0000013,GL0013373,2019-09-02,0000-00-00,B-001,PNB,0,-7501.75
91647,ACT-LT000012,EO Executive Optical,Payment,Rent Receivables-RR Clearing,UFT0001492,GL0013375,2019-09-02,0000-00-00,B-003,PNB,0,-10408.52
94097,ACT-LT000018,Merry Mango,Payment,Rent Receivables-RR Clearing,UFT0001552,GL0013292,2019-09-04,0000-00-00,B-003,PNB,0,-950.23
86184,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Rent Receivables,PR0000016,GL0013318,2019-09-07,0000-00-00,B-001,PNB,0,-25.77
91497,ACT-LT000010,Nails Dot Glow,Payment,Rent Receivables-RR Clearing,UFT0001488,GL0013322,2019-09-11,0000-00-00,B-003,PNB,0,-2909.23
91757,ACT-LT000004,Turks Shawarma,Payment,Rent Receivables-RR Clearing,UFT0001493,GL0013298,2019-09-20,0000-00-00,B-003,PNB,0,-1178.23
94049,ACT-LT000014,Jollibee,Invoice,Rent Receivables,IC0011287,GL0015264,2019-09-30,2019-10-22,,,377252.96,0
92710,ACT-LT000037,Chowking,Invoice,Rent Receivables,IC0011240,GL0015198,2019-09-30,2019-10-15,,,162950.13,0
93212,ACT-LT000009,Sunburst Fried Chicken,Invoice,Rent Receivables,IC0011258,GL0015220,2019-09-30,2019-10-18,,,153348.12,0
93508,ACT-LT000013,The Prawn Farm,Invoice,Rent Receivables,IC0011274,GL0015246,2019-09-30,2019-10-20,,,131342.50,0
89634,ACT-LT000012,EO Executive Optical,Invoice,Rent Receivables,IC0010892,GL0014670,2019-09-30,2019-10-08,,,59171.00,0
89785,ACT-LT000005,Davids Salon,Invoice,Rent Receivables,IC0010923,GL0014705,2019-09-30,2019-10-08,,,52287.69,0
89601,ACT-LT000002,Antepara Sunglasses,Invoice,Rent Receivables,IC0010885,GL0014662,2019-09-30,2019-10-08,,,32100.00,0
89793,ACT-LT000006,Zamin Foreign Exchange,Invoice,Rent Receivables,IC0010925,GL0014707,2019-09-30,2019-10-08,,,32100.00,0
89663,ACT-LT000018,Merry Mango,Invoice,Rent Receivables,IC0010898,GL0014677,2019-09-30,2019-10-08,,,26750.00,0
89781,ACT-LT000010,Nails Dot Glow,Invoice,Rent Receivables,IC0010922,GL0014704,2019-09-30,2019-10-08,,,26750.00,0
89621,ACT-LT000015,Potato Corner,Invoice,Rent Receivables,IC0010889,GL0014666,2019-09-30,2019-10-08,,,26750.00,0
