ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
79242,ACT-LT000011,The Lemon Co,Payment,Security Deposit Payable,PRJV-02-95,GL0013086,2019-02-15,0000-00-00,,,0,-75000.00
79256,ACT-LT000005,Davids Salon,Payment,Security Deposit Payable,PRJV-02-110,GL0013090,2019-02-26,0000-00-00,,,0,-302400.00
79230,ACT-LT000007,The Shawarma Shack,Payment,Security Deposit Payable,PRJV-03-108,GL0013084,2019-03-11,0000-00-00,,,0,-90000.00
78651,ACT-LT000010,Nails Dot Glow,Payment,Security Deposit Payable,PRJV-131,GL0013000,2019-03-27,0000-00-00,,,0,-150000.00
110431,ACT-LT000008,Estrella Bakery,Payment,Security Deposit Payable,PRJV-115,GL0018034,2019-04-15,0000-00-00,,,0,-128896.00
110445,ACT-LT000062,Angels Wings Tours and Travel,Payment,Security Deposit Payable,PRJV-122,GL0018040,2019-06-03,0000-00-00,,,0,-75000.00
79278,ACT-LT000016,Golden Locket Jewelry Shop,Payment,Security Deposit Payable,PRJV-06-149,GL0013095,2019-06-24,0000-00-00,,,0,-36000.00
78619,ACT-LT000003,Thirsty,Payment,Security Deposit Payable,PRJV-153,GL0012990,2019-06-27,0000-00-00,,,0,-75000.00
78630,ACT-LT000004,Turks Shawarma,Payment,Security Deposit Payable,PRJV-156,GL0012993,2019-06-28,0000-00-00,,,0,-75000.00
78577,ACT-LT000018,Merry Mango,Payment,Security Deposit Payable,PRJV-07000588-C,GL0012983,2019-07-18,0000-00-00,,,0,-75000.00
78573,ACT-LT000002,Antepara Sunglasses,Payment,Security Deposit Payable,PRJV-07000588-B,GL0012981,2019-07-18,0000-00-00,,,0,-90000.00
78569,ACT-LT000012,EO Executive Optical,Payment,Security Deposit Payable,PRJV-07000588-A,GL0012979,2019-07-18,0000-00-00,,,0,-331800.00
