ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
111829,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External-AR Clearing,UFT0001804,GL0017933,2020-01-02,,B-015,PNB,0,-12.82
111827,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External-AR Clearing,UFT0001804,GL0017928,2020-01-02,,B-015,PNB,0,-193.02
111831,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External-AR Clearing,UFT0001804,GL0017934,2020-01-02,,B-015,PNB,0,-420.30
111833,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External-AR Clearing,UFT0001804,GL0015609,2020-01-02,,B-015,PNB,0,-427.40
110580,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,A/R  Non Trade External,PR0008212,GL0017480,2020-01-02,,B-015,PNB,0,-456.00
110584,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,A/R  Non Trade External,PR0008212,GL0016542,2020-01-02,,B-015,PNB,0,-3540.00
111837,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External-AR Clearing,UFT0001804,GL0016599,2020-01-02,,B-015,PNB,0,-3911.46
111077,AM-LT000014,SNOWPY ICE CREAM,Payment,A/R  Non Trade External,PR0008214,GL0017516,2020-01-03,,B-015,PNB,0,-3639.00
111821,AM-LT000111,LEYLAM,Payment,A/R  Non Trade External-AR Clearing,UFT0001803,GL0017420,2020-01-03,,B-015,PNB,0,-22321.00
111433,AM-LT000018,GOLDILOCKS,Payment,A/R  Non Trade External,PR0008215,GL0017246,2020-01-04,,B-015,PNB,0,-82.54
111437,AM-LT000018,GOLDILOCKS,Payment,A/R  Non Trade External,PR0008215,GL0017248,2020-01-04,,B-015,PNB,0,-20475.14
111777,AM-LT000009,GLOBE TELECOM INC. - Electricity,Payment,A/R  Non Trade External-AR Clearing,UFT0001801,GL0017869,2020-01-06,,B-008,PNB - Main,0,-1.35
111775,AM-LT000009,GLOBE TELECOM INC. - Electricity,Payment,A/R  Non Trade External-AR Clearing,UFT0001801,GL0017867,2020-01-06,,B-008,PNB - Main,0,-50.80
