ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
31736,AM-LT000072,STICKER RACE PRINTS AND DESIGNS  - ADBOX,Payment,Unearned Rent Income,B0002200,GL0003240,2019-01-04,,,,2000.00,0
39893,AM-LT000054,ABENSON,Payment,Unearned Rent Income-URI Clearing,UFT0000636,GL0006484,2019-01-04,,B-009,Banks of the Philippine Islands,0,-142.57
38769,AM-ST000008,BPDWA INC,Payment,Unearned Rent Income,PR0005694,GL0006379,2019-01-04,,B-008,PNB - Main,0,-12840.00
39380,AM-ST000010,BIG JEWELRY CREATION - EXHIBIT,Payment,Unearned Rent Income-PDC,PR0005703,GL0006440,2019-01-07,,B-008,PNB - Main,0,-32100.00
39900,AM-LT000054,ABENSON,Payment,Unearned Rent Income-URI Clearing,PR0005934,GL0006484,2019-01-09,,B-009,Banks of the Philippine Islands,142.57,0
39901,AM-LT000054,ABENSON,Payment,Unearned Rent Income,PR0005934,GL0006484,2019-01-09,,B-009,Banks of the Philippine Islands,0,-142.57
51948,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income-URI Clearing,PR0005813,GL0007091,2019-01-16,,B-008,PNB - Main,23761.29,0
51949,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income,PR0005813,GL0007091,2019-01-16,,B-008,PNB - Main,0,-23761.29
43389,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income-URI Clearing,UFT0000708,GL0007091,2019-01-16,,B-018,PNB ICM BRANCH,0,-23761.29
55955,AM-ST000008,BPDWA INC,Payment,Unearned Rent Income,B0003768,GL0006379,2019-01-27,,,,12840.00,0
55957,AM-ST000008,BPDWA INC,Payment,Unearned Rent Income,B0003768,GL0007290,2019-01-27,,,,12840.00,0
52812,AM-LT000060,AZE DEAL,Payment,Unearned Rent Income,PR0005942,GL0008863,2019-01-29,,B-009,Banks of the Philippine Islands,0,-26.51
39840,AM-ST000010,BIG JEWELRY CREATION - EXHIBIT,Payment,Unearned Rent Income,B0002793,GL0006440,2019-01-31,,,,32100.00,0
43419,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income,B0003034,GL0007091,2019-01-31,,,,23761.29,0
47813,AM-LT000034,BEBIES LECHON BABOY,Payment,Unearned Rent Income,B0003198,GL0008043,2019-01-31,,,,9630.00,0
42237,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Unearned Rent Income,B0002922,GL0004163,2019-01-31,,,,4966.24,0
47815,AM-LT000034,BEBIES LECHON BABOY,Payment,Unearned Rent Income,B0003198,GL0008043,2019-01-31,,,,500.00,0
42239,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Unearned Rent Income,B0002922,GL0004983,2019-01-31,,,,400.00,0
43177,AM-LT000054,ABENSON,Payment,Unearned Rent Income,B0003007,GL0006484,2019-01-31,,,,142.57,0
44306,AM-ST000008,BPDWA INC,Payment,Unearned Rent Income,PR0005750,GL0007290,2019-02-01,,B-008,PNB - Main,0,-12840.00
50117,AM-LT000125,BEBIES LECHON BABOY - NEW,Payment,Unearned Rent Income,PR0005757,GL0008492,2019-02-04,,B-008,PNB - Main,0,-370.00
47812,AM-LT000034,BEBIES LECHON BABOY,Payment,Unearned Rent Income,PR0005757,GL0008043,2019-02-04,,B-008,PNB - Main,0,-10130.00
44676,AM-ST000010,BIG JEWELRY CREATION - EXHIBIT,Payment,Unearned Rent Income-PDC,PR0005753,GL0007333,2019-02-04,,B-008,PNB - Main,0,-32100.00
59562,AM-LT000119,MERRY MANGO,Payment,Unearned Rent Income-Preop Clearing,PR0005805,GL0009372,2019-02-12,,B-008,PNB - Main,16050.00,0
47506,AM-LT000120,BAREFRUIT GUYABANO,Payment,Unearned Rent Income,PR0005804,GL0008013,2019-02-12,,,,0,-16050.00
59563,AM-LT000119,MERRY MANGO,Payment,Unearned Rent Income,PR0005805,GL0009372,2019-02-12,,B-008,PNB - Main,0,-16050.00
55804,AM-LT000119,MERRY MANGO,Payment,Unearned Rent Income-Preop Clearing,UFT0000901,GL0009372,2019-02-12,,B-008,PNB - Main,0,-16050.00
56381,AM-ST000014,AVON COSMETICS,Payment,Unearned Rent Income,B0003812,GL0009513,2019-02-14,,,,2140.00,0
56380,AM-ST000014,AVON COSMETICS,Payment,Unearned Rent Income,PR0005791,GL0009513,2019-02-14,,B-008,PNB - Main,0,-2140.00
47923,AM-ST000063,INENGS FLOWER SHOP,Payment,Unearned Rent Income,PR0005797,GL0008050,2019-02-19,,B-008,PNB - Main,0,-1605.00
69639,AM-LT000113,HUAWEI,Payment,Unearned Rent Income-PDC,PR0006460,GL0011455,2019-02-19,,B-015,PNB,0,-26750.00
48615,AM-ST000109,AIKIJUTSU,Payment,Unearned Rent Income,PR0005851,GL0008131,2019-02-22,,B-008,PNB - Main,0,-2000.00
50104,AM-ST000008,BPDWA INC,Payment,Unearned Rent Income,PR0005854,GL0008488,2019-02-27,,B-008,PNB - Main,0,-12840.00
52757,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income,B0003544,GL0006541,2019-02-28,,,,35388.38,0
46437,AM-ST000010,BIG JEWELRY CREATION - EXHIBIT,Payment,Unearned Rent Income,B0003149,GL0007333,2019-02-28,,,,32100.00,0
48627,AM-LT000111,LEYLAM,Payment,Unearned Rent Income,B0003245,GL0008129,2019-02-28,,,,32100.00,0
52755,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income,B0003544,GL0006541,2019-02-28,,,,22136.17,0
49644,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0003338,GL0006491,2019-02-28,,,,19107.14,0
49646,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0003338,GL0006491,2019-02-28,,,,7142.86,0
49724,AM-LT000083,SANTINOS PIZZA,Payment,Unearned Rent Income,B0003347,GL0006488,2019-02-28,,,,5961.43,0
49726,AM-LT000083,SANTINOS PIZZA,Payment,Unearned Rent Income,B0003347,GL0006488,2019-02-28,,,,2046.97,0
97801,AM-ST000063,INENGS FLOWER SHOP,Payment,Unearned Rent Income,B0006602,GL0008050,2019-02-28,,,,1605.00,0
49648,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0003338,GL0006492,2019-02-28,,,,500.00,0
50257,AM-LT000125,BEBIES LECHON BABOY - NEW,Payment,Unearned Rent Income,B0003399,GL0008492,2019-02-28,,,,370.00,0
51742,AM-ST000110,ROYAL CHRISTIAN COLLEGE,Payment,Unearned Rent Income,PR0005875,GL0008770,2019-03-06,,B-015,PNB,0,-4012.50
51747,AM-ST000110,ROYAL CHRISTIAN COLLEGE,Payment,Unearned Rent Income,B0003512,GL0008770,2019-03-07,,,,4012.50,0
52029,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,PR0005880,GL0008793,2019-03-08,,B-015,PNB,0,-35095.40
52285,AM-LT000125,BEBIES LECHON BABOY - NEW,Payment,Unearned Rent Income,PR0006053,GL0008804,2019-03-11,,B-015,PNB,0,-370.00
52258,AM-LT000116,SAMSUNG,Payment,Unearned Rent Income,PR0006052,GL0008800,2019-03-11,,B-015,PNB,0,-27161.16
53109,AM-LT000045,LBC,Payment,Unearned Rent Income-PDC,PR0006061,GL0008876,2019-03-18,,B-015,PNB,0,-4.05
53644,AM-LT000124,BOHOL MEDICAL LAB TESTING CENTER,Payment,Unearned Rent Income,PR0006063,GL0008926,2019-03-22,,B-015,PNB,0,-41344.80
69651,AM-LT000114,OPPO,Payment,Unearned Rent Income,PR6459,GL0011460,2019-03-23,,B-015,PNB,0,-23540.00
55963,AM-ST000008,BPDWA INC,Payment,Unearned Rent Income,B0003769,GL0008488,2019-03-27,,,,12840.00,0
57433,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income,B0003869,GL0006541,2019-03-31,,,,29487.85,0
56119,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0003783,GL0008793,2019-03-31,,,,26750.00,0
56121,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0003783,GL0008793,2019-03-31,,,,8345.40,0
60896,AM-LT000120,BAREFRUIT GUYABANO,Payment,Unearned Rent Income,B0004084,GL0008013,2019-03-31,,,,7766.13,0
60855,AM-LT000119,MERRY MANGO,Payment,Unearned Rent Income,B0004078,GL0009372,2019-03-31,,,,7766.13,0
54027,AM-LT000083,SANTINOS PIZZA,Payment,Unearned Rent Income,B0003599,GL0006488,2019-03-31,,,,4831.60,0
60898,AM-LT000120,BAREFRUIT GUYABANO,Payment,Unearned Rent Income,B0004084,GL0008013,2019-03-31,,,,1628.05,0
60857,AM-LT000119,MERRY MANGO,Payment,Unearned Rent Income,B0004078,GL0009372,2019-03-31,,,,1558.05,0
53694,AM-LT000125,BEBIES LECHON BABOY - NEW,Payment,Unearned Rent Income,B0003568,GL0008804,2019-03-31,,,,370.00,0
54569,AM-LT000060,AZE DEAL,Payment,Unearned Rent Income,B0003635,GL0008863,2019-03-31,,,,26.51,0
53927,AM-LT000045,LBC,Payment,Unearned Rent Income,B0003590,GL0008876,2019-03-31,,,,4.05,0
56490,AM-LT000127,NAILAX BEAUTY SALON,Payment,Unearned Rent Income,PR0006076,GL0009525,2019-04-01,,B-015,PNB,0,-32361.61
61228,AM-LT000054,ABENSON,Payment,Unearned Rent Income-URI Clearing,UFT0000978,GL0010263,2019-04-03,,B-009,Banks of the Philippine Islands,0,-1297.09
52992,AM-ST000109,AIKIJUTSU,Payment,Unearned Rent Income,B0003550,GL0008131,2019-04-08,,,,2000.00,0
57747,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,PR0006098,GL0009679,2019-04-08,,B-015,PNB,0,-35095.40
58113,AM-ST000035,UNIVERSAL ROBINA CORPORATION,Payment,Unearned Rent Income,PR0006017,GL0009709,2019-04-12,,B-015,PNB,0,-1000.00
58279,AM-ST000130,SAMBROSO TSOKOLATE,Payment,Unearned Rent Income,PR0006019,GL0009715,2019-04-13,,B-015,PNB,0,-5500.00
59146,AM-LT000018,GOLDILOCKS,Payment,Unearned Rent Income,PR0006027,GL0009795,2019-04-24,,B-015,PNB,0,-9793.20
60194,AM-ST000035,UNIVERSAL ROBINA CORPORATION,Payment,Unearned Rent Income,PR0006030,GL0010027,2019-04-25,,B-015,PNB,0,-1000.00
61233,AM-LT000054,ABENSON,Payment,Unearned Rent Income-URI Clearing,PR0005844,GL0010263,2019-04-26,,B-009,Banks of the Philippine Islands,1297.09,0
61234,AM-LT000054,ABENSON,Payment,Unearned Rent Income,PR0005844,GL0010263,2019-04-26,,B-009,Banks of the Philippine Islands,0,-1297.09
60338,AM-LT000135,0219 ST. CAFE,Payment,Unearned Rent Income,PR0006032,GL0010055,2019-04-26,,B-015,PNB,0,-12840.00
144573,AM-ST000130,SAMBROSO TSOKOLATE,Payment,Unearned Rent Income,B0009928,GL0009715,2019-04-27,,,,5500.00,0
61265,AM-ST000008,BPDWA INC,Payment,Unearned Rent Income,PR0006034,GL0010271,2019-04-29,,B-015,PNB,0,-12840.00
61271,AM-LT000130,BEAUTY AND BEYOND FACIAL AND SLIMMING,Payment,Unearned Rent Income,PR014653,GL0010272,2019-04-29,,B-015,PNB,0,-37738.90
61483,AM-ST000131,FIL-CANADIAN TRAINING AND DEVELOPMENT CENTER,Payment,Unearned Rent Income,PR0006037,GL0010327,2019-04-29,,B-015,PNB,0,-43000.00
61475,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0004140,GL0009679,2019-04-30,,,,26750.00,0
61641,AM-LT000018,GOLDILOCKS,Payment,Unearned Rent Income,B0004158,GL0009795,2019-04-30,,,,9793.20,0
61477,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0004140,GL0009679,2019-04-30,,,,8345.40,0
61404,AM-LT000119,MERRY MANGO,Payment,Unearned Rent Income,B0004132,GL0009372,2019-04-30,,,,6725.82,0
60904,AM-LT000120,BAREFRUIT GUYABANO,Payment,Unearned Rent Income,B0004086,GL0008013,2019-04-30,,,,6655.82,0
61244,AM-LT000054,ABENSON,Payment,Unearned Rent Income,B0004122,GL0010263,2019-04-30,,,,1297.09,0
61658,AM-LT000129,METROPOLITAN BANK and TRUST COMPANY,Payment,Unearned Rent Income,PR014654,GL0010360,2019-05-03,,B-015,PNB,0,-102580.00
61692,AM-ST000035,UNIVERSAL ROBINA CORPORATION,Payment,Unearned Rent Income,PR0006038,GL0010366,2019-05-04,,B-015,PNB,0,-1000.00
61765,AM-ST000131,FIL-CANADIAN TRAINING AND DEVELOPMENT CENTER,Payment,Unearned Rent Income,PR0006039,GL0010374,2019-05-04,,B-015,PNB,0,-57000.00
62506,AM-LT000054,ABENSON,Payment,Unearned Rent Income-URI Clearing,UFT0000998,GL0010462,2019-05-07,,B-009,Banks of the Philippine Islands,0,-1297.09
62526,AM-ST000057,ABENSON EXHIBIT,Payment,Unearned Rent Income,PR0006306,GL0010463,2019-05-08,,B-015,PNB,0,-749.00
63095,AM-LT000054,ABENSON,Payment,Unearned Rent Income-URI Clearing,PR0006354,GL0010462,2019-05-09,,B-009,Banks of the Philippine Islands,1297.09,0
63096,AM-LT000054,ABENSON,Payment,Unearned Rent Income,PR0006354,GL0010462,2019-05-09,,B-009,Banks of the Philippine Islands,0,-1297.09
62638,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,PR0006308,GL0010475,2019-05-09,,B-015,PNB,0,-35095.40
153614,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income-AR Clearing,UFT0001040,GL0024631,2019-05-15,,B-008,PNB - Main,0,-1444.19
63342,AM-ST000131,FIL-CANADIAN TRAINING AND DEVELOPMENT CENTER,Payment,Unearned Rent Income,PR0006337,GL0010522,2019-05-15,,B-015,PNB,0,-28000.00
153615,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income-AR Clearing,PR0006360,GL0024631,2019-05-17,,B-008,PNB - Main,1444.19,0
153616,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income,PR0006360,GL0024631,2019-05-17,,B-008,PNB - Main,0,-1444.19
63838,AM-ST000131,FIL-CANADIAN TRAINING AND DEVELOPMENT CENTER,Payment,Unearned Rent Income,PR0006345,GL0010550,2019-05-21,,B-015,PNB,0,-1000.00
63808,AM-LT000018,GOLDILOCKS,Payment,Unearned Rent Income,PR0006342,GL0010548,2019-05-21,,B-015,PNB,0,-9286.31
68683,AM-ST000131,FIL-CANADIAN TRAINING AND DEVELOPMENT CENTER,Payment,Unearned Rent Income,B0004610,GL0010374,2019-05-22,,,,57000.00,0
68681,AM-ST000131,FIL-CANADIAN TRAINING AND DEVELOPMENT CENTER,Payment,Unearned Rent Income,B0004610,GL0010327,2019-05-22,,,,43000.00,0
68685,AM-ST000131,FIL-CANADIAN TRAINING AND DEVELOPMENT CENTER,Payment,Unearned Rent Income,B0004610,GL0010522,2019-05-22,,,,28000.00,0
68687,AM-ST000131,FIL-CANADIAN TRAINING AND DEVELOPMENT CENTER,Payment,Unearned Rent Income,B0004610,GL0010550,2019-05-22,,,,1000.00,0
64641,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income-URI Clearing,UFT0001041,GL0010695,2019-05-23,,B-008,PNB - Main,0,-70377.43
64646,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income-URI Clearing,PR0006362,GL0010695,2019-05-24,,B-008,PNB - Main,70377.43,0
64647,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income,PR0006362,GL0010695,2019-05-24,,B-008,PNB - Main,0,-70377.43
68919,AM-ST000008,BPDWA INC,Payment,Unearned Rent Income,B0004623,GL0010271,2019-05-27,,,,12840.00,0
68921,AM-ST000008,BPDWA INC,Payment,Unearned Rent Income,B0004623,GL0010966,2019-05-27,,,,12840.00,0
65845,AM-ST000008,BPDWA INC,Payment,Unearned Rent Income,PR0006349,GL0010966,2019-05-28,,B-015,PNB,0,-12840.00
66734,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Unearned Rent Income,PR0006350,GL0011156,2019-05-29,,B-015,PNB,0,-990.38
69582,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income,B0004645,GL0010695,2019-05-31,,,,70377.43,0
64802,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0004321,GL0010475,2019-05-31,,,,26750.00,0
72565,AM-LT000141,RJBM PAWNSHOP,Payment,Unearned Rent Income,B0004499,GL0010971,2019-05-31,,,,9749.00,0
67396,AM-LT000018,GOLDILOCKS,Payment,Unearned Rent Income,B0004550,GL0010548,2019-05-31,,,,9286.31,0
65673,AM-LT000135,0219 ST. CAFE,Payment,Unearned Rent Income,B0004394,GL0010055,2019-05-31,,,,9112.10,0
64804,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0004321,GL0010475,2019-05-31,,,,8345.40,0
66709,AM-LT000141,RJBM PAWNSHOP,Payment,Unearned Rent Income,B0004499,GL0010971,2019-05-31,,,,7593.53,0
65675,AM-LT000135,0219 ST. CAFE,Payment,Unearned Rent Income,B0004394,GL0010055,2019-05-31,,,,2154.70,0
66711,AM-LT000141,RJBM PAWNSHOP,Payment,Unearned Rent Income,B0004499,GL0010971,2019-05-31,,,,2078.83,0
153617,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income,B0004645,GL0024631,2019-05-31,,,,1444.19,0
64818,AM-LT000054,ABENSON,Payment,Unearned Rent Income,B0004322,GL0010462,2019-05-31,,,,1297.09,0
66741,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Unearned Rent Income,B0004501,GL0011156,2019-05-31,,,,990.38,0
66744,AM-ST000078,UNILEVER,Payment,Unearned Rent Income,PR0006404,GL0011159,2019-05-31,,B-015,PNB,0,-500.00
67056,AM-ST000146,CEBU MJR CORP.,Payment,Unearned Rent Income,PR0006407,GL0011229,2019-06-01,,B-015,PNB,0,-1000.00
67084,AM-ST000146,CEBU MJR CORP.,Payment,Unearned Rent Income,B0004530,GL0011229,2019-06-02,,,,1000.00,0
68127,AM-LT000129,METROPOLITAN BANK and TRUST COMPANY,Payment,Unearned Rent Income,PR0006422,GL0011353,2019-06-07,,B-015,PNB,0,-7180.60
68375,AM-ST000149,MONDELES INT.,Payment,Unearned Rent Income,PR0006426,GL0011376,2019-06-08,,B-015,PNB,0,-1000.00
68529,AM-ST000149,MONDELES INT.,Payment,Unearned Rent Income,B0004608,GL0011376,2019-06-09,,,,1000.00,0
68690,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,PR0006441,GL0011389,2019-06-10,,B-015,PNB,0,-35095.40
68872,AM-ST000151,PROMOSPHERE,Payment,Unearned Rent Income,PR0006453,GL0011418,2019-06-11,,B-015,PNB,0,-1500.00
68877,AM-ST000151,PROMOSPHERE,Payment,Unearned Rent Income,B0004622,GL0011418,2019-06-13,,,,1500.00,0
69046,AM-LT000145,COFFEE SPOT,Payment,Unearned Rent Income,PR0006455,GL0011428,2019-06-13,,B-015,PNB,0,-16050.00
69504,AM-ST000059,QUICKIE WATERLESS CARWASH,Payment,Unearned Rent Income,B0004643,GL0011443,2019-06-14,,,,6420.00,0
69625,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income-URI Clearing,UFT0001144,GL0011454,2019-06-14,,B-009,Banks of the Philippine Islands,0,-641.02
69457,AM-ST000059,QUICKIE WATERLESS CARWASH,Payment,Unearned Rent Income,PR0006456,GL0011443,2019-06-14,,B-015,PNB,0,-6420.00
69529,AM-LT000018,GOLDILOCKS,Payment,Unearned Rent Income,PR0006458,GL0011451,2019-06-17,,B-015,PNB,0,-9126.38
69630,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income-URI Clearing,PR0006377,GL0011454,2019-06-19,,B-009,Banks of the Philippine Islands,641.02,0
69631,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income,PR0006377,GL0011454,2019-06-19,,B-009,Banks of the Philippine Islands,0,-641.02
69763,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income-URI Clearing,UFT0001151,GL0011476,2019-06-19,,B-008,PNB - Main,0,-1444.19
69659,AM-ST000149,MONDELES INT.,Payment,Unearned Rent Income,PR0006461,GL0011464,2019-06-19,,B-015,PNB,0,-2000.00
69779,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income-URI Clearing,PR0006378,GL0011476,2019-06-20,,B-008,PNB - Main,1444.19,0
69780,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income,PR0006378,GL0011476,2019-06-20,,B-008,PNB - Main,0,-1444.19
71925,AM-LT000155,SWEET YUMMY BUNUELOS AND REFRESHMENT,Payment,Unearned Rent Income,PR0006469,GL0011929,2019-06-25,,B-015,PNB,0,-12840.00
74395,AM-LT000071,M LHUILLIER - ROAD SIGN,Payment,Unearned Rent Income,B0004995,GL0012260,2019-06-27,,,,12000.00,0
71343,AM-LT000113,HUAWEI,Payment,Unearned Rent Income,B0004775,GL0011455,2019-06-30,,,,26750.00,0
71593,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0004804,GL0011389,2019-06-30,,,,26750.00,0
71363,AM-LT000114,OPPO,Payment,Unearned Rent Income,B0004777,GL0011460,2019-06-30,,,,23540.00,0
72591,AM-LT000141,RJBM PAWNSHOP,Payment,Unearned Rent Income,B0004903,GL0012096,2019-06-30,,,,10861.36,0
72589,AM-LT000141,RJBM PAWNSHOP,Payment,Unearned Rent Income,B0004903,GL0010971,2019-06-30,,,,10538.64,0
73194,AM-LT000018,GOLDILOCKS,Payment,Unearned Rent Income,B0004944,GL0011451,2019-06-30,,,,9126.38,0
71595,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0004804,GL0011389,2019-06-30,,,,8345.40,0
72593,AM-LT000141,RJBM PAWNSHOP,Payment,Unearned Rent Income,B0004903,GL0012096,2019-06-30,,,,6994.90,0
71080,AM-LT000135,0219 ST. CAFE,Payment,Unearned Rent Income,B0004747,GL0010055,2019-06-30,,,,1573.20,0
72554,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income,B0004900,GL0011476,2019-06-30,,,,1444.19,0
73331,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income,B0004948,GL0011454,2019-06-30,,,,641.02,0
73154,AM-LT000121,BIG JEWELRY CREATION,Payment,Unearned Rent Income,PR0006483,GL0012163,2019-07-03,,B-015,PNB,0,-32100.00
74132,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,PR0006500,GL0012256,2019-07-08,,B-015,PNB,0,-35095.40
75256,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income-URI Clearing,UFT0001257,GL0012294,2019-07-09,,B-008,PNB - Main,0,-2878.15
74240,AM-LT000071,M LHUILLIER - ROAD SIGN,Payment,Unearned Rent Income,PR0006506,GL0012260,2019-07-09,,B-015,PNB,0,-12000.00
74917,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income-URI Clearing,UFT0001247,GL0012283,2019-07-12,,B-009,Banks of the Philippine Islands,0,-12.03
74922,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income-URI Clearing,PR0006396,GL0012283,2019-07-13,,B-009,Banks of the Philippine Islands,12.03,0
74923,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income,PR0006396,GL0012283,2019-07-13,,B-009,Banks of the Philippine Islands,0,-12.03
75263,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income-URI Clearing,PR0006399,GL0012294,2019-07-19,,B-008,PNB - Main,2878.15,0
75264,AM-LT000086,DAISO JAPAN SHOP,Payment,Unearned Rent Income,PR0006399,GL0012294,2019-07-19,,B-008,PNB - Main,0,-2878.15
