ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
24704,AM-LT000038,MASTER PAY AVENUE,Payment,A/R  Non Trade External-AR Clearing,UFT0000399,GL0003908,2018-10-01,,B-008,PNB - Main,0,-31.33
24398,AM-LT000074,D REAL TUBO,Payment,A/R  Non Trade External,PR0005557,GL0003889,2018-10-01,,B-008,PNB - Main,0,-1887.00
24708,AM-LT000038,MASTER PAY AVENUE,Payment,A/R  Non Trade External-AR Clearing,UFT0000399,GL0003910,2018-10-01,,B-008,PNB - Main,0,-2080.00
24513,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,A/R  Non Trade External,PR0005561,GL0003844,2018-10-03,,B-008,PNB - Main,0,-5320.00
25108,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,A/R  Non Trade External-AR Clearing,UFT0000405,GL0003604,2018-10-03,,B-008,PNB - Main,0,-37250.40
24830,AM-LT000054,ABENSON,Payment,A/R  Non Trade External-AR Clearing,UFT0000403,GL0003656,2018-10-03,,B-009,Banks of the Philippine Islands,0,-138675.48
24688,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,A/R  Non Trade External-PDC,PR0005567,GL0003217,2018-10-04,,B-008,PNB - Main,0,-430.60
24682,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,A/R  Non Trade External-PDC,PR0005567,GL0003913,2018-10-04,,B-008,PNB - Main,0,-439.01
24686,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,A/R  Non Trade External-PDC,PR0005567,GL0002772,2018-10-04,,B-008,PNB - Main,0,-2260.00
43031,AM-LT000063,POTATO CORNER,Payment,A/R  Non Trade External-AR Clearing,UFT0000700,GL0003824,2018-10-04,,B-008,PNB - Main,0,-5688.08
24670,AM-LT000032,CIGNAL HUB,Payment,A/R  Non Trade External,PR0005564,GL0003810,2018-10-04,,B-008,PNB - Main,0,-7183.48
24620,AM-LT000044,RC LUCKY GRAPHICS,Payment,A/R  Non Trade External-PDC,PR0005562-A,GL0003706,2018-10-04,,B-008,PNB - Main,0,-8718.00
24674,AM-LT000030,SAVE n EARN,Payment,A/R  Non Trade External,PR0005565,GL0003808,2018-10-04,,B-008,PNB - Main,0,-12730.20
24694,AM-LT000055,IDEAL VISION CENTER,Payment,A/R  Non Trade External,PR0005568,GL0003667,2018-10-04,,B-008,PNB - Main,0,-30047.04
