ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
24454,AM-ST000005,FORD - BOHOL,Payment,Check Receivable - PDC,PR0005559,GL0003377,2018-10-02,,B-008,PNB - Main,64200.00,0
24617,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005562-A,GL0003705,2018-10-04,,B-008,PNB - Main,32100.00,0
24683,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Check Receivable - PDC,PR0005567,GL0002769,2018-10-04,,B-008,PNB - Main,19260.00,0
24619,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005562-A,GL0003706,2018-10-04,,B-008,PNB - Main,8718.00,0
24621,AM-LT000065,RC LUCKY GRAPHICS -STICKER,Payment,Check Receivable - PDC,PR0005563-B,GL0003709,2018-10-04,,B-008,PNB - Main,3000.00,0
24685,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Check Receivable - PDC,PR0005567,GL0002772,2018-10-04,,B-008,PNB - Main,2260.00,0
24681,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Check Receivable - PDC,PR0005567,GL0003913,2018-10-04,,B-008,PNB - Main,439.01,0
24687,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Check Receivable - PDC,PR0005567,GL0003217,2018-10-04,,B-008,PNB - Main,430.60,0
25624,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PR0005579,GL0003632,2018-10-09,,B-008,PNB - Main,12976.42,0
25626,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PR0005579,GL0003634,2018-10-09,,B-008,PNB - Main,3390.00,0
72458,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PDC0000003,GL0003706,2018-10-10,,B-008,PNB - Main,0,-8718.00
74026,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PDC0000052,GL0003706,2018-10-10,,B-008,PNB - Main,0,-8718.00
72456,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PDC0000003,GL0003705,2018-10-10,,B-008,PNB - Main,0,-32100.00
74024,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PDC0000052,GL0003705,2018-10-10,,B-008,PNB - Main,0,-32100.00
26758,AM-LT000052,SECURITY BANK - ATM,Payment,Check Receivable - PDC,PR0005612,GL0003846,2018-10-24,,B-008,PNB - Main,10270.60,0
26760,AM-LT000052,SECURITY BANK - ATM,Payment,Check Receivable - PDC,PR0005612,GL0003847,2018-10-24,,B-008,PNB - Main,429.40,0
29057,AM-ST000010,BIG JEWELRY CREATION - EXHIBIT,Payment,Check Receivable - PDC,PR0005619,GL0004799,2018-11-05,,B-008,PNB - Main,32100.00,0
29488,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PR0005629,GL0004358,2018-11-07,,B-008,PNB - Main,12976.42,0
29490,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PR0005629,GL0004361,2018-11-07,,B-008,PNB - Main,2850.00,0
30262,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005640-A,GL0004313,2018-11-09,,B-008,PNB - Main,32100.00,0
30264,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005640-A,GL0004314,2018-11-09,,B-008,PNB - Main,8258.00,0
30266,AM-LT000065,RC LUCKY GRAPHICS -STICKER,Payment,Check Receivable - PDC,PR0005640-B,GL0004334,2018-11-09,,B-008,PNB - Main,3000.00,0
73263,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PDC0000032,GL0004361,2018-11-12,,B-008,PNB - Main,0,-2850.00
73261,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PDC0000032,GL0004358,2018-11-12,,B-008,PNB - Main,0,-12976.42
73265,AM-ST000010,BIG JEWELRY CREATION - EXHIBIT,Payment,Check Receivable - PDC,PDC0000033,GL0004799,2018-11-19,,B-008,PNB - Main,0,-32100.00
35104,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005651-B,GL0005154,2018-12-07,,B-008,PNB - Main,32100.00,0
35106,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005651-B,GL0005155,2018-12-07,,B-008,PNB - Main,8288.00,0
35108,AM-LT000065,RC LUCKY GRAPHICS -STICKER,Payment,Check Receivable - PDC,PR0006000-A,GL0005153,2018-12-07,,B-008,PNB - Main,3000.00,0
35176,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PR0005652,GL0005287,2018-12-08,,B-008,PNB - Main,12976.42,0
35178,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PR0005652,GL0005289,2018-12-08,,B-008,PNB - Main,3100.00,0
39379,AM-ST000010,BIG JEWELRY CREATION - EXHIBIT,Payment,Check Receivable - PDC,PR0005703,GL0006440,2019-01-07,,B-008,PNB - Main,32100.00,0
39756,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005713,GL0005878,2019-01-08,,B-008,PNB - Main,32100.00,0
39672,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PR0005709,GL0005847,2019-01-08,,B-008,PNB - Main,12976.42,0
39758,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005713,GL0005879,2019-01-08,,B-008,PNB - Main,8138.00,0
39760,AM-LT000065,RC LUCKY GRAPHICS -STICKER,Payment,Check Receivable - PDC,PR0005714,GL0005884,2019-01-08,,B-008,PNB - Main,3000.00,0
39674,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PR0005709,GL0005848,2019-01-08,,B-008,PNB - Main,2800.00,0
73951,AM-ST000010,BIG JEWELRY CREATION - EXHIBIT,Payment,Check Receivable - PDC,PDC0000042,GL0006440,2019-01-09,,B-008,PNB - Main,0,-32100.00
40020,AM-LT000002,ALVAS FOOD PROCESSING,Payment,Check Receivable - PDC,PR18925,GL0006385,2019-01-10,,B-008,PNB - Main,18232.60,0
40022,AM-LT000002,ALVAS FOOD PROCESSING,Payment,Check Receivable - PDC,PR18925,GL0006386,2019-01-10,,B-008,PNB - Main,6350.00,0
73959,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PDC0000044,GL0005848,2019-01-10,,B-008,PNB - Main,0,-2800.00
93453,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PDC0000080,GL0005879,2019-01-10,,B-008,PNB - Main,0,-8138.00
73957,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PDC0000044,GL0005847,2019-01-10,,B-008,PNB - Main,0,-12976.42
