ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
24454,AM-ST000005,FORD - BOHOL,Payment,Check Receivable - PDC,PR0005559,GL0003377,2018-10-02,,B-008,PNB - Main,64200.00,0
24617,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005562-A,GL0003705,2018-10-04,,B-008,PNB - Main,32100.00,0
24683,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Check Receivable - PDC,PR0005567,GL0002769,2018-10-04,,B-008,PNB - Main,19260.00,0
24619,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005562-A,GL0003706,2018-10-04,,B-008,PNB - Main,8718.00,0
24621,AM-LT000065,RC LUCKY GRAPHICS -STICKER,Payment,Check Receivable - PDC,PR0005563-B,GL0003709,2018-10-04,,B-008,PNB - Main,3000.00,0
24685,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Check Receivable - PDC,PR0005567,GL0002772,2018-10-04,,B-008,PNB - Main,2260.00,0
24681,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Check Receivable - PDC,PR0005567,GL0003913,2018-10-04,,B-008,PNB - Main,439.01,0
24687,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Check Receivable - PDC,PR0005567,GL0003217,2018-10-04,,B-008,PNB - Main,430.60,0
25432,AM-LT000020,MONGOLIAN BBQ GRILL STATION,Payment,Security Deposit Payable,P0001452,GL0003922,2018-10-05,,B-008,PNB - Main,1800.00,0
25422,AM-LT000019,SKY DIRECT,Payment,Security Deposit Payable,PR0005573,GL0004116,2018-10-08,,B-008,PNB - Main,0,-1890.00
25624,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PR0005579,GL0003632,2018-10-09,,B-008,PNB - Main,12976.42,0
25626,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PR0005579,GL0003634,2018-10-09,,B-008,PNB - Main,3390.00,0
72458,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PDC0000003,GL0003706,2018-10-10,,B-008,PNB - Main,0,-8718.00
74026,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PDC0000052,GL0003706,2018-10-10,,B-008,PNB - Main,0,-8718.00
72456,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PDC0000003,GL0003705,2018-10-10,,B-008,PNB - Main,0,-32100.00
74024,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PDC0000052,GL0003705,2018-10-10,,B-008,PNB - Main,0,-32100.00
26043,AM-LT000015,TURKS SHAWARMA,Payment,Security Deposit Payable,PR0005596,GL0004141,2018-10-12,,B-008,PNB - Main,0,-2250.00
26099,AM-LT000073,SERENDIPITY TEA BAR,Payment,Security Deposit Payable,PR18907,GL0004144,2018-10-13,,B-008,PNB - Main,0,-45000.00
26323,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Security Deposit Payable,PR0005604,GL0004166,2018-10-17,,B-008,PNB - Main,0,-2003.40
26321,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Security Deposit Payable,PR000479,GL0004165,2018-10-17,,B-008,PNB - Main,0,-28620.00
26319,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Security Deposit Payable,PR000478,GL0004164,2018-10-17,,B-008,PNB - Main,0,-55236.60
33599,AM-LT000081,KERRIMO,Payment,Security Deposit Payable-Preop Clearing,UFT0000544,GL0005436,2018-10-23,,B-008,PNB - Main,0,-45000.00
26758,AM-LT000052,SECURITY BANK - ATM,Payment,Check Receivable - PDC,PR0005612,GL0003846,2018-10-24,,B-008,PNB - Main,10270.60,0
26760,AM-LT000052,SECURITY BANK - ATM,Payment,Check Receivable - PDC,PR0005612,GL0003847,2018-10-24,,B-008,PNB - Main,429.40,0
39985,AM-LT000082,RICHER TEA,Payment,Security Deposit Payable-Preop Clearing,UFT0000641,GL0006495,2018-10-24,,B-009,Banks of the Philippine Islands,0,-25000.00
39983,AM-LT000082,RICHER TEA,Payment,Security Deposit Payable-Preop Clearing,UFT0000640,GL0006494,2018-10-24,,B-009,Banks of the Philippine Islands,0,-124500.00
29057,AM-ST000010,BIG JEWELRY CREATION - EXHIBIT,Payment,Check Receivable - PDC,PR0005619,GL0004799,2018-11-05,,B-008,PNB - Main,32100.00,0
29488,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PR0005629,GL0004358,2018-11-07,,B-008,PNB - Main,12976.42,0
29490,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PR0005629,GL0004361,2018-11-07,,B-008,PNB - Main,2850.00,0
30262,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005640-A,GL0004313,2018-11-09,,B-008,PNB - Main,32100.00,0
30264,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005640-A,GL0004314,2018-11-09,,B-008,PNB - Main,8258.00,0
30266,AM-LT000065,RC LUCKY GRAPHICS -STICKER,Payment,Check Receivable - PDC,PR0005640-B,GL0004334,2018-11-09,,B-008,PNB - Main,3000.00,0
30433,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,Security Deposit Payable,PR0005951,GL0004982,2018-11-10,,B-008,PNB - Main,0,-2250.00
30425,AM-LT000058,M. LHUILLIER PHILIPPINES INC,Payment,Security Deposit Payable,PR0005650,GL0004981,2018-11-10,,B-008,PNB - Main,0,-10080.00
73263,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PDC0000032,GL0004361,2018-11-12,,B-008,PNB - Main,0,-2850.00
73261,AM-LT000049,THIRSTY,Payment,Check Receivable - PDC,PDC0000032,GL0004358,2018-11-12,,B-008,PNB - Main,0,-12976.42
73265,AM-ST000010,BIG JEWELRY CREATION - EXHIBIT,Payment,Check Receivable - PDC,PDC0000033,GL0004799,2018-11-19,,B-008,PNB - Main,0,-32100.00
40910,AM-LT000112,PENSHOPPE,Payment,Security Deposit Payable-Preop Clearing,UFT0000679,GL0006544,2018-11-26,,B-009,Banks of the Philippine Islands,0,-121980.00
34580,AM-LT000041,STICKER RACE PRINTS,Payment,Security Deposit Payable,PR0005992,GL0005639,2018-12-05,,B-008,PNB - Main,0,-7500.00
35104,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005651-B,GL0005154,2018-12-07,,B-008,PNB - Main,32100.00,0
35106,AM-LT000044,RC LUCKY GRAPHICS,Payment,Check Receivable - PDC,PR0005651-B,GL0005155,2018-12-07,,B-008,PNB - Main,8288.00,0
