ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
125524,AM-ST000197,ROEL DRY GOODS AND ACCESSORIES,Payment,Unearned Rent Income,PR0008213,GL0020271,2020-01-02,,B-015,PNB,0,-41454.00
178057,AM-LT000196,TL MABUHAY DRIVING LESSONS ACADEMY INC. - NEW,Payment,Unearned Rent Income-Preop Clearing,UFT0003202,GL0028536,2020-01-07,,B-015,PNB,0,-3210.00
112490,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,PR0008240,GL0018243,2020-01-09,,B-015,PNB,0,-12938.40
112850,AM-LT000121,BIG JEWELRY CREATION,Payment,Unearned Rent Income,PR0008250,GL0018277,2020-01-10,,B-015,PNB,0,-22144.07
112835,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,PR0008249,GL0018274,2020-01-10,,B-015,PNB,0,-22157.00
113574,AM-ST000059,QUICKIE WATERLESS CARWASH,Payment,Unearned Rent Income,B0007590,GL0018285,2020-01-13,,,,11235.00,0
113152,AM-ST000059,QUICKIE WATERLESS CARWASH,Payment,Unearned Rent Income,PR0008366,GL0018285,2020-01-13,,B-015,PNB,0,-11235.00
114489,AM-LT000207,LUGAW BISDAK,Payment,Unearned Rent Income-Preop Clearing,UFT0001860,GL0018437,2020-01-15,,B-015,PNB,0,-16050.00
114060,AM-ST000197,ROEL DRY GOODS AND ACCESSORIES,Payment,Unearned Rent Income,PR0008373,GL0018344,2020-01-20,,B-015,PNB,0,-29408.00
114199,AM-LT000206,GARATE SWEETS AND PASTRIES INC.,Payment,Unearned Rent Income,PR23608,GL0018374,2020-01-21,,B-015,PNB,0,-22842.00
115743,AM-ST000059,QUICKIE WATERLESS CARWASH,Payment,Unearned Rent Income,B0007753,GL0018617,2020-01-25,,,,8025.00,0
115333,AM-ST000059,QUICKIE WATERLESS CARWASH,Payment,Unearned Rent Income,PR0008376,GL0018617,2020-01-25,,B-015,PNB,0,-8025.00
116057,AM-ST000151,PROMOSPHERE,Payment,Unearned Rent Income,PR0008378,GL0018776,2020-01-28,,B-015,PNB,0,-1000.00
125535,AM-ST000197,ROEL DRY GOODS AND ACCESSORIES,Payment,Unearned Rent Income,B0008412,GL0020271,2020-01-31,,,,41454.00,0
114584,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0007655,GL0018274,2020-01-31,,,,22157.00,0
116183,AM-LT000177,MAXI MANGO,Payment,Unearned Rent Income,B0007798,GL0018193,2020-01-31,,,,21400.00,0
115780,AM-LT000130,BEAUTY AND BEYOND FACIAL AND SLIMMING,Payment,Unearned Rent Income,B0007756,GL0010272,2020-01-31,,,,20431.94,0
114582,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0007655,GL0018243,2020-01-31,,,,12938.40,0
116587,AM-LT000207,LUGAW BISDAK,Payment,Unearned Rent Income,B0007825,GL0018437,2020-01-31,,,,10113.27,0
125533,AM-ST000197,ROEL DRY GOODS AND ACCESSORIES,Payment,Unearned Rent Income,B0008412,GL0020270,2020-01-31,,,,6112.00,0
114276,AM-LT000126,LINZYS CELLPHONE ACCESSORIES,Payment,Unearned Rent Income,B0007626,GL0017994,2020-01-31,,,,2707.39,0
116611,AM-LT000054,ABENSON,Payment,Unearned Rent Income,B0007827,GL0018303,2020-01-31,,,,2034.95,0
117752,AM-LT000062,WAFFLE TIME,Payment,Unearned Rent Income-URI Clearing,UFT0001899,GL0019135,2020-01-31,,B-015,PNB,0,-13870.79
157710,AM-LT000054,ABENSON,Payment,Unearned Rent Income-URI Clearing,UFT0001929,GL0019362,2020-02-07,,B-015,PNB,0,-2034.95
119060,AM-ST000035,UNIVERSAL ROBINA CORPORATION,Payment,Unearned Rent Income,PR0008407,GL0019299,2020-02-08,,B-015,PNB,0,-1000.00
120132,AM-ST000151,PROMOSPHERE,Payment,Unearned Rent Income,PR0008443,GL0019376,2020-02-14,,B-015,PNB,0,-1500.00
120154,AM-ST000035,UNIVERSAL ROBINA CORPORATION,Payment,Unearned Rent Income,PR0008444,GL0019378,2020-02-15,,B-015,PNB,0,-1000.00
125540,AM-ST000197,ROEL DRY GOODS AND ACCESSORIES,Payment,Unearned Rent Income,PR0008447,GL0020273,2020-02-15,,B-015,PNB,0,-20816.00
122800,AM-ST000014,AVON COSMETICS,Payment,Unearned Rent Income,PR0008454,GL0019784,2020-02-25,,B-015,PNB,0,-5350.00
122969,AM-ST000014,AVON COSMETICS,Payment,Unearned Rent Income,B0008228,GL0019784,2020-02-26,,,,4280.00,0
123835,AM-ST000218,TECHNOCARE - CONTRACTORS ID,Payment,Unearned Rent Income,B0008301,GL0020006,2020-02-27,,,,200.00,0
123824,AM-ST000218,TECHNOCARE - CONTRACTORS ID,Payment,Unearned Rent Income,PR23611,GL0020006,2020-02-27,,B-015,PNB,0,-200.00
125551,AM-ST000197,ROEL DRY GOODS AND ACCESSORIES,Payment,Unearned Rent Income,B0008413,GL0020273,2020-02-29,,,,20816.00,0
124382,AM-LT000207,LUGAW BISDAK,Payment,Unearned Rent Income,B0008342,GL0018437,2020-02-29,,,,5936.73,0
132300,AM-LT000054,ABENSON,Payment,Unearned Rent Income,B0008862,GL0019362,2020-02-29,,,,2034.95,0
119700,AM-ST000057,ABENSON EXHIBIT,Payment,Unearned Rent Income,B0008036,GL0010463,2020-02-29,,,,749.00,0
125047,AM-LT000217,BLACK CHAI MILKTEA SHOP,Payment,Unearned Rent Income,PR23612,GL0020219,2020-03-03,,B-015,PNB,0,-12840.00
126187,AM-LT000009,GLOBE TELECOM INC. - Electricity,Payment,Unearned Rent Income-URI Clearing,UFT0002059,GL0020338,2020-03-06,,B-008,PNB - Main,0,-2.72
127949,AM-LT000054,ABENSON,Payment,Unearned Rent Income-URI Clearing,UFT0002092,GL0020441,2020-03-06,,B-015,PNB,0,-2034.95
