ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
119568,AM-LT000004,RED RIBBON,Payment,A/R Non Trade Internal,PRJV# 01-1850,GL0017231,2020-01-03,,,,0,-46598.00
119586,AM-LT000003,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV#01-1855,GL0017132,2020-01-03,,,,0,-817958.84
120913,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#01-2791,GL0014044,2020-01-17,,,,0,-35158.88
120925,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#01-2791,GL0018145,2020-01-17,,,,0,-335759.78
120921,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#01-2791,GL0017119,2020-01-17,,,,0,-353898.50
120911,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#01-2791,GL0014043,2020-01-17,,,,0,-375580.45
120917,AM-LT000001,CHOWKING,Payment,A/R Non Trade Internal,PRJV#01-2791,GL0015184,2020-01-17,,,,0,-385691.60
120965,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#01-2825,GL0010021,2020-01-23,,,,0,-5720.00
120969,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV# 01-2822,GL0011082,2020-01-23,,,,0,-5720.00
120961,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV# 01-2828,GL0009112,2020-01-23,,,,0,-5910.00
120995,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV# 01-2819,GL0011903,2020-01-23,,,,0,-6390.00
121431,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#01-2841,GL0015818,2020-01-23,,,,0,-6390.00
121005,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV# 01-2835,GL0013670,2020-01-23,,,,0,-6700.00
121003,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#01-2835,GL0013670,2020-01-23,,,,0,-6700.00
121479,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV# 01-2813,GL0017955,2020-01-23,,,,0,-6713.00
121456,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV# 01-2844,GL0016864,2020-01-23,,,,0,-6746.00
121418,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#01-2838,GL0015106,2020-01-23,,,,0,-6830.00
120999,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#01-2816,GL0012688,2020-01-23,,,,0,-6920.00
121530,AM-LT000004,RED RIBBON,Payment,A/R Non Trade Internal,PRJV# 01-2846,GL0018270,2020-01-23,,,,0,-42598.00
120929,AM-LT000005,GREENWICH,Payment,A/R Non Trade Internal,PRJV# 01-2827,GL0009540,2020-01-23,,,,0,-317398.20
120945,AM-LT000005,GREENWICH,Payment,A/R Non Trade Internal,PRJV# 01-2833,GL0013037,2020-01-23,,,,0,-337559.95
120953,AM-LT000005,GREENWICH,Payment,A/R Non Trade Internal,PRJV# 01-2842,GL0016218,2020-01-23,,,,0,-340804.88
120941,AM-LT000005,GREENWICH,Payment,A/R Non Trade Internal,PRJV# 01-2818,GL0012170,2020-01-23,,,,0,-346810.10
120933,AM-LT000005,GREENWICH,Payment,A/R Non Trade Internal,PRJV#01-2824,GL0010365,2020-01-23,,,,0,-347656.52
120937,AM-LT000005,GREENWICH,Payment,A/R Non Trade Internal,PRJV# 01-2821,GL0011304,2020-01-23,,,,0,-373567.54
120957,AM-LT000005,GREENWICH,Payment,A/R Non Trade Internal,PRJV#01-2845,GL0017128,2020-01-23,,,,0,-373571.67
124811,AM-LT000005,GREENWICH,Payment,A/R Non Trade Internal,PRJV# 01-2836,GL0014039,2020-01-23,,,,0,-417733.47
120949,AM-LT000005,GREENWICH,Payment,A/R Non Trade Internal,PRJV# 01-2839,GL0015104,2020-01-23,,,,0,-426470.15
121570,AM-LT000003,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 01-2853,GL0018187,2020-01-23,,,,0,-786452.40
118185,AM-LT000003,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0014304,GL0019195,2020-01-31,2020-02-15,,,865499.34,0
119673,AM-LT000005,GREENWICH,Invoice,A/R Non Trade Internal,IC0014404,GL0019331,2020-01-31,2020-02-18,,,408739.01,0
118168,AM-LT000001,CHOWKING,Invoice,A/R Non Trade Internal,IC0014302,GL0019193,2020-01-31,2020-02-15,,,378040.14,0
118098,AM-LT000004,RED RIBBON,Invoice,A/R Non Trade Internal,IC0014297,GL0019188,2020-01-31,2020-02-15,,,50664.00,0
114363,AM-LT000116,SAMSUNG,Invoice,A/R Non Trade Internal,IC0013694,GL0018417,2020-01-31,2020-02-10,,,13712.94,0
115128,AM-LT000006,GREENWICH -GTG,Invoice,A/R Non Trade Internal,IC0013813,GL0018563,2020-01-31,2020-02-10,,,7450.00,0
118193,AM-LT000003,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0014305,GL0019196,2020-01-31,2020-02-15,,,400.00,0
126102,AM-LT000008,SMART - Rent,Payment,A/R Non Trade Internal-PLAZA MARCELA,IP0000044,GL0015660,2020-02-05,,,,25952.85,0
