ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
25432,AM-LT000020,MONGOLIAN BBQ GRILL STATION,Payment,Security Deposit Payable,P0001452,GL0003922,2018-10-05,,B-008,PNB - Main,1800.00,0
25422,AM-LT000019,SKY DIRECT,Payment,Security Deposit Payable,PR0005573,GL0004116,2018-10-08,,B-008,PNB - Main,0,-1890.00
26043,AM-LT000015,TURKS SHAWARMA,Payment,Security Deposit Payable,PR0005596,GL0004141,2018-10-12,,B-008,PNB - Main,0,-2250.00
26099,AM-LT000073,SERENDIPITY TEA BAR,Payment,Security Deposit Payable,PR18907,GL0004144,2018-10-13,,B-008,PNB - Main,0,-45000.00
26323,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Security Deposit Payable,PR0005604,GL0004166,2018-10-17,,B-008,PNB - Main,0,-2003.40
26321,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Security Deposit Payable,PR000479,GL0004165,2018-10-17,,B-008,PNB - Main,0,-28620.00
26319,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Security Deposit Payable,PR000478,GL0004164,2018-10-17,,B-008,PNB - Main,0,-55236.60
33599,AM-LT000081,KERRIMO,Payment,Security Deposit Payable-Preop Clearing,UFT0000544,GL0005436,2018-10-23,,B-008,PNB - Main,0,-45000.00
39985,AM-LT000082,RICHER TEA,Payment,Security Deposit Payable-Preop Clearing,UFT0000641,GL0006495,2018-10-24,,B-009,Banks of the Philippine Islands,0,-25000.00
39983,AM-LT000082,RICHER TEA,Payment,Security Deposit Payable-Preop Clearing,UFT0000640,GL0006494,2018-10-24,,B-009,Banks of the Philippine Islands,0,-124500.00
30433,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,Security Deposit Payable,PR0005951,GL0004982,2018-11-10,,B-008,PNB - Main,0,-2250.00
30425,AM-LT000058,M. LHUILLIER PHILIPPINES INC,Payment,Security Deposit Payable,PR0005650,GL0004981,2018-11-10,,B-008,PNB - Main,0,-10080.00
40910,AM-LT000112,PENSHOPPE,Payment,Security Deposit Payable-Preop Clearing,UFT0000679,GL0006544,2018-11-26,,B-009,Banks of the Philippine Islands,0,-121980.00
34580,AM-LT000041,STICKER RACE PRINTS,Payment,Security Deposit Payable,PR0005992,GL0005639,2018-12-05,,B-008,PNB - Main,0,-7500.00
39941,AM-LT000083,SANTINOS PIZZA,Payment,Security Deposit Payable-Preop Clearing,UFT0000638,GL0006489,2018-12-27,,B-008,PNB - Main,0,-36000.00
39918,AM-LT000043,KHUMBU ENTERPRISES INC,Payment,Security Deposit Payable,P0002401,GL0006487,2018-12-31,,,,24620.00,0
52708,AM-LT000112,PENSHOPPE,Payment,Security Deposit Payable,PR000485,GL0008853,2019-01-07,,B-008,PNB - Main,0,-121980.00
39987,AM-LT000082,RICHER TEA,Payment,Security Deposit Payable,PR18924,GL0006496,2019-01-09,,B-008,PNB - Main,0,-500.00
39843,AM-LT000040,LYDIAS TICKETING OUTLET,Payment,Security Deposit Payable,PR0005718,GL0006476,2019-01-09,,B-008,PNB - Main,0,-3937.50
41364,AM-LT000112,PENSHOPPE,Payment,Security Deposit Payable,PR000487,GL0006631,2019-01-23,,B-008,PNB - Main,0,-121980.00
