ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
26325,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Construction Bond,PR0005604,GL0004167,2018-10-17,,B-008,PNB - Main,0,-28620.00
39981,AM-LT000082,RICHER TEA,Payment,Construction Bond-Preop Clearing,UFT0000640,GL0006493,2018-10-24,,B-009,Banks of the Philippine Islands,0,-25000.00
40904,AM-LT000112,PENSHOPPE,Payment,Construction Bond-Preop Clearing,UFT0000678,GL0006542,2018-11-26,,B-009,Banks of the Philippine Islands,0,-81320.00
43371,AM-LT000086,DAISO JAPAN SHOP,Payment,Construction Bond,P0002600,GL0005479,2019-01-10,,,,29300.00,0
69649,AM-LT000113,HUAWEI,Payment,Construction Bond-PDC,PR014664,GL0011459,2019-02-19,,B-015,PNB,0,-25000.00
49708,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Construction Bond,P0002949,GL0004167,2019-02-28,,,,28620.00,0
53648,AM-LT000124,BOHOL MEDICAL LAB TESTING CENTER,Payment,Construction Bond,PR18928,GL0008928,2019-03-22,,B-015,PNB,0,-38640.00
69653,AM-LT000114,OPPO,Payment,Construction Bond,PRLSAR-014661,GL0011461,2019-03-23,,B-015,PNB,0,-22000.00
56498,AM-LT000127,NAILAX BEAUTY SALON,Payment,Construction Bond,PR000494,GL0009528,2019-04-01,,B-015,PNB,0,-30244.50
60809,AM-LT000086,DAISO JAPAN SHOP,Payment,Construction Bond,P0003675,GL0005479,2019-04-27,,,,73967.50,0
61273,AM-LT000130,BEAUTY AND BEYOND FACIAL AND SLIMMING,Payment,Construction Bond,PR014653,GL0010273,2019-04-29,,B-015,PNB,0,-35270.00
68129,AM-LT000129,METROPOLITAN BANK and TRUST COMPANY,Payment,Construction Bond,PR0006422,GL0011354,2019-06-07,,B-015,PNB,0,-102580.00
72834,AM-LT000121,BIG JEWELRY CREATION,Payment,Construction Bond,PR18931,GL0012134,2019-06-28,,B-015,PNB,0,-30000.00
148078,AM-LT000087,JOJIE`S PAINITANG BOL-ANON,Payment,Construction Bond-PDC,PR18935,GL0023774,2019-07-29,,B-015,PNB,0,-32570.00
79673,AM-LT000115,VIVO,Payment,Construction Bond,PR18939,GL0013141,2019-08-07,,B-015,PNB,0,-22000.00
80301,AM-LT000169,TECHNOCARE,Payment,Construction Bond,PR18944,GL0013199,2019-08-09,,B-015,PNB,0,-25000.00
84361,AM-LT000178,GREYBELLY BURGER &amp; RIBS,Payment,Construction Bond,PR18947,GL0013937,2019-08-29,,B-015,PNB,0,-37864.00
97475,AM-LT000189,SNACK ATTACK,Payment,Construction Bond,PR23603,GL0016026,2019-10-30,,B-015,PNB,0,-27813.50
98199,AM-LT000116,SAMSUNG,Payment,Construction Bond,P0005947,GL0014197,2019-10-31,,,,29388.00,0
96152,AM-LT000141,RJBM PAWNSHOP,Payment,Construction Bond,P0005870,GL0010972,2019-10-31,,,,20000.00,0
105399,AM-LT000118,CIGNAL,Payment,Construction Bond,PR23606,GL0017206,2019-12-07,,B-015,PNB,0,-27000.00
111206,AM-LT000129,METROPOLITAN BANK and TRUST COMPANY,Payment,Construction Bond,P0006602,GL0011354,2019-12-31,,,,30548.00,0
109689,AM-LT000115,VIVO,Payment,Construction Bond,P0006566,GL0013141,2019-12-31,,,,22000.00,0
178059,AM-LT000196,TL MABUHAY DRIVING LESSONS ACADEMY INC. - NEW,Payment,Construction Bond-Preop Clearing,UFT0003202,GL0028537,2020-01-07,,B-015,PNB,0,-28000.00
