ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
125523,AM-ST000197,ROEL DRY GOODS AND ACCESSORIES,Payment,Cash in Bank (Peso),PR0008213,GL0020271,2020-01-02,,B-015,PNB,41454.00,0
110581,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Cash in Bank (Peso),PR0008212,GL0016540,2020-01-02,,B-015,PNB,19260.00,0
111834,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0001804,GL0016597,2020-01-02,,B-015,PNB,16050.00,0
111836,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0001804,GL0016599,2020-01-02,,B-015,PNB,3911.46,0
110583,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Cash in Bank (Peso),PR0008212,GL0016542,2020-01-02,,B-015,PNB,3540.00,0
110579,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Cash in Bank (Peso),PR0008212,GL0017480,2020-01-02,,B-015,PNB,456.00,0
111832,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0001804,GL0015609,2020-01-02,,B-015,PNB,427.40,0
111830,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0001804,GL0017934,2020-01-02,,B-015,PNB,420.30,0
111826,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0001804,GL0017928,2020-01-02,,B-015,PNB,193.02,0
111828,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0001804,GL0017933,2020-01-02,,B-015,PNB,12.82,0
111818,AM-LT000111,LEYLAM,Payment,Cash in Bank (Peso),UFT0001803,GL0017419,2020-01-03,,B-015,PNB,33342.54,0
111820,AM-LT000111,LEYLAM,Payment,Cash in Bank (Peso),UFT0001803,GL0017420,2020-01-03,,B-015,PNB,22321.00,0
111074,AM-LT000014,SNOWPY ICE CREAM,Payment,Cash in Bank (Peso),PR0008214,GL0017514,2020-01-03,,B-015,PNB,19199.21,0
111076,AM-LT000014,SNOWPY ICE CREAM,Payment,Cash in Bank (Peso),PR0008214,GL0017516,2020-01-03,,B-015,PNB,3639.00,0
111434,AM-LT000018,GOLDILOCKS,Payment,Cash in Bank (Peso),PR0008215,GL0017247,2020-01-04,,B-015,PNB,40778.78,0
111436,AM-LT000018,GOLDILOCKS,Payment,Cash in Bank (Peso),PR0008215,GL0017248,2020-01-04,,B-015,PNB,20475.14,0
111432,AM-LT000018,GOLDILOCKS,Payment,Cash in Bank (Peso),PR0008215,GL0017246,2020-01-04,,B-015,PNB,82.54,0
112533,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Cash in Bank (Peso),UFT0001815,GL0017385,2020-01-06,,B-015,PNB,109891.41,0
111495,AM-LT000055,IDEAL VISION CENTER,Payment,Cash in Bank (Peso),PR0008219,GL0017427,2020-01-06,,B-015,PNB,45009.65,0
112535,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Cash in Bank (Peso),UFT0001815,GL0017386,2020-01-06,,B-015,PNB,35618.40,0
111778,AM-LT000009,GLOBE TELECOM INC. - Electricity,Payment,Cash in Bank (Peso),UFT0001801,GL0017868,2020-01-06,,B-008,PNB - Main,34406.65,0
111499,AM-LT000040,LYDIAS TICKETING OUTLET,Payment,Cash in Bank (Peso),PR0008220,GL0017448,2020-01-06,,B-015,PNB,30633.54,0
111880,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Cash in Bank (Peso),UFT0001806,GL0017503,2020-01-06,,B-015,PNB,30623.40,0
111497,AM-LT000055,IDEAL VISION CENTER,Payment,Cash in Bank (Peso),PR0008219,GL0017428,2020-01-06,,B-015,PNB,29260.89,0
111477,AM-LT000141,RJBM PAWNSHOP,Payment,Cash in Bank (Peso),PR0008217,GL0017433,2020-01-06,,B-015,PNB,21400.00,0
111485,AM-LT000016,BLACK PEARL,Payment,Cash in Bank (Peso),PR0008218,GL0017508,2020-01-06,,B-015,PNB,19199.21,0
111882,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Cash in Bank (Peso),UFT0001806,GL0017504,2020-01-06,,B-015,PNB,17830.50,0
111465,AM-LT000176,TINGPURA FOOD HOUSE,Payment,Cash in Bank (Peso),PR0008216,GL0017378,2020-01-06,,B-015,PNB,16050.00,0
111611,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0005178,2020-01-06,,B-015,PNB,11685.99,0
112521,AM-LT000063,POTATO CORNER,Payment,Cash in Bank (Peso),UFT0001814,GL0017593,2020-01-06,,B-015,PNB,10700.00,0
111479,AM-LT000141,RJBM PAWNSHOP,Payment,Cash in Bank (Peso),PR0008217,GL0017434,2020-01-06,,B-015,PNB,6891.90,0
111533,AM-LT000052,SECURITY BANK - ATM,Payment,Cash in Bank (Peso),PR0008221,GL0016409,2020-01-06,,B-015,PNB,6287.83,0
111467,AM-LT000176,TINGPURA FOOD HOUSE,Payment,Cash in Bank (Peso),PR0008216,GL0017379,2020-01-06,,B-015,PNB,6021.00,0
112523,AM-LT000063,POTATO CORNER,Payment,Cash in Bank (Peso),UFT0001814,GL0017595,2020-01-06,,B-015,PNB,5707.00,0
111537,AM-LT000052,SECURITY BANK - ATM,Payment,Cash in Bank (Peso),PR0008221,GL0017424,2020-01-06,,B-015,PNB,3743.84,0
111501,AM-LT000040,LYDIAS TICKETING OUTLET,Payment,Cash in Bank (Peso),PR0008220,GL0017449,2020-01-06,,B-015,PNB,2759.00,0
111487,AM-LT000016,BLACK PEARL,Payment,Cash in Bank (Peso),PR0008218,GL0017512,2020-01-06,,B-015,PNB,2649.00,0
111613,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0005179,2020-01-06,,B-015,PNB,2386.10,0
111615,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0006089,2020-01-06,,B-015,PNB,1613.12,0
111535,AM-LT000052,SECURITY BANK - ATM,Payment,Cash in Bank (Peso),PR0008221,GL0016410,2020-01-06,,B-015,PNB,1584.66,0
111589,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0017620,2020-01-06,,B-015,PNB,504.86,0
111603,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0017627,2020-01-06,,B-015,PNB,501.12,0
111597,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0017624,2020-01-06,,B-015,PNB,500.48,0
111601,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0017626,2020-01-06,,B-015,PNB,500.23,0
111591,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0017621,2020-01-06,,B-015,PNB,499.84,0
111595,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0017623,2020-01-06,,B-015,PNB,499.52,0
111599,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0017625,2020-01-06,,B-015,PNB,499.52,0
111587,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0017619,2020-01-06,,B-015,PNB,499.21,0
111593,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0017622,2020-01-06,,B-015,PNB,499.21,0
111605,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0017628,2020-01-06,,B-015,PNB,497.20,0
111565,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0016664,2020-01-06,,B-015,PNB,490.15,0
111579,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0016671,2020-01-06,,B-015,PNB,486.52,0
111573,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0016668,2020-01-06,,B-015,PNB,485.90,0
111577,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0016670,2020-01-06,,B-015,PNB,485.66,0
111567,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0016665,2020-01-06,,B-015,PNB,485.28,0
111571,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0016667,2020-01-06,,B-015,PNB,484.98,0
111575,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0016669,2020-01-06,,B-015,PNB,484.98,0
111563,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0016663,2020-01-06,,B-015,PNB,484.67,0
111569,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0016666,2020-01-06,,B-015,PNB,484.67,0
111581,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0016672,2020-01-06,,B-015,PNB,482.72,0
111607,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0017629,2020-01-06,,B-015,PNB,479.96,0
111543,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0015591,2020-01-06,,B-015,PNB,475.88,0
111557,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0015598,2020-01-06,,B-015,PNB,472.35,0
111551,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0015595,2020-01-06,,B-015,PNB,471.75,0
111555,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0015597,2020-01-06,,B-015,PNB,471.52,0
111545,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0015592,2020-01-06,,B-015,PNB,471.15,0
111549,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0015594,2020-01-06,,B-015,PNB,470.85,0
111553,AM-LT000024,DIGITALCOM,Payment,Cash in Bank (Peso),PR0008222,GL0015596,2020-01-06,,B-015,PNB,470.85,0
