ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
165483,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Rent Receivables,PR0008880,GL0026373,2021-01-02,,B-015,PNB,0,-12840.00
165630,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Rent Receivables,PR0008953,GL0025095,2021-01-04,,B-015,PNB,0,-409.00
165636,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Rent Receivables,PR0008954,GL0025714,2021-01-04,,B-015,PNB,0,-1135.00
165634,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Rent Receivables,PR0008953,GL0025714,2021-01-04,,B-015,PNB,0,-7425.00
165603,AM-LT000049,THIRSTY,Payment,Rent Receivables,PR0008951,GL0025483,2021-01-04,,B-015,PNB,0,-10700.00
165499,AM-ST000247,CLASSIC TORTA,Payment,Rent Receivables,PR0008881,GL0026038,2021-01-04,,B-015,PNB,0,-12000.00
165622,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Payment,Rent Receivables,PR0008952,GL0026351,2021-01-04,,B-015,PNB,0,-13482.00
166449,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Rent Receivables-RR Clearing,UFT0002892,GL0026124,2021-01-04,,B-015,PNB,0,-109891.41
165901,AM-LT000185,BPDWA INC.,Payment,Rent Receivables,PR0008957,GL0020680,2021-01-05,,B-015,PNB,0,-8025.00
165670,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,Rent Receivables,PR0008955,GL0026187,2021-01-05,,B-015,PNB,0,-16852.50
165994,AM-LT000111,LEYLAM,Payment,Rent Receivables-RR Clearing,UFT0002873,GL0026150,2021-01-05,,B-015,PNB,0,-17655.00
167797,AM-LT000055,IDEAL VISION CENTER,Payment,Rent Receivables-RR Clearing,UFT0002947,GL0026193,2021-01-05,,B-015,PNB,0,-22504.83
165982,AM-LT000042,UNISILVER,Payment,Rent Receivables-RR Clearing,UFT0002872,GL0026145,2021-01-05,,B-009,Banks of the Philippine Islands,0,-23844.18
166110,AM-LT000039,BENCH,Payment,Rent Receivables-RR Clearing,UFT0002875,GL0021481,2021-01-05,,B-008,PNB - Main,0,-45163.86
166112,AM-LT000039,BENCH,Payment,Rent Receivables-RR Clearing,UFT0002875,GL0025648,2021-01-05,,B-008,PNB - Main,0,-45163.86
167675,AM-LT000182,TL MABUHAY DRIVING LESSONS,Payment,Rent Receivables-RR Clearing,UFT0002941,GL0019640,2021-01-06,,B-015,PNB,0,-3050.35
166014,AM-LT000050,IO ECO BEAUTY PRODUCTS,Payment,Rent Receivables,PR0008958,GL0024706,2021-01-06,,B-015,PNB,0,-5424.50
166547,AM-LT000053,PHILIPPINE NATIONAL BANK - ATM,Payment,Rent Receivables-RR Clearing,UFT0002893,GL0026157,2021-01-06,,B-015,PNB,0,-8972.28
167679,AM-LT000182,TL MABUHAY DRIVING LESSONS,Payment,Rent Receivables-RR Clearing,UFT0002941,GL0020666,2021-01-06,,B-015,PNB,0,-13375.00
167199,AM-LT000015,TURKS SHAWARMA,Payment,Rent Receivables-RR Clearing,UFT0002912,GL0026402,2021-01-06,,B-015,PNB,0,-14156.10
167683,AM-LT000182,TL MABUHAY DRIVING LESSONS,Payment,Rent Receivables-RR Clearing,UFT0002941,GL0022230,2021-01-06,,B-015,PNB,0,-16395.13
166006,AM-LT000050,IO ECO BEAUTY PRODUCTS,Payment,Rent Receivables,PR0008958,GL0023291,2021-01-06,,B-015,PNB,0,-19661.25
166010,AM-LT000050,IO ECO BEAUTY PRODUCTS,Payment,Rent Receivables,PR0008958,GL0023977,2021-01-06,,B-015,PNB,0,-19661.25
167687,AM-LT000182,TL MABUHAY DRIVING LESSONS,Payment,Rent Receivables-RR Clearing,UFT0002941,GL0022232,2021-01-06,,B-015,PNB,0,-20379.52
166086,AM-LT000112,PENSHOPPE,Payment,Rent Receivables-RR Clearing,UFT0002874,GL0026461,2021-01-06,,B-009,Banks of the Philippine Islands,0,-38285.46
166437,AM-LT000056,ORO CHINA PAWNSHOP,Payment,Rent Receivables-RR Clearing,UFT0002891,GL0026211,2021-01-07,,B-015,PNB,0,-12947.00
166130,AM-LT000141,RJBM PAWNSHOP,Payment,Rent Receivables,PR0008959,GL0026223,2021-01-07,,B-015,PNB,0,-14980.00
166417,AM-LT000335,REAL ME,Payment,Rent Receivables-RR Clearing,UFT0002888,GL0026361,2021-01-07,,B-015,PNB,0,-16050.00
166385,AM-LT000114,OPPO,Payment,Rent Receivables-RR Clearing,UFT0002884,GL0026395,2021-01-07,,B-015,PNB,0,-17655.00
166393,AM-LT000115,VIVO,Payment,Rent Receivables-RR Clearing,UFT0002885,GL0026381,2021-01-07,,B-015,PNB,0,-17655.00
166409,AM-LT000113,HUAWEI,Payment,Rent Receivables-RR Clearing,UFT0002887,GL0026390,2021-01-07,,B-015,PNB,0,-20062.50
166401,AM-LT000118,CIGNAL,Payment,Rent Receivables-RR Clearing,UFT0002886,GL0026354,2021-01-07,,B-015,PNB,0,-21667.50
166174,AM-LT000127,NAILAX BEAUTY SALON,Payment,Rent Receivables,PR0008960,GL0026344,2021-01-07,,B-015,PNB,0,-22653.13
166425,AM-LT000116,SAMSUNG,Payment,Rent Receivables-RR Clearing,UFT0002889,GL0026377,2021-01-07,,B-015,PNB,0,-23583.87
166367,AM-LT000117,SAVE N` EARN - 5F,Payment,Rent Receivables-RR Clearing,UFT0002883,GL0026346,2021-01-07,,B-015,PNB,0,-33777.22
166609,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Rent Receivables-RR Clearing,UFT0002904,GL0026363,2021-01-08,,B-008,PNB - Main,0,-4009.48
166564,AM-LT000063,POTATO CORNER,Payment,Rent Receivables-RR Clearing,UFT0002894,GL0023603,2021-01-08,,B-015,PNB,0,-5350.00
166568,AM-LT000063,POTATO CORNER,Payment,Rent Receivables-RR Clearing,UFT0002894,GL0025107,2021-01-08,,B-015,PNB,0,-5350.00
166617,AM-LT000217,BLACK CHAI MILKTEA SHOP,Payment,Rent Receivables,PR0008962,GL0026249,2021-01-08,,B-015,PNB,0,-12840.00
166267,AM-LT000189,SNACK ATTACK,Payment,Rent Receivables,PR0008961,GL0026397,2021-01-08,,B-015,PNB,0,-14880.22
166631,AM-LT000079,CLOA PAWNSHOP,Payment,Rent Receivables,PR0008965,GL0026219,2021-01-09,,B-015,PNB,0,-24717.00
166627,AM-LT000058,M. LHUILLIER PHILIPPINES INC,Payment,Rent Receivables,PR0008963,GL0026201,2021-01-09,,B-015,PNB,0,-39637.08
166667,AM-LT000207,LUGAW BISDAK,Payment,Rent Receivables,PR0008967,GL0026410,2021-01-10,,B-015,PNB,0,-8025.00
169070,AM-ST000142,JOJIE`S PA-INITANG BOL-ANON,Payment,Rent Receivables,PR0008964,GL0025219,2021-01-10,,B-015,PNB,0,-21400.00
166659,AM-LT000121,BIG JEWELRY CREATION,Payment,Rent Receivables,PR0008966,GL0026278,2021-01-10,,B-015,PNB,0,-22470.00
166707,AM-LT000022,MICHE CELLPHONE ACCESSORIES,Payment,Rent Receivables,PR0008968,GL0026349,2021-01-11,,B-015,PNB,0,-11235.00
166836,AM-LT000082,RICHER TEA,Payment,Rent Receivables,PR0008882,GL0026153,2021-01-11,,B-015,PNB,0,-21400.00
167227,AM-LT000039,BENCH,Payment,Rent Receivables-RR Clearing,UFT0002915,GL0026454,2021-01-11,,B-008,PNB - Main,0,-45163.86
