ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
39460,AM-ST000003,PENSHOPPE BOX,Payment,Rent Receivables-RR Clearing,UFT0000631,GL0005753,2019-01-03,,B-009,Banks of the Philippine Islands,0,-26750.00
38729,AM-LT000046,LAY BARE WAXING SALON,Payment,Rent Receivables,PR0005691,GL0006045,2019-01-03,,B-008,PNB - Main,0,-26996.10
39825,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Rent Receivables-RR Clearing,UFT0000635,GL0005837,2019-01-03,,B-008,PNB - Main,0,-99901.28
31732,AM-LT000072,STICKER RACE PRINTS AND DESIGNS  - ADBOX,Invoice,Rent Receivables,IC0004023,GL0005058,2019-01-04,2019-01-14,,,6000.00,0
56640,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Rent Receivables,PR0005697,GL0009529,2019-01-04,,B-008,PNB - Main,0,-569.67
31737,AM-LT000072,STICKER RACE PRINTS AND DESIGNS  - ADBOX,Payment,Rent Receivables,B0002200,GL0005058,2019-01-04,,,,0,-2000.00
38877,AM-LT000034,BEBIES LECHON BABOY,Payment,Rent Receivables,PR0005696,GL0002777,2019-01-04,,B-008,PNB - Main,0,-3084.72
68185,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Payment,Rent Receivables,PR0005698,GL0004126,2019-01-04,,B-015,PNB,0,-6460.00
39801,AM-LT000111,LEYLAM,Payment,Rent Receivables-RR Clearing,UFT0000633,GL0006266,2019-01-04,,B-008,PNB - Main,0,-12425.79
38823,AM-LT000081,KERRIMO,Payment,Rent Receivables,PR0005695,GL0005914,2019-01-04,,B-008,PNB - Main,0,-14854.86
68187,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Payment,Rent Receivables,PR0005698,GL0004127,2019-01-04,,B-015,PNB,0,-15240.00
56642,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Rent Receivables,PR0005697,GL0009530,2019-01-04,,B-008,PNB - Main,0,-23510.98
39891,AM-LT000054,ABENSON,Payment,Rent Receivables-RR Clearing,UFT0000636,GL0006288,2019-01-04,,B-009,Banks of the Philippine Islands,0,-176043.37
52532,AM-LT000069,GREENWICH - BILLBOARD,Payment,Rent Receivables,PRJV#01-907,GL0006264,2019-01-05,,,,0,-700.00
52508,AM-LT000066,RED RIBBON - BILLBOARD,Payment,Rent Receivables,PRJV#01-911,GL0005752,2019-01-05,,,,0,-5350.00
52530,AM-LT000069,GREENWICH - BILLBOARD,Payment,Rent Receivables,PRJV#01-907,GL0005304,2019-01-05,,,,0,-6790.00
52554,AM-LT000006,GREENWICH -GTG,Payment,Rent Receivables,PRJV#01-900,GL0005549,2019-01-05,,,,0,-21400.00
39245,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,Rent Receivables,PR0005699,GL0006087,2019-01-05,,B-008,PNB - Main,0,-34248.37
52498,AM-LT000004,RED RIBBON,Payment,Rent Receivables,PRJV#01-916,GL0005633,2019-01-05,,,,0,-62884.22
47047,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Invoice,Rent Receivables,IC0005809,GL0007986,2019-01-07,2019-01-17,,,29960.00,0
40610,AM-ST000013,ORO CHINA - BILLBOARD,Payment,Rent Receivables-RR Clearing,UFT0000654,GL0006265,2019-01-07,,B-011,BDO,0,-11127.93
39348,AM-LT000022,MICHE CELLPHONE ACCESSORIES,Payment,Rent Receivables,PR0005700,GL0006047,2019-01-07,,B-008,PNB - Main,0,-16050.00
39360,AM-LT000028,PAYAG RESTAURANT,Payment,Rent Receivables,PR0005701,GL0005168,2019-01-07,,B-008,PNB - Main,0,-16050.00
39391,AM-LT000016,BLACK PEARL,Payment,Rent Receivables,PR0005704,GL0005885,2019-01-07,,B-008,PNB - Main,0,-18284.96
39793,AM-LT000038,MASTER PAY AVENUE,Payment,Rent Receivables-RR Clearing,UFT0000632,GL0005868,2019-01-07,,B-008,PNB - Main,0,-19260.00
40570,AM-LT000056,ORO CHINA PAWNSHOP,Payment,Rent Receivables-RR Clearing,UFT0000648,GL0005864,2019-01-07,,B-009,Banks of the Philippine Islands,0,-21400.00
39376,AM-LT000041,STICKER RACE PRINTS,Payment,Rent Receivables,PR0005702,GL0005870,2019-01-07,,B-008,PNB - Main,0,-29425.00
39549,AM-LT000032,CIGNAL HUB,Payment,Rent Receivables,PR0005707,GL0006022,2019-01-07,,B-008,PNB - Main,0,-37450.00
39533,AM-LT000055,IDEAL VISION CENTER,Payment,Rent Receivables,PR0005705,GL0005860,2019-01-07,,B-008,PNB - Main,0,-42866.34
39545,AM-LT000030,SAVE n EARN,Payment,Rent Receivables,PR0005706,GL0006027,2019-01-07,,B-008,PNB - Main,0,-62595.00
39761,AM-LT000065,RC LUCKY GRAPHICS -STICKER,Payment,Rent Receivables-PDC,PR0005714,GL0005884,2019-01-08,,B-008,PNB - Main,0,-3000.00
43053,AM-LT000063,POTATO CORNER,Payment,Rent Receivables-RR Clearing,UFT0000703,GL0006513,2019-01-08,,B-008,PNB - Main,0,-10700.00
39753,AM-LT000012,SERJ CITRUS AND DIMSUM CORNER,Payment,Rent Receivables,PR0005715,GL0005910,2019-01-08,,B-008,PNB - Main,0,-12840.00
39673,AM-LT000049,THIRSTY,Payment,Rent Receivables-PDC,PR0005709,GL0005847,2019-01-08,,B-008,PNB - Main,0,-12976.42
39705,AM-LT000047,FAMOUS BELGIAN WAFFLE,Payment,Rent Receivables,PR0005712,GL0005849,2019-01-08,,B-008,PNB - Main,0,-14863.90
39597,AM-LT000074,D REAL TUBO,Payment,Rent Receivables,PR0005708,GL0005908,2019-01-08,,B-008,PNB - Main,0,-16050.00
39693,AM-LT000015,TURKS SHAWARMA,Payment,Rent Receivables,PR0005711,GL0005890,2019-01-08,,B-008,PNB - Main,0,-16852.50
