ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
58048,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,Rent Receivables,IC0007087,GL0009702,2018-01-02,2018-01-12,,,21200.00,0
21298,AM-ST000011,CHARMS ACCESSORIES,Invoice,Rent Receivables,IC0002726,GL0003442,2018-01-21,2018-02-01,,,29960.00,0
18891,AM-LT000008,SMART - Rent,Invoice,Rent Receivables,IC0002480,GL0003083,2018-01-31,2018-02-10,,,67410.00,0
17792,AM-LT000024,DIGITALCOM,Invoice,Rent Receivables,IC0002285,GL0002846,2018-01-31,2018-02-10,,,13375.00,0
17506,AM-LT000034,BEBIES LECHON BABOY,Invoice,Rent Receivables,IC0002224,GL0002779,2018-01-31,2018-02-10,,,9630.00,0
48061,AM-LT000008,SMART - Rent,Payment,Rent Receivables-RR Clearing,UFT0000791,GL0003080,2018-02-01,,B-008,PNB - Main,0,-20622.76
58052,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,Rent Receivables,IC0007088,GL0009703,2018-02-02,2018-02-12,,,42800.00,0
25638,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Invoice,Rent Receivables,IC0003271,GL0004124,2018-02-07,2018-02-17,,,20940.00,0
21302,AM-ST000011,CHARMS ACCESSORIES,Invoice,Rent Receivables,IC0002727,GL0003443,2018-02-21,2018-03-01,,,29960.00,0
17806,AM-LT000024,DIGITALCOM,Invoice,Rent Receivables,IC0002288,GL0002849,2018-02-28,2018-03-10,,,13375.00,0
17512,AM-LT000034,BEBIES LECHON BABOY,Invoice,Rent Receivables,IC0002226,GL0002781,2018-02-28,2018-03-10,,,9630.00,0
58056,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,Rent Receivables,IC0007089,GL0009704,2018-03-02,2018-03-12,,,42800.00,0
25642,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Invoice,Rent Receivables,IC0003272,GL0004125,2018-03-07,2018-03-17,,,29960.00,0
21306,AM-ST000011,CHARMS ACCESSORIES,Invoice,Rent Receivables,IC0002728,GL0003444,2018-03-21,2018-04-01,,,29960.00,0
17818,AM-LT000024,DIGITALCOM,Invoice,Rent Receivables,IC0002291,GL0002852,2018-03-31,2018-04-10,,,13375.00,0
