ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
48060,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0003080,2018-02-01,,B-008,PNB - Main,20622.76,0
48040,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0007116,2018-02-01,,B-008,PNB - Main,2601.87,0
48046,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0007119,2018-02-01,,B-008,PNB - Main,2578.96,0
48012,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0006254,2018-02-01,,B-008,PNB - Main,2526.09,0
48052,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0007122,2018-02-01,,B-008,PNB - Main,2522.72,0
48018,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0006257,2018-02-01,,B-008,PNB - Main,2503.84,0
48036,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0007114,2018-02-01,,B-008,PNB - Main,2494.28,0
47986,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0005542,2018-02-01,,B-008,PNB - Main,2452.52,0
48024,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0006260,2018-02-01,,B-008,PNB - Main,2449.24,0
47992,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0005545,2018-02-01,,B-008,PNB - Main,2430.92,0
48008,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0006252,2018-02-01,,B-008,PNB - Main,2421.63,0
47982,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0005540,2018-02-01,,B-008,PNB - Main,2351.10,0
48030,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0007111,2018-02-01,,B-008,PNB - Main,2145.46,0
48034,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0007113,2018-02-01,,B-008,PNB - Main,2145.46,0
48002,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0006249,2018-02-01,,B-008,PNB - Main,2082.97,0
48006,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0006251,2018-02-01,,B-008,PNB - Main,2082.97,0
47976,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0005537,2018-02-01,,B-008,PNB - Main,2022.30,0
47980,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0005539,2018-02-01,,B-008,PNB - Main,2022.30,0
47998,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0005548,2018-02-01,,B-008,PNB - Main,1600.81,0
48058,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0003079,2018-02-01,,B-008,PNB - Main,979.69,0
48056,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0007124,2018-02-01,,B-008,PNB - Main,670.27,0
48050,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0007121,2018-02-01,,B-008,PNB - Main,393.06,0
48044,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0007118,2018-02-01,,B-008,PNB - Main,387.02,0
48022,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0006259,2018-02-01,,B-008,PNB - Main,381.62,0
48048,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0007120,2018-02-01,,B-008,PNB - Main,375.88,0
48016,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0006256,2018-02-01,,B-008,PNB - Main,375.74,0
47996,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0005547,2018-02-01,,B-008,PNB - Main,370.50,0
48042,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0007117,2018-02-01,,B-008,PNB - Main,369.19,0
48020,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0006258,2018-02-01,,B-008,PNB - Main,364.93,0
47990,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0005544,2018-02-01,,B-008,PNB - Main,364.80,0
48014,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0006255,2018-02-01,,B-008,PNB - Main,358.44,0
47994,AM-LT000008,SMART - Rent,Payment,Cash in Bank (Peso),UFT0000791,GL0005546,2018-02-01,,B-008,PNB - Main,354.30,0
