ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
39824,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Cash in Bank (Peso),UFT0000635,GL0005837,2019-01-03,,B-008,PNB - Main,99901.28,0
39826,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Cash in Bank (Peso),UFT0000635,GL0005838,2019-01-03,,B-008,PNB - Main,33940.40,0
56725,AM-LT000009,GLOBE TELECOM INC. - Electricity,Payment,Cash in Bank (Peso),PR0005692,GL0009569,2019-01-03,,B-008,PNB - Main,33897.57,0
38728,AM-LT000046,LAY BARE WAXING SALON,Payment,Cash in Bank (Peso),PR0005691,GL0006045,2019-01-03,,B-008,PNB - Main,26996.10,0
39459,AM-ST000003,PENSHOPPE BOX,Payment,Cash in Bank (Peso),UFT0000631,GL0005753,2019-01-03,,B-009,Banks of the Philippine Islands,26750.00,0
56729,AM-LT000009,GLOBE TELECOM INC. - Electricity,Payment,Cash in Bank (Peso),PR0005693,GL0009571,2019-01-03,,B-008,PNB - Main,25015.99,0
38730,AM-LT000046,LAY BARE WAXING SALON,Payment,Cash in Bank (Peso),PR0005691,GL0006046,2019-01-03,,B-008,PNB - Main,13534.00,0
56727,AM-LT000009,GLOBE TELECOM INC. - Electricity,Payment,Cash in Bank (Peso),PR0005693,GL0009569,2019-01-03,,B-008,PNB - Main,1724.01,0
56723,AM-LT000009,GLOBE TELECOM INC. - Electricity,Payment,Cash in Bank (Peso),PR0005692,GL0009572,2019-01-03,,B-008,PNB - Main,712.43,0
39890,AM-LT000054,ABENSON,Payment,Cash in Bank (Peso),UFT0000636,GL0006288,2019-01-04,,B-009,Banks of the Philippine Islands,176043.37,0
39886,AM-LT000054,ABENSON,Payment,Cash in Bank (Peso),UFT0000636,GL0005858,2019-01-04,,B-009,Banks of the Philippine Islands,125745.21,0
56641,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Cash in Bank (Peso),PR0005697,GL0009530,2019-01-04,,B-008,PNB - Main,23510.98,0
68186,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Payment,Cash in Bank (Peso),PR0005698,GL0004127,2019-01-04,,B-015,PNB,15240.00,0
38822,AM-LT000081,KERRIMO,Payment,Cash in Bank (Peso),PR0005695,GL0005914,2019-01-04,,B-008,PNB - Main,14854.86,0
38768,AM-ST000008,BPDWA INC,Payment,Cash in Bank (Peso),PR0005694,GL0006379,2019-01-04,,B-008,PNB - Main,12840.00,0
39800,AM-LT000111,LEYLAM,Payment,Cash in Bank (Peso),UFT0000633,GL0006266,2019-01-04,,B-008,PNB - Main,12425.79,0
38824,AM-LT000081,KERRIMO,Payment,Cash in Bank (Peso),PR0005695,GL0005915,2019-01-04,,B-008,PNB - Main,6540.00,0
68184,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Payment,Cash in Bank (Peso),PR0005698,GL0004126,2019-01-04,,B-015,PNB,6460.00,0
39802,AM-LT000111,LEYLAM,Payment,Cash in Bank (Peso),UFT0000633,GL0006291,2019-01-04,,B-008,PNB - Main,3547.80,0
38876,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0002777,2019-01-04,,B-008,PNB - Main,3084.72,0
39888,AM-LT000054,ABENSON,Payment,Cash in Bank (Peso),UFT0000636,GL0005859,2019-01-04,,B-009,Banks of the Philippine Islands,1164.97,0
56633,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Cash in Bank (Peso),PR0005697,GL0009548,2019-01-04,,B-008,PNB - Main,897.74,0
56627,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Cash in Bank (Peso),PR0005697,GL0009545,2019-01-04,,B-008,PNB - Main,871.59,0
56635,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Cash in Bank (Peso),PR0005697,GL0009549,2019-01-04,,B-008,PNB - Main,871.59,0
56639,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Cash in Bank (Peso),PR0005697,GL0009529,2019-01-04,,B-008,PNB - Main,569.67,0
56623,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Cash in Bank (Peso),PR0005697,GL0009543,2019-01-04,,B-008,PNB - Main,569.67,0
56629,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Cash in Bank (Peso),PR0005697,GL0009546,2019-01-04,,B-008,PNB - Main,569.67,0
56637,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Cash in Bank (Peso),PR0005697,GL0009550,2019-01-04,,B-008,PNB - Main,569.67,0
38854,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006272,2019-01-04,,B-008,PNB - Main,392.67,0
38832,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0005603,2019-01-04,,B-008,PNB - Main,381.23,0
38856,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006273,2019-01-04,,B-008,PNB - Main,381.23,0
38834,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0005604,2019-01-04,,B-008,PNB - Main,370.13,0
38858,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006274,2019-01-04,,B-008,PNB - Main,370.13,0
38836,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0005605,2019-01-04,,B-008,PNB - Main,359.35,0
38860,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006275,2019-01-04,,B-008,PNB - Main,359.35,0
38838,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0005606,2019-01-04,,B-008,PNB - Main,348.88,0
38862,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006276,2019-01-04,,B-008,PNB - Main,348.88,0
38850,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006270,2019-01-04,,B-008,PNB - Main,341.04,0
38840,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0005607,2019-01-04,,B-008,PNB - Main,338.72,0
38864,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006277,2019-01-04,,B-008,PNB - Main,338.72,0
38828,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0005601,2019-01-04,,B-008,PNB - Main,331.10,0
38842,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0005608,2019-01-04,,B-008,PNB - Main,328.86,0
38866,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006278,2019-01-04,,B-008,PNB - Main,328.86,0
38844,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0005609,2019-01-04,,B-008,PNB - Main,319.28,0
38868,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006279,2019-01-04,,B-008,PNB - Main,319.28,0
38870,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006280,2019-01-04,,B-008,PNB - Main,313.02,0
38846,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0005610,2019-01-04,,B-008,PNB - Main,309.98,0
38848,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0005611,2019-01-04,,B-008,PNB - Main,303.90,0
38874,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006282,2019-01-04,,B-008,PNB - Main,202.72,0
38872,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006281,2019-01-04,,B-008,PNB - Main,202.60,0
39892,AM-LT000054,ABENSON,Payment,Cash in Bank (Peso),UFT0000636,GL0006484,2019-01-04,,B-009,Banks of the Philippine Islands,142.57,0
38852,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0006271,2019-01-04,,B-008,PNB - Main,60.52,0
38830,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0005602,2019-01-04,,B-008,PNB - Main,58.76,0
56631,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Cash in Bank (Peso),PR0005697,GL0009547,2019-01-04,,B-008,PNB - Main,18.13,0
56625,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Cash in Bank (Peso),PR0005697,GL0009544,2019-01-04,,B-008,PNB - Main,17.60,0
56621,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Cash in Bank (Peso),PR0005697,GL0009542,2019-01-04,,B-008,PNB - Main,17.09,0
38826,AM-LT000034,BEBIES LECHON BABOY,Payment,Cash in Bank (Peso),PR0005696,GL0005462,2019-01-04,,B-008,PNB - Main,6.07,0
39244,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,Cash in Bank (Peso),PR0005699,GL0006087,2019-01-05,,B-008,PNB - Main,34248.37,0
39246,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,Cash in Bank (Peso),PR0005699,GL0006088,2019-01-05,,B-008,PNB - Main,5620.00,0
52707,AM-LT000112,PENSHOPPE,Payment,Cash in Bank (Peso),PR000485,GL0008853,2019-01-07,,B-008,PNB - Main,121980.00,0
