ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
18895,AM-LT000008,SMART - Rent,Invoice,A/R  Non Trade External,IC0002481,GL0003084,2018-01-31,2018-02-10,,,10960.00,0
17796,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0002286,GL0002847,2018-01-31,2018-02-10,,,2349.22,0
17510,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0002225,GL0002780,2018-01-31,2018-02-10,,,500.00,0
28909,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003800,GL0004751,2018-01-31,2018-01-10,,,134.10,0
28799,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0003748,GL0004699,2018-01-31,2018-01-10,,,82.86,0
28899,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003795,GL0004746,2018-01-31,2018-01-10,,,46.06,0
28905,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003798,GL0004749,2018-01-31,2018-01-10,,,7.23,0
28907,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003799,GL0004750,2018-01-31,2018-01-10,,,3.84,0
28903,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003797,GL0004748,2018-01-31,2018-01-10,,,3.16,0
28901,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003796,GL0004747,2018-01-31,2018-01-10,,,2.94,0
47975,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005536,2018-02-01,,B-008,PNB - Main,0,-29.39
48001,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006248,2018-02-01,,B-008,PNB - Main,0,-30.27
48029,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007110,2018-02-01,,B-008,PNB - Main,0,-31.18
48027,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006261,2018-02-01,,B-008,PNB - Main,0,-228.00
47985,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005541,2018-02-01,,B-008,PNB - Main,0,-303.60
48011,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006253,2018-02-01,,B-008,PNB - Main,0,-312.71
48039,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007115,2018-02-01,,B-008,PNB - Main,0,-322.09
47979,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005538,2018-02-01,,B-008,PNB - Main,0,-330.90
48005,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006250,2018-02-01,,B-008,PNB - Main,0,-340.83
47989,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005543,2018-02-01,,B-008,PNB - Main,0,-348.00
48055,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007123,2018-02-01,,B-008,PNB - Main,0,-348.84
48033,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007112,2018-02-01,,B-008,PNB - Main,0,-351.05
47995,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005546,2018-02-01,,B-008,PNB - Main,0,-354.30
48015,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006255,2018-02-01,,B-008,PNB - Main,0,-358.44
47991,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005544,2018-02-01,,B-008,PNB - Main,0,-364.80
48021,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006258,2018-02-01,,B-008,PNB - Main,0,-364.93
48043,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007117,2018-02-01,,B-008,PNB - Main,0,-369.19
47997,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005547,2018-02-01,,B-008,PNB - Main,0,-370.50
48017,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006256,2018-02-01,,B-008,PNB - Main,0,-375.74
48049,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007120,2018-02-01,,B-008,PNB - Main,0,-375.88
48023,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006259,2018-02-01,,B-008,PNB - Main,0,-381.62
48045,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007118,2018-02-01,,B-008,PNB - Main,0,-387.02
48051,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007121,2018-02-01,,B-008,PNB - Main,0,-393.06
48057,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007124,2018-02-01,,B-008,PNB - Main,0,-670.27
48059,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0003079,2018-02-01,,B-008,PNB - Main,0,-979.69
47999,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005548,2018-02-01,,B-008,PNB - Main,0,-1600.81
47977,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005537,2018-02-01,,B-008,PNB - Main,0,-2022.30
47981,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005539,2018-02-01,,B-008,PNB - Main,0,-2022.30
48003,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006249,2018-02-01,,B-008,PNB - Main,0,-2082.97
48007,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006251,2018-02-01,,B-008,PNB - Main,0,-2082.97
48031,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007111,2018-02-01,,B-008,PNB - Main,0,-2145.46
48035,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007113,2018-02-01,,B-008,PNB - Main,0,-2145.46
47983,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005540,2018-02-01,,B-008,PNB - Main,0,-2351.10
48009,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006252,2018-02-01,,B-008,PNB - Main,0,-2421.63
47993,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005545,2018-02-01,,B-008,PNB - Main,0,-2430.92
48025,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006260,2018-02-01,,B-008,PNB - Main,0,-2449.24
47987,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0005542,2018-02-01,,B-008,PNB - Main,0,-2452.52
48037,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007114,2018-02-01,,B-008,PNB - Main,0,-2494.28
48019,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006257,2018-02-01,,B-008,PNB - Main,0,-2503.84
48053,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007122,2018-02-01,,B-008,PNB - Main,0,-2522.72
48013,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0006254,2018-02-01,,B-008,PNB - Main,0,-2526.09
48047,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007119,2018-02-01,,B-008,PNB - Main,0,-2578.96
48041,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000791,GL0007116,2018-02-01,,B-008,PNB - Main,0,-2601.87
17812,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0002290,GL0002851,2018-02-28,2018-03-10,,,2744.90,0
17516,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0002227,GL0002782,2018-02-28,2018-03-10,,,500.00,0
28817,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0003757,GL0004708,2018-02-28,2018-02-10,,,314.49,0
28915,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003802,GL0004753,2018-02-28,2018-01-10,,,205.17,0
28939,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003812,GL0004763,2018-02-28,2018-02-10,,,202.60,0
28801,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0003749,GL0004700,2018-02-28,2018-01-10,,,126.77,0
18901,AM-LT000008,SMART - Rent,Invoice,A/R  Non Trade External,IC0002483,GL0003086,2018-03-31,2018-04-10,,,10120.00,0
17822,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0002292,GL0002853,2018-03-31,2018-04-10,,,2382.20,0
17522,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0002229,GL0002784,2018-03-31,2018-04-10,,,500.00,0
28819,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0003758,GL0004709,2018-03-31,2018-02-10,,,481.17,0
28833,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0003765,GL0004716,2018-03-31,2018-03-10,,,322.40,0
28941,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003813,GL0004764,2018-03-31,2018-02-10,,,309.98,0
28917,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003803,GL0004754,2018-03-31,2018-01-10,,,211.32,0
28955,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003820,GL0004771,2018-03-31,2018-03-10,,,202.60,0
28803,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0003750,GL0004701,2018-03-31,2018-01-10,,,130.58,0
18903,AM-LT000008,SMART - Rent,Invoice,A/R  Non Trade External,IC0002484,GL0003087,2018-04-30,2018-05-10,,,10970.00,0
17832,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0002294,GL0002855,2018-04-30,2018-05-10,,,2734.90,0
17528,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0002231,GL0002786,2018-04-30,2018-05-10,,,500.00,0
28821,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0003759,GL0004710,2018-04-30,2018-02-10,,,495.60,0
28835,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0003766,GL0004717,2018-04-30,2018-03-10,,,493.27,0
28943,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003814,GL0004765,2018-04-30,2018-02-10,,,319.28,0
28847,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0003772,GL0004723,2018-04-30,2018-04-10,,,315.15,0
28957,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003821,GL0004772,2018-04-30,2018-03-10,,,309.98,0
28923,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003805,GL0004756,2018-04-30,2018-01-10,,,217.66,0
28969,AM-LT000034,BEBIES LECHON BABOY,Invoice,A/R  Non Trade External,IC0003827,GL0004778,2018-04-30,2018-04-10,,,202.60,0
28805,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0003751,GL0004702,2018-04-30,2018-01-10,,,134.49,0
48065,AM-LT000008,SMART - Rent,Payment,A/R  Non Trade External-AR Clearing,UFT0000792,GL0003081,2018-04-30,,B-008,PNB - Main,0,-11030.00
18715,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,IC0002452,GL0003039,2018-05-31,2018-06-10,,,19054.13,0
18918,AM-LT000008,SMART - Rent,Invoice,A/R  Non Trade External,IC0002487,GL0003092,2018-05-31,2018-06-10,,,11600.00,0
18664,AM-LT000011,RICE BOWL REPUBLIC,Invoice,A/R  Non Trade External,IC0002444,GL0003027,2018-05-31,2018-06-10,,,4861.98,0
17842,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0002296,GL0002857,2018-05-31,2018-06-10,,,2370.00,0
17847,AM-LT000024,DIGITALCOM,Invoice,A/R  Non Trade External,IC0002297,GL0002858,2018-05-31,2018-06-10,,,1161.72,0
