ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
28902,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003796,GL0004747,2018-01-31,2018-01-10,,,0,-2.94
28904,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003797,GL0004748,2018-01-31,2018-01-10,,,0,-3.16
28908,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003799,GL0004750,2018-01-31,2018-01-10,,,0,-3.84
28906,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003798,GL0004749,2018-01-31,2018-01-10,,,0,-7.23
28900,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003795,GL0004746,2018-01-31,2018-01-10,,,0,-46.06
28800,AM-LT000024,DIGITALCOM,Invoice,MI-Penalties,IC0003748,GL0004699,2018-01-31,2018-01-10,,,0,-82.86
28910,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003800,GL0004751,2018-01-31,2018-01-10,,,0,-134.10
17800,AM-LT000024,DIGITALCOM,Invoice,MI-Light and Power,IC0002286,GL0002847,2018-01-31,2018-02-10,,,0,-340.00
17511,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Charges,IC0002225,GL0002780,2018-01-31,2018-02-10,,,0,-500.00
17799,AM-LT000024,DIGITALCOM,Invoice,MI-Charges,IC0002286,GL0002847,2018-01-31,2018-02-10,,,0,-509.22
17797,AM-LT000024,DIGITALCOM,Invoice,MI-Common Utilities,IC0002286,GL0002847,2018-01-31,2018-02-10,,,0,-1000.00
18896,AM-LT000008,SMART - Rent,Invoice,MI-Charges,IC0002481,GL0003084,2018-01-31,2018-02-10,,,0,-10960.00
28802,AM-LT000024,DIGITALCOM,Invoice,MI-Penalties,IC0003749,GL0004700,2018-02-28,2018-01-10,,,0,-126.77
28940,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003812,GL0004763,2018-02-28,2018-02-10,,,0,-202.60
28916,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003802,GL0004753,2018-02-28,2018-01-10,,,0,-205.17
28818,AM-LT000024,DIGITALCOM,Invoice,MI-Penalties,IC0003757,GL0004708,2018-02-28,2018-02-10,,,0,-314.49
17816,AM-LT000024,DIGITALCOM,Invoice,MI-Light and Power,IC0002290,GL0002851,2018-02-28,2018-03-10,,,0,-330.00
17517,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Charges,IC0002227,GL0002782,2018-02-28,2018-03-10,,,0,-500.00
17815,AM-LT000024,DIGITALCOM,Invoice,MI-Charges,IC0002290,GL0002851,2018-02-28,2018-03-10,,,0,-914.90
17813,AM-LT000024,DIGITALCOM,Invoice,MI-Common Utilities,IC0002290,GL0002851,2018-02-28,2018-03-10,,,0,-1000.00
28804,AM-LT000024,DIGITALCOM,Invoice,MI-Penalties,IC0003750,GL0004701,2018-03-31,2018-01-10,,,0,-130.58
28956,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003820,GL0004771,2018-03-31,2018-03-10,,,0,-202.60
28918,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003803,GL0004754,2018-03-31,2018-01-10,,,0,-211.32
17826,AM-LT000024,DIGITALCOM,Invoice,MI-Light and Power,IC0002292,GL0002853,2018-03-31,2018-04-10,,,0,-290.00
28942,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003813,GL0004764,2018-03-31,2018-02-10,,,0,-309.98
28834,AM-LT000024,DIGITALCOM,Invoice,MI-Penalties,IC0003765,GL0004716,2018-03-31,2018-03-10,,,0,-322.40
28820,AM-LT000024,DIGITALCOM,Invoice,MI-Penalties,IC0003758,GL0004709,2018-03-31,2018-02-10,,,0,-481.17
17523,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Charges,IC0002229,GL0002784,2018-03-31,2018-04-10,,,0,-500.00
17825,AM-LT000024,DIGITALCOM,Invoice,MI-Charges,IC0002292,GL0002853,2018-03-31,2018-04-10,,,0,-592.20
17823,AM-LT000024,DIGITALCOM,Invoice,MI-Common Utilities,IC0002292,GL0002853,2018-03-31,2018-04-10,,,0,-1000.00
18902,AM-LT000008,SMART - Rent,Invoice,MI-Charges,IC0002483,GL0003086,2018-03-31,2018-04-10,,,0,-10120.00
28806,AM-LT000024,DIGITALCOM,Invoice,MI-Penalties,IC0003751,GL0004702,2018-04-30,2018-01-10,,,0,-134.49
28970,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003827,GL0004778,2018-04-30,2018-04-10,,,0,-202.60
28924,AM-LT000034,BEBIES LECHON BABOY,Invoice,MI-Penalties,IC0003805,GL0004756,2018-04-30,2018-01-10,,,0,-217.66
