ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
58048,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,Rent Receivables,IC0007087,GL0009702,2018-01-02,2018-01-12,,,21200.00,0
58049,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,VAT Output,IC0007087,GL0009702,2018-01-02,2018-01-12,,,0,-2377.57
58051,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,Rent Income,IC0007087,GL0009702,2018-01-02,2018-01-12,,,0,-19813.08
21298,AM-ST000011,CHARMS ACCESSORIES,Invoice,Rent Receivables,IC0002726,GL0003442,2018-01-21,2018-02-01,,,29960.00,0
21299,AM-ST000011,CHARMS ACCESSORIES,Invoice,VAT Output,IC0002726,GL0003442,2018-01-21,2018-02-01,,,0,-3360.00
21301,AM-ST000011,CHARMS ACCESSORIES,Invoice,Rent Income,IC0002726,GL0003442,2018-01-21,2018-02-01,,,0,-28000.00
18891,AM-LT000008,SMART - Rent,Invoice,Rent Receivables,IC0002480,GL0003083,2018-01-31,2018-02-10,,,67410.00,0
17792,AM-LT000024,DIGITALCOM,Invoice,Rent Receivables,IC0002285,GL0002846,2018-01-31,2018-02-10,,,13375.00,0
17506,AM-LT000034,BEBIES LECHON BABOY,Invoice,Rent Receivables,IC0002224,GL0002779,2018-01-31,2018-02-10,,,9630.00,0
17507,AM-LT000034,BEBIES LECHON BABOY,Invoice,VAT Output,IC0002224,GL0002779,2018-01-31,2018-02-10,,,0,-1080.00
17793,AM-LT000024,DIGITALCOM,Invoice,VAT Output,IC0002285,GL0002846,2018-01-31,2018-02-10,,,0,-1500.00
18892,AM-LT000008,SMART - Rent,Invoice,VAT Output,IC0002480,GL0003083,2018-01-31,2018-02-10,,,0,-7560.00
17509,AM-LT000034,BEBIES LECHON BABOY,Invoice,Rent Income,IC0002224,GL0002779,2018-01-31,2018-02-10,,,0,-9000.00
17795,AM-LT000024,DIGITALCOM,Invoice,Rent Income,IC0002285,GL0002846,2018-01-31,2018-02-10,,,0,-12500.00
18894,AM-LT000008,SMART - Rent,Invoice,Rent Income,IC0002480,GL0003083,2018-01-31,2018-02-10,,,0,-63000.00
48061,AM-LT000008,SMART - Rent,Payment,Rent Receivables-RR Clearing,UFT0000791,GL0003080,2018-02-01,,B-008,PNB - Main,0,-20622.76
58052,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,Rent Receivables,IC0007088,GL0009703,2018-02-02,2018-02-12,,,42800.00,0
58053,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,VAT Output,IC0007088,GL0009703,2018-02-02,2018-02-12,,,0,-4800.00
58055,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,Rent Income,IC0007088,GL0009703,2018-02-02,2018-02-12,,,0,-40000.00
25638,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Invoice,Rent Receivables,IC0003271,GL0004124,2018-02-07,2018-02-17,,,20940.00,0
25639,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Invoice,VAT Output,IC0003271,GL0004124,2018-02-07,2018-02-17,,,0,-2348.41
25641,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Invoice,Rent Income,IC0003271,GL0004124,2018-02-07,2018-02-17,,,0,-19570.09
21302,AM-ST000011,CHARMS ACCESSORIES,Invoice,Rent Receivables,IC0002727,GL0003443,2018-02-21,2018-03-01,,,29960.00,0
21303,AM-ST000011,CHARMS ACCESSORIES,Invoice,VAT Output,IC0002727,GL0003443,2018-02-21,2018-03-01,,,0,-3360.00
21305,AM-ST000011,CHARMS ACCESSORIES,Invoice,Rent Income,IC0002727,GL0003443,2018-02-21,2018-03-01,,,0,-28000.00
17806,AM-LT000024,DIGITALCOM,Invoice,Rent Receivables,IC0002288,GL0002849,2018-02-28,2018-03-10,,,13375.00,0
17512,AM-LT000034,BEBIES LECHON BABOY,Invoice,Rent Receivables,IC0002226,GL0002781,2018-02-28,2018-03-10,,,9630.00,0
17513,AM-LT000034,BEBIES LECHON BABOY,Invoice,VAT Output,IC0002226,GL0002781,2018-02-28,2018-03-10,,,0,-1080.00
17807,AM-LT000024,DIGITALCOM,Invoice,VAT Output,IC0002288,GL0002849,2018-02-28,2018-03-10,,,0,-1500.00
17515,AM-LT000034,BEBIES LECHON BABOY,Invoice,Rent Income,IC0002226,GL0002781,2018-02-28,2018-03-10,,,0,-9000.00
17809,AM-LT000024,DIGITALCOM,Invoice,Rent Income,IC0002288,GL0002849,2018-02-28,2018-03-10,,,0,-12500.00
58056,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,Rent Receivables,IC0007089,GL0009704,2018-03-02,2018-03-12,,,42800.00,0
58057,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,VAT Output,IC0007089,GL0009704,2018-03-02,2018-03-12,,,0,-4800.00
58059,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,Rent Income,IC0007089,GL0009704,2018-03-02,2018-03-12,,,0,-40000.00
25642,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Invoice,Rent Receivables,IC0003272,GL0004125,2018-03-07,2018-03-17,,,29960.00,0
25643,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Invoice,VAT Output,IC0003272,GL0004125,2018-03-07,2018-03-17,,,0,-3360.00
25645,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Invoice,Rent Income,IC0003272,GL0004125,2018-03-07,2018-03-17,,,0,-28000.00
21306,AM-ST000011,CHARMS ACCESSORIES,Invoice,Rent Receivables,IC0002728,GL0003444,2018-03-21,2018-04-01,,,29960.00,0
21307,AM-ST000011,CHARMS ACCESSORIES,Invoice,VAT Output,IC0002728,GL0003444,2018-03-21,2018-04-01,,,0,-3360.00
21309,AM-ST000011,CHARMS ACCESSORIES,Invoice,Rent Income,IC0002728,GL0003444,2018-03-21,2018-04-01,,,0,-28000.00
41308,AM-LT000048,CHIKITINGS PLAYHOUSE,Payment,Security Deposit Payable,AR#000461,GL0006620,2018-03-28,,B-009,BPI,0,-93870.00
17818,AM-LT000024,DIGITALCOM,Invoice,Rent Receivables,IC0002291,GL0002852,2018-03-31,2018-04-10,,,13375.00,0
17518,AM-LT000034,BEBIES LECHON BABOY,Invoice,Rent Receivables,IC0002228,GL0002783,2018-03-31,2018-04-10,,,9630.00,0
17519,AM-LT000034,BEBIES LECHON BABOY,Invoice,VAT Output,IC0002228,GL0002783,2018-03-31,2018-04-10,,,0,-1080.00
17819,AM-LT000024,DIGITALCOM,Invoice,VAT Output,IC0002291,GL0002852,2018-03-31,2018-04-10,,,0,-1500.00
17521,AM-LT000034,BEBIES LECHON BABOY,Invoice,Rent Income,IC0002228,GL0002783,2018-03-31,2018-04-10,,,0,-9000.00
17821,AM-LT000024,DIGITALCOM,Invoice,Rent Income,IC0002291,GL0002852,2018-03-31,2018-04-10,,,0,-12500.00
58060,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,Rent Receivables,IC0007090,GL0009705,2018-04-02,2018-04-12,,,42800.00,0
58061,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,VAT Output,IC0007090,GL0009705,2018-04-02,2018-04-12,,,0,-4800.00
58063,AM-ST000050,YAMANG BUKID FOOD PRODUCTS,Invoice,Rent Income,IC0007090,GL0009705,2018-04-02,2018-04-12,,,0,-40000.00
41306,AM-LT000010,MASTER SIOMAI,Payment,Security Deposit Payable,AR#000460,GL0006619,2018-04-03,,B-008,PNB,0,-45000.00
25646,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Invoice,Rent Receivables,IC0003273,GL0004126,2018-04-07,2018-04-17,,,29960.00,0
25647,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Invoice,VAT Output,IC0003273,GL0004126,2018-04-07,2018-04-17,,,0,-3360.00
25649,AM-ST000009,WEO - JEWELRIES AND ACCESSORIES,Invoice,Rent Income,IC0003273,GL0004126,2018-04-07,2018-04-17,,,0,-28000.00
21310,AM-ST000011,CHARMS ACCESSORIES,Invoice,Rent Receivables,IC0002729,GL0003445,2018-04-21,2018-05-01,,,29960.00,0
21311,AM-ST000011,CHARMS ACCESSORIES,Invoice,VAT Output,IC0002729,GL0003445,2018-04-21,2018-05-01,,,0,-3360.00
21313,AM-ST000011,CHARMS ACCESSORIES,Invoice,Rent Income,IC0002729,GL0003445,2018-04-21,2018-05-01,,,0,-28000.00
18914,AM-LT000008,SMART - Rent,Invoice,Rent Receivables,IC0002486,GL0003091,2018-04-30,2018-05-10,,,70780.50,0
17828,AM-LT000024,DIGITALCOM,Invoice,Rent Receivables,IC0002293,GL0002854,2018-04-30,2018-05-10,,,13375.00,0
17524,AM-LT000034,BEBIES LECHON BABOY,Invoice,Rent Receivables,IC0002230,GL0002785,2018-04-30,2018-05-10,,,9630.00,0
17525,AM-LT000034,BEBIES LECHON BABOY,Invoice,VAT Output,IC0002230,GL0002785,2018-04-30,2018-05-10,,,0,-1080.00
