ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
165482,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Cash in Bank (Peso),PR0008880,GL0026373,2021-01-02,,B-015,PNB,12840.00,0
165480,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Cash in Bank (Peso),PR0008880,GL0025949,2021-01-02,,B-015,PNB,3776.00,0
165481,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,A/R  Non Trade External,PR0008880,GL0025949,2021-01-02,,B-015,PNB,0,-3776.00
165483,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Rent Receivables,PR0008880,GL0026373,2021-01-02,,B-015,PNB,0,-12840.00
166448,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Cash in Bank (Peso),UFT0002892,GL0026124,2021-01-04,,B-015,PNB,109891.41,0
166450,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Cash in Bank (Peso),UFT0002892,GL0026125,2021-01-04,,B-015,PNB,34920.40,0
165631,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Cash in Bank (Peso),PR0008953,GL0025096,2021-01-04,,B-015,PNB,26943.00,0
165637,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Cash in Bank (Peso),PR0008954,GL0025716,2021-01-04,,B-015,PNB,26217.00,0
165621,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Payment,Cash in Bank (Peso),PR0008952,GL0026351,2021-01-04,,B-015,PNB,13482.00,0
165498,AM-ST000247,CLASSIC TORTA,Payment,Cash in Bank (Peso),PR0008881,GL0026038,2021-01-04,,B-015,PNB,12000.00,0
165602,AM-LT000049,THIRSTY,Payment,Cash in Bank (Peso),PR0008951,GL0025483,2021-01-04,,B-015,PNB,10700.00,0
165633,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Cash in Bank (Peso),PR0008953,GL0025714,2021-01-04,,B-015,PNB,7425.00,0
165623,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Payment,Cash in Bank (Peso),PR0008952,GL0026353,2021-01-04,,B-015,PNB,6537.61,0
165604,AM-LT000049,THIRSTY,Payment,Cash in Bank (Peso),PR0008951,GL0025484,2021-01-04,,B-015,PNB,2627.00,0
165635,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Cash in Bank (Peso),PR0008954,GL0025714,2021-01-04,,B-015,PNB,1135.00,0
165629,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Cash in Bank (Peso),PR0008953,GL0025095,2021-01-04,,B-015,PNB,409.00,0
165630,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Rent Receivables,PR0008953,GL0025095,2021-01-04,,B-015,PNB,0,-409.00
165636,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Rent Receivables,PR0008954,GL0025714,2021-01-04,,B-015,PNB,0,-1135.00
165605,AM-LT000049,THIRSTY,Payment,A/R  Non Trade External,PR0008951,GL0025484,2021-01-04,,B-015,PNB,0,-2627.00
165624,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Payment,A/R  Non Trade External,PR0008952,GL0026353,2021-01-04,,B-015,PNB,0,-6537.61
165634,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Rent Receivables,PR0008953,GL0025714,2021-01-04,,B-015,PNB,0,-7425.00
165603,AM-LT000049,THIRSTY,Payment,Rent Receivables,PR0008951,GL0025483,2021-01-04,,B-015,PNB,0,-10700.00
165499,AM-ST000247,CLASSIC TORTA,Payment,Rent Receivables,PR0008881,GL0026038,2021-01-04,,B-015,PNB,0,-12000.00
165622,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Payment,Rent Receivables,PR0008952,GL0026351,2021-01-04,,B-015,PNB,0,-13482.00
165638,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,A/R  Non Trade External,PR0008954,GL0025716,2021-01-04,,B-015,PNB,0,-26217.00
165632,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,A/R  Non Trade External,PR0008953,GL0025096,2021-01-04,,B-015,PNB,0,-26943.00
166451,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,A/R  Non Trade External-AR Clearing,UFT0002892,GL0026125,2021-01-04,,B-015,PNB,0,-34920.40
166449,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Rent Receivables-RR Clearing,UFT0002892,GL0026124,2021-01-04,,B-015,PNB,0,-109891.41
166109,AM-LT000039,BENCH,Payment,Cash in Bank (Peso),UFT0002875,GL0021481,2021-01-05,,B-008,PNB - Main,45163.86,0
166111,AM-LT000039,BENCH,Payment,Cash in Bank (Peso),UFT0002875,GL0025648,2021-01-05,,B-008,PNB - Main,45163.86,0
166113,AM-LT000039,BENCH,Payment,Cash in Bank (Peso),UFT0002875,GL0025650,2021-01-05,,B-008,PNB - Main,30880.19,0
165981,AM-LT000042,UNISILVER,Payment,Cash in Bank (Peso),UFT0002872,GL0026145,2021-01-05,,B-009,Banks of the Philippine Islands,23844.18,0
167798,AM-LT000055,IDEAL VISION CENTER,Payment,Cash in Bank (Peso),UFT0002947,GL0026199,2021-01-05,,B-015,PNB,22568.08,0
167796,AM-LT000055,IDEAL VISION CENTER,Payment,Cash in Bank (Peso),UFT0002947,GL0026193,2021-01-05,,B-015,PNB,22504.83,0
165995,AM-LT000111,LEYLAM,Payment,Cash in Bank (Peso),UFT0002873,GL0026151,2021-01-05,,B-015,PNB,17847.37,0
165993,AM-LT000111,LEYLAM,Payment,Cash in Bank (Peso),UFT0002873,GL0026150,2021-01-05,,B-015,PNB,17655.00,0
165669,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,Cash in Bank (Peso),PR0008955,GL0026187,2021-01-05,,B-015,PNB,16852.50,0
165898,AM-LT000185,BPDWA INC.,Payment,Cash in Bank (Peso),PR0008957,GL0019681,2021-01-05,,B-015,PNB,12586.42,0
165900,AM-LT000185,BPDWA INC.,Payment,Cash in Bank (Peso),PR0008957,GL0020680,2021-01-05,,B-015,PNB,8025.00,0
165671,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,Cash in Bank (Peso),PR0008955,GL0026188,2021-01-05,,B-015,PNB,5084.00,0
165983,AM-LT000042,UNISILVER,Payment,Cash in Bank (Peso),UFT0002872,GL0026146,2021-01-05,,B-009,Banks of the Philippine Islands,2035.46,0
165902,AM-LT000185,BPDWA INC.,Payment,Cash in Bank (Peso),PR0008957,GL0020681,2021-01-05,,B-015,PNB,1488.58,0
165985,AM-LT000042,UNISILVER,Payment,Cash in Bank (Peso),UFT0002872,GL0026147,2021-01-05,,B-009,Banks of the Philippine Islands,300.00,0
165986,AM-LT000042,UNISILVER,Payment,A/R  Non Trade External-AR Clearing,UFT0002872,GL0026147,2021-01-05,,B-009,Banks of the Philippine Islands,0,-300.00
165903,AM-LT000185,BPDWA INC.,Payment,A/R  Non Trade External,PR0008957,GL0020681,2021-01-05,,B-015,PNB,0,-1488.58
165984,AM-LT000042,UNISILVER,Payment,A/R  Non Trade External-AR Clearing,UFT0002872,GL0026146,2021-01-05,,B-009,Banks of the Philippine Islands,0,-2035.46
165672,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,A/R  Non Trade External,PR0008955,GL0026188,2021-01-05,,B-015,PNB,0,-5084.00
165901,AM-LT000185,BPDWA INC.,Payment,Rent Receivables,PR0008957,GL0020680,2021-01-05,,B-015,PNB,0,-8025.00
165899,AM-LT000185,BPDWA INC.,Payment,A/R  Non Trade External,PR0008957,GL0019681,2021-01-05,,B-015,PNB,0,-12586.42
165670,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,Rent Receivables,PR0008955,GL0026187,2021-01-05,,B-015,PNB,0,-16852.50
165994,AM-LT000111,LEYLAM,Payment,Rent Receivables-RR Clearing,UFT0002873,GL0026150,2021-01-05,,B-015,PNB,0,-17655.00
165996,AM-LT000111,LEYLAM,Payment,A/R  Non Trade External-AR Clearing,UFT0002873,GL0026151,2021-01-05,,B-015,PNB,0,-17847.37
167797,AM-LT000055,IDEAL VISION CENTER,Payment,Rent Receivables-RR Clearing,UFT0002947,GL0026193,2021-01-05,,B-015,PNB,0,-22504.83
167799,AM-LT000055,IDEAL VISION CENTER,Payment,A/R  Non Trade External-AR Clearing,UFT0002947,GL0026199,2021-01-05,,B-015,PNB,0,-22568.08
165982,AM-LT000042,UNISILVER,Payment,Rent Receivables-RR Clearing,UFT0002872,GL0026145,2021-01-05,,B-009,Banks of the Philippine Islands,0,-23844.18
166114,AM-LT000039,BENCH,Payment,A/R  Non Trade External-AR Clearing,UFT0002875,GL0025650,2021-01-05,,B-008,PNB - Main,0,-30880.19
166110,AM-LT000039,BENCH,Payment,Rent Receivables-RR Clearing,UFT0002875,GL0021481,2021-01-05,,B-008,PNB - Main,0,-45163.86
166112,AM-LT000039,BENCH,Payment,Rent Receivables-RR Clearing,UFT0002875,GL0025648,2021-01-05,,B-008,PNB - Main,0,-45163.86
