ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
50823,AM-LT000086,DAISO JAPAN SHOP,Payment,Cash in Bank (Peso),UFT0000822,GL0007093,2019-02-12,,B-008,PNB - Main,86734.93,0
50825,AM-LT000086,DAISO JAPAN SHOP,Payment,Cash in Bank (Peso),UFT0000822,GL0007099,2019-02-12,,B-008,PNB - Main,70356.59,0
60900,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0000971,GL0010181,2019-02-12,,B-008,PNB - Main,45000.00,0
55807,AM-LT000119,MERRY MANGO,Payment,Cash in Bank (Peso),UFT0000902,GL0009374,2019-02-12,,B-008,PNB - Main,45000.00,0
46925,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Payment,Cash in Bank (Peso),PR0005788,GL0006850,2019-02-12,,B-008,PNB - Main,22350.64,0
46923,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Payment,Cash in Bank (Peso),PR0005788,GL0006847,2019-02-12,,B-008,PNB - Main,20947.50,0
67150,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#02-1474,GL0007127,2019-02-12,,,,20880.00,0
46919,AM-LT000002,ALVAS FOOD PROCESSING,Payment,Cash in Bank (Peso),PR0005787,GL0006648,2019-02-12,,B-008,PNB - Main,18232.60,0
47505,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),PR0005804,GL0008013,2019-02-12,,B-008,PNB - Main,16050.00,0
46927,AM-LT000074,D REAL TUBO,Payment,Cash in Bank (Peso),PR0005789,GL0006780,2019-02-12,,B-008,PNB - Main,16050.00,0
55803,AM-LT000119,MERRY MANGO,Payment,Cash in Bank (Peso),UFT0000901,GL0009372,2019-02-12,,B-008,PNB - Main,16050.00,0
46913,AM-LT000035,ST. PATRICKS ROAST,Payment,Cash in Bank (Peso),PR0005786,GL0006661,2019-02-12,,B-008,PNB - Main,9975.00,0
67148,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#02-1474,GL0006284,2019-02-12,,,,6800.00,0
46921,AM-LT000002,ALVAS FOOD PROCESSING,Payment,Cash in Bank (Peso),PR0005787,GL0006650,2019-02-12,,B-008,PNB - Main,6552.00,0
46929,AM-LT000074,D REAL TUBO,Payment,Cash in Bank (Peso),PR0005789,GL0006781,2019-02-12,,B-008,PNB - Main,2920.00,0
46915,AM-LT000035,ST. PATRICKS ROAST,Payment,Cash in Bank (Peso),PR0005786,GL0006667,2019-02-12,,B-008,PNB - Main,2402.00,0
67146,AM-LT000006,GREENWICH -GTG,Payment,Advances to/from AGC H.O,PRJV#02-1474,GL0006283,2019-02-12,,,,1100.00,0
50821,AM-LT000086,DAISO JAPAN SHOP,Payment,Cash in Bank (Peso),UFT0000822,GL0007092,2019-02-12,,B-008,PNB - Main,464.34,0
46917,AM-LT000035,ST. PATRICKS ROAST,Payment,Cash in Bank (Peso),PR0005786,GL0006668,2019-02-12,,B-008,PNB - Main,200.00,0
46918,AM-LT000035,ST. PATRICKS ROAST,Payment,A/R  Non Trade External,PR0005786,GL0006668,2019-02-12,,B-008,PNB - Main,0,-200.00
50822,AM-LT000086,DAISO JAPAN SHOP,Payment,A/R  Non Trade External-AR Clearing,UFT0000822,GL0007092,2019-02-12,,B-008,PNB - Main,0,-464.34
67147,AM-LT000006,GREENWICH -GTG,Payment,Rent Receivables,PRJV#02-1474,GL0006283,2019-02-12,,,,0,-1100.00
46916,AM-LT000035,ST. PATRICKS ROAST,Payment,A/R  Non Trade External,PR0005786,GL0006667,2019-02-12,,B-008,PNB - Main,0,-2402.00
46930,AM-LT000074,D REAL TUBO,Payment,A/R  Non Trade External,PR0005789,GL0006781,2019-02-12,,B-008,PNB - Main,0,-2920.00
46922,AM-LT000002,ALVAS FOOD PROCESSING,Payment,A/R  Non Trade External,PR0005787,GL0006650,2019-02-12,,B-008,PNB - Main,0,-6552.00
67149,AM-LT000006,GREENWICH -GTG,Payment,A/R Non Trade Internal,PRJV#02-1474,GL0006284,2019-02-12,,,,0,-6800.00
46914,AM-LT000035,ST. PATRICKS ROAST,Payment,Rent Receivables,PR0005786,GL0006661,2019-02-12,,B-008,PNB - Main,0,-9975.00
47506,AM-LT000120,BAREFRUIT GUYABANO,Payment,Unearned Rent Income,PR0005804,GL0008013,2019-02-12,,,,0,-16050.00
46928,AM-LT000074,D REAL TUBO,Payment,Rent Receivables,PR0005789,GL0006780,2019-02-12,,B-008,PNB - Main,0,-16050.00
55804,AM-LT000119,MERRY MANGO,Payment,Unearned Rent Income-Preop Clearing,UFT0000901,GL0009372,2019-02-12,,B-008,PNB - Main,0,-16050.00
46920,AM-LT000002,ALVAS FOOD PROCESSING,Payment,Rent Receivables,PR0005787,GL0006648,2019-02-12,,B-008,PNB - Main,0,-18232.60
67151,AM-LT000006,GREENWICH -GTG,Payment,Rent Receivables,PRJV#02-1474,GL0007127,2019-02-12,,,,0,-20880.00
46924,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Payment,Rent Receivables,PR0005788,GL0006847,2019-02-12,,B-008,PNB - Main,0,-20947.50
46926,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Payment,A/R  Non Trade External,PR0005788,GL0006850,2019-02-12,,B-008,PNB - Main,0,-22350.64
60901,AM-LT000120,BAREFRUIT GUYABANO,Payment,Security Deposit Payable-Preop Clearing,UFT0000971,GL0010181,2019-02-12,,B-008,PNB - Main,0,-45000.00
55808,AM-LT000119,MERRY MANGO,Payment,Security Deposit Payable-Preop Clearing,UFT0000902,GL0009374,2019-02-12,,B-008,PNB - Main,0,-45000.00
50826,AM-LT000086,DAISO JAPAN SHOP,Payment,A/R  Non Trade External-AR Clearing,UFT0000822,GL0007099,2019-02-12,,B-008,PNB - Main,0,-70356.59
50824,AM-LT000086,DAISO JAPAN SHOP,Payment,Rent Receivables-RR Clearing,UFT0000822,GL0007093,2019-02-12,,B-008,PNB - Main,0,-86734.93
