ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
33678,AM-LT000069,GREENWICH - BILLBOARD,Payment,Rent Receivables,PRJV# 10-602,GL0004005,2018-10-01,,,,0,-350.00
24402,AM-ST000044,YOUTHOPIA ACTIVATION SPECIALIST INC,Payment,Rent Receivables,PR0005556,GL0004015,2018-10-01,,B-008,PNB - Main,0,-1500.00
33676,AM-LT000069,GREENWICH - BILLBOARD,Payment,Rent Receivables,PRJV# 10-602,GL0003245,2018-10-01,,,,0,-7490.00
24396,AM-LT000074,D REAL TUBO,Payment,Rent Receivables,PR0005557,GL0003825,2018-10-01,,B-008,PNB - Main,0,-11235.00
24706,AM-LT000038,MASTER PAY AVENUE,Payment,Rent Receivables-RR Clearing,UFT0000399,GL0003909,2018-10-01,,B-008,PNB - Main,0,-19209.83
47910,AM-LT000004,RED RIBBON,Payment,Rent Receivables,PRJV#10-606,GL0004857,2018-10-01,,,,0,-65207.79
47860,AM-LT000005,GREENWICH,Payment,Rent Receivables,PRJV#10-607,GL0004033,2018-10-01,,,,0,-121601.59
20738,AM-ST000001,GATEWAY MOTORS - KIA,Invoice,Rent Receivables,IC0002687,GL0003378,2018-10-02,2018-10-12,,,64200.00,0
24433,AM-ST000011,CHARMS ACCESSORIES,Payment,Rent Receivables,PR0005558,GL0003442,2018-10-02,,B-008,PNB - Main,0,-2080.00
24431,AM-ST000011,CHARMS ACCESSORIES,Payment,Rent Receivables,PR0005558,GL0003441,2018-10-02,,B-008,PNB - Main,0,-28920.00
24455,AM-ST000005,FORD - BOHOL,Payment,Rent Receivables-PDC,PR0005559,GL0003377,2018-10-02,,B-008,PNB - Main,0,-64200.00
24511,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,Rent Receivables,PR0005561,GL0003843,2018-10-03,,B-008,PNB - Main,0,-30334.50
24507,AM-ST000007,RNR TRADING,Payment,Rent Receivables,PR0005560,GL0004018,2018-10-03,,B-008,PNB - Main,0,-45314.50
25106,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Rent Receivables-RR Clearing,UFT0000405,GL0003602,2018-10-03,,B-008,PNB - Main,0,-99901.28
24828,AM-LT000054,ABENSON,Payment,Rent Receivables-RR Clearing,UFT0000403,GL0003655,2018-10-03,,B-009,Banks of the Philippine Islands,0,-160039.43
43029,AM-LT000063,POTATO CORNER,Payment,Rent Receivables-RR Clearing,UFT0000700,GL0003823,2018-10-04,,B-008,PNB - Main,0,-1380.64
24622,AM-LT000065,RC LUCKY GRAPHICS -STICKER,Payment,Rent Receivables-PDC,PR0005563-B,GL0003709,2018-10-04,,B-008,PNB - Main,0,-3000.00
24684,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Rent Receivables-PDC,PR0005567,GL0002769,2018-10-04,,B-008,PNB - Main,0,-19260.00
24618,AM-LT000044,RC LUCKY GRAPHICS,Payment,Rent Receivables-PDC,PR0005562-A,GL0003705,2018-10-04,,B-008,PNB - Main,0,-32100.00
