ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
24705,AM-LT000038,MASTER PAY AVENUE,Payment,Cash in Bank (Peso),UFT0000399,GL0003909,2018-10-01,,B-008,PNB - Main,19209.83,0
24395,AM-LT000074,D REAL TUBO,Payment,Cash in Bank (Peso),PR0005557,GL0003825,2018-10-01,,B-008,PNB - Main,11235.00,0
24707,AM-LT000038,MASTER PAY AVENUE,Payment,Cash in Bank (Peso),UFT0000399,GL0003910,2018-10-01,,B-008,PNB - Main,2080.00,0
24397,AM-LT000074,D REAL TUBO,Payment,Cash in Bank (Peso),PR0005557,GL0003889,2018-10-01,,B-008,PNB - Main,1887.00,0
24401,AM-ST000044,YOUTHOPIA ACTIVATION SPECIALIST INC,Payment,Cash in Bank (Peso),PR0005556,GL0004015,2018-10-01,,B-008,PNB - Main,1500.00,0
24703,AM-LT000038,MASTER PAY AVENUE,Payment,Cash in Bank (Peso),UFT0000399,GL0003908,2018-10-01,,B-008,PNB - Main,31.33,0
24430,AM-ST000011,CHARMS ACCESSORIES,Payment,Cash in Bank (Peso),PR0005558,GL0003441,2018-10-02,,B-008,PNB - Main,28920.00,0
24432,AM-ST000011,CHARMS ACCESSORIES,Payment,Cash in Bank (Peso),PR0005558,GL0003442,2018-10-02,,B-008,PNB - Main,2080.00,0
24827,AM-LT000054,ABENSON,Payment,Cash in Bank (Peso),UFT0000403,GL0003655,2018-10-03,,B-009,Banks of the Philippine Islands,160039.43,0
24829,AM-LT000054,ABENSON,Payment,Cash in Bank (Peso),UFT0000403,GL0003656,2018-10-03,,B-009,Banks of the Philippine Islands,138675.48,0
25105,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Cash in Bank (Peso),UFT0000405,GL0003602,2018-10-03,,B-008,PNB - Main,99901.28,0
24506,AM-ST000007,RNR TRADING,Payment,Cash in Bank (Peso),PR0005560,GL0004018,2018-10-03,,B-008,PNB - Main,45314.50,0
25107,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Cash in Bank (Peso),UFT0000405,GL0003604,2018-10-03,,B-008,PNB - Main,37250.40,0
24510,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,Cash in Bank (Peso),PR0005561,GL0003843,2018-10-03,,B-008,PNB - Main,30334.50,0
24512,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,Cash in Bank (Peso),PR0005561,GL0003844,2018-10-03,,B-008,PNB - Main,5320.00,0
24675,AM-ST000039,SAVE N EARN  EXHIBIT,Payment,Cash in Bank (Peso),PR0005566,GL0003926,2018-10-04,,B-008,PNB - Main,89880.00,0
24671,AM-LT000030,SAVE n EARN,Payment,Cash in Bank (Peso),PR0005565,GL0003804,2018-10-04,,B-008,PNB - Main,62595.00,0
24691,AM-LT000055,IDEAL VISION CENTER,Payment,Cash in Bank (Peso),PR0005568,GL0003665,2018-10-04,,B-008,PNB - Main,42866.34,0
24667,AM-LT000032,CIGNAL HUB,Payment,Cash in Bank (Peso),PR0005564,GL0003809,2018-10-04,,B-008,PNB - Main,37450.00,0
24693,AM-LT000055,IDEAL VISION CENTER,Payment,Cash in Bank (Peso),PR0005568,GL0003667,2018-10-04,,B-008,PNB - Main,30047.04,0
24673,AM-LT000030,SAVE n EARN,Payment,Cash in Bank (Peso),PR0005565,GL0003808,2018-10-04,,B-008,PNB - Main,12730.20,0
24669,AM-LT000032,CIGNAL HUB,Payment,Cash in Bank (Peso),PR0005564,GL0003810,2018-10-04,,B-008,PNB - Main,7183.48,0
43030,AM-LT000063,POTATO CORNER,Payment,Cash in Bank (Peso),UFT0000700,GL0003824,2018-10-04,,B-008,PNB - Main,5688.08,0
43028,AM-LT000063,POTATO CORNER,Payment,Cash in Bank (Peso),UFT0000700,GL0003823,2018-10-04,,B-008,PNB - Main,1380.64,0
24946,AM-LT000042,UNISILVER,Payment,Cash in Bank (Peso),PR0005571,GL0003643,2018-10-05,,B-008,PNB - Main,30966.48,0
24735,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Payment,Cash in Bank (Peso),PR0005569,GL0003814,2018-10-05,,B-008,PNB - Main,19260.00,0
24741,AM-LT000014,SNOWPY ICE CREAM,Payment,Cash in Bank (Peso),PR0005570,GL0003713,2018-10-05,,B-008,PNB - Main,18284.96,0
24737,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Payment,Cash in Bank (Peso),PR0005569,GL0003815,2018-10-05,,B-008,PNB - Main,7046.00,0
24743,AM-LT000014,SNOWPY ICE CREAM,Payment,Cash in Bank (Peso),PR0005570,GL0003714,2018-10-05,,B-008,PNB - Main,4710.00,0
24948,AM-LT000042,UNISILVER,Payment,Cash in Bank (Peso),PR0005571,GL0003644,2018-10-05,,B-008,PNB - Main,2283.48,0
24739,AM-LT000014,SNOWPY ICE CREAM,Payment,Cash in Bank (Peso),PR0005570,GL0003712,2018-10-05,,B-008,PNB - Main,60.28,0
25498,AM-LT000021,DUNKIN DONUTS,Payment,Cash in Bank (Peso),PR0005577,GL0003616,2018-10-08,,B-008,PNB - Main,42800.00,0
25434,AM-LT000040,LYDIAS TICKETING OUTLET,Payment,Cash in Bank (Peso),PR0005574,GL0003681,2018-10-08,,B-008,PNB - Main,28087.50,0
25552,AM-LT000046,LAY BARE WAXING SALON,Payment,Cash in Bank (Peso),PR0005578,GL0003689,2018-10-08,,B-008,PNB - Main,26996.10,0
25486,AM-LT000041,STICKER RACE PRINTS,Payment,Cash in Bank (Peso),PR0005576,GL0003683,2018-10-08,,B-008,PNB - Main,26750.00,0
