ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
165481,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,A/R  Non Trade External,PR0008880,GL0025949,2021-01-02,,B-015,PNB,0,-3776.00
165605,AM-LT000049,THIRSTY,Payment,A/R  Non Trade External,PR0008951,GL0025484,2021-01-04,,B-015,PNB,0,-2627.00
165624,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Payment,A/R  Non Trade External,PR0008952,GL0026353,2021-01-04,,B-015,PNB,0,-6537.61
165638,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,A/R  Non Trade External,PR0008954,GL0025716,2021-01-04,,B-015,PNB,0,-26217.00
165632,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,A/R  Non Trade External,PR0008953,GL0025096,2021-01-04,,B-015,PNB,0,-26943.00
166451,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,A/R  Non Trade External-AR Clearing,UFT0002892,GL0026125,2021-01-04,,B-015,PNB,0,-34920.40
165986,AM-LT000042,UNISILVER,Payment,A/R  Non Trade External-AR Clearing,UFT0002872,GL0026147,2021-01-05,,B-009,Banks of the Philippine Islands,0,-300.00
165903,AM-LT000185,BPDWA INC.,Payment,A/R  Non Trade External,PR0008957,GL0020681,2021-01-05,,B-015,PNB,0,-1488.58
165984,AM-LT000042,UNISILVER,Payment,A/R  Non Trade External-AR Clearing,UFT0002872,GL0026146,2021-01-05,,B-009,Banks of the Philippine Islands,0,-2035.46
165672,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,A/R  Non Trade External,PR0008955,GL0026188,2021-01-05,,B-015,PNB,0,-5084.00
165899,AM-LT000185,BPDWA INC.,Payment,A/R  Non Trade External,PR0008957,GL0019681,2021-01-05,,B-015,PNB,0,-12586.42
165996,AM-LT000111,LEYLAM,Payment,A/R  Non Trade External-AR Clearing,UFT0002873,GL0026151,2021-01-05,,B-015,PNB,0,-17847.37
167799,AM-LT000055,IDEAL VISION CENTER,Payment,A/R  Non Trade External-AR Clearing,UFT0002947,GL0026199,2021-01-05,,B-015,PNB,0,-22568.08
166114,AM-LT000039,BENCH,Payment,A/R  Non Trade External-AR Clearing,UFT0002875,GL0025650,2021-01-05,,B-008,PNB - Main,0,-30880.19
166549,AM-LT000053,PHILIPPINE NATIONAL BANK - ATM,Payment,A/R  Non Trade External-AR Clearing,UFT0002893,GL0026158,2021-01-06,,B-015,PNB,0,-1110.34
167685,AM-LT000182,TL MABUHAY DRIVING LESSONS,Payment,A/R  Non Trade External-AR Clearing,UFT0002941,GL0022231,2021-01-06,,B-015,PNB,0,-1300.00
167681,AM-LT000182,TL MABUHAY DRIVING LESSONS,Payment,A/R  Non Trade External-AR Clearing,UFT0002941,GL0020668,2021-01-06,,B-015,PNB,0,-1600.00
167677,AM-LT000182,TL MABUHAY DRIVING LESSONS,Payment,A/R  Non Trade External-AR Clearing,UFT0002941,GL0019642,2021-01-06,,B-015,PNB,0,-2600.00
166012,AM-LT000050,IO ECO BEAUTY PRODUCTS,Payment,A/R  Non Trade External,PR0008958,GL0023978,2021-01-06,,B-015,PNB,0,-2621.00
166008,AM-LT000050,IO ECO BEAUTY PRODUCTS,Payment,A/R  Non Trade External,PR0008958,GL0023292,2021-01-06,,B-015,PNB,0,-2632.00
167201,AM-LT000015,TURKS SHAWARMA,Payment,A/R  Non Trade External-AR Clearing,UFT0002912,GL0026403,2021-01-06,,B-015,PNB,0,-4266.00
166122,AM-LT000009,GLOBE TELECOM INC. - Electricity,Payment,A/R  Non Trade External-AR Clearing,UFT0002876,GL0026366,2021-01-06,,B-008,PNB - Main,0,-33704.00
166088,AM-LT000112,PENSHOPPE,Payment,A/R  Non Trade External-AR Clearing,UFT0002874,GL0026463,2021-01-06,,B-009,Banks of the Philippine Islands,0,-51497.45
166441,AM-LT000056,ORO CHINA PAWNSHOP,Payment,A/R  Non Trade External-AR Clearing,UFT0002891,GL0026216,2021-01-07,,B-015,PNB,0,-300.00
166419,AM-LT000335,REAL ME,Payment,A/R  Non Trade External-AR Clearing,UFT0002888,GL0026362,2021-01-07,,B-015,PNB,0,-3716.16
166132,AM-LT000141,RJBM PAWNSHOP,Payment,A/R  Non Trade External,PR0008959,GL0026225,2021-01-07,,B-015,PNB,0,-5959.42
166387,AM-LT000114,OPPO,Payment,A/R  Non Trade External-AR Clearing,UFT0002884,GL0026396,2021-01-07,,B-015,PNB,0,-6765.37
166411,AM-LT000113,HUAWEI,Payment,A/R  Non Trade External-AR Clearing,UFT0002887,GL0026392,2021-01-07,,B-015,PNB,0,-7683.25
166439,AM-LT000056,ORO CHINA PAWNSHOP,Payment,A/R  Non Trade External-AR Clearing,UFT0002891,GL0026212,2021-01-07,,B-015,PNB,0,-8766.37
166395,AM-LT000115,VIVO,Payment,A/R  Non Trade External-AR Clearing,UFT0002885,GL0026385,2021-01-07,,B-015,PNB,0,-9260.61
166403,AM-LT000118,CIGNAL,Payment,A/R  Non Trade External-AR Clearing,UFT0002886,GL0026356,2021-01-07,,B-015,PNB,0,-10393.40
166427,AM-LT000116,SAMSUNG,Payment,A/R  Non Trade External-AR Clearing,UFT0002889,GL0026380,2021-01-07,,B-015,PNB,0,-11621.43
166176,AM-LT000127,NAILAX BEAUTY SALON,Payment,A/R  Non Trade External,PR0008960,GL0026345,2021-01-07,,B-015,PNB,0,-13512.71
166369,AM-LT000117,SAVE N` EARN - 5F,Payment,A/R  Non Trade External-AR Clearing,UFT0002883,GL0026347,2021-01-07,,B-015,PNB,0,-17593.97
