ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
111835,AM-LT000120,BAREFRUIT GUYABANO,Payment,Rent Receivables-RR Clearing,UFT0001804,GL0016597,2020-01-02,,B-015,PNB,0,-16050.00
110582,AM-LT000036,GECKO TOURS AND TRAVELS,Payment,Rent Receivables,PR0008212,GL0016540,2020-01-02,,B-015,PNB,0,-19260.00
119578,AM-LT000067,JOLLIBEE - BILLBOARD,Payment,Rent Receivables,PRJV#01-1854,GL0016844,2020-01-03,,,,0,-5350.00
111075,AM-LT000014,SNOWPY ICE CREAM,Payment,Rent Receivables,PR0008214,GL0017514,2020-01-03,,B-015,PNB,0,-19199.21
111819,AM-LT000111,LEYLAM,Payment,Rent Receivables-RR Clearing,UFT0001803,GL0017419,2020-01-03,,B-015,PNB,0,-33342.54
119566,AM-LT000004,RED RIBBON,Payment,Rent Receivables,PRJV# 01-1850,GL0017230,2020-01-03,,,,0,-62121.00
119584,AM-LT000003,JOLLIBEE,Payment,Rent Receivables,PRJV#01-1855,GL0017131,2020-01-03,,,,0,-506448.81
111435,AM-LT000018,GOLDILOCKS,Payment,Rent Receivables,PR0008215,GL0017247,2020-01-04,,B-015,PNB,0,-40778.78
111616,AM-LT000024,DIGITALCOM,Payment,Rent Receivables,PR0008222,GL0006089,2020-01-06,,B-015,PNB,0,-1613.12
111538,AM-LT000052,SECURITY BANK - ATM,Payment,Rent Receivables,PR0008221,GL0017424,2020-01-06,,B-015,PNB,0,-3743.84
111534,AM-LT000052,SECURITY BANK - ATM,Payment,Rent Receivables,PR0008221,GL0016409,2020-01-06,,B-015,PNB,0,-6287.83
112522,AM-LT000063,POTATO CORNER,Payment,Rent Receivables-RR Clearing,UFT0001814,GL0017593,2020-01-06,,B-015,PNB,0,-10700.00
111612,AM-LT000024,DIGITALCOM,Payment,Rent Receivables,PR0008222,GL0005178,2020-01-06,,B-015,PNB,0,-11685.99
111466,AM-LT000176,TINGPURA FOOD HOUSE,Payment,Rent Receivables,PR0008216,GL0017378,2020-01-06,,B-015,PNB,0,-16050.00
111486,AM-LT000016,BLACK PEARL,Payment,Rent Receivables,PR0008218,GL0017508,2020-01-06,,B-015,PNB,0,-19199.21
111478,AM-LT000141,RJBM PAWNSHOP,Payment,Rent Receivables,PR0008217,GL0017433,2020-01-06,,B-015,PNB,0,-21400.00
111881,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Payment,Rent Receivables-RR Clearing,UFT0001806,GL0017503,2020-01-06,,B-015,PNB,0,-30623.40
111500,AM-LT000040,LYDIAS TICKETING OUTLET,Payment,Rent Receivables,PR0008220,GL0017448,2020-01-06,,B-015,PNB,0,-30633.54
111496,AM-LT000055,IDEAL VISION CENTER,Payment,Rent Receivables,PR0008219,GL0017427,2020-01-06,,B-015,PNB,0,-45009.65
112534,AM-LT000023,PHILIPPINE NATIONAL BANK,Payment,Rent Receivables-RR Clearing,UFT0001815,GL0017385,2020-01-06,,B-015,PNB,0,-109891.41
116016,AM-ST000004,LFAFA EXPRESS de- STRESS,Payment,Rent Receivables-RR Clearing,UFT0001879,GL0016287,2020-01-07,,B-009,Banks of the Philippine Islands,0,-1317.09
111989,AM-LT000083,SANTINOS PIZZA,Payment,Rent Receivables-RR Clearing,UFT0001810,GL0014419,2020-01-07,,B-015,PNB,0,-12840.00
111993,AM-LT000083,SANTINOS PIZZA,Payment,Rent Receivables-RR Clearing,UFT0001810,GL0015626,2020-01-07,,B-015,PNB,0,-12840.00
111997,AM-LT000083,SANTINOS PIZZA,Payment,Rent Receivables-RR Clearing,UFT0001810,GL0016948,2020-01-07,,B-015,PNB,0,-12840.00
112001,AM-LT000083,SANTINOS PIZZA,Payment,Rent Receivables-RR Clearing,UFT0001810,GL0017601,2020-01-07,,B-015,PNB,0,-12840.00
111771,AM-LT000022,MICHE CELLPHONE ACCESSORIES,Payment,Rent Receivables,PR0008226,GL0017554,2020-01-07,,B-015,PNB,0,-16050.00
116020,AM-ST000004,LFAFA EXPRESS de- STRESS,Payment,Rent Receivables-RR Clearing,UFT0001879,GL0017234,2020-01-07,,B-009,Banks of the Philippine Islands,0,-19073.56
113497,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,Rent Receivables,IC0013609,GL0018305,2020-01-08,2020-01-25,,,3313.58,0
115109,AM-LT000060,AZE DEAL,Payment,Rent Receivables-RR Clearing,UFT0001876,GL0017373,2020-01-08,,B-015,PNB,0,-1280.00
112107,AM-LT000052,SECURITY BANK - ATM,Payment,Rent Receivables,PR0008230,GL0017424,2020-01-08,,B-015,PNB,0,-1379.84
112328,AM-LT000115,VIVO,Payment,Rent Receivables,PR0008237,GL0017898,2020-01-08,,B-015,PNB,0,-1540.00
112079,AM-LT000053,PHILIPPINE NATIONAL BANK - ATM,Payment,Rent Receivables,PR0008228,GL0017422,2020-01-08,,B-015,PNB,0,-8972.28
112354,AM-LT000017,CHEF JOPHILS FOOD STALL,Payment,Rent Receivables,PR0008239,GL0016611,2020-01-08,,B-015,PNB,0,-10700.00
112129,AM-LT000049,THIRSTY,Payment,Rent Receivables-PDC,PR0008231,GL0017404,2020-01-08,,B-015,PNB,0,-16050.00
112087,AM-LT000046,LAY BARE WAXING SALON,Payment,Rent Receivables,PR0008229,GL0017466,2020-01-08,,B-015,PNB,0,-20287.19
112311,AM-LT000114,OPPO,Payment,Rent Receivables,PR0008236,GL0017361,2020-01-08,,B-015,PNB,0,-23540.00
112307,AM-LT000113,HUAWEI,Payment,Rent Receivables,PR0008235,GL0017365,2020-01-08,,B-015,PNB,0,-26750.00
112194,AM-LT000041,STICKER RACE PRINTS,Payment,Rent Receivables,PR0008232,GL0017444,2020-01-08,,B-015,PNB,0,-30896.25
