ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
226487,AM-LT000010,MASTER SIOMAI,Payment,A/R  Non Trade External-AR Clearing,PR0009657,GL0027834,2022-01-01,,B-015,PNB,3826.00,0
226472,AM-LT000010,MASTER SIOMAI,Payment,Cash in Bank (Peso),UFT0004375,GL0027834,2022-01-01,,B-015,PNB,3826.00,0
226485,AM-LT000010,MASTER SIOMAI,Payment,A/R  Non Trade External-AR Clearing,PR0009657,GL0022857,2022-01-01,,B-015,PNB,1922.00,0
226470,AM-LT000010,MASTER SIOMAI,Payment,Cash in Bank (Peso),UFT0004375,GL0022857,2022-01-01,,B-015,PNB,1922.00,0
226481,AM-LT000010,MASTER SIOMAI,Payment,Rent Receivables-RR Clearing,PR0009657,GL0027833,2022-01-01,,B-015,PNB,1787.00,0
226474,AM-LT000010,MASTER SIOMAI,Payment,Cash in Bank (Peso),UFT0004375,GL0027833,2022-01-01,,B-015,PNB,1787.00,0
226483,AM-LT000010,MASTER SIOMAI,Payment,Rent Receivables-RR Clearing,PR0009657,GL0022856,2022-01-01,,B-015,PNB,1025.00,0
226468,AM-LT000010,MASTER SIOMAI,Payment,Cash in Bank (Peso),UFT0004375,GL0022856,2022-01-01,,B-015,PNB,1025.00,0
226484,AM-LT000010,MASTER SIOMAI,Payment,Rent Receivables,PR0009657,GL0022856,2022-01-01,,B-015,PNB,0,-1025.00
226469,AM-LT000010,MASTER SIOMAI,Payment,Rent Receivables-RR Clearing,UFT0004375,GL0022856,2022-01-01,,B-015,PNB,0,-1025.00
226482,AM-LT000010,MASTER SIOMAI,Payment,Rent Receivables,PR0009657,GL0027833,2022-01-01,,B-015,PNB,0,-1787.00
226475,AM-LT000010,MASTER SIOMAI,Payment,Rent Receivables-RR Clearing,UFT0004375,GL0027833,2022-01-01,,B-015,PNB,0,-1787.00
226486,AM-LT000010,MASTER SIOMAI,Payment,A/R  Non Trade External,PR0009657,GL0022857,2022-01-01,,B-015,PNB,0,-1922.00
226471,AM-LT000010,MASTER SIOMAI,Payment,A/R  Non Trade External-AR Clearing,UFT0004375,GL0022857,2022-01-01,,B-015,PNB,0,-1922.00
226488,AM-LT000010,MASTER SIOMAI,Payment,A/R  Non Trade External,PR0009657,GL0027834,2022-01-01,,B-015,PNB,0,-3826.00
226473,AM-LT000010,MASTER SIOMAI,Payment,A/R  Non Trade External-AR Clearing,UFT0004375,GL0027834,2022-01-01,,B-015,PNB,0,-3826.00
226421,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Payment,Cash in Bank (Peso),PR0009761,GL0034944,2022-01-04,,B-015,PNB,12613.00,0
226425,AM-LT000035,ST. PATRICKS ROAST,Payment,Cash in Bank (Peso),PR0009762,GL0034945,2022-01-04,,B-015,PNB,7760.00,0
226417,AM-LT000002,ALVAS FOOD PROCESSING,Payment,Cash in Bank (Peso),PR23637,GL0034943,2022-01-04,,B-015,PNB,5123.00,0
226285,AM-LT000050,IO ECO BEAUTY PRODUCTS,Payment,Cash in Bank (Peso),PR0009760,GL0028806,2022-01-04,,B-015,PNB,5080.00,0
226419,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Payment,Cash in Bank (Peso),PR0009761,GL0034702,2022-01-04,,B-015,PNB,5000.00,0
226415,AM-LT000002,ALVAS FOOD PROCESSING,Payment,Cash in Bank (Peso),PR23637,GL0034703,2022-01-04,,B-015,PNB,5000.00,0
226423,AM-LT000035,ST. PATRICKS ROAST,Payment,Cash in Bank (Peso),PR0009762,GL0034701,2022-01-04,,B-015,PNB,4750.00,0
226424,AM-LT000035,ST. PATRICKS ROAST,Payment,Rent Receivables,PR0009762,GL0034701,2022-01-04,,B-015,PNB,0,-4750.00
226420,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Payment,Rent Receivables,PR0009761,GL0034702,2022-01-04,,B-015,PNB,0,-5000.00
226416,AM-LT000002,ALVAS FOOD PROCESSING,Payment,Rent Receivables,PR23637,GL0034703,2022-01-04,,B-015,PNB,0,-5000.00
226286,AM-LT000050,IO ECO BEAUTY PRODUCTS,Payment,Rent Receivables,PR0009760,GL0028806,2022-01-04,,B-015,PNB,0,-5080.00
226418,AM-LT000002,ALVAS FOOD PROCESSING,Payment,A/R  Non Trade External,PR23637,GL0034943,2022-01-04,,B-015,PNB,0,-5123.00
226426,AM-LT000035,ST. PATRICKS ROAST,Payment,A/R  Non Trade External,PR0009762,GL0034945,2022-01-04,,B-015,PNB,0,-7760.00
226422,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Payment,A/R  Non Trade External,PR0009761,GL0034944,2022-01-04,,B-015,PNB,0,-12613.00
226594,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Cash in Bank (Peso),PR0009765,GL0034947,2022-01-05,,B-015,PNB,23299.00,0
226598,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Cash in Bank (Peso),PR0009764,GL0033871,2022-01-05,,B-015,PNB,20662.00,0
223063,AM-ST000308,CAREHEALTH PLUS,Invoice,Rent Receivables,IC0035787,GL0035235,2022-01-05,2022-01-15,,,19260.00,0
226596,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Cash in Bank (Peso),PR0009764,GL0034154,2022-01-05,,B-015,PNB,10700.00,0
226592,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Cash in Bank (Peso),PR0009765,GL0034699,2022-01-05,,B-015,PNB,10700.00,0
226590,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Cash in Bank (Peso),PR0009763,GL0035838,2022-01-05,,B-015,PNB,10000.00,0
226588,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Cash in Bank (Peso),PR23638,GL0035837,2022-01-05,,B-015,PNB,5000.00,0
223066,AM-ST000308,CAREHEALTH PLUS,Invoice,Creditable WHT Receivable,IC0035787,GL0035235,2022-01-05,2022-01-15,,,900.00,0
223065,AM-ST000308,CAREHEALTH PLUS,Invoice,VAT Output,IC0035787,GL0035235,2022-01-05,2022-01-15,,,0,-2160.00
226589,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Security Deposit Payable,PR23638,GL0035837,2022-01-05,,B-015,PNB,0,-5000.00
226591,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Security Deposit Payable,PR0009763,GL0035838,2022-01-05,,B-015,PNB,0,-10000.00
226597,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Rent Receivables,PR0009764,GL0034154,2022-01-05,,B-015,PNB,0,-10700.00
226593,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Rent Receivables,PR0009765,GL0034699,2022-01-05,,B-015,PNB,0,-10700.00
223064,AM-ST000308,CAREHEALTH PLUS,Invoice,Rent Income,IC0035787,GL0035235,2022-01-05,2022-01-15,,,0,-18000.00
226599,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,A/R  Non Trade External,PR0009764,GL0033871,2022-01-05,,B-015,PNB,0,-20662.00
226595,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,A/R  Non Trade External,PR0009765,GL0034947,2022-01-05,,B-015,PNB,0,-23299.00
