ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
256548,AM-LT000514,DITO TELECOMMUNITY CORPORATION,Payment,Cash in Bank (Peso),PR0052805,GL0039749,2022-06-01,,B-015,PNB,30000.00,0
258579,AM-ST000299,HEUTE APPLIANCES TRADING,Payment,Rent Receivables-RR Clearing,PR0010019,GL0038966,2022-06-01,,B-015,PNB,19260.00,0
256710,AM-ST000299,HEUTE APPLIANCES TRADING,Payment,Cash in Bank (Peso),UFT0005082,GL0038966,2022-06-01,,B-015,PNB,19260.00,0
258580,AM-ST000299,HEUTE APPLIANCES TRADING,Payment,Rent Receivables,PR0010019,GL0038966,2022-06-01,,B-015,PNB,0,-19260.00
256711,AM-ST000299,HEUTE APPLIANCES TRADING,Payment,Rent Receivables-RR Clearing,UFT0005082,GL0038966,2022-06-01,,B-015,PNB,0,-19260.00
256549,AM-LT000514,DITO TELECOMMUNITY CORPORATION,Payment,Construction Bond,PR0052805,GL0039749,2022-06-01,,B-015,PNB,0,-30000.00
258659,AM-LT000111,LEYLAM,Payment,Rent Receivables-RR Clearing,PR0010027,GL0039287,2022-06-02,,B-015,PNB,26750.00,0
258657,AM-LT000111,LEYLAM,Payment,Cash in Bank (Peso),UFT0005154,GL0039287,2022-06-02,,B-015,PNB,26750.00,0
258643,AM-LT000042,UNISILVER,Payment,Rent Receivables-RR Clearing,PR0010025,GL0039286,2022-06-02,,B-009,Banks of the Philippine Islands,22469.50,0
258641,AM-LT000042,UNISILVER,Payment,Cash in Bank (Peso),UFT0005152,GL0039286,2022-06-02,,B-009,Banks of the Philippine Islands,22469.50,0
258581,AM-ST000308,CAREHEALTH PLUS,Payment,Unearned Rent Income-URI Clearing,PR0010020,GL0039867,2022-06-02,,B-015,PNB,21400.00,0
257441,AM-ST000308,CAREHEALTH PLUS,Payment,Cash in Bank (Peso),UFT0005096,GL0039867,2022-06-02,,B-015,PNB,21400.00,0
258661,AM-LT000111,LEYLAM,Payment,A/R  Non Trade External-AR Clearing,PR0010027,GL0039477,2022-06-02,,B-015,PNB,19848.92,0
258655,AM-LT000111,LEYLAM,Payment,Cash in Bank (Peso),UFT0005154,GL0039477,2022-06-02,,B-015,PNB,19848.92,0
250158,AM-ST000299,HEUTE APPLIANCES TRADING,Invoice,Rent Receivables,IC0039171,GL0038966,2022-06-02,2022-06-12,,,19260.00,0
256653,AM-LT000207,LYN`S LUGAW  HOUSE,Payment,Cash in Bank (Peso),PR0009978,GL0039350,2022-06-02,,B-015,PNB,16050.00,0
256655,AM-LT000207,LYN`S LUGAW  HOUSE,Payment,Cash in Bank (Peso),PR0009978,GL0039558,2022-06-02,,B-015,PNB,5858.00,0
258645,AM-LT000042,UNISILVER,Payment,A/R  Non Trade External-AR Clearing,PR0010025,GL0039486,2022-06-02,,B-009,Banks of the Philippine Islands,2067.80,0
258639,AM-LT000042,UNISILVER,Payment,Cash in Bank (Peso),UFT0005152,GL0039486,2022-06-02,,B-009,Banks of the Philippine Islands,2067.80,0
256682,AM-ST000323,SHADOW REALM MARTIAL ARTS,Payment,Cash in Bank (Peso),PR0009979,GL0039768,2022-06-02,,B-015,PNB,2000.00,0
250161,AM-ST000299,HEUTE APPLIANCES TRADING,Invoice,Creditable WHT Receivable,IC0039171,GL0038966,2022-06-02,2022-06-12,,,900.00,0
256683,AM-ST000323,SHADOW REALM MARTIAL ARTS,Payment,Unearned Rent Income,PR0009979,GL0039768,2022-06-02,,B-015,PNB,0,-2000.00
258646,AM-LT000042,UNISILVER,Payment,A/R  Non Trade External,PR0010025,GL0039486,2022-06-02,,B-009,Banks of the Philippine Islands,0,-2067.80
258640,AM-LT000042,UNISILVER,Payment,A/R  Non Trade External-AR Clearing,UFT0005152,GL0039486,2022-06-02,,B-009,Banks of the Philippine Islands,0,-2067.80
250160,AM-ST000299,HEUTE APPLIANCES TRADING,Invoice,VAT Output,IC0039171,GL0038966,2022-06-02,2022-06-12,,,0,-2160.00
256656,AM-LT000207,LYN`S LUGAW  HOUSE,Payment,A/R  Non Trade External,PR0009978,GL0039558,2022-06-02,,B-015,PNB,0,-5858.00
256654,AM-LT000207,LYN`S LUGAW  HOUSE,Payment,Rent Receivables,PR0009978,GL0039350,2022-06-02,,B-015,PNB,0,-16050.00
250159,AM-ST000299,HEUTE APPLIANCES TRADING,Invoice,Rent Income,IC0039171,GL0038966,2022-06-02,2022-06-12,,,0,-18000.00
258662,AM-LT000111,LEYLAM,Payment,A/R  Non Trade External,PR0010027,GL0039477,2022-06-02,,B-015,PNB,0,-19848.92
258656,AM-LT000111,LEYLAM,Payment,A/R  Non Trade External-AR Clearing,UFT0005154,GL0039477,2022-06-02,,B-015,PNB,0,-19848.92
258582,AM-ST000308,CAREHEALTH PLUS,Payment,Unearned Rent Income,PR0010020,GL0039867,2022-06-02,,B-015,PNB,0,-21400.00
257442,AM-ST000308,CAREHEALTH PLUS,Payment,Unearned Rent Income-URI Clearing,UFT0005096,GL0039867,2022-06-02,,B-015,PNB,0,-21400.00
258644,AM-LT000042,UNISILVER,Payment,Rent Receivables,PR0010025,GL0039286,2022-06-02,,B-009,Banks of the Philippine Islands,0,-22469.50
258642,AM-LT000042,UNISILVER,Payment,Rent Receivables-RR Clearing,UFT0005152,GL0039286,2022-06-02,,B-009,Banks of the Philippine Islands,0,-22469.50
258660,AM-LT000111,LEYLAM,Payment,Rent Receivables,PR0010027,GL0039287,2022-06-02,,B-015,PNB,0,-26750.00
258658,AM-LT000111,LEYLAM,Payment,Rent Receivables-RR Clearing,UFT0005154,GL0039287,2022-06-02,,B-015,PNB,0,-26750.00
258825,AM-LT000055,IDEAL VISION CENTER,Payment,Rent Receivables-RR Clearing,PR0010034,GL0039272,2022-06-03,,B-015,PNB,33756.92,0
258823,AM-LT000055,IDEAL VISION CENTER,Payment,Cash in Bank (Peso),UFT0005163,GL0039272,2022-06-03,,B-015,PNB,33756.92,0
256844,AM-LT000449,OXYGEN,Payment,Cash in Bank (Peso),PR0009981,GL0039789,2022-06-03,,B-015,PNB,31728.66,0
258827,AM-LT000055,IDEAL VISION CENTER,Payment,A/R  Non Trade External-AR Clearing,PR0010034,GL0039500,2022-06-03,,B-015,PNB,28868.20,0
258821,AM-LT000055,IDEAL VISION CENTER,Payment,Cash in Bank (Peso),UFT0005163,GL0039500,2022-06-03,,B-015,PNB,28868.20,0
258741,AM-LT000015,TURKS SHAWARMA,Payment,Rent Receivables-RR Clearing,PR0010031,GL0039721,2022-06-03,,B-015,PNB,12840.00,0
258739,AM-LT000015,TURKS SHAWARMA,Payment,Cash in Bank (Peso),UFT0005159,GL0039721,2022-06-03,,B-015,PNB,12840.00,0
256783,AM-LT000028,PAYAG RESTAURANT,Payment,Cash in Bank (Peso),PR0009980,GL0026420,2022-06-03,,B-015,PNB,11780.12,0
256785,AM-LT000028,PAYAG RESTAURANT,Payment,Cash in Bank (Peso),PR0009980,GL0027094,2022-06-03,,B-015,PNB,8827.50,0
256787,AM-LT000028,PAYAG RESTAURANT,Payment,Cash in Bank (Peso),PR0009980,GL0027095,2022-06-03,,B-015,PNB,6647.14,0
258743,AM-LT000015,TURKS SHAWARMA,Payment,A/R  Non Trade External-AR Clearing,PR0010031,GL0039542,2022-06-03,,B-015,PNB,4871.00,0
