ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
223064,AM-ST000308,CAREHEALTH PLUS,Invoice,Rent Income,IC0035787,GL0035235,2022-01-05,2022-01-15,,,0,-18000.00
228411,AM-ST000258,PLANTORAMA,Invoice,Rent Income,IC0036448,GL0035984,2022-01-07,2022-01-17,,,0,-20000.00
222390,AM-ST000307,NOM NOM CORN DOGS SNACK BAR,Invoice,Rent Income,IC0035735,GL0035169,2022-01-09,2022-01-19,,,0,-5000.00
244663,AM-LT000035,ST. PATRICKS ROAST,Invoice Adjustment,MI-Charges,IC0036552,GL0036108,2022-01-31,2022-02-10,,,1450.00,0
244622,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Invoice Adjustment,MI-Charges,IC0036721,GL0036287,2022-01-31,2022-02-10,,,500.00,0
238818,AM-ST000276,Coffee Vendo Machine,Invoice Adjustment,Rent Income,IC0036537,GL0036093,2022-01-31,2022-02-10,,,500.00,0
231237,AM-LT000040,LYDIAS TICKETING OUTLET,Invoice,MI-Aircon Charges,IC0036829,GL0036398,2022-01-31,2022-02-10,,,0,-54.43
229729,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Water,IC0036552,GL0036108,2022-01-31,2022-02-10,,,0,-104.00
230718,AM-LT000042,UNISILVER,Invoice,MI-Light and Power,IC0036737,GL0036303,2022-01-31,2022-02-10,,,0,-144.00
231239,AM-LT000040,LYDIAS TICKETING OUTLET,Invoice,MI-Charges,IC0036829,GL0036398,2022-01-31,2022-02-10,,,0,-145.16
231238,AM-LT000040,LYDIAS TICKETING OUTLET,Invoice,MI-Common Utilities,IC0036829,GL0036398,2022-01-31,2022-02-10,,,0,-145.16
230642,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Invoice,MI-Water,IC0036721,GL0036287,2022-01-31,2022-02-10,,,0,-156.00
229945,AM-LT000130,BEAUTY AND BEYOND FACIAL AND SLIMMING,Invoice,MI-Water,IC0036588,GL0036144,2022-01-31,2022-02-10,,,0,-156.00
229789,AM-LT000025,MARCELA CHICKEN - B. INTING,Invoice,MI-Water,IC0036555,GL0036111,2022-01-31,2022-02-10,,,0,-156.00
230081,AM-LT000114,OPPO,Invoice,MI-Charges,IC0036612,GL0036168,2022-01-31,2022-02-10,,,0,-234.30
229957,AM-LT000185,BPDWA INC.,Invoice,MI-Charges,IC0036591,GL0036147,2022-01-31,2022-02-10,,,0,-249.70
230643,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Invoice,MI-Common Utilities,IC0036721,GL0036287,2022-01-31,2022-02-10,,,0,-250.00
229725,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Common Utilities,IC0036552,GL0036108,2022-01-31,2022-02-10,,,0,-250.00
230053,AM-LT000115,VIVO,Invoice,MI-Charges,IC0036608,GL0036164,2022-01-31,2022-02-10,,,0,-258.80
230047,AM-LT000113,HUAWEI,Invoice,MI-Charges,IC0036607,GL0036163,2022-01-31,2022-02-10,,,0,-259.20
230000,AM-LT000127,NAILAX AESTHETIC AND WELLNESS CLINIC,Invoice,MI-Water,IC0036599,GL0036155,2022-01-31,2022-02-10,,,0,-260.00
232590,AM-LT000004,RED RIBBON,Invoice,MI-Water,IC0037023,GL0036602,2022-01-31,2022-02-15,,,0,-260.00
231343,AM-LT000015,TURKS SHAWARMA,Invoice,MI-Aircon Charges,IC0036855,GL0036424,2022-01-31,2022-02-10,,,0,-266.13
229970,AM-LT000141,RJBM PAWNSHOP,Invoice,MI-Charges,IC0036594,GL0036150,2022-01-31,2022-02-10,,,0,-266.90
229811,AM-LT000050,IO ECO BEAUTY PRODUCTS,Invoice,MI-Light and Power,IC0036558,GL0036114,2022-01-31,2022-02-10,,,0,-288.00
230613,AM-LT000039,BENCH,Invoice,MI-Charges,IC0036716,GL0036281,2022-01-31,2022-02-10,,,0,-300.00
230667,AM-LT000053,PHILIPPINE NATIONAL BANK - ATM,Invoice,MI-Charges,IC0036726,GL0036292,2022-01-31,2022-02-10,,,0,-300.00
229929,AM-LT000046,LAY BARE WAXING SALON,Invoice,MI-Water,IC0036585,GL0036141,2022-01-31,2022-02-10,,,0,-312.00
229935,AM-LT000055,IDEAL VISION CENTER,Invoice,MI-Water,IC0036586,GL0036142,2022-01-31,2022-02-10,,,0,-312.52
230040,AM-LT000118,CIGNAL,Invoice,MI-Charges,IC0036606,GL0036162,2022-01-31,2022-02-10,,,0,-322.30
229956,AM-LT000185,BPDWA INC.,Invoice,MI-Light and Power,IC0036591,GL0036147,2022-01-31,2022-02-10,,,0,-342.00
231344,AM-LT000015,TURKS SHAWARMA,Invoice,MI-Common Utilities,IC0036855,GL0036424,2022-01-31,2022-02-10,,,0,-354.84
231396,AM-LT000403,SHANDRIE MEDICAL CLINIC,Invoice,MI-Water,IC0036867,GL0036436,2022-01-31,2022-02-10,,,0,-364.00
230641,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Invoice,MI-Aircon Charges,IC0036721,GL0036287,2022-01-31,2022-02-10,,,0,-375.00
229814,AM-LT000047,FAMOUS BELGIAN WAFFLE,Invoice,MI-Aircon Charges,IC0036559,GL0036115,2022-01-31,2022-02-10,,,0,-375.00
230016,AM-LT000010,MASTER SIOMAI,Invoice,MI-Aircon Charges,IC0036602,GL0036158,2022-01-31,2022-02-10,,,0,-375.00
229977,AM-LT000063,POTATO CORNER,Invoice,MI-Aircon Charges,IC0036596,GL0036152,2022-01-31,2022-02-10,,,0,-375.00
229724,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Aircon Charges,IC0036552,GL0036108,2022-01-31,2022-02-10,,,0,-375.00
230004,AM-LT000041,STICKER RACE PRINTS,Invoice,MI-Aircon Charges,IC0036600,GL0036156,2022-01-31,2022-02-10,,,0,-375.00
229825,AM-LT000049,THIRSTY,Invoice,MI-Aircon Charges,IC0036561,GL0036117,2022-01-31,2022-02-10,,,0,-375.00
230716,AM-LT000042,UNISILVER,Invoice,MI-Aircon Charges,IC0036737,GL0036303,2022-01-31,2022-02-10,,,0,-375.00
229822,AM-LT000082,RICHER TEA,Invoice,MI-Charges,IC0036560,GL0036116,2022-01-31,2022-02-10,,,0,-397.40
230735,AM-LT000087,JOJIE`S PAINITANG BOL-ANON,Invoice,MI-Water,IC0036740,GL0036306,2022-01-31,2022-02-10,,,0,-416.00
229926,AM-LT000189,SNACK ATTACK,Invoice,MI-Charges,IC0036584,GL0036140,2022-01-31,2022-02-10,,,0,-427.90
229797,AM-LT000111,LEYLAM,Invoice,MI-Water,IC0036556,GL0036112,2022-01-31,2022-02-10,,,0,-468.00
230059,AM-LT000116,SAMSUNG,Invoice,MI-Charges,IC0036609,GL0036165,2022-01-31,2022-02-10,,,0,-489.80
229781,AM-LT000021,DUNKIN DONUTS,Invoice,MI-Water,IC0036554,GL0036110,2022-01-31,2022-02-10,,,0,-490.36
229714,AM-LT000002,ALVAS FOOD PROCESSING,Invoice,MI-Charges,IC0036551,GL0036107,2022-01-31,2022-02-10,,,0,-500.00
230030,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Invoice,MI-Charges,IC0036604,GL0036160,2022-01-31,2022-02-10,,,0,-500.00
230694,AM-LT000121,BIG JEWELRY CREATION,Invoice,MI-Charges,IC0036732,GL0036298,2022-01-31,2022-02-10,,,0,-500.00
230010,AM-LT000217,BLACK CHAI MILKTEA SHOP,Invoice,MI-Common Utilities,IC0036601,GL0036157,2022-01-31,2022-02-10,,,0,-500.00
230012,AM-LT000217,BLACK CHAI MILKTEA SHOP,Invoice,MI-Charges,IC0036601,GL0036157,2022-01-31,2022-02-10,,,0,-500.00
229614,AM-ST000276,Coffee Vendo Machine,Invoice,Rent Income,IC0036537,GL0036093,2022-01-31,2022-02-10,,,0,-500.00
230714,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Invoice,MI-Charges,IC0036736,GL0036302,2022-01-31,2022-02-10,,,0,-500.00
229815,AM-LT000047,FAMOUS BELGIAN WAFFLE,Invoice,MI-Common Utilities,IC0036559,GL0036115,2022-01-31,2022-02-10,,,0,-500.00
229817,AM-LT000047,FAMOUS BELGIAN WAFFLE,Invoice,MI-Charges,IC0036559,GL0036115,2022-01-31,2022-02-10,,,0,-500.00
232598,AM-LT000006,GREENWICH -GTG,Invoice,MI-Common Utilities,IC0037024,GL0036603,2022-01-31,2022-02-15,,,0,-500.00
232600,AM-LT000006,GREENWICH -GTG,Invoice,MI-Charges,IC0037024,GL0036603,2022-01-31,2022-02-15,,,0,-500.00
229812,AM-LT000050,IO ECO BEAUTY PRODUCTS,Invoice,MI-Charges,IC0036558,GL0036114,2022-01-31,2022-02-10,,,0,-500.00
229810,AM-LT000050,IO ECO BEAUTY PRODUCTS,Invoice,MI-Common Utilities,IC0036558,GL0036114,2022-01-31,2022-02-10,,,0,-500.00
229965,AM-LT000058,M. LHUILLIER PHILIPPINES INC,Invoice,MI-Charges,IC0036593,GL0036149,2022-01-31,2022-02-10,,,0,-500.00
229790,AM-LT000025,MARCELA CHICKEN - B. INTING,Invoice,MI-Common Utilities,IC0036555,GL0036111,2022-01-31,2022-02-10,,,0,-500.00
