ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
297053,AM-LT000054,ABENSON,Invoice,Rent Income,IC0044890,GL0045243,2022-12-01,2022-12-31,,,0,-164882.63
293117,AM-ST000308,CAREHEALTH PLUS,Invoice,Rent Income,IC0044447,GL0044754,2022-12-03,2022-12-11,,,0,-2000.00
298044,AM-ST000398,LEYLAM - BILLBOARD,Invoice,Rent Income,IC0045097,GL0045451,2022-12-14,2022-12-24,,,0,-5000.00
289402,AM-ST000120,ISUZU - BOHOL,Invoice,Rent Income,IC0043791,GL0044069,2022-12-16,2022-12-24,,,0,-50000.00
300290,AM-ST000323,SHADOW REALM MARTIAL ARTS,Invoice,Rent Income,IC0045333,GL0045711,2022-12-17,2022-12-25,,,0,-1000.00
298245,AM-LT000048,CHIKITINGS PLAYHOUSE,Invoice Adjustment,Rent Income,IC0044941,GL0045295,2022-12-31,2023-01-10,,,8000.00,0
299293,AM-LT000116,SAMSUNG,Invoice Adjustment,Rent Income,IC0044920,GL0045273,2022-12-31,2023-01-08,,,4388.00,0
298914,AM-LT000028,PAYAG RESTAURANT,Invoice Adjustment,MI-Common Utilities,IC0044924,GL0045277,2022-12-31,2023-01-10,,,2000.00,0
299116,AM-LT000018,GOLDILOCKS,Invoice,MI-Water,IC0045256,GL0045621,2022-12-31,2023-01-15,,,0,-52.00
297487,AM-LT000130,BEAUTY AND BEYOND FACIAL AND SLIMMING,Invoice,MI-Water,IC0044980,GL0045334,2022-12-31,2023-01-10,,,0,-104.00
296678,AM-LT000025,MARCELA CHICKEN - B. INTING,Invoice,MI-Water,IC0044822,GL0045174,2022-12-31,2023-01-10,,,0,-104.00
297369,AM-LT000042,UNISILVER,Invoice,MI-Light and Power,IC0044960,GL0045314,2022-12-31,2023-01-10,,,0,-110.00
297489,AM-LT000403,SHANDRIE MEDICAL CLINIC,Invoice,MI-Water,IC0044981,GL0045335,2022-12-31,2023-01-10,,,0,-156.00
297498,AM-LT000189,SNACK ATTACK,Invoice,MI-Water,IC0044983,GL0045337,2022-12-31,2023-01-10,,,0,-156.00
297461,AM-LT000185,BOHOL PERSONS WITH DISABILITY WORKERS MULTIPURPOSE COOPERATIVE,Invoice,MI-Light and Power,IC0044975,GL0045329,2022-12-31,2023-01-10,,,0,-198.00
299050,AM-LT000004,RED RIBBON,Invoice,MI-Water,IC0045245,GL0045610,2022-12-31,2023-01-15,,,0,-208.00
296862,AM-LT000055,IDEAL VISION CENTER,Invoice,MI-Water,IC0044857,GL0045210,2022-12-31,2023-01-08,,,0,-224.12
299279,AM-LT000784,SLOW HANDS HEALTH AND WELLNESS CENTER,Invoice,MI-Light and Power,IC0045272,GL0045638,2022-12-31,2023-01-15,,,0,-231.00
297348,AM-LT000114,OPPO,Invoice,MI-Charges,IC0044956,GL0045310,2022-12-31,2023-01-10,,,0,-234.30
296855,AM-LT000402,MERAKI INFUSION AESTHETIC AND WELLNESS CENTER,Invoice,MI-Charges,IC0044855,GL0045208,2022-12-31,2023-01-10,,,0,-244.80
297462,AM-LT000185,BOHOL PERSONS WITH DISABILITY WORKERS MULTIPURPOSE COOPERATIVE,Invoice,MI-Charges,IC0044975,GL0045329,2022-12-31,2023-01-10,,,0,-249.70
297354,AM-LT000115,VIVO,Invoice,MI-Charges,IC0044957,GL0045311,2022-12-31,2023-01-10,,,0,-258.80
297330,AM-LT000113,HUAWEI,Invoice,MI-Charges,IC0044954,GL0045308,2022-12-31,2023-01-10,,,0,-259.20
296767,AM-LT000141,RJBM PAWNSHOP,Invoice,MI-Charges,IC0044838,GL0045191,2022-12-31,2023-01-10,,,0,-266.90
297007,AM-LT000022,MICHE CELLPHONE ACCESSORIES,Invoice,MI-Light and Power,IC0044880,GL0045233,2022-12-31,2023-01-10,,,0,-319.00
297303,AM-LT000118,CIGNAL,Invoice,MI-Charges,IC0044948,GL0045302,2022-12-31,2023-01-10,,,0,-322.30
298054,AM-LT000061,VENDO CORPORATION,Invoice,Rent Income,IC0045099,GL0045453,2022-12-31,2023-01-10,,,0,-330.00
296694,AM-LT000111,LEYLAM,Invoice,MI-Water,IC0044825,GL0045177,2022-12-31,2023-01-10,,,0,-364.00
296965,AM-LT000082,RICHER TEA,Invoice,MI-Charges,IC0044869,GL0045222,2022-12-31,2023-01-10,,,0,-397.40
296835,AM-LT000127,NAILAX AESTHETIC AND WELLNESS CLINIC,Invoice,MI-Water,IC0044851,GL0045204,2022-12-31,2023-01-10,,,0,-416.00
297200,AM-LT000028,PAYAG RESTAURANT,Invoice,MI-Water,IC0044924,GL0045277,2022-12-31,2023-01-10,,,0,-416.00
297080,AM-LT000189,SNACK ATTACK,Invoice,MI-Charges,IC0044895,GL0045248,2022-12-31,2023-01-10,,,0,-427.90
297477,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Invoice,MI-Water,IC0044978,GL0045332,2022-12-31,2023-01-10,,,0,-468.00
296686,AM-LT000037,MISTER DONUT - FOODCART,Invoice,MI-Light and Power,IC0044823,GL0045175,2022-12-31,2023-01-10,,,0,-473.00
297188,AM-LT000116,SAMSUNG,Invoice,MI-Charges,IC0044921,GL0045274,2022-12-31,2023-01-10,,,0,-489.80
297420,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Invoice,MI-Charges,IC0044968,GL0045322,2022-12-31,2023-01-10,,,0,-500.00
297523,AM-LT000125,BEBIES LECHON BABOY - NEW,Invoice,MI-Charges,IC0044989,GL0045343,2022-12-31,2023-01-10,,,0,-500.00
296815,AM-LT000121,BIG JEWELRY CREATION,Invoice,MI-Charges,IC0044847,GL0045200,2022-12-31,2023-01-10,,,0,-500.00
