ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
226481,AM-LT000010,MASTER SIOMAI,Payment,Rent Receivables-RR Clearing,PR0009657,GL0027833,2022-01-01,0000-00-00,B-015,PNB,1787.00,0
226483,AM-LT000010,MASTER SIOMAI,Payment,Rent Receivables-RR Clearing,PR0009657,GL0022856,2022-01-01,0000-00-00,B-015,PNB,1025.00,0
226484,AM-LT000010,MASTER SIOMAI,Payment,Rent Receivables,PR0009657,GL0022856,2022-01-01,0000-00-00,B-015,PNB,0,-1025.00
226469,AM-LT000010,MASTER SIOMAI,Payment,Rent Receivables-RR Clearing,UFT0004375,GL0022856,2022-01-01,0000-00-00,B-015,PNB,0,-1025.00
226482,AM-LT000010,MASTER SIOMAI,Payment,Rent Receivables,PR0009657,GL0027833,2022-01-01,0000-00-00,B-015,PNB,0,-1787.00
226475,AM-LT000010,MASTER SIOMAI,Payment,Rent Receivables-RR Clearing,UFT0004375,GL0027833,2022-01-01,0000-00-00,B-015,PNB,0,-1787.00
226424,AM-LT000035,ST. PATRICKS ROAST,Payment,Rent Receivables,PR0009762,GL0034701,2022-01-04,0000-00-00,B-015,PNB,0,-4750.00
226420,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Payment,Rent Receivables,PR0009761,GL0034702,2022-01-04,0000-00-00,B-015,PNB,0,-5000.00
226416,AM-LT000002,ALVAS FOOD PROCESSING,Payment,Rent Receivables,PR23637,GL0034703,2022-01-04,0000-00-00,B-015,PNB,0,-5000.00
226286,AM-LT000050,IO ECO BEAUTY PRODUCTS,Payment,Rent Receivables,PR0009760,GL0028806,2022-01-04,0000-00-00,B-015,PNB,0,-5080.00
223063,AM-ST000308,CAREHEALTH PLUS,Invoice,Rent Receivables,IC0035787,GL0035235,2022-01-05,2022-01-15,,,19260.00,0
226597,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Rent Receivables,PR0009764,GL0034154,2022-01-05,0000-00-00,B-015,PNB,0,-10700.00
226593,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,Rent Receivables,PR0009765,GL0034699,2022-01-05,0000-00-00,B-015,PNB,0,-10700.00
228410,AM-ST000258,PLANTORAMA,Invoice,Rent Receivables,IC0036448,GL0035984,2022-01-07,2022-01-17,,,21400.00,0
226995,AM-LT000185,BOHOL PERSONS WITH DISABILITY WORKERS MULTIPURPOSE COOPERATIVE,Payment,Rent Receivables,PR0009767,GL0034043,2022-01-07,0000-00-00,B-015,PNB,0,-6171.08
