ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
304575,AM-LT000086,DAISO JAPAN,Invoice,Rent Income,IC0045850,GL0046259,2023-01-01,2023-02-10,,,0,-108430.88
304350,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,MI-Light and Power,IC0045823,GL0046230,2023-01-07,2023-01-15,,,0,-1067.00
304349,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,MI-Aircon Charges,IC0045823,GL0046230,2023-01-07,2023-01-15,,,0,-2000.00
304345,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,Rent Income,IC0045822,GL0046229,2023-01-07,2023-01-15,,,0,-20000.00
305820,AM-ST000398,LEYLAM - BILLBOARD,Invoice,Rent Income,IC0046046,GL0046468,2023-01-14,2023-01-24,,,0,-5000.00
301023,AM-ST000323,SHADOW REALM MARTIAL ARTS,Invoice,Rent Income,IC0045354,GL0045744,2023-01-17,2023-01-25,,,0,-1000.00
301042,AM-LT000809,RIBSHACK  GRILL CORP. - STORAGE ROOM,Invoice,Rent Income,IC0045358,GL0045748,2023-01-17,2023-01-25,,,0,-10000.00
306443,AM-LT000116,SAMSUNG,Invoice Adjustment,Rent Income,IC0045851,GL0046260,2023-01-31,2023-02-10,,,4388.00,0
307072,AM-LT000061,VENDO CORPORATION,Invoice Adjustment,Rent Income,IC0045972,GL0046384,2023-01-31,2023-02-10,,,165.00,0
301816,AM-ST000274,Sneaker City,Invoice,MI-Charges,IC0045372,GL0045770,2023-01-31,2023-02-10,,,0,-35.70
306291,AM-LT000018,GOLDILOCKS,Invoice,MI-Water,IC0046090,GL0046520,2023-01-31,2023-02-15,,,0,-52.00
305514,AM-LT000130,BEAUTY AND BEYOND FACIAL AND SLIMMING,Invoice,MI-Water,IC0045995,GL0046412,2023-01-31,2023-02-10,,,0,-104.00
306913,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Water,IC0046145,GL0046580,2023-01-31,2023-02-10,,,0,-104.00
302614,AM-LT000042,UNISILVER,Invoice,MI-Light and Power,IC0045511,GL0045910,2023-01-31,2023-02-10,,,0,-110.00
302055,AM-LT000119,MERRY MANGO,Invoice,MI-Charges,IC0045407,GL0045805,2023-01-31,2023-02-10,,,0,-112.00
305574,AM-LT000189,SNACK ATTACK,Invoice,MI-Water,IC0046008,GL0046425,2023-01-31,2023-02-10,,,0,-156.00
302012,AM-LT000055,IDEAL VISION CENTER,Invoice,MI-Water,IC0045397,GL0045795,2023-01-31,2023-02-10,,,0,-183.25
302691,AM-LT000185,BOHOL PERSONS WITH DISABILITY WORKERS MULTIPURPOSE COOPERATIVE,Invoice,MI-Light and Power,IC0045525,GL0045926,2023-01-31,2023-02-10,,,0,-209.00
305622,AM-LT000795,SISIG SARAP CO.,Invoice,MI-Aircon Charges,IC0046021,GL0046438,2023-01-31,2023-02-10,,,0,-225.81
305625,AM-LT000795,SISIG SARAP CO.,Invoice,MI-Charges,IC0046021,GL0046438,2023-01-31,2023-02-10,,,0,-225.81
302644,AM-LT000669,KIKAY`S LEMONADE STATION,Invoice,MI-Charges,IC0045517,GL0045917,2023-01-31,2023-02-10,,,0,-232.00
304369,AM-LT000114,OPPO,Invoice,MI-Charges,IC0045825,GL0046232,2023-01-31,2023-02-10,,,0,-234.30
302692,AM-LT000185,BOHOL PERSONS WITH DISABILITY WORKERS MULTIPURPOSE COOPERATIVE,Invoice,MI-Charges,IC0045525,GL0045926,2023-01-31,2023-02-10,,,0,-249.70
304363,AM-LT000115,VIVO,Invoice,MI-Charges,IC0045824,GL0046231,2023-01-31,2023-02-10,,,0,-258.80
304375,AM-LT000113,HUAWEI,Invoice,MI-Charges,IC0045826,GL0046233,2023-01-31,2023-02-10,,,0,-259.20
306932,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Invoice,MI-Water,IC0046147,GL0046582,2023-01-31,2023-02-10,,,0,-260.00
301869,AM-LT000025,MARCELA CHICKEN - B. INTING,Invoice,MI-Water,IC0045379,GL0045777,2023-01-31,2023-02-10,,,0,-260.00
306113,AM-LT000004,RED RIBBON,Invoice,MI-Water,IC0046069,GL0046497,2023-01-31,2023-02-15,,,0,-260.00
301895,AM-LT000141,RJBM PAWNSHOP,Invoice,MI-Charges,IC0045383,GL0045781,2023-01-31,2023-02-10,,,0,-266.90
302091,AM-LT000022,MICHE CELLPHONE ACCESSORIES,Invoice,MI-Charges,IC0045415,GL0045813,2023-01-31,2023-02-10,,,0,-272.16
302088,AM-LT000022,MICHE CELLPHONE ACCESSORIES,Invoice,MI-Light and Power,IC0045414,GL0045812,2023-01-31,2023-02-10,,,0,-275.00
302532,AM-LT000045,LBC,Invoice,MI-Light and Power,IC0045494,GL0045893,2023-01-31,2023-02-10,,,0,-286.00
311702,AM-ST000004,LFAFA EXPRESS de- STRESS,Invoice,MI-Light and Power,IC0046773,GL0047243,2023-01-31,2023-02-10,,,0,-297.00
302153,AM-LT000514,DITO TELECOMMUNITY CORPORATION,Invoice,MI-Charges,IC0045427,GL0045825,2023-01-31,2023-02-10,,,0,-300.00
301984,AM-LT000127,NAILAX AESTHETIC AND WELLNESS CLINIC,Invoice,MI-Water,IC0045393,GL0045791,2023-01-31,2023-02-10,,,0,-312.00
304510,AM-LT000118,CIGNAL,Invoice,MI-Charges,IC0045837,GL0046246,2023-01-31,2023-02-10,,,0,-322.30
305389,AM-LT000061,VENDO CORPORATION,Invoice,Rent Income,IC0045972,GL0046384,2023-01-31,2023-02-10,,,0,-330.00
301885,AM-LT000111,LEYLAM,Invoice,MI-Water,IC0045382,GL0045780,2023-01-31,2023-02-10,,,0,-364.00
305624,AM-LT000795,SISIG SARAP CO.,Invoice,MI-Light and Power,IC0046021,GL0046438,2023-01-31,2023-02-10,,,0,-385.00
302043,AM-LT000082,RICHER TEA,Invoice,MI-Charges,IC0045404,GL0045802,2023-01-31,2023-02-10,,,0,-397.40
304640,AM-LT000668,SEAFRONT SEPO GRILL AND RESTAURANT,Invoice,MI-Water,IC0045861,GL0046270,2023-01-31,2023-02-10,,,0,-416.00
302199,AM-LT000189,SNACK ATTACK,Invoice,MI-Charges,IC0045436,GL0045834,2023-01-31,2023-02-10,,,0,-427.90
306938,AM-LT000002,ALVAS FOOD PROCESSING,Invoice,MI-Water,IC0046148,GL0046583,2023-01-31,2023-02-10,,,0,-468.00
302453,AM-LT000028,PAYAG RESTAURANT,Invoice,MI-Water,IC0045479,GL0045878,2023-01-31,2023-02-10,,,0,-468.00
304385,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Invoice,MI-Water,IC0045828,GL0046235,2023-01-31,2023-02-10,,,0,-468.00
301877,AM-LT000037,MISTER DONUT - FOODCART,Invoice,MI-Light and Power,IC0045380,GL0045778,2023-01-31,2023-02-10,,,0,-473.00
302220,AM-LT000040,LYDIAS TICKETING OUTLET,Invoice,MI-Light and Power,IC0045441,GL0045839,2023-01-31,2023-02-10,,,0,-484.00
301865,AM-LT000663,SYNCHRO,Invoice,MI-Light and Power,IC0045378,GL0045776,2023-01-31,2023-02-10,,,0,-484.00
302470,AM-LT000116,SAMSUNG,Invoice,MI-Charges,IC0045481,GL0045880,2023-01-31,2023-02-10,,,0,-489.80
306940,AM-LT000002,ALVAS FOOD PROCESSING,Invoice,MI-Charges,IC0046148,GL0046583,2023-01-31,2023-02-10,,,0,-500.00
302635,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Invoice,MI-Charges,IC0045515,GL0045914,2023-01-31,2023-02-10,,,0,-500.00
305604,AM-LT000125,BEBIES LECHON BABOY - NEW,Invoice,MI-Charges,IC0046016,GL0046433,2023-01-31,2023-02-10,,,0,-500.00
304631,AM-LT000217,BLACK CHAI MILKTEA SHOP,Invoice,MI-Charges,IC0045859,GL0046268,2023-01-31,2023-02-10,,,0,-500.00
302172,AM-LT000016,BLACK PEARL,Invoice,MI-Aircon Charges,IC0045430,GL0045828,2023-01-31,2023-02-10,,,0,-500.00
302175,AM-LT000016,BLACK PEARL,Invoice,MI-Charges,IC0045430,GL0045828,2023-01-31,2023-02-10,,,0,-500.00
302127,AM-LT000450,BUKO FRESH AND ICE SCRAMBLE,Invoice,MI-Charges,IC0045421,GL0045819,2023-01-31,2023-02-10,,,0,-500.00
302124,AM-LT000450,BUKO FRESH AND ICE SCRAMBLE,Invoice,MI-Aircon Charges,IC0045421,GL0045819,2023-01-31,2023-02-10,,,0,-500.00
301953,AM-ST000276,Coffee Vendo Machine,Invoice,Rent Income,IC0045391,GL0045789,2023-01-31,2023-02-10,,,0,-500.00
302005,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Invoice,MI-Charges,IC0045396,GL0045794,2023-01-31,2023-02-10,,,0,-500.00
301842,AM-LT000047,FAMOUS BELGIAN WAFFLE,Invoice,MI-Charges,IC0045374,GL0045772,2023-01-31,2023-02-10,,,0,-500.00
301839,AM-LT000047,FAMOUS BELGIAN WAFFLE,Invoice,MI-Aircon Charges,IC0045374,GL0045772,2023-01-31,2023-02-10,,,0,-500.00
301965,AM-LT000036,GECKO TOURS AND TRAVELS,Invoice,MI-Aircon Charges,IC0045392,GL0045790,2023-01-31,2023-02-10,,,0,-500.00
301967,AM-LT000036,GECKO TOURS AND TRAVELS,Invoice,MI-Light and Power,IC0045392,GL0045790,2023-01-31,2023-02-10,,,0,-500.00
302510,AM-LT000006,GREENWICH -GTG,Invoice,MI-Charges,IC0045489,GL0045888,2023-01-31,2023-02-10,,,0,-500.00
302297,AM-LT000671,GUGU MANJU,Invoice,MI-Charges,IC0045449,GL0045848,2023-01-31,2023-02-10,,,0,-500.00
302294,AM-LT000671,GUGU MANJU,Invoice,MI-Aircon Charges,IC0045449,GL0045848,2023-01-31,2023-02-10,,,0,-500.00
302073,AM-LT000660,JM SHAWARMA,Invoice,MI-Aircon Charges,IC0045411,GL0045809,2023-01-31,2023-02-10,,,0,-500.00
302637,AM-LT000669,KIKAY`S LEMONADE STATION,Invoice,MI-Aircon Charges,IC0045516,GL0045915,2023-01-31,2023-02-10,,,0,-500.00
302640,AM-LT000669,KIKAY`S LEMONADE STATION,Invoice,MI-Charges,IC0045516,GL0045915,2023-01-31,2023-02-10,,,0,-500.00
302218,AM-LT000040,LYDIAS TICKETING OUTLET,Invoice,MI-Aircon Charges,IC0045441,GL0045839,2023-01-31,2023-02-10,,,0,-500.00
302655,AM-LT000207,LYN`S LUGAW  HOUSE,Invoice,MI-Charges,IC0045519,GL0045920,2023-01-31,2023-02-10,,,0,-500.00
301900,AM-LT000058,M. LHUILLIER PHILIPPINES INC,Invoice,MI-Charges,IC0045384,GL0045782,2023-01-31,2023-02-10,,,0,-500.00
302057,AM-LT000010,MASTER SIOMAI,Invoice,MI-Aircon Charges,IC0045408,GL0045806,2023-01-31,2023-02-10,,,0,-500.00
301905,AM-LT000056,ORO CHINA PAWNSHOP,Invoice,MI-Charges,IC0045385,GL0045783,2023-01-31,2023-02-10,,,0,-500.00
302607,AM-LT000063,POTATO CORNER,Invoice,MI-Aircon Charges,IC0045510,GL0045909,2023-01-31,2023-02-10,,,0,-500.00
302610,AM-LT000063,POTATO CORNER,Invoice,MI-Charges,IC0045510,GL0045909,2023-01-31,2023-02-10,,,0,-500.00
302030,AM-LT000044,RC LUCKY GRAPHICS,Invoice,MI-Charges,IC0045401,GL0045799,2023-01-31,2023-02-10,,,0,-500.00
302486,AM-LT000335,REAL ME,Invoice,MI-Charges,IC0045484,GL0045883,2023-01-31,2023-02-10,,,0,-500.00
306908,AM-LT000035,ST. PATRICKS ROAST,Invoice,MI-Aircon Charges,IC0046145,GL0046580,2023-01-31,2023-02-10,,,0,-500.00
302203,AM-LT000041,STICKER RACE PRINTS,Invoice,MI-Aircon Charges,IC0045438,GL0045836,2023-01-31,2023-02-10,,,0,-500.00
302206,AM-LT000041,STICKER RACE PRINTS,Invoice,MI-Charges,IC0045438,GL0045836,2023-01-31,2023-02-10,,,0,-500.00
301866,AM-LT000663,SYNCHRO,Invoice,MI-Charges,IC0045378,GL0045776,2023-01-31,2023-02-10,,,0,-500.00
302681,AM-LT000169,TECHNOCARE,Invoice,MI-Charges,IC0045523,GL0045924,2023-01-31,2023-02-10,,,0,-500.00
301826,AM-LT000049,THIRSTY,Invoice,MI-Aircon Charges,IC0045373,GL0045771,2023-01-31,2023-02-10,,,0,-500.00
301829,AM-LT000049,THIRSTY,Invoice,MI-Charges,IC0045373,GL0045771,2023-01-31,2023-02-10,,,0,-500.00
302096,AM-LT000015,TURKS SHAWARMA,Invoice,MI-Charges,IC0045416,GL0045814,2023-01-31,2023-02-10,,,0,-500.00
302093,AM-LT000015,TURKS SHAWARMA,Invoice,MI-Aircon Charges,IC0045416,GL0045814,2023-01-31,2023-02-10,,,0,-500.00
302615,AM-LT000042,UNISILVER,Invoice,MI-Charges,IC0045511,GL0045910,2023-01-31,2023-02-10,,,0,-500.00
302612,AM-LT000042,UNISILVER,Invoice,MI-Aircon Charges,IC0045511,GL0045910,2023-01-31,2023-02-10,,,0,-500.00
302113,AM-LT000087,JOJIE`S PAINITANG BOL-ANON,Invoice,MI-Water,IC0045420,GL0045818,2023-01-31,2023-02-10,,,0,-520.00
