ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
223064,AM-ST000308,CAREHEALTH PLUS,Invoice,Rent Income,IC0035787,GL0035235,2022-01-05,2022-01-15,,,0,-18000.00
228411,AM-ST000258,PLANTORAMA,Invoice,Rent Income,IC0036448,GL0035984,2022-01-07,2022-01-17,,,0,-20000.00
222390,AM-ST000307,NOM NOM CORN DOGS SNACK BAR,Invoice,Rent Income,IC0035735,GL0035169,2022-01-09,2022-01-19,,,0,-5000.00
238818,AM-ST000276,Coffee Vendo Machine,Invoice Adjustment,Rent Income,IC0036537,GL0036093,2022-01-31,2022-02-10,,,500.00,0
229614,AM-ST000276,Coffee Vendo Machine,Invoice,Rent Income,IC0036537,GL0036093,2022-01-31,2022-02-10,,,0,-500.00
229952,AM-LT000065,RC LUCKY GRAPHICS -STICKER,Invoice,Rent Income,IC0036590,GL0036146,2022-01-31,2022-02-10,,,0,-3000.00
229587,AM-LT000066,RED RIBBON - BILLBOARD,Invoice,Rent Income,IC0036532,GL0036088,2022-01-31,2022-02-10,,,0,-3000.00
231323,AM-LT000040,LYDIAS TICKETING OUTLET,Invoice,Rent Income,IC0036849,GL0036418,2022-01-31,2022-02-10,,,0,-4201.06
230355,AM-LT000125,BEBIES LECHON BABOY - NEW,Invoice,Rent Income,IC0036663,GL0036226,2022-01-31,2022-02-10,,,0,-4500.00
230655,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Invoice,Rent Income,IC0036723,GL0036289,2022-01-31,2022-02-10,,,0,-5000.00
229893,AM-LT000002,ALVAS FOOD PROCESSING,Invoice,Rent Income,IC0036576,GL0036132,2022-01-31,2022-02-10,,,0,-5000.00
229599,AM-LT000069,GREENWICH - BILLBOARD,Invoice,Rent Income,IC0036535,GL0036091,2022-01-31,2022-02-10,,,0,-5000.00
229591,AM-LT000067,JOLLIBEE - BILLBOARD,Invoice,Rent Income,IC0036533,GL0036089,2022-01-31,2022-02-10,,,0,-5000.00
232657,AM-LT000006,GREENWICH -GTG,Invoice,Rent Income,IC0037032,GL0036611,2022-01-31,2022-02-15,,,0,-5217.55
229844,AM-LT000052,SECURITY BANK - ATM,Invoice,Rent Income,IC0036566,GL0036122,2022-01-31,2022-02-10,,,0,-5500.00
231303,AM-LT000015,TURKS SHAWARMA,Invoice,Rent Income,IC0036844,GL0036413,2022-01-31,2022-02-10,,,0,-5677.42
229886,AM-LT000037,MISTER DONUT - FOODCART,Invoice,Rent Income,IC0036574,GL0036130,2022-01-31,2022-02-10,,,0,-6000.00
230440,AM-LT000063,POTATO CORNER,Invoice,Rent Income,IC0036681,GL0036244,2022-01-31,2022-02-10,,,0,-6000.00
230523,AM-LT000185,BOHOL PERSONS WITH DISABILITY WORKERS MULTIPURPOSE COOPERATIVE,Invoice,Rent Income,IC0036697,GL0036260,2022-01-31,2022-02-10,,,0,-7500.00
230669,AM-LT000053,PHILIPPINE NATIONAL BANK - ATM,Invoice,Rent Income,IC0036727,GL0036293,2022-01-31,2022-02-10,,,0,-8385.30
229890,AM-LT000035,ST. PATRICKS ROAST,Invoice,Rent Income,IC0036575,GL0036131,2022-01-31,2022-02-10,,,0,-9500.00
230469,AM-LT000217,BLACK CHAI MILKTEA SHOP,Invoice,Rent Income,IC0036687,GL0036250,2022-01-31,2022-02-10,,,0,-10000.00
229595,AM-LT000068,CHOWKING - BILLBOARD,Invoice,Rent Income,IC0036534,GL0036090,2022-01-31,2022-02-10,,,0,-10000.00
229870,AM-LT000047,FAMOUS BELGIAN WAFFLE,Invoice,Rent Income,IC0036570,GL0036126,2022-01-31,2022-02-10,,,0,-10000.00
229878,AM-LT000025,MARCELA CHICKEN - B. INTING,Invoice,Rent Income,IC0036572,GL0036128,2022-01-31,2022-02-10,,,0,-10000.00
230021,AM-LT000010,MASTER SIOMAI,Invoice,Rent Income,IC0036603,GL0036159,2022-01-31,2022-02-10,,,0,-10000.00
229848,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Invoice,Rent Income,IC0036567,GL0036123,2022-01-31,2022-02-10,,,0,-10000.00
230499,AM-LT000335,REAL ME,Invoice,Rent Income,IC0036694,GL0036257,2022-01-31,2022-02-10,,,0,-10000.00
229862,AM-LT000049,THIRSTY,Invoice,Rent Income,IC0036568,GL0036124,2022-01-31,2022-02-10,,,0,-10000.00
232241,AM-ST000266,PLANTORAMA 1,Invoice,Rent Income,IC0036983,GL0036558,2022-01-31,2022-02-10,,,0,-12000.00
232673,AM-LT000051,CHG GLOBAL INC,Invoice,Rent Income,IC0037034,GL0036613,2022-01-31,2022-02-10,,,0,-12411.63
230376,AM-LT000046,LAY BARE WAXING SALON,Invoice,Rent Income,IC0036668,GL0036231,2022-01-31,2022-02-10,,,0,-12615.00
230509,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Invoice,Rent Income,IC0036696,GL0036259,2022-01-31,2022-02-10,,,0,-14400.00
230461,AM-LT000041,STICKER RACE PRINTS,Invoice,Rent Income,IC0036685,GL0036248,2022-01-31,2022-02-10,,,0,-14437.50
230399,AM-LT000130,BEAUTY AND BEYOND FACIAL AND SLIMMING,Invoice,Rent Income,IC0036673,GL0036236,2022-01-31,2022-02-10,,,0,-15000.00
230604,AM-LT000114,OPPO,Invoice,Rent Income,IC0036714,GL0036279,2022-01-31,2022-02-10,,,0,-15000.00
230425,AM-LT000141,RJBM PAWNSHOP,Invoice,Rent Income,IC0036678,GL0036241,2022-01-31,2022-02-10,,,0,-15000.00
230368,AM-LT000189,SNACK ATTACK,Invoice,Rent Income,IC0036666,GL0036229,2022-01-31,2022-02-10,,,0,-15000.00
229618,AM-ST000274,Sneaker City,Invoice,Rent Income,IC0036538,GL0036094,2022-01-31,2022-02-10,,,0,-15000.00
230564,AM-LT000115,VIVO,Invoice,Rent Income,IC0036705,GL0036269,2022-01-31,2022-02-10,,,0,-15000.00
230407,AM-LT000044,RC LUCKY GRAPHICS,Invoice,Rent Income,IC0036675,GL0036238,2022-01-31,2022-02-10,,,0,-15750.00
229899,AM-LT000087,JOJIE`S PAINITANG BOL-ANON,Invoice,Rent Income,IC0036578,GL0036134,2022-01-31,2022-02-10,,,0,-16285.00
229911,AM-LT000056,ORO CHINA PAWNSHOP,Invoice,Rent Income,IC0036581,GL0036137,2022-01-31,2022-02-10,,,0,-16940.00
230556,AM-LT000118,CIGNAL,Invoice,Rent Income,IC0036703,GL0036267,2022-01-31,2022-02-10,,,0,-18000.00
230560,AM-LT000113,HUAWEI,Invoice,Rent Income,IC0036704,GL0036268,2022-01-31,2022-02-10,,,0,-18000.00
229874,AM-LT000050,IO ECO BEAUTY PRODUCTS,Invoice,Rent Income,IC0036571,GL0036127,2022-01-31,2022-02-10,,,0,-19687.50
232637,AM-LT000051,CHG GLOBAL INC,Invoice,Rent Income,IC0037030,GL0036609,2022-01-31,2022-02-10,,,0,-19946.75
229805,AM-LT000111,LEYLAM,Invoice,Rent Income,IC0036557,GL0036113,2022-01-31,2022-02-10,,,0,-20000.00
230546,AM-LT000022,MICHE CELLPHONE ACCESSORIES,Invoice,Rent Income,IC0036701,GL0036264,2022-01-31,2022-02-10,,,0,-20000.00
230586,AM-LT000116,SAMSUNG,Invoice,Rent Income,IC0036709,GL0036274,2022-01-31,2022-02-10,,,0,-20000.00
230477,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Invoice,Rent Income,IC0036689,GL0036252,2022-01-31,2022-02-10,,,0,-20000.00
229907,AM-LT000121,BIG JEWELRY CREATION,Invoice,Rent Income,IC0036580,GL0036136,2022-01-31,2022-02-10,,,0,-21000.00
229840,AM-LT000042,UNISILVER,Invoice,Rent Income,IC0036565,GL0036121,2022-01-31,2022-02-10,,,0,-21000.00
230389,AM-LT000055,IDEAL VISION CENTER,Invoice,Rent Income,IC0036671,GL0036234,2022-01-31,2022-02-10,,,0,-21032.55
230444,AM-LT000127,NAILAX AESTHETIC AND WELLNESS CLINIC,Invoice,Rent Income,IC0036682,GL0036245,2022-01-31,2022-02-10,,,0,-21171.15
229866,AM-LT000082,RICHER TEA,Invoice,Rent Income,IC0036569,GL0036125,2022-01-31,2022-02-10,,,0,-22000.00
229903,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Invoice,Rent Income,IC0036579,GL0036135,2022-01-31,2022-02-10,,,0,-22050.00
230429,AM-LT000079,CLOA PAWNSHOP,Invoice,Rent Income,IC0036679,GL0036242,2022-01-31,2022-02-10,,,0,-23100.00
230742,AM-LT000045,LBC,Invoice,Rent Income,IC0036742,GL0036308,2022-01-31,2022-02-10,,,0,-25000.00
230491,AM-LT000117,SAVE N` EARN - 5F,Invoice,Rent Income,IC0036692,GL0036255,2022-01-31,2022-02-10,,,0,-25000.00
238129,AM-LT000008,SMART - Rent,Invoice,Rent Income,IC0037704,GL0037354,2022-01-31,2022-02-10,,,0,-26801.91
230531,AM-LT000058,M. LHUILLIER PHILIPPINES INC,Invoice,Rent Income,IC0036698,GL0036261,2022-01-31,2022-02-10,,,0,-29635.20
230621,AM-LT000039,BENCH,Invoice,Rent Income,IC0036718,GL0036284,2022-01-31,2022-02-10,,,0,-30628.00
