ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
304575,AM-LT000086,DAISO JAPAN,Invoice,Rent Income,IC0045850,GL0046259,2023-01-01,2023-02-10,,,0,-108430.88
304345,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,Rent Income,IC0045822,GL0046229,2023-01-07,2023-01-15,,,0,-20000.00
305820,AM-ST000398,LEYLAM - BILLBOARD,Invoice,Rent Income,IC0046046,GL0046468,2023-01-14,2023-01-24,,,0,-5000.00
301023,AM-ST000323,SHADOW REALM MARTIAL ARTS,Invoice,Rent Income,IC0045354,GL0045744,2023-01-17,2023-01-25,,,0,-1000.00
301042,AM-LT000809,RIBSHACK  GRILL CORP. - STORAGE ROOM,Invoice,Rent Income,IC0045358,GL0045748,2023-01-17,2023-01-25,,,0,-10000.00
306443,AM-LT000116,SAMSUNG,Invoice Adjustment,Rent Income,IC0045851,GL0046260,2023-01-31,2023-02-10,,,4388.00,0
307072,AM-LT000061,VENDO CORPORATION,Invoice Adjustment,Rent Income,IC0045972,GL0046384,2023-01-31,2023-02-10,,,165.00,0
305389,AM-LT000061,VENDO CORPORATION,Invoice,Rent Income,IC0045972,GL0046384,2023-01-31,2023-02-10,,,0,-330.00
301953,AM-ST000276,Coffee Vendo Machine,Invoice,Rent Income,IC0045391,GL0045789,2023-01-31,2023-02-10,,,0,-500.00
302032,AM-LT000065,RC LUCKY GRAPHICS -STICKER,Invoice,Rent Income,IC0045402,GL0045800,2023-01-31,2023-02-10,,,0,-3000.00
302585,AM-LT000066,RED RIBBON - BILLBOARD,Invoice,Rent Income,IC0045505,GL0045904,2023-01-31,2023-02-10,,,0,-3000.00
305600,AM-LT000125,BEBIES LECHON BABOY - NEW,Invoice,Rent Income,IC0046015,GL0046432,2023-01-31,2023-02-10,,,0,-4500.00
305381,AM-LT000070,ABENSON - BILLBOARD,Invoice,Rent Income,IC0045971,GL0046383,2023-01-31,2023-02-08,,,0,-5000.00
305544,AM-LT000002,ALVAS FOOD PROCESSING,Invoice,Rent Income,IC0046001,GL0046418,2023-01-31,2023-02-10,,,0,-5000.00
302564,AM-LT000068,CHOWKING - BILLBOARD,Invoice,Rent Income,IC0045500,GL0045899,2023-01-31,2023-02-10,,,0,-5000.00
302581,AM-LT000069,GREENWICH - BILLBOARD,Invoice,Rent Income,IC0045504,GL0045903,2023-01-31,2023-02-10,,,0,-5000.00
302577,AM-LT000067,JOLLIBEE - BILLBOARD,Invoice,Rent Income,IC0045503,GL0045902,2023-01-31,2023-02-10,,,0,-5000.00
305618,AM-LT000795,SISIG SARAP CO.,Invoice,Rent Income,IC0046020,GL0046437,2023-01-31,2023-02-10,,,0,-6774.19
305563,AM-LT000185,BOHOL PERSONS WITH DISABILITY WORKERS MULTIPURPOSE COOPERATIVE,Invoice,Rent Income,IC0046005,GL0046422,2023-01-31,2023-02-10,,,0,-8000.00
305476,AM-LT000048,CHIKITINGS PLAYHOUSE,Invoice,Rent Income,IC0045987,GL0046404,2023-01-31,2023-02-10,,,0,-8000.00
302417,AM-LT000053,PHILIPPINE NATIONAL BANK - ATM,Invoice,Rent Income,IC0045472,GL0045871,2023-01-31,2023-02-10,,,0,-8385.30
305556,AM-LT000035,ST. PATRICKS ROAST,Invoice,Rent Income,IC0046003,GL0046420,2023-01-31,2023-02-10,,,0,-9000.00
306929,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Invoice,Rent Income,IC0046146,GL0046581,2023-01-31,2023-02-10,,,0,-10000.00
302181,AM-LT000450,BUKO FRESH AND ICE SCRAMBLE,Invoice,Rent Income,IC0045432,GL0045830,2023-01-31,2023-02-10,,,0,-10000.00
302503,AM-LT000006,GREENWICH -GTG,Invoice,Rent Income,IC0045488,GL0045887,2023-01-31,2023-02-10,,,0,-10000.00
305614,AM-LT000669,KIKAY`S LEMONADE STATION,Invoice,Rent Income,IC0046019,GL0046436,2023-01-31,2023-02-10,,,0,-10000.00
311698,AM-ST000004,LFAFA EXPRESS de- STRESS,Invoice,Rent Income,IC0046772,GL0047242,2023-01-31,2023-02-08,,,0,-10000.00
305610,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Invoice,Rent Income,IC0046018,GL0046435,2023-01-31,2023-02-10,,,0,-10000.00
302380,AM-LT000052,SECURITY BANK - ATM,Invoice,Rent Income,IC0045465,GL0045864,2023-01-31,2023-02-10,,,0,-11000.00
304617,AM-LT000217,BLACK CHAI MILKTEA SHOP,Invoice,Rent Income,IC0045857,GL0046266,2023-01-31,2023-02-10,,,0,-12000.00
305546,AM-LT000016,BLACK PEARL,Invoice,Rent Income,IC0046002,GL0046419,2023-01-31,2023-02-10,,,0,-12000.00
302290,AM-LT000671,GUGU MANJU,Invoice,Rent Income,IC0045448,GL0045847,2023-01-31,2023-02-10,,,0,-12000.00
302309,AM-LT000010,MASTER SIOMAI,Invoice,Rent Income,IC0045452,GL0045851,2023-01-31,2023-02-10,,,0,-12000.00
302589,AM-LT000177,MAXI MANGO,Invoice,Rent Income,IC0045506,GL0045905,2023-01-31,2023-02-10,,,0,-12000.00
311027,AM-ST000258,PLANTORAMA,Invoice,Rent Income,IC0046663,GL0047127,2023-01-31,2023-02-08,,,0,-12000.00
305606,AM-LT000335,REAL ME,Invoice,Rent Income,IC0046017,GL0046434,2023-01-31,2023-02-10,,,0,-12000.00
301931,AM-LT000025,MARCELA CHICKEN - B. INTING,Invoice,Rent Income,IC0045389,GL0045787,2023-01-31,2023-02-10,,,0,-13860.00
302143,AM-LT000659,ESAVEL SMOKEY SHACK CAFETERIA,Invoice,Rent Income,IC0045424,GL0045822,2023-01-31,2023-02-10,,,0,-15000.00
302428,AM-LT000047,FAMOUS BELGIAN WAFFLE,Invoice,Rent Income,IC0045474,GL0045873,2023-01-31,2023-02-10,,,0,-15000.00
305472,AM-LT000036,GECKO TOURS AND TRAVELS,Invoice,Rent Income,IC0045986,GL0046403,2023-01-31,2023-02-10,,,0,-15000.00
302238,AM-LT000660,JM SHAWARMA,Invoice,Rent Income,IC0045445,GL0045843,2023-01-31,2023-02-10,,,0,-15000.00
302646,AM-LT000207,LYN`S LUGAW  HOUSE,Invoice,Rent Income,IC0045518,GL0045919,2023-01-31,2023-02-10,,,0,-15000.00
302337,AM-LT000402,MERAKI INFUSION AESTHETIC AND WELLNESS CENTER,Invoice,Rent Income,IC0045458,GL0045857,2023-01-31,2023-02-10,,,0,-15000.00
302318,AM-LT000119,MERRY MANGO,Invoice,Rent Income,IC0045454,GL0045853,2023-01-31,2023-02-10,,,0,-15000.00
305592,AM-LT000037,MISTER DONUT - FOODCART,Invoice,Rent Income,IC0046013,GL0046430,2023-01-31,2023-02-10,,,0,-15000.00
305498,AM-LT000114,OPPO,Invoice,Rent Income,IC0045991,GL0046408,2023-01-31,2023-02-10,,,0,-15000.00
304613,AM-LT000063,POTATO CORNER,Invoice,Rent Income,IC0045856,GL0046265,2023-01-31,2023-02-15,,,0,-15000.00
305520,AM-LT000141,RJBM PAWNSHOP,Invoice,Rent Income,IC0045997,GL0046414,2023-01-31,2023-02-10,,,0,-15000.00
302665,AM-LT000668,SEAFRONT SEPO GRILL AND RESTAURANT,Invoice,Rent Income,IC0045520,GL0045921,2023-01-31,2023-02-10,,,0,-15000.00
302436,AM-ST000274,Sneaker City,Invoice,Rent Income,IC0045476,GL0045875,2023-01-31,2023-02-10,,,0,-15000.00
302432,AM-LT000049,THIRSTY,Invoice,Rent Income,IC0045475,GL0045874,2023-01-31,2023-02-10,,,0,-15000.00
305502,AM-LT000115,VIVO,Invoice,Rent Income,IC0045992,GL0046409,2023-01-31,2023-02-10,,,0,-15000.00
302394,AM-LT000663,SYNCHRO,Invoice,Rent Income,IC0045467,GL0045866,2023-01-31,2023-02-10,,,0,-16000.00
302440,AM-LT000028,PAYAG RESTAURANT,Invoice,Rent Income,IC0045477,GL0045876,2023-01-31,2023-02-10,,,0,-16500.00
302224,AM-LT000015,TURKS SHAWARMA,Invoice,Rent Income,IC0045442,GL0045840,2023-01-31,2023-02-10,,,0,-16537.50
302618,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,Invoice,Rent Income,IC0045512,GL0045911,2023-01-31,2023-02-10,,,0,-18000.00
305494,AM-LT000113,HUAWEI,Invoice,Rent Income,IC0045990,GL0046407,2023-01-31,2023-02-10,,,0,-18000.00
305506,AM-LT000118,CIGNAL,Invoice,Rent Income,IC0045993,GL0046410,2023-01-31,2023-02-10,,,0,-20000.00
318706,AM-ST000142,JOJIE`S PA-INITANG BOL-ANON,Invoice,Rent Income,IC0047609,GL0048139,2023-01-31,2023-02-10,,,0,-20000.00
305584,AM-LT000046,LAY BARE WAXING SALON,Invoice,Rent Income,IC0046011,GL0046428,2023-01-31,2023-02-10,,,0,-20000.00
305588,AM-LT000040,LYDIAS TICKETING OUTLET,Invoice,Rent Income,IC0046012,GL0046429,2023-01-31,2023-02-10,,,0,-20000.00
305516,AM-LT000022,MICHE CELLPHONE ACCESSORIES,Invoice,Rent Income,IC0045996,GL0046413,2023-01-31,2023-02-10,,,0,-20000.00
305570,AM-LT000189,SNACK ATTACK,Invoice,Rent Income,IC0046007,GL0046424,2023-01-31,2023-02-10,,,0,-20000.00
305576,AM-LT000041,STICKER RACE PRINTS,Invoice,Rent Income,IC0046009,GL0046426,2023-01-31,2023-02-10,,,0,-20000.00
302674,AM-LT000169,TECHNOCARE,Invoice,Rent Income,IC0045522,GL0045923,2023-01-31,2023-02-10,,,0,-20000.00
302349,AM-LT000056,ORO CHINA PAWNSHOP,Invoice,Rent Income,IC0045461,GL0045860,2023-01-31,2023-02-10,,,0,-24200.00
305596,AM-LT000087,JOJIE`S PAINITANG BOL-ANON,Invoice,Rent Income,IC0046014,GL0046431,2023-01-31,2023-02-10,,,0,-25000.00
305540,AM-LT000044,RC LUCKY GRAPHICS,Invoice,Rent Income,IC0046000,GL0046417,2023-01-31,2023-02-10,,,0,-25000.00
305580,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,Invoice,Rent Income,IC0046010,GL0046427,2023-01-31,2023-02-10,,,0,-25000.00
305559,AM-LT000042,UNISILVER,Invoice,Rent Income,IC0046004,GL0046421,2023-01-31,2023-02-10,,,0,-25000.00
302522,AM-LT000045,LBC,Invoice,Rent Income,IC0045492,GL0045891,2023-01-31,2023-02-10,,,0,-26250.00
305719,AM-LT000008,SMART - Rent,Invoice,Rent Income,IC0046032,GL0046454,2023-01-31,2023-02-08,,,0,-26801.91
304513,AM-LT000082,RICHER TEA,Invoice,Rent Income,IC0045838,GL0046247,2023-01-31,2023-02-10,,,0,-27500.00
305510,AM-LT000130,BEAUTY AND BEYOND FACIAL AND SLIMMING,Invoice,Rent Income,IC0045994,GL0046411,2023-01-31,2023-02-10,,,0,-28304.18
304587,AM-LT000116,SAMSUNG,Invoice,Rent Income,IC0045851,GL0046260,2023-01-31,2023-02-10,,,0,-29388.00
304597,AM-LT000121,BIG JEWELRY CREATION,Invoice,Rent Income,IC0045853,GL0046262,2023-01-31,2023-02-10,,,0,-30000.00
302147,AM-LT000514,DITO TELECOMMUNITY CORPORATION,Invoice,Rent Income,IC0045425,GL0045823,2023-01-31,2023-02-10,,,0,-30000.00
305480,AM-LT000111,LEYLAM,Invoice,Rent Income,IC0045988,GL0046405,2023-01-31,2023-02-10,,,0,-30000.00
302341,AM-LT000127,NAILAX AESTHETIC AND WELLNESS CLINIC,Invoice,Rent Income,IC0045459,GL0045858,2023-01-31,2023-02-10,,,0,-30244.50
302544,AM-LT000784,SLOW HANDS HEALTH AND WELLNESS CENTER,Invoice,Rent Income,IC0045496,GL0045895,2023-01-31,2023-02-10,,,0,-31136.00
301998,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Invoice,Rent Income,IC0045395,GL0045793,2023-01-31,2023-02-10,,,0,-31500.00
306276,AM-LT000449,OXYGEN,Invoice,Rent Income,IC0046087,GL0046517,2023-01-31,2023-02-15,,,0,-31798.85
302345,AM-LT000079,CLOA PAWNSHOP,Invoice,Rent Income,IC0045460,GL0045859,2023-01-31,2023-02-08,,,0,-33000.00
302376,AM-LT000058,M. LHUILLIER PHILIPPINES INC,Invoice,Rent Income,IC0045464,GL0045863,2023-01-31,2023-02-10,,,0,-37044.00
302021,AM-LT000403,SHANDRIE MEDICAL CLINIC,Invoice,Rent Income,IC0045399,GL0045797,2023-01-31,2023-02-10,,,0,-38640.00
305649,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Invoice,Rent Income,IC0046025,GL0046442,2023-01-31,2023-02-10,,,0,-40105.86
306286,AM-LT000018,GOLDILOCKS,Invoice,Rent Income,IC0046089,GL0046519,2023-01-31,2023-02-15,,,0,-40228.34
302413,AM-LT000021,DUNKIN DONUTS,Invoice,Rent Income,IC0045471,GL0045870,2023-01-31,2023-02-10,,,0,-42000.00
302322,AM-LT000055,IDEAL VISION CENTER,Invoice,Rent Income,IC0045455,GL0045854,2023-01-31,2023-02-10,,,0,-42065.10
304591,AM-LT000117,SAVE N` EARN - 5F,Invoice,Rent Income,IC0045852,GL0046261,2023-01-31,2023-02-10,,,0,-42090.00
306101,AM-LT000004,RED RIBBON,Invoice,Rent Income,IC0046068,GL0046496,2023-01-31,2023-02-15,,,0,-43967.50
305727,AM-LT000039,BENCH,Invoice,Rent Income,IC0046033,GL0046455,2023-01-31,2023-02-08,,,0,-45942.00
305528,AM-LT000051,CHG GLOBAL INC,Invoice,Rent Income,IC0045998,GL0046415,2023-01-31,2023-02-10,,,0,-48537.56
302598,AM-LT000196,TL MABUHAY DRIVING LESSONS ACADEMY INC. - NEW,Invoice,Rent Income,IC0045508,GL0045907,2023-01-31,2023-02-10,,,0,-48846.00
305488,AM-LT000112,PENSHOPPE,Invoice,Rent Income,IC0045989,GL0046406,2023-01-31,2023-02-10,,,0,-62616.40
302405,AM-LT000023,PHILIPPINE NATIONAL BANK,Invoice,Rent Income,IC0045469,GL0045868,2023-01-31,2023-02-10,,,0,-112972.47
306345,AM-LT000005,GREENWICH,Invoice,Rent Income,IC0046097,GL0046528,2023-01-31,2023-02-15,,,0,-143754.42
304310,AM-LT000054,ABENSON,Invoice,Rent Income,IC0045815,GL0046222,2023-01-31,2023-02-10,,,0,-164882.63
306244,AM-LT000001,CHOWKING,Invoice,Rent Income,IC0046083,GL0046513,2023-01-31,2023-02-15,,,0,-181995.19
306120,AM-LT000188,RIBSHACK GRILL CORPORATION,Invoice,Rent Income,IC0046070,GL0046498,2023-01-31,2023-02-15,,,0,-237452.60
306337,AM-LT000003,JOLLIBEE,Invoice,Rent Income,IC0046095,GL0046526,2023-01-31,2023-02-15,,,0,-469831.66
310544,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,Rent Income,IC0046587,GL0047050,2023-02-07,2023-02-17,,,0,-20000.00
307932,AM-ST000409,Southern Unicoast,Invoice,Rent Income,IC0046159,GL0046605,2023-02-11,2023-02-19,,,0,-1000.00
311694,AM-ST000063,INENGS FLOWER SHOP,Invoice,Rent Income,IC0046771,GL0047241,2023-02-14,2023-02-22,,,0,-2000.00
308970,AM-ST000398,LEYLAM - BILLBOARD,Invoice,Rent Income,IC0046283,GL0046742,2023-02-14,2023-02-22,,,0,-5000.00
311031,AM-ST000149,MONDELES INT.,Invoice,Rent Income,IC0046664,GL0047128,2023-02-15,2023-02-23,,,0,-1000.00
311037,AM-ST000323,SHADOW REALM MARTIAL ARTS,Invoice Adjustment,Rent Income,IC0046662,GL0047126,2023-02-17,2023-02-25,,,1000.00,0
301027,AM-ST000323,SHADOW REALM MARTIAL ARTS,Invoice,Rent Income,IC0045355,GL0045745,2023-02-17,2023-02-25,,,0,-1000.00
311023,AM-ST000323,SHADOW REALM MARTIAL ARTS,Invoice,Rent Income,IC0046662,GL0047126,2023-02-17,2023-02-25,,,0,-1000.00
310851,AM-LT000809,RIBSHACK  GRILL CORP. - STORAGE ROOM,Invoice,Rent Income,IC0046633,GL0047096,2023-02-17,2023-02-25,,,0,-10000.00
311713,AM-ST000411,MX3 DMI MEDICAL SUPPLY INC.,Invoice,Rent Income,IC0046777,GL0047247,2023-02-18,2023-02-26,,,0,-1000.00
310469,AM-LT000119,MERRY MANGO,Invoice Adjustment,Rent Income,IC0046266,GL0046725,2023-02-28,2023-03-10,,,15000.00,0
311454,AM-LT000061,VENDO CORPORATION,Invoice,Rent Income,IC0046730,GL0047200,2023-02-28,2023-03-10,,,0,-165.00
308946,AM-ST000276,Coffee Vendo Machine,Invoice,Rent Income,IC0046277,GL0046736,2023-02-28,2023-03-10,,,0,-500.00
