ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
227800,AM-LT000009,GLOBE TELECOM INC. - Electricity,Payment,Unearned Rent Income-URI Clearing,PR0009661,GL0035921,2022-01-06,0000-00-00,B-008,PNB - Main,0.23,0
227801,AM-LT000009,GLOBE TELECOM INC. - Electricity,Payment,Unearned Rent Income,PR0009661,GL0035921,2022-01-06,0000-00-00,B-008,PNB - Main,0,-0.23
227796,AM-LT000009,GLOBE TELECOM INC. - Electricity,Payment,Unearned Rent Income-URI Clearing,UFT0004419,GL0035921,2022-01-06,0000-00-00,B-008,PNB - Main,0,-0.23
234049,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Unearned Rent Income-URI Clearing,PR0009684,GL0036736,2022-01-11,0000-00-00,B-008,PNB - Main,3228.15,0
234050,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Unearned Rent Income,PR0009684,GL0036736,2022-01-11,0000-00-00,B-008,PNB - Main,0,-3228.15
234048,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,Payment,Unearned Rent Income-URI Clearing,UFT0004569,GL0036736,2022-01-11,0000-00-00,B-008,PNB - Main,0,-3228.15
228187,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income-URI Clearing,PR0009667,GL0035963,2022-01-12,0000-00-00,B-009,Banks of the Philippine Islands,0.01,0
228188,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income,PR0009667,GL0035963,2022-01-12,0000-00-00,B-009,Banks of the Philippine Islands,0,-0.01
228186,AM-LT000112,PENSHOPPE,Payment,Unearned Rent Income-URI Clearing,UFT0004427,GL0035963,2022-01-12,0000-00-00,B-009,Banks of the Philippine Islands,0,-0.01
227955,AM-ST000275,Globe,Payment,Unearned Rent Income,PR0009780,GL0035941,2022-01-12,0000-00-00,B-015,PNB,0,-22470.00
228712,AM-LT000039,BENCH,Payment,Unearned Rent Income-URI Clearing,PR0009668,GL0036004,2022-01-13,0000-00-00,B-008,PNB - Main,8659.28,0
228713,AM-LT000039,BENCH,Payment,Unearned Rent Income,PR0009668,GL0036004,2022-01-13,0000-00-00,B-008,PNB - Main,0,-8659.28
228707,AM-LT000039,BENCH,Payment,Unearned Rent Income-URI Clearing,UFT0004433,GL0036004,2022-01-13,0000-00-00,B-008,PNB - Main,0,-8659.28
276786,AM-LT000052,SECURITY BANK - ATM,Payment,Unearned Rent Income-URI Clearing,PR0010169,GL0042372,2022-01-14,0000-00-00,B-015,PNB,1145.18,0
276787,AM-LT000052,SECURITY BANK - ATM,Payment,Unearned Rent Income,PR0010169,GL0042372,2022-01-14,0000-00-00,B-015,PNB,0,-1145.18
276785,AM-LT000052,SECURITY BANK - ATM,Payment,Unearned Rent Income-URI Clearing,UFT0005590,GL0042372,2022-01-14,0000-00-00,B-015,PNB,0,-1145.18
228692,AM-LT000054,ABENSON,Payment,Unearned Rent Income-URI Clearing,PR0009670,GL0036003,2022-01-17,0000-00-00,B-015,PNB,0.02,0
228693,AM-LT000054,ABENSON,Payment,Unearned Rent Income,PR0009670,GL0036003,2022-01-17,0000-00-00,B-015,PNB,0,-0.02
228691,AM-LT000054,ABENSON,Payment,Unearned Rent Income-URI Clearing,UFT0004432,GL0036003,2022-01-17,0000-00-00,B-015,PNB,0,-0.02
277511,AM-LT000015,TURKS SHAWARMA,Payment Adjustment,Unearned Rent Income,PR0010159,GL0042326,2022-01-18,0000-00-00,B-015,PNB,8304.99,0
275705,AM-LT000015,TURKS SHAWARMA,Payment,Unearned Rent Income-URI Clearing,PR0010159,GL0042326,2022-01-18,0000-00-00,B-015,PNB,8304.99,0
277762,AM-LT000015,TURKS SHAWARMA,Payment Adjustment,Unearned Rent Income-URI Clearing,UFT0005537,GL0042326,2022-01-18,0000-00-00,B-015,PNB,8304.99,0
277769,AM-LT000015,TURKS SHAWARMA,Payment,Unearned Rent Income-URI Clearing,PR0 010159,GL0042489,2022-01-18,0000-00-00,B-015,PNB,8304.99,0
228583,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,PR0009787,GL0036001,2022-01-18,0000-00-00,B-015,PNB,0,-10.00
228551,AM-ST000307,NOM NOM CORN DOGS SNACK BAR,Payment,Unearned Rent Income,PR0009786,GL0035997,2022-01-18,0000-00-00,B-015,PNB,0,-5350.00
275706,AM-LT000015,TURKS SHAWARMA,Payment,Unearned Rent Income,PR0010159,GL0042326,2022-01-18,0000-00-00,B-015,PNB,0,-8304.99
277510,AM-LT000015,TURKS SHAWARMA,Payment Adjustment,Unearned Rent Income-URI Clearing,PR0010159,GL0042326,2022-01-18,0000-00-00,B-015,PNB,0,-8304.99
275690,AM-LT000015,TURKS SHAWARMA,Payment,Unearned Rent Income-URI Clearing,UFT0005537,GL0042326,2022-01-18,0000-00-00,B-015,PNB,0,-8304.99
277770,AM-LT000015,TURKS SHAWARMA,Payment,Unearned Rent Income,PR0 010159,GL0042489,2022-01-18,0000-00-00,B-015,PNB,0,-8304.99
277768,AM-LT000015,TURKS SHAWARMA,Payment,Unearned Rent Income-URI Clearing,UFT0005613,GL0042489,2022-01-18,0000-00-00,B-015,PNB,0,-8304.99
229097,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Unearned Rent Income,PR23639,GL0036037,2022-01-20,0000-00-00,B-015,PNB,0,-10000.00
275771,AM-LT000052,SECURITY BANK - ATM,Payment,Unearned Rent Income-URI Clearing,PR0010160,GL0040917,2022-01-24,0000-00-00,B-015,PNB,588.50,0
275772,AM-LT000052,SECURITY BANK - ATM,Payment,Unearned Rent Income,PR0010160,GL0040917,2022-01-24,0000-00-00,B-015,PNB,0,-588.50
265880,AM-LT000052,SECURITY BANK - ATM,Payment,Unearned Rent Income-URI Clearing,UFT0005314,GL0040917,2022-01-24,0000-00-00,B-015,PNB,0,-588.50
229203,AM-ST000299,HEUTE APPLIANCES TRADING,Payment,Unearned Rent Income,PR0009800,GL0036040,2022-01-24,0000-00-00,B-015,PNB,0,-19260.00
229500,AM-ST000307,NOM NOM CORN DOGS SNACK BAR,Payment,Unearned Rent Income,PR0009802,GL0036072,2022-01-25,0000-00-00,B-015,PNB,0,-165.00
288229,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,Unearned Rent Income-Preop Clearing,PR0010663,GL0036763,2022-01-26,0000-00-00,B-015,PNB,35438.40,0
288230,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,Unearned Rent Income,PR0010663,GL0036763,2022-01-26,0000-00-00,B-015,PNB,0,-35438.40
234795,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,Unearned Rent Income-Preop Clearing,UFT0004598,GL0036763,2022-01-26,0000-00-00,B-015,PNB,0,-35438.40
234908,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,Unearned Rent Income,B0017071,GL0036763,2022-01-31,0000-00-00,,,35438.40,0
230624,AM-LT000039,BENCH,Payment,Unearned Rent Income,B0016780,GL0036004,2022-01-31,0000-00-00,,,8659.28,0
230318,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Unearned Rent Income,B0016732,GL0036037,2022-01-31,0000-00-00,,,4855.00,0
230316,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Unearned Rent Income,B0016732,GL0036037,2022-01-31,0000-00-00,,,4568.00,0
230320,AM-LT000052,SECURITY BANK - ATM,Payment,Unearned Rent Income,B0016733,GL0035745,2022-01-31,0000-00-00,,,2409.40,0
230314,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Unearned Rent Income,B0016732,GL0036037,2022-01-31,0000-00-00,,,577.00,0
230312,AM-LT000082,RICHER TEA,Payment,Unearned Rent Income,B0016730,GL0036001,2022-01-31,0000-00-00,,,10.00,0
228420,AM-ST000275,Globe,Payment,Unearned Rent Income,B0016635,GL0035941,2022-02-01,0000-00-00,,,22470.00,0
231013,AM-ST000299,HEUTE APPLIANCES TRADING,Payment,Unearned Rent Income,B0016815,GL0035904,2022-02-02,0000-00-00,,,19260.00,0
231126,AM-ST000275,Globe,Payment,Unearned Rent Income,PR0009703,GL0036375,2022-02-02,0000-00-00,B-015,PNB,0,-22470.00
228586,AM-ST000307,NOM NOM CORN DOGS SNACK BAR,Payment,Unearned Rent Income,B0016644,GL0035997,2022-02-09,0000-00-00,,,5350.00,0
232863,AM-ST000307,NOM NOM CORN DOGS SNACK BAR,Payment,Unearned Rent Income,PR0009716,GL0036641,2022-02-09,0000-00-00,B-015,PNB,0,-5350.00
236699,AM-LT000082,RICHER TEA,Payment Adjustment,Unearned Rent Income,PR0009720,GL0036671,2022-02-11,0000-00-00,B-015,PNB,71058.90,0
236673,AM-LT000087,JOJIE`S PAINITANG BOL-ANON,Payment Adjustment,Unearned Rent Income,PR0009723,GL0036681,2022-02-11,0000-00-00,B-015,PNB,34745.27,0
236741,AM-LT000047,FAMOUS BELGIAN WAFFLE,Payment Adjustment,Unearned Rent Income,PR0009721,GL0036672,2022-02-11,0000-00-00,B-015,PNB,16259.00,0
233136,AM-LT000217,BLACK CHAI MILKTEA SHOP,Payment,Unearned Rent Income,PR0009722,GL0036673,2022-02-11,0000-00-00,B-015,PNB,0,-13656.00
