ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
52708,AM-LT000112,PENSHOPPE,Payment,Security Deposit Payable,PR000485,GL0008853,2019-01-07,0000-00-00,B-008,PNB - Main,0,-121980.00
39987,AM-LT000082,RICHER TEA,Payment,Security Deposit Payable,PR18924,GL0006496,2019-01-09,0000-00-00,B-008,PNB - Main,0,-500.00
39843,AM-LT000040,LYDIAS TICKETING OUTLET,Payment,Security Deposit Payable,PR0005718,GL0006476,2019-01-09,0000-00-00,B-008,PNB - Main,0,-3937.50
41364,AM-LT000112,PENSHOPPE,Payment,Security Deposit Payable,PR000487,GL0006631,2019-01-23,0000-00-00,B-008,PNB - Main,0,-121980.00
60901,AM-LT000120,BAREFRUIT GUYABANO,Payment,Security Deposit Payable-Preop Clearing,UFT0000971,GL0010181,2019-02-12,0000-00-00,B-008,PNB - Main,0,-45000.00
55808,AM-LT000119,MERRY MANGO,Payment,Security Deposit Payable-Preop Clearing,UFT0000902,GL0009374,2019-02-12,0000-00-00,B-008,PNB - Main,0,-45000.00
47406,AM-LT000045,LBC,Payment,Security Deposit Payable,PR0005790,GL0008004,2019-02-13,0000-00-00,B-008,PNB - Main,0,-4.05
69647,AM-LT000113,HUAWEI,Payment,Security Deposit Payable-PDC,PRLSAR-014663,GL0011458,2019-02-19,0000-00-00,B-015,PNB,0,-150000.00
52739,AM-LT000112,PENSHOPPE,Payment,Security Deposit Payable,PR000491,GL0008860,2019-02-26,0000-00-00,B-008,PNB - Main,0,-121980.00
57835,AM-LT000039,BENCH,Payment,Security Deposit Payable-Preop Clearing,UFT0000925,GL0009681,2019-03-13,0000-00-00,B-008,PNB - Main,0,-3828.50
53107,AM-LT000045,LBC,Payment,Security Deposit Payable-PDC,PR0006061,GL0008875,2019-03-18,0000-00-00,B-015,PNB,0,-7273.35
53650,AM-LT000124,BOHOL MEDICAL LAB TESTING CENTER,Payment,Security Deposit Payable,PR18928,GL0008929,2019-03-22,0000-00-00,B-015,PNB,0,-35935.20
53652,AM-LT000124,BOHOL MEDICAL LAB TESTING CENTER,Payment,Security Deposit Payable,PR000492,GL0008930,2019-03-22,0000-00-00,B-015,PNB,0,-38640.00
53646,AM-LT000124,BOHOL MEDICAL LAB TESTING CENTER,Payment,Security Deposit Payable,PR18928,GL0008927,2019-03-22,0000-00-00,B-015,PNB,0,-41344.80
69657,AM-LT000114,OPPO,Payment,Security Deposit Payable,PRLSAR-14662,GL0011463,2019-03-23,0000-00-00,B-015,PNB,0,-22000.00
69655,AM-LT000114,OPPO,Payment,Security Deposit Payable,PRLSAR-014661,GL0011462,2019-03-23,0000-00-00,B-015,PNB,0,-110000.00
56494,AM-LT000127,NAILAX AESTHETIC AND WELLNESS CLINIC,Payment,Security Deposit Payable,PR000493,GL0009527,2019-04-01,0000-00-00,B-015,PNB,0,-120978.00
60340,AM-LT000135,0219 ST. CAFE,Payment,Security Deposit Payable,PR014652,GL0010056,2019-04-26,0000-00-00,B-015,PNB,0,-36000.00
61275,AM-LT000130,BEAUTY AND BEYOND FACIAL AND SLIMMING,Payment,Security Deposit Payable,PR014653,GL0010274,2019-04-29,0000-00-00,B-015,PNB,0,-138611.10
62840,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Payment,Security Deposit Payable-PDC,PR014655,GL0010478,2019-05-09,0000-00-00,B-015,PNB,0,-3150.00
68158,AM-LT000044,RC LUCKY GRAPHICS,Payment,Security Deposit Payable-PDC,PR014658,GL0011359,2019-06-07,0000-00-00,B-015,PNB,0,-4500.00
69435,AM-LT000056,ORO CHINA PAWNSHOP,Payment,Security Deposit Payable-Preop Clearing,UFT0001140,GL0011441,2019-06-07,0000-00-00,B-009,Banks of the Philippine Islands,0,-12000.00
68131,AM-LT000129,METROPOLITAN BANK and TRUST COMPANY,Payment,Security Deposit Payable,PR014657,GL0011355,2019-06-07,0000-00-00,B-015,PNB,0,-307740.00
69048,AM-LT000145,COFFEE SPOT,Payment,Security Deposit Payable,PR014659,GL0011429,2019-06-13,0000-00-00,B-015,PNB,0,-45000.00
