ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
304574,AM-LT000086,DAISO JAPAN,Invoice,Rent Receivables,IC0045850,GL0046259,2023-01-01,2023-02-10,,,116021.05,0
304575,AM-LT000086,DAISO JAPAN,Invoice,Rent Income,IC0045850,GL0046259,2023-01-01,2023-02-10,,,0,-108430.88
296914,AM-LT000450,BUKO FRESH AND ICE SCRAMBLE,Payment,Rent Receivables,PR10497,GL0043743,2023-01-02,,B-015,PNB,0,-10700.00
296918,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Payment,Rent Receivables,PR10498,GL0044497,2023-01-02,,B-015,PNB,0,-10700.00
301466,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,Rent Receivables-RR Clearing,PR0010707,GL0043224,2023-01-03,,B-015,PNB,24684.00,0
301464,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,Rent Receivables-RR Clearing,PR0010707,GL0044120,2023-01-03,,B-015,PNB,8307.00,0
313478,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Payment,Rent Receivables,PR0010496,GL0042573,2023-01-03,,B-015,PNB,0,-8056.00
310786,AM-LT000119,MERRY MANGO,Payment,Rent Receivables,PR0010487,GL0041171,2023-01-03,,B-015,PNB,0,-8283.87
301465,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,Rent Receivables,PR0010707,GL0044120,2023-01-03,,B-015,PNB,0,-8307.00
301463,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,Rent Receivables-RR Clearing,UFT0006174,GL0044120,2023-01-03,,B-015,PNB,0,-8307.00
301467,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,Rent Receivables,PR0010707,GL0043224,2023-01-03,,B-015,PNB,0,-24684.00
301455,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,Rent Receivables-RR Clearing,UFT0006174,GL0043224,2023-01-03,,B-015,PNB,0,-24684.00
298116,AM-LT000002,INSIANG`S GRILL HOUSE,Payment,Rent Receivables,PR0010752,GL0043373,2023-01-04,,B-015,PNB,0,-5000.00
298110,AM-LT000035,ST. PATRICKS ROAST,Payment,Rent Receivables,PR0010751,GL0043375,2023-01-04,,B-015,PNB,0,-8550.00
298098,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,Payment,Rent Receivables,PR0010500,GL0044743,2023-01-04,,B-015,PNB,0,-10000.00
298048,AM-LT000207,LYN`S LUGAW  HOUSE,Payment,Rent Receivables,PR0010499,GL0045349,2023-01-04,,B-015,PNB,0,-10700.00
307512,AM-LT000034,BEBIES LECHON BABOY,Payment Adjustment,Rent Receivables,PR0010755,GL0002783,2023-01-05,,B-015,PNB,3186.06,0
307508,AM-LT000034,BEBIES LECHON BABOY,Payment Adjustment,Rent Receivables,PR0010755,GL0002781,2023-01-05,,B-015,PNB,1226.17,0
298313,AM-LT000034,BEBIES LECHON BABOY,Payment,Rent Receivables,PR0010755,GL0002781,2023-01-05,,B-015,PNB,0,-1226.17
298321,AM-LT000034,BEBIES LECHON BABOY,Payment,Rent Receivables,PR0010755,GL0002783,2023-01-05,,B-015,PNB,0,-3186.06
298449,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,Rent Receivables,PR0010756,GL0045228,2023-01-05,,B-015,PNB,0,-4061.79
307450,AM-LT000125,BEBIES LECHON BABOY - NEW,Payment,Rent Receivables,PR0010755a,GL0019561,2023-01-05,,B-015,PNB,0,-5320.00
298291,AM-LT000177,MAXI MANGO,Payment,Rent Receivables,PR0010754,GL0045160,2023-01-05,,B-015,PNB,0,-10700.00
301434,AM-LT000055,IDEAL VISION CENTER,Payment,Rent Receivables-RR Clearing,PR0010701,GL0045209,2023-01-06,,B-015,PNB,44919.65,0
306020,AM-LT000111,LEYLAM,Payment,Rent Receivables-RR Clearing,PR0010723,GL0045145,2023-01-06,,B-015,PNB,32100.00,0
301534,AM-LT000042,UNISILVER,Payment,Rent Receivables-RR Clearing,PR0010713,GL0045158,2023-01-06,,B-009,Banks of the Philippine Islands,22470.00,0
301478,AM-LT000063,POTATO CORNER,Payment,Rent Receivables-RR Clearing,PR0010708,GL0043240,2023-01-06,,B-015,PNB,10700.00,0
305827,AM-ST000398,LEYLAM - BILLBOARD,Payment,Rent Receivables-RR Clearing,PR0010721,GL0045451,2023-01-06,,B-015,PNB,5350.00,0
305828,AM-ST000398,LEYLAM - BILLBOARD,Payment,Rent Receivables,PR0010721,GL0045451,2023-01-06,,B-015,PNB,0,-5350.00
305826,AM-ST000398,LEYLAM - BILLBOARD,Payment,Rent Receivables-RR Clearing,UFT0006258,GL0045451,2023-01-06,,B-015,PNB,0,-5350.00
301479,AM-LT000063,POTATO CORNER,Payment,Rent Receivables,PR0010708,GL0043240,2023-01-06,,B-015,PNB,0,-10700.00
301477,AM-LT000063,POTATO CORNER,Payment,Rent Receivables-RR Clearing,UFT0006175,GL0043240,2023-01-06,,B-015,PNB,0,-10700.00
301535,AM-LT000042,UNISILVER,Payment,Rent Receivables,PR0010713,GL0045158,2023-01-06,,B-009,Banks of the Philippine Islands,0,-22470.00
301533,AM-LT000042,UNISILVER,Payment,Rent Receivables-RR Clearing,UFT0006181,GL0045158,2023-01-06,,B-009,Banks of the Philippine Islands,0,-22470.00
306021,AM-LT000111,LEYLAM,Payment,Rent Receivables,PR0010723,GL0045145,2023-01-06,,B-015,PNB,0,-32100.00
305486,AM-LT000111,LEYLAM,Payment,Rent Receivables-RR Clearing,UFT0006255,GL0045145,2023-01-06,,B-015,PNB,0,-32100.00
298732,AM-LT000127,NAILAX AESTHETIC AND WELLNESS CLINIC,Payment,Rent Receivables,PR0010757,GL0045205,2023-01-06,,B-015,PNB,0,-32361.61
301435,AM-LT000055,IDEAL VISION CENTER,Payment,Rent Receivables,PR0010701,GL0045209,2023-01-06,,B-015,PNB,0,-44919.65
301429,AM-LT000055,IDEAL VISION CENTER,Payment,Rent Receivables-RR Clearing,UFT0006173,GL0045209,2023-01-06,,B-015,PNB,0,-44919.65
304344,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,Rent Receivables,IC0045822,GL0046229,2023-01-07,2023-01-15,,,21400.00,0
304350,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,MI-Light and Power,IC0045823,GL0046230,2023-01-07,2023-01-15,,,0,-1067.00
304349,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,MI-Aircon Charges,IC0045823,GL0046230,2023-01-07,2023-01-15,,,0,-2000.00
298754,AM-LT000169,TECHNOCARE,Payment,Rent Receivables,PR0010758,GL0044133,2023-01-07,,B-015,PNB,0,-11366.16
304345,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,Rent Income,IC0045822,GL0046229,2023-01-07,2023-01-15,,,0,-20000.00
