ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
360351,AM-LT000046,LAY BARE WAXING SALON,Payment,A/R  Non Trade External,OR20533,GL0052916,2023-11-01,,B-015,PNB,0,-13939.00
360355,AM-LT000130,BEAUTY AND BEYOND FACIAL AND SLIMMING,Payment,A/R  Non Trade External,OR20534,GL0052828,2023-11-01,,B-015,PNB,0,-16285.00
360009,AM-ST000448,VR GAMING HUB,Invoice,A/R  Non Trade External,IC0052920,GL0053776,2023-11-03,2023-11-13,,,1645.00,0
361914,AM-ST000497,LEWIS  GLANZ CONSULTING,Invoice,Creditable WHT Receivable,IC0053238,GL0054104,2023-11-03,2023-11-13,,,1500.00,0
360006,AM-ST000448,VR GAMING HUB,Invoice,Creditable WHT Receivable,IC0052918,GL0053774,2023-11-03,2023-11-13,,,400.00,0
360007,AM-ST000448,VR GAMING HUB,Invoice,A/R  Non Trade External,IC0052919,GL0053775,2023-11-03,2023-11-13,,,351.00,0
367432,AM-ST000448,VR GAMING HUB,Payment,A/R  Non Trade External,B0026859,GL0053054,2023-11-03,,,,0,-299.00
360008,AM-ST000448,VR GAMING HUB,Invoice,MI-Light and Power,IC0052919,GL0053775,2023-11-03,2023-11-13,,,0,-351.00
360010,AM-ST000448,VR GAMING HUB,Invoice,MI-Charges,IC0052920,GL0053776,2023-11-03,2023-11-13,,,0,-1645.00
360711,AM-LT000841,K-BIMBOY KOREAN RESTAURANT,Payment,A/R  Non Trade External,OR0020535,GL0052914,2023-11-03,,B-015,PNB,0,-7141.00
361642,AM-LT000004,RED RIBBON,Payment,A/R Non Trade Internal,OR0020244,GL0053215,2023-11-03,,B-015,PNB,0,-46077.00
363060,AM-LT000042,UNISILVER,Payment,A/R  Non Trade External,OR0020249,GL0053769,2023-11-06,,B-009,Banks of the Philippine Islands,0,-2100.14
361177,AM-LT000058,M. LHUILLIER PHILIPPINES INC,Payment,A/R  Non Trade External,OR20538,GL0052970,2023-11-06,,B-015,PNB,0,-11963.00
363256,AM-LT000111,LEYLAM,Payment,A/R  Non Trade External,OR0020254,GL0053623,2023-11-06,,B-015,PNB,0,-32599.70
358751,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,A/R  Non Trade External,IC0052709,GL0053562,2023-11-07,2023-11-17,,,2793.00,0
367396,AM-ST000448,VR GAMING HUB,Payment Adjustment,A/R  Non Trade External,OR0020537,GL0053776,2023-11-07,,B-015,PNB,1645.00,0
358750,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,Creditable WHT Receivable,IC0052708,GL0053561,2023-11-07,2023-11-17,,,1000.00,0
367394,AM-ST000448,VR GAMING HUB,Payment Adjustment,A/R  Non Trade External,OR0020537,GL0053775,2023-11-07,,B-015,PNB,351.00,0
361374,AM-ST000448,VR GAMING HUB,Payment,A/R  Non Trade External,OR0020537,GL0053775,2023-11-07,,B-015,PNB,0,-351.00
361545,AM-LT000125,BEBIES LECHON BABOY - NEW,Payment,A/R  Non Trade External,OR0020542,GL0037691,2023-11-07,,B-015,PNB,0,-500.00
361549,AM-LT000125,BEBIES LECHON BABOY - NEW,Payment,A/R  Non Trade External,OR0020542,GL0038681,2023-11-07,,B-015,PNB,0,-500.00
361553,AM-LT000125,BEBIES LECHON BABOY - NEW,Payment,A/R  Non Trade External,OR0020542,GL0039464,2023-11-07,,B-015,PNB,0,-500.00
358753,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,MI-Light and Power,IC0052709,GL0053562,2023-11-07,2023-11-17,,,0,-793.00
365995,AM-LT000863,RULLS CELLPHONE AND ACCESSORIES INC.,Payment,A/R  Non Trade External,OR0020275,GL0053708,2023-11-07,,B-015,PNB,0,-1323.75
361372,AM-ST000448,VR GAMING HUB,Payment,A/R  Non Trade External,OR0020537,GL0053776,2023-11-07,,B-015,PNB,0,-1645.00
358752,AM-ST000402,AP BOWHOL ARCHERY RANGE,Invoice,MI-Aircon Charges,IC0052709,GL0053562,2023-11-07,2023-11-17,,,0,-2000.00
361368,AM-LT000040,LYDIAS TICKETING OUTLET,Payment,A/R  Non Trade External,OR0020536,GL0053630,2023-11-07,,B-015,PNB,0,-2790.00
361541,AM-LT000177,MAXI MANGO,Payment,A/R  Non Trade External,OR0020541,GL0053638,2023-11-07,,B-015,PNB,0,-6305.00
362020,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,A/R  Non Trade External,OR.0020539,GL0051927,2023-11-07,,B-015,PNB,0,-30844.00
362024,AM-LT000025,MARCELA CHICKEN - B. INTING,Payment,A/R  Non Trade External,OR.0020540,GL0052950,2023-11-07,,B-015,PNB,0,-34868.00
363318,AM-LT000015,TURKS SHAWARMA,Payment,A/R  Non Trade External,OR0020263,GL0053767,2023-11-08,,B-015,PNB,0,-5484.00
361845,AM-LT000810,YLAYA ORALCARE DENTAL CLINIC,Payment,A/R  Non Trade External,OR0020546,GL0053595,2023-11-08,,B-015,PNB,0,-14989.50
361797,AM-LT000127,NAILAX AESTHETIC AND WELLNESS CLINIC,Payment,A/R  Non Trade External,OR0020544,GL0053658,2023-11-08,,B-015,PNB,0,-15600.00
363322,AM-LT000055,IDEAL VISION CENTER,Payment,A/R  Non Trade External,OR0020264,GL0053611,2023-11-08,,B-015,PNB,0,-32490.20
361820,AM-LT000082,RICHER TEA,Payment,A/R  Non Trade External,OR0020545,GL0053004,2023-11-08,,B-015,PNB,0,-32577.40
363729,AM-LT000003,JOLLIBEE,Payment,A/R Non Trade Internal,OR0020266,GL0053216,2023-11-08,,B-015,PNB,0,-1023679.32
361922,AM-LT000844,K DROP-ROLL EGG TRADING,Payment,A/R  Non Trade External,OR0020547,GL0053617,2023-11-09,,B-015,PNB,0,-4598.00
361962,AM-LT000185,BOHOL PERSONS WITH DISABILITY WORKERS MULTIPURPOSE COOPERATIVE,Payment,A/R  Non Trade External,OR0020551,GL0053578,2023-11-09,,B-015,PNB,0,-5568.70
361934,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,Payment,A/R  Non Trade External,OR0020549,GL0053589,2023-11-09,,B-015,PNB,0,-7087.00
361930,AM-LT000207,LYN`S LUGAW  HOUSE,Payment,A/R  Non Trade External,OR0020548,GL0053632,2023-11-09,,B-015,PNB,0,-10196.00
365041,AM-LT000086,DAISO JAPAN,Payment,A/R  Non Trade External,OR0020272,GL0053593,2023-11-09,,B-015,PNB,0,-69143.41
363195,AM-LT000855,LFAFA EXPRESS DE STRESS,Payment,A/R  Non Trade External,OR0020252,GL0050995,2023-11-10,,B-009,Banks of the Philippine Islands,0,-2385.00
363203,AM-LT000855,LFAFA EXPRESS DE STRESS,Payment,A/R  Non Trade External,OR0020252,GL0052929,2023-11-10,,B-009,Banks of the Philippine Islands,0,-2429.00
363199,AM-LT000855,LFAFA EXPRESS DE STRESS,Payment,A/R  Non Trade External,OR0020252,GL0051916,2023-11-10,,B-009,Banks of the Philippine Islands,0,-2451.00
362255,AM-LT000190,QUADTECHNOLOGY MOBILE PHONES AND ACCESSORIES,Payment,A/R  Non Trade External,OR0020558,GL0053684,2023-11-10,,B-015,PNB,0,-2812.00
362367,AM-LT000217,BLACK CHAI MILKTEA SHOP,Payment,A/R  Non Trade External,OR0020564,GL0053573,2023-11-10,,B-015,PNB,0,-3280.00
362284,AM-LT000196,TL MABUHAY DRIVING LESSONS ACADEMY INC. - NEW,Payment,A/R  Non Trade External,OR0020561,GL0053763,2023-11-10,,B-015,PNB,0,-3979.91
363310,AM-LT000335,REAL ME,Payment,A/R  Non Trade External,OR0020261,GL0053691,2023-11-10,,B-015,PNB,0,-4086.60
362299,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,A/R  Non Trade External,OR0020563,GL0053748,2023-11-10,,B-015,PNB,0,-5802.80
362297,AM-LT000403,SHANDRIE MEDICAL CLINIC,Payment,A/R  Non Trade External,OR0020562,GL0053748,2023-11-10,,B-015,PNB,0,-5920.20
