ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
380,AM-ST000398,LEYLAM - BILLBOARD,Invoice,Rent Income,IC0000083,GL0000083,2024-01-14,2024-01-22,,,0,-5000.00
8825,AM-LT000002,INSIANG`S GRILL HOUSE,Invoice Adjustment,Rent Income,IC0000444,GL0000443,2024-01-31,2024-02-10,,,10000.00,0
1114,AM-LT000065,RC LUCKY GRAPHICS -STICKER,Invoice,Rent Income,IC0000242,GL0000242,2024-01-31,2024-02-10,,,0,-3000.00
2453,AM-LT000066,RED RIBBON - BILLBOARD,Invoice,Rent Income,IC0000534,GL0000530,2024-01-31,2024-02-10,,,0,-3000.00
5599,AM-LT000125,BEBIES LECHON BABOY - NEW,Invoice,Rent Income,IC0000957,GL0000981,2024-01-31,2024-02-10,,,0,-4500.00
2506,AM-LT000070,ABENSON - BILLBOARD,Invoice,Rent Income,IC0000541,GL0000537,2024-01-31,2024-02-10,,,0,-5000.00
2367,AM-LT000068,CHOWKING - BILLBOARD,Invoice,Rent Income,IC0000518,GL0000514,2024-01-31,2024-02-10,,,0,-5000.00
2402,AM-LT000069,GREENWICH - BILLBOARD,Invoice,Rent Income,IC0000524,GL0000520,2024-01-31,2024-02-10,,,0,-5000.00
3028,AM-LT000067,JOLLIBEE - BILLBOARD,Invoice,Rent Income,IC0000608,GL0000613,2024-01-31,2024-02-15,,,0,-5000.00
2885,AM-LT000006,GREENWICH -GTG,Invoice,Rent Income,IC0000598,GL0000599,2024-01-31,2024-02-15,,,0,-6590.08
442,AM-LT000185,BOHOL PERSONS WITH DISABILITY WORKERS MULTIPURPOSE COOPERATIVE,Invoice,Rent Income,IC0000098,GL0000098,2024-01-31,2024-02-10,,,0,-8000.00
472,AM-LT000048,CHIKITINGS PLAYHOUSE,Invoice,Rent Income,IC0000105,GL0000105,2024-01-31,2024-02-10,,,0,-8000.00
499,AM-LT000658,NOM NOM CORN DOGS SNACK BAR 1,Invoice,Rent Income,IC0000111,GL0000111,2024-01-31,2024-02-10,,,0,-8000.00
353,AM-LT000053,PHILIPPINE NATIONAL BANK - ATM,Invoice,Rent Income,IC0000076,GL0000076,2024-01-31,2024-02-10,,,0,-8804.57
450,AM-LT000450,BUKO FRESH AND ICE SCRAMBLE,Invoice,Rent Income,IC0000100,GL0000100,2024-01-31,2024-02-10,,,0,-10000.00
2076,AM-LT000002,INSIANG`S GRILL HOUSE,Invoice,Rent Income,IC0000444,GL0000443,2024-01-31,2024-02-10,,,0,-10000.00
677,AM-LT000660,JM SHAWARMA,Invoice,Rent Income,IC0000149,GL0000149,2024-01-31,2024-02-10,,,0,-10000.00
2283,AM-LT000844,K DROP-ROLL EGG TRADING,Invoice,Rent Income,IC0000492,GL0000491,2024-01-31,2024-02-10,,,0,-10000.00
2139,AM-LT000010,MASTER SIOMAI,Invoice,Rent Income,IC0000457,GL0000456,2024-01-31,2024-02-10,,,0,-10000.00
914,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,Invoice,Rent Income,IC0000200,GL0000200,2024-01-31,2024-02-10,,,0,-10000.00
