ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
11,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Cash in Bank (Peso),PR025262 - 025261,GL0000006,2018-05-09,,B-001,Land Bank of the Philippines,36000.00,0
9,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Cash in Bank (Peso),PR025262 - 025261,GL0000005,2018-05-09,,B-001,Land Bank of the Philippines,12840.00,0
10,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Unearned Rent Income,PR025262 - 025261,GL0000005,2018-05-09,,B-001,Land Bank of the Philippines,0,-12840.00
12,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Security Deposit Payable,PR025262 - 025261,GL0000006,2018-05-09,,B-001,Land Bank of the Philippines,0,-36000.00
15,ASCT-LT000013,MASTER SIOMAI,Payment,Cash in Bank (Peso),PR025263 - 025264,GL0000008,2018-05-18,,B-001,Land Bank of the Philippines,36000.00,0
19,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Cash in Bank (Peso),PR025265,GL0000010,2018-05-18,,B-001,Land Bank of the Philippines,36000.00,0
13,ASCT-LT000013,MASTER SIOMAI,Payment,Cash in Bank (Peso),PR025263 - 025264,GL0000007,2018-05-18,,B-001,Land Bank of the Philippines,12840.00,0
17,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Cash in Bank (Peso),PR025265,GL0000009,2018-05-18,,B-001,Land Bank of the Philippines,12840.00,0
14,ASCT-LT000013,MASTER SIOMAI,Payment,Unearned Rent Income,PR025263 - 025264,GL0000007,2018-05-18,,B-001,Land Bank of the Philippines,0,-12840.00
18,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Unearned Rent Income,PR025265,GL0000009,2018-05-18,,B-001,Land Bank of the Philippines,0,-12840.00
16,ASCT-LT000013,MASTER SIOMAI,Payment,Security Deposit Payable,PR025263 - 025264,GL0000008,2018-05-18,,B-001,Land Bank of the Philippines,0,-36000.00
20,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Security Deposit Payable,PR025265,GL0000010,2018-05-18,,B-001,Land Bank of the Philippines,0,-36000.00
7,ASCT-LT000008,TECHNOCARE,Payment,Cash in Bank (Peso),PR025266,GL0000004,2018-05-21,,B-001,Land Bank of the Philippines,30000.00,0
8,ASCT-LT000008,TECHNOCARE,Payment,Security Deposit Payable,PR025266,GL0000004,2018-05-21,,B-001,Land Bank of the Philippines,0,-30000.00
5,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Cash in Bank (Peso),PR025274,GL0000003,2018-05-25,,B-001,Land Bank of the Philippines,30000.00,0
202,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Cash in Bank (Peso),PR025275,GL0000034,2018-05-25,,B-001,Land Bank of the Philippines,10700.00,0
203,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Unearned Rent Income,PR025275,GL0000034,2018-05-25,,B-001,Land Bank of the Philippines,0,-10700.00
6,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Security Deposit Payable,PR025274,GL0000003,2018-05-25,,B-001,Land Bank of the Philippines,0,-30000.00
3,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Cash in Bank (Peso),PR025279 - 025280,GL0000002,2018-06-08,,B-001,Land Bank of the Philippines,36000.00,0
1,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Cash in Bank (Peso),PR025279 - 025280,GL0000001,2018-06-08,,B-001,Land Bank of the Philippines,12840.00,0
2,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Unearned Rent Income,PR025279 - 025280,GL0000001,2018-06-08,,B-001,Land Bank of the Philippines,0,-12840.00
4,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Security Deposit Payable,PR025279 - 025280,GL0000002,2018-06-08,,B-001,Land Bank of the Philippines,0,-36000.00
196,ASCT-ST000001,Suzuki,Invoice,Rent Receivables,ASCT-IC0000026,GL0000033,2018-06-15,2018-07-14,,,16050.00,0
198,ASCT-ST000001,Suzuki,Invoice,Creditable WHT Receivable,ASCT-IC0000026,GL0000033,2018-06-15,2018-07-14,,,750.00,0
197,ASCT-ST000001,Suzuki,Invoice,VAT Output,ASCT-IC0000026,GL0000033,2018-06-15,2018-07-14,,,0,-1800.00
199,ASCT-ST000001,Suzuki,Invoice,Rent Income,ASCT-IC0000026,GL0000033,2018-06-15,2018-07-14,,,0,-15000.00
200,ASCT-ST000001,Suzuki,Payment,Cash in Bank (Peso),PR25285,GL0000033,2018-06-18,,B-001,Land Bank of the Philippines,16050.00,0
201,ASCT-ST000001,Suzuki,Payment,Rent Receivables,PR25285,GL0000033,2018-06-18,,B-001,Land Bank of the Philippines,0,-16050.00
390,ASCT-LT000007,JEWELRICH,Payment,Cash in Bank (Peso),PR025290,GL0000065,2018-06-26,,B-001,Land Bank of the Philippines,20410.00,0
391,ASCT-LT000007,JEWELRICH,Payment,Unearned Rent Income,PR025290,GL0000065,2018-06-26,,B-001,Land Bank of the Philippines,0,-20410.00
139,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-DM0000001,GL0000028,2018-06-29,2018-07-08,,,89.70,0
140,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,MI-Light and Power,ASCT-DM0000001,GL0000028,2018-06-29,2018-07-08,,,0,-89.70
122,ASCT-LT000013,MASTER SIOMAI,Payment,Unearned Rent Income,ASCT-B0000019,GL0000007,2018-06-30,,,,11467.33,0
130,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Unearned Rent Income,ASCT-B0000021,GL0000009,2018-06-30,,,,11409.83,0
126,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Unearned Rent Income,ASCT-B0000020,GL0000001,2018-06-30,,,,8929.33,0
63,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Receivables,ASCT-IC0000016,GL0000019,2018-06-30,2018-07-08,,,8132.00,0
141,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Unearned Rent Income,ASCT-B0000024,GL0000005,2018-06-30,,,,7336.53,0
88,ASCT-LT000013,MASTER SIOMAI,Invoice,A/R  Non Trade External,ASCT-IC0000021,GL0000024,2018-06-30,2018-07-08,,,5903.33,0
101,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-IC0000023,GL0000026,2018-06-30,2018-07-08,,,5845.83,0
84,ASCT-LT000013,MASTER SIOMAI,Invoice,Rent Receivables,ASCT-IC0000020,GL0000023,2018-06-30,2018-07-08,,,5564.00,0
48,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Receivables,ASCT-IC0000012,GL0000016,2018-06-30,2018-07-08,,,5564.00,0
97,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Receivables,ASCT-IC0000022,GL0000025,2018-06-30,2018-07-08,,,5564.00,0
76,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000018,GL0000021,2018-06-30,2018-07-08,,,4636.66,0
37,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000010,GL0000013,2018-06-30,2018-07-08,,,4636.66,0
29,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000008,GL0000011,2018-06-30,2018-07-08,,,4636.66,0
41,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000011,GL0000014,2018-06-30,2018-07-08,,,2430.33,0
134,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000024,GL0000027,2018-06-30,2018-07-08,,,1682.83,0
